"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.21229
CalibrationParameters_A12,0.11306
CalibrationParameters_A13,-0.00601
CalibrationParameters_A21,0.06566
CalibrationParameters_A22,-1.22055
CalibrationParameters_A23,0.00732
CalibrationParameters_A31,-0.00034
CalibrationParameters_A32,-0.00660
CalibrationParameters_E11,-0.17989
CalibrationParameters_E12,-0.00024
CalibrationParameters_E21,-0.00007
CalibrationParameters_E22,0.20002
CalibrationParameters_X,-46.18407
CalibrationParameters_Y,-45.69450
CalibrationParameters_Rpc,83.84481
CalibrationParameters_MeanX,131.91599
CalibrationParameters_MeanY,139.33773
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,4.902,5.132,0.46,0.48,0.46,0.48,INF,-1,0,7,0
20,1,1,4.507,6.105,0.42,0.57,0.42,0.57,INF,-1,0,7,0
40,1,1,4.667,5.767,0.44,0.54,0.44,0.54,INF,-1,0,7,0
60,1,1,4.947,5.248,0.46,0.49,0.46,0.49,INF,-1,0,7,0
80,1,1,4.837,6.210,0.45,0.58,0.45,0.58,INF,-1,0,7,0
100,1,1,4.365,5.646,0.41,0.53,0.41,0.53,INF,-1,0,7,0
120,1,1,4.347,6.438,0.41,0.60,0.41,0.60,INF,-1,0,7,0
140,1,1,4.232,6.435,0.40,0.60,0.40,0.60,INF,-1,0,7,0
160,1,1,4.381,6.642,0.41,0.62,0.41,0.62,INF,-1,0,7,0
180,1,1,4.288,6.090,0.40,0.57,0.40,0.57,INF,-1,0,7,0
200,1,1,5.064,6.901,0.47,0.64,0.47,0.64,INF,-1,0,7,0
220,1,1,3.506,6.139,0.33,0.57,0.33,0.57,INF,-1,0,7,0
240,1,1,-16.405,5.228,-1.53,0.49,-1.53,0.49,INF,-1,0,7,0
260,1,1,-14.879,5.092,-1.39,0.48,-1.39,0.48,INF,-1,0,7,0
280,1,1,-15.040,5.400,-1.41,0.50,-1.41,0.50,INF,-1,0,7,0
300,1,1,-15.117,5.154,-1.41,0.48,-1.41,0.48,INF,-1,0,7,0
320,1,1,-15.993,5.809,-1.49,0.54,-1.49,0.54,INF,-1,0,7,0
340,1,1,-15.106,5.547,-1.41,0.52,-1.41,0.52,INF,-1,0,7,0
360,1,1,-14.732,5.469,-1.38,0.51,-1.38,0.51,INF,-1,0,7,0
380,1,1,-14.809,5.393,-1.38,0.50,-1.38,0.50,INF,-1,1,7,0
400,1,1,-14.643,5.403,-1.37,0.50,-1.37,0.50,INF,-1,1,7,0
420,1,1,-15.427,5.802,-1.44,0.54,-1.44,0.54,INF,-1,1,7,0
440,1,1,0.666,-0.470,0.06,-0.04,0.06,-0.04,INF,-1,1,7,0
460,1,1,0.279,-1.043,0.03,-0.10,0.03,-0.10,INF,-1,1,7,0
480,1,1,-1.884,-1.478,-0.18,-0.14,-0.18,-0.14,INF,-1,1,7,0
500,1,1,-0.544,-0.226,-0.05,-0.02,-0.05,-0.02,INF,-1,1,7,0
520,1,1,-0.985,0.012,-0.09,0.00,-0.09,0.00,INF,-1,1,7,0
540,1,1,-1.374,-0.804,-0.13,-0.08,-0.13,-0.08,INF,-1,1,7,0
560,1,1,-1.256,-0.746,-0.12,-0.07,-0.12,-0.07,INF,-1,1,7,0
580,1,1,-1.609,-0.288,-0.15,-0.03,-0.15,-0.03,INF,-1,1,7,0
600,1,1,-1.541,-1.513,-0.14,-0.14,-0.14,-0.14,INF,-1,1,7,0
620,1,1,-1.527,-0.796,-0.14,-0.07,-0.14,-0.07,INF,-1,1,7,0
640,1,1,-1.933,-0.593,-0.18,-0.06,-0.18,-0.06,INF,-1,1,7,0
660,1,1,-3.319,-0.221,-0.31,-0.02,-0.31,-0.02,INF,-1,1,7,0
680,1,1,-2.035,-1.732,-0.19,-0.16,-0.19,-0.16,INF,-1,1,7,0
700,1,1,5.234,-4.997,0.49,-0.47,0.49,-0.47,INF,-1,1,7,0
720,1,1,6.455,-4.603,0.60,-0.43,0.60,-0.43,INF,-1,1,7,0
740,1,1,7.339,-5.559,0.69,-0.52,0.69,-0.52,INF,-1,0,7,0
760,1,1,6.118,-6.625,0.57,-0.62,0.57,-0.62,INF,-1,0,7,0
780,1,1,6.075,-6.707,0.57,-0.63,0.57,-0.63,INF,-1,0,7,0
800,1,1,6.024,-6.389,0.56,-0.60,0.56,-0.60,INF,-1,0,7,0
820,1,1,5.924,-6.356,0.55,-0.59,0.55,-0.59,INF,-1,0,7,0
840,1,1,6.486,-6.432,0.61,-0.60,0.61,-0.60,INF,-1,0,7,0
860,1,1,5.674,-6.247,0.53,-0.58,0.53,-0.58,INF,-1,0,7,0
880,1,1,5.477,-6.838,0.51,-0.64,0.51,-0.64,INF,-1,0,7,0
900,1,1,4.932,-6.676,0.46,-0.62,0.46,-0.62,INF,-1,0,7,0
920,1,1,5.707,-7.626,0.53,-0.71,0.53,-0.71,INF,-1,0,7,0
940,1,1,5.342,-6.968,0.50,-0.65,0.50,-0.65,INF,-1,0,7,0
960,1,1,5.043,-7.817,0.47,-0.73,0.47,-0.73,INF,-1,0,7,0
980,1,1,5.182,-8.142,0.48,-0.76,0.48,-0.76,INF,-1,1,7,0
1000,1,1,5.881,-7.820,0.55,-0.73,0.55,-0.73,INF,-1,1,7,0
1020,1,1,5.850,-7.513,0.55,-0.70,0.55,-0.70,INF,-1,1,7,0
1040,1,1,6.019,-7.677,0.56,-0.72,0.56,-0.72,INF,-1,1,7,0
1060,1,1,5.777,-8.114,0.54,-0.76,0.54,-0.76,INF,-1,1,7,0
1080,1,1,4.946,-8.685,0.46,-0.81,0.46,-0.81,INF,-1,1,7,0
1100,1,1,5.686,-8.885,0.53,-0.83,0.53,-0.83,INF,-1,1,7,0
1120,1,1,5.641,-8.690,0.53,-0.81,0.53,-0.81,INF,-1,1,7,0
1140,1,1,5.838,-9.772,0.55,-0.91,0.55,-0.91,INF,-1,1,7,0
1160,1,1,7.029,-9.098,0.66,-0.85,0.66,-0.85,INF,-1,1,7,0
1180,1,1,6.640,-9.437,0.62,-0.88,0.62,-0.88,INF,-1,1,7,0
1200,1,1,6.853,-9.219,0.64,-0.86,0.64,-0.86,INF,-1,1,7,0
1220,1,1,6.616,-8.941,0.62,-0.84,0.62,-0.84,INF,-1,1,7,0
1240,1,1,6.337,-8.915,0.59,-0.83,0.59,-0.83,INF,-1,1,7,0
1260,1,1,6.278,-9.596,0.59,-0.90,0.59,-0.90,INF,-1,1,7,0
1280,1,1,5.729,-8.802,0.54,-0.82,0.54,-0.82,INF,-1,1,7,0
1300,1,1,6.144,-8.814,0.57,-0.82,0.57,-0.82,INF,-1,1,7,0
1320,1,1,5.685,-9.751,0.53,-0.91,0.53,-0.91,INF,-1,1,7,0
1340,1,1,5.750,-9.775,0.54,-0.91,0.54,-0.91,INF,-1,1,7,0
1360,1,1,6.102,-9.432,0.57,-0.88,0.57,-0.88,INF,-1,1,7,0
