"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.20706
CalibrationParameters_A12,0.06422
CalibrationParameters_A13,0.00326
CalibrationParameters_A21,0.09138
CalibrationParameters_A22,-1.20028
CalibrationParameters_A23,0.00112
CalibrationParameters_A31,-0.00100
CalibrationParameters_A32,-0.00053
CalibrationParameters_E11,-0.18016
CalibrationParameters_E12,-0.00006
CalibrationParameters_E21,0.00010
CalibrationParameters_E22,0.20001
CalibrationParameters_X,-55.65828
CalibrationParameters_Y,-33.05305
CalibrationParameters_Rpc,75.49417
CalibrationParameters_MeanX,153.02750
CalibrationParameters_MeanY,143.89528
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-7.495,31.105,-0.70,2.90,-0.70,2.90,INF,-1,0,7,0
20,1,1,-7.756,31.352,-0.72,2.93,-0.72,2.93,INF,-1,0,7,0
40,1,1,-8.990,32.999,-0.84,3.08,-0.84,3.08,INF,-1,0,7,0
60,1,1,-8.584,31.876,-0.80,2.98,-0.80,2.98,INF,-1,0,7,0
80,1,1,-9.294,32.871,-0.87,3.07,-0.87,3.07,INF,-1,0,7,0
100,1,1,-9.407,31.388,-0.88,2.93,-0.88,2.93,INF,-1,0,7,0
120,1,1,-9.082,31.302,-0.85,2.92,-0.85,2.92,INF,-1,0,7,0
140,1,1,-10.015,31.229,-0.94,2.92,-0.93,2.92,INF,-1,0,7,0
160,1,1,-8.693,31.739,-0.81,2.96,-0.81,2.96,INF,-1,0,7,0
180,1,1,-9.575,31.772,-0.89,2.97,-0.89,2.97,INF,-1,0,7,0
200,1,1,-9.146,30.764,-0.85,2.87,-0.85,2.87,INF,-1,0,7,0
220,1,1,-5.825,29.948,-0.54,2.80,-0.54,2.80,INF,-1,0,7,0
240,1,1,4.686,5.407,0.44,0.51,0.44,0.51,INF,-1,0,7,0
260,1,1,5.089,5.355,0.48,0.50,0.48,0.50,INF,-1,0,7,0
280,1,1,3.571,4.360,0.33,0.41,0.33,0.41,INF,-1,0,7,0
300,1,1,4.564,3.919,0.43,0.37,0.43,0.37,INF,-1,0,7,0
320,1,1,4.903,3.205,0.46,0.30,0.46,0.30,INF,-1,0,7,0
340,1,1,4.620,3.558,0.43,0.33,0.43,0.33,INF,-1,0,7,0
360,1,1,2.736,2.758,0.26,0.26,0.26,0.26,INF,-1,0,7,0
380,1,1,3.792,3.041,0.35,0.28,0.35,0.28,INF,-1,0,7,0
400,1,1,1.874,2.871,0.18,0.27,0.18,0.27,INF,-1,0,7,0
420,1,1,4.690,3.211,0.44,0.30,0.44,0.30,INF,-1,0,7,0
440,1,1,2.560,3.720,0.24,0.35,0.24,0.35,INF,-1,1,7,0
460,1,1,-7.835,5.264,-0.73,0.49,-0.73,0.49,INF,-1,1,7,0
480,1,1,-7.318,4.491,-0.68,0.42,-0.68,0.42,INF,-1,1,7,0
500,1,1,-7.668,3.882,-0.72,0.36,-0.72,0.36,INF,-1,0,7,0
520,1,1,-7.435,2.673,-0.69,0.25,-0.69,0.25,INF,-1,0,7,0
540,1,1,-8.226,4.206,-0.77,0.39,-0.77,0.39,INF,-1,0,7,0
560,1,1,-8.176,4.211,-0.76,0.39,-0.76,0.39,INF,-1,0,7,0
580,1,1,-8.257,5.802,-0.77,0.54,-0.77,0.54,INF,-1,0,7,0
600,1,1,-6.131,3.341,-0.57,0.31,-0.57,0.31,INF,-1,0,7,0
620,1,1,-7.285,3.510,-0.68,0.33,-0.68,0.33,INF,-1,0,7,0
640,1,1,-9.035,4.404,-0.84,0.41,-0.84,0.41,INF,-1,0,7,0
660,1,1,-7.351,3.890,-0.69,0.36,-0.69,0.36,INF,-1,0,7,0
680,1,1,-6.908,4.554,-0.65,0.43,-0.65,0.43,INF,-1,0,7,0
700,1,1,-7.076,2.628,-0.66,0.25,-0.66,0.25,INF,-1,0,7,0
720,1,1,-8.885,3.580,-0.83,0.33,-0.83,0.33,INF,-1,0,7,0
740,1,1,13.410,10.768,1.25,1.01,1.25,1.01,INF,-1,1,7,0
760,1,1,13.095,11.044,1.22,1.03,1.22,1.03,INF,-1,1,7,0
780,1,1,13.395,11.458,1.25,1.07,1.25,1.07,INF,-1,0,7,0
800,1,1,13.908,11.516,1.30,1.08,1.30,1.08,INF,-1,0,7,0
820,1,1,12.735,12.291,1.19,1.15,1.19,1.15,INF,-1,0,7,0
840,1,1,12.161,11.344,1.14,1.06,1.14,1.06,INF,-1,0,7,0
860,1,1,13.918,10.927,1.30,1.02,1.30,1.02,INF,-1,0,7,0
880,1,1,13.312,11.293,1.24,1.06,1.24,1.06,INF,-1,0,7,0
900,1,1,13.967,12.039,1.31,1.12,1.31,1.13,INF,-1,0,7,0
920,1,1,13.401,12.751,1.25,1.19,1.25,1.19,INF,-1,0,7,0
940,1,1,-5.240,6.028,-0.49,0.56,-0.49,0.56,INF,-1,0,7,0
