"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.19033
CalibrationParameters_A12,0.05798
CalibrationParameters_A13,-0.00219
CalibrationParameters_A21,0.12420
CalibrationParameters_A22,-1.15365
CalibrationParameters_A23,0.00573
CalibrationParameters_A31,-0.00056
CalibrationParameters_A32,0.00008
CalibrationParameters_E11,-0.18002
CalibrationParameters_E12,-0.00003
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.19997
CalibrationParameters_X,-50.31867
CalibrationParameters_Y,-29.60946
CalibrationParameters_Rpc,73.79690
CalibrationParameters_MeanX,148.43411
CalibrationParameters_MeanY,166.40715
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,1.039,7.290,0.10,0.68,0.10,0.68,INF,-1,0,7,0
20,1,1,-17.172,5.853,-1.60,0.55,-1.60,0.55,INF,-1,0,7,0
40,1,1,-18.553,8.176,-1.73,0.76,-1.73,0.76,INF,-1,0,7,0
60,1,1,-15.601,7.015,-1.46,0.66,-1.46,0.66,INF,-1,0,7,0
80,1,1,-15.211,8.961,-1.42,0.84,-1.42,0.84,INF,-1,0,7,0
100,1,1,-16.380,7.804,-1.53,0.73,-1.53,0.73,INF,-1,0,7,0
120,1,1,-14.773,5.247,-1.38,0.49,-1.38,0.49,INF,-1,0,7,0
140,1,1,-17.123,6.386,-1.60,0.60,-1.60,0.60,INF,-1,0,7,0
160,1,1,-16.657,6.818,-1.56,0.64,-1.56,0.64,INF,-1,0,7,0
180,1,1,-18.055,4.538,-1.69,0.42,-1.69,0.42,INF,-1,0,7,0
200,1,1,-17.294,5.777,-1.62,0.54,-1.62,0.54,INF,-1,0,7,0
220,1,1,-16.808,7.816,-1.57,0.73,-1.57,0.73,INF,-1,0,7,0
240,1,1,-16.895,6.556,-1.58,0.61,-1.58,0.61,INF,-1,0,7,0
260,1,1,-15.412,6.603,-1.44,0.62,-1.44,0.62,INF,-1,0,7,0
280,1,1,-18.273,7.198,-1.71,0.67,-1.71,0.67,INF,-1,0,7,0
300,1,1,-13.431,-1.670,-1.26,-0.16,-1.26,-0.16,INF,-1,1,7,0
320,1,1,-14.971,0.199,-1.40,0.02,-1.40,0.02,INF,-1,1,7,0
340,1,1,-20.001,1.453,-1.87,0.14,-1.87,0.14,INF,-1,1,7,0
360,1,1,-18.498,-1.290,-1.73,-0.12,-1.73,-0.12,INF,-1,1,7,0
380,1,1,-17.405,-1.292,-1.63,-0.12,-1.63,-0.12,INF,-1,1,7,0
400,1,1,-32.096,-3.509,-3.00,-0.33,-3.00,-0.33,INF,-1,1,7,0
420,1,1,-36.939,-2.896,-3.45,-0.27,-3.45,-0.27,INF,-1,1,7,0
440,1,1,-34.040,-2.717,-3.18,-0.25,-3.18,-0.25,INF,-1,0,7,0
460,1,1,-37.744,-3.465,-3.52,-0.32,-3.52,-0.32,INF,-1,0,7,0
480,1,1,-37.826,-3.228,-3.53,-0.30,-3.53,-0.30,INF,-1,0,7,0
500,1,1,-34.910,-3.062,-3.26,-0.29,-3.26,-0.29,INF,-1,0,7,0
520,1,1,-36.459,-4.425,-3.40,-0.41,-3.40,-0.41,INF,-1,0,7,0
540,1,1,-37.961,-5.816,-3.54,-0.54,-3.54,-0.54,INF,-1,0,7,0
560,1,1,-36.391,-3.108,-3.40,-0.29,-3.40,-0.29,INF,-1,0,7,0
580,1,1,-36.899,-2.167,-3.44,-0.20,-3.44,-0.20,INF,-1,0,7,0
600,1,1,-37.696,-1.782,-3.52,-0.17,-3.52,-0.17,INF,-1,0,7,0
620,1,1,-35.072,-2.259,-3.27,-0.21,-3.27,-0.21,INF,-1,0,7,0
640,1,1,-37.771,-3.516,-3.53,-0.33,-3.53,-0.33,INF,-1,0,7,0
660,1,1,-35.005,-3.284,-3.27,-0.31,-3.27,-0.31,INF,-1,0,7,0
680,1,1,-35.048,-2.960,-3.27,-0.28,-3.27,-0.28,INF,-1,1,7,0
700,1,1,-33.961,-2.544,-3.17,-0.24,-3.17,-0.24,INF,-1,1,7,0
