"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.20706
CalibrationParameters_A12,0.06422
CalibrationParameters_A13,0.00326
CalibrationParameters_A21,0.09138
CalibrationParameters_A22,-1.20028
CalibrationParameters_A23,0.00112
CalibrationParameters_A31,-0.00100
CalibrationParameters_A32,-0.00053
CalibrationParameters_E11,-0.18016
CalibrationParameters_E12,-0.00006
CalibrationParameters_E21,0.00010
CalibrationParameters_E22,0.20001
CalibrationParameters_X,-55.65828
CalibrationParameters_Y,-33.05305
CalibrationParameters_Rpc,75.49417
CalibrationParameters_MeanX,153.02750
CalibrationParameters_MeanY,143.89528
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-31.016,30.937,-2.90,2.89,-2.89,2.89,INF,-1,0,7,0
20,1,1,-29.942,31.022,-2.80,2.89,-2.79,2.90,INF,-1,0,7,0
40,1,1,-30.316,31.173,-2.83,2.91,-2.83,2.91,INF,-1,0,7,0
60,1,1,-31.930,31.193,-2.98,2.91,-2.98,2.91,INF,-1,0,7,0
80,1,1,-31.816,31.533,-2.97,2.94,-2.97,2.94,INF,-1,0,7,0
100,1,1,-32.136,31.453,-3.00,2.93,-3.00,2.94,INF,-1,0,7,0
120,1,1,-32.357,30.887,-3.02,2.88,-3.02,2.88,INF,-1,0,7,0
140,1,1,-31.232,30.983,-2.92,2.89,-2.91,2.89,INF,-1,0,7,0
160,1,1,-31.466,28.991,-2.94,2.70,-2.94,2.71,INF,-1,0,7,0
180,1,1,-1.907,13.726,-0.18,1.28,-0.18,1.28,INF,-1,0,7,0
200,1,1,-5.089,11.219,-0.48,1.05,-0.48,1.05,INF,-1,0,7,0
220,1,1,-3.187,11.854,-0.30,1.11,-0.30,1.11,INF,-1,0,7,0
240,1,1,-2.775,12.281,-0.26,1.15,-0.26,1.15,INF,-1,0,7,0
260,1,1,-4.422,11.094,-0.41,1.04,-0.41,1.04,INF,-1,0,7,0
280,1,1,-5.460,10.794,-0.51,1.01,-0.51,1.01,INF,-1,0,7,0
300,1,1,-5.339,13.121,-0.50,1.23,-0.50,1.23,INF,-1,0,7,0
320,1,1,-3.863,12.933,-0.36,1.21,-0.36,1.21,INF,-1,0,7,0
340,1,1,-3.468,11.722,-0.32,1.10,-0.32,1.10,INF,-1,0,7,0
360,1,1,-3.369,11.027,-0.31,1.03,-0.31,1.03,INF,-1,0,7,0
380,1,1,-3.297,11.745,-0.31,1.10,-0.31,1.10,INF,-1,0,7,0
400,1,1,-13.075,-5.467,-1.22,-0.51,-1.22,-0.51,INF,-1,0,7,0
420,1,1,-11.049,-6.742,-1.03,-0.63,-1.03,-0.63,INF,-1,0,7,0
440,1,1,-11.233,-7.670,-1.05,-0.72,-1.05,-0.72,INF,-1,0,7,0
460,1,1,-10.559,-8.404,-0.99,-0.79,-0.99,-0.79,INF,-1,0,7,0
480,1,1,-10.945,-8.297,-1.02,-0.78,-1.02,-0.78,INF,-1,0,7,0
500,1,1,-11.281,-8.484,-1.05,-0.79,-1.05,-0.79,INF,-1,0,7,0
520,1,1,-13.138,-7.648,-1.23,-0.71,-1.23,-0.71,INF,-1,0,7,0
540,1,1,-12.251,-8.051,-1.14,-0.75,-1.14,-0.75,INF,-1,0,7,0
560,1,1,-12.494,-7.384,-1.17,-0.69,-1.17,-0.69,INF,-1,1,7,0
580,1,1,-11.774,-8.634,-1.10,-0.81,-1.10,-0.81,INF,-1,1,7,0
600,1,1,-11.585,-7.204,-1.08,-0.67,-1.08,-0.67,INF,-1,1,7,0
620,1,1,-13.094,-7.083,-1.22,-0.66,-1.22,-0.66,INF,-1,1,7,0
640,1,1,-11.174,-7.012,-1.04,-0.66,-1.04,-0.66,INF,-1,1,7,0
660,1,1,-11.689,-6.722,-1.09,-0.63,-1.09,-0.63,INF,-1,1,7,0
680,1,1,-11.942,-7.396,-1.12,-0.69,-1.12,-0.69,INF,-1,1,7,0
700,1,1,-10.984,-7.192,-1.03,-0.67,-1.03,-0.67,INF,-1,1,7,0
720,1,1,-11.518,-7.407,-1.08,-0.69,-1.08,-0.69,INF,-1,1,7,0
740,1,1,-10.989,-6.617,-1.03,-0.62,-1.03,-0.62,INF,-1,1,7,0
760,1,1,-9.534,-10.170,-0.89,-0.95,-0.89,-0.95,INF,-1,1,7,0
780,1,1,-10.493,-18.009,-0.98,-1.68,-0.98,-1.68,INF,-1,1,7,0
800,1,1,-10.833,-18.356,-1.01,-1.71,-1.01,-1.72,INF,-1,0,7,0
820,1,1,-10.251,-17.478,-0.96,-1.63,-0.96,-1.63,INF,-1,0,7,0
