"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.16482
CalibrationParameters_A12,0.07738
CalibrationParameters_A13,0.03935
CalibrationParameters_A21,0.07885
CalibrationParameters_A22,-1.19465
CalibrationParameters_A23,-0.02309
CalibrationParameters_A31,-0.00054
CalibrationParameters_A32,-0.00061
CalibrationParameters_E11,-0.17989
CalibrationParameters_E12,0.00010
CalibrationParameters_E21,-0.00013
CalibrationParameters_E22,0.20004
CalibrationParameters_X,-52.18893
CalibrationParameters_Y,-27.57133
CalibrationParameters_Rpc,73.58327
CalibrationParameters_MeanX,151.25162
CalibrationParameters_MeanY,173.28229
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-86.616,18.473,-8.04,1.71,-8.04,1.73,INF,-1,0,7,0
20,1,1,-85.700,18.242,-7.96,1.69,-7.96,1.70,INF,-1,0,7,0
40,1,1,-85.468,18.517,-7.94,1.71,-7.93,1.73,INF,-1,0,7,0
60,1,1,-85.127,17.441,-7.91,1.61,-7.90,1.63,INF,-1,0,7,0
80,1,1,-91.339,17.663,-8.47,1.63,-8.47,1.65,INF,-1,0,7,0
100,1,1,-38.111,15.578,-3.56,1.45,-3.56,1.46,INF,-1,0,7,0
120,1,1,-31.694,15.616,-2.96,1.46,-2.96,1.46,INF,-1,0,7,0
140,1,1,-32.151,14.965,-3.00,1.40,-3.00,1.40,INF,-1,0,7,0
160,1,1,-34.702,15.361,-3.24,1.43,-3.24,1.44,INF,-1,0,7,0
180,1,1,10.673,6.554,1.00,0.61,1.00,0.61,INF,-1,0,7,0
200,1,1,-4.138,3.913,-0.39,0.37,-0.39,0.37,INF,-1,0,7,0
220,1,1,-0.344,3.737,-0.03,0.35,-0.03,0.35,INF,-1,0,7,0
240,1,1,1.069,3.941,0.10,0.37,0.10,0.37,INF,-1,0,7,0
260,1,1,1.347,2.843,0.13,0.27,0.13,0.27,INF,-1,0,7,0
280,1,1,0.559,3.234,0.05,0.30,0.05,0.30,INF,-1,0,7,0
300,1,1,-0.299,3.853,-0.03,0.36,-0.03,0.36,INF,-1,0,7,0
320,1,1,1.769,3.730,0.17,0.35,0.17,0.35,INF,-1,0,7,0
340,1,1,1.229,2.890,0.11,0.27,0.11,0.27,INF,-1,0,7,0
360,1,1,0.450,3.314,0.04,0.31,0.04,0.31,INF,-1,0,7,0
380,1,1,0.932,2.688,0.09,0.25,0.09,0.25,INF,-1,1,7,0
400,1,1,2.034,3.946,0.19,0.37,0.19,0.37,INF,-1,1,7,0
420,1,1,2.496,4.111,0.23,0.38,0.23,0.38,INF,-1,0,7,0
440,1,1,1.684,3.761,0.16,0.35,0.16,0.35,INF,-1,0,7,0
460,1,1,1.236,3.698,0.12,0.35,0.12,0.35,INF,-1,0,7,0
480,1,1,1.012,3.414,0.09,0.32,0.09,0.32,INF,-1,0,7,0
500,1,1,-0.217,3.894,-0.02,0.36,-0.02,0.36,INF,-1,0,7,0
520,1,1,0.885,3.644,0.08,0.34,0.08,0.34,INF,-1,0,7,0
