"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.19033
CalibrationParameters_A12,0.05798
CalibrationParameters_A13,-0.00219
CalibrationParameters_A21,0.12420
CalibrationParameters_A22,-1.15365
CalibrationParameters_A23,0.00573
CalibrationParameters_A31,-0.00056
CalibrationParameters_A32,0.00008
CalibrationParameters_E11,-0.18002
CalibrationParameters_E12,-0.00003
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.19997
CalibrationParameters_X,-50.31867
CalibrationParameters_Y,-29.60946
CalibrationParameters_Rpc,73.79690
CalibrationParameters_MeanX,148.43411
CalibrationParameters_MeanY,166.40715
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-10.598,7.634,-0.99,0.71,-0.99,0.71,INF,-1,0,7,0
20,1,1,-4.730,7.852,-0.44,0.73,-0.44,0.73,INF,-1,0,7,0
40,1,1,-6.398,4.675,-0.60,0.44,-0.60,0.44,INF,-1,0,7,0
60,1,1,-5.209,7.174,-0.49,0.67,-0.49,0.67,INF,-1,0,7,0
80,1,1,-8.056,7.488,-0.75,0.70,-0.75,0.70,INF,-1,0,7,0
100,1,1,-6.896,5.804,-0.64,0.54,-0.64,0.54,INF,-1,0,7,0
120,1,1,-6.977,3.850,-0.65,0.36,-0.65,0.36,INF,-1,0,7,0
140,1,1,-6.312,5.345,-0.59,0.50,-0.59,0.50,INF,-1,0,7,0
160,1,1,-7.267,4.637,-0.68,0.43,-0.68,0.43,INF,-1,0,7,0
180,1,1,-10.128,6.707,-0.95,0.63,-0.95,0.63,INF,-1,0,7,0
200,1,1,-7.424,5.546,-0.69,0.52,-0.69,0.52,INF,-1,0,7,0
220,1,1,-8.382,5.001,-0.78,0.47,-0.78,0.47,INF,-1,0,7,0
240,1,1,-5.495,4.058,-0.51,0.38,-0.51,0.38,INF,-1,0,7,0
260,1,1,-6.759,3.198,-0.63,0.30,-0.63,0.30,INF,-1,0,7,0
280,1,1,-7.117,4.127,-0.67,0.39,-0.67,0.39,INF,-1,1,7,0
300,1,1,-8.758,5.602,-0.82,0.52,-0.82,0.52,INF,-1,1,7,0
