"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.20187
CalibrationParameters_A12,0.06550
CalibrationParameters_A13,-0.00753
CalibrationParameters_A21,0.06290
CalibrationParameters_A22,-1.23153
CalibrationParameters_A23,-0.00940
CalibrationParameters_A31,-0.00086
CalibrationParameters_A32,-0.00191
CalibrationParameters_E11,-0.18005
CalibrationParameters_E12,0.00000
CalibrationParameters_E21,0.00008
CalibrationParameters_E22,0.19979
CalibrationParameters_X,-54.24105
CalibrationParameters_Y,-38.48890
CalibrationParameters_Rpc,77.26272
CalibrationParameters_MeanX,165.34187
CalibrationParameters_MeanY,115.95067
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-20.089,9.404,-1.88,0.88,-1.88,0.88,INF,-1,0,7,0
20,1,1,-18.519,9.074,-1.73,0.85,-1.73,0.85,INF,-1,0,7,0
40,1,1,-15.371,9.230,-1.44,0.86,-1.44,0.86,INF,-1,0,7,0
60,1,1,-17.273,8.160,-1.61,0.76,-1.61,0.76,INF,-1,0,7,0
80,1,1,-14.925,3.277,-1.39,0.31,-1.39,0.31,INF,-1,0,7,0
100,1,1,-7.790,0.501,-0.73,0.05,-0.73,0.05,INF,-1,0,7,0
120,1,1,-9.757,1.212,-0.91,0.11,-0.91,0.11,INF,-1,0,7,0
140,1,1,-6.590,2.404,-0.62,0.22,-0.62,0.22,INF,-1,0,7,0
160,1,1,-7.987,4.028,-0.75,0.38,-0.75,0.38,INF,-1,0,7,0
180,1,1,-6.829,1.855,-0.64,0.17,-0.64,0.17,INF,-1,0,7,0
200,1,1,-7.514,1.734,-0.70,0.16,-0.70,0.16,INF,-1,0,7,0
220,1,1,-7.233,2.438,-0.68,0.23,-0.68,0.23,INF,-1,0,7,0
240,1,1,-6.647,1.098,-0.62,0.10,-0.62,0.10,INF,-1,0,7,0
260,1,1,-6.291,1.782,-0.59,0.17,-0.59,0.17,INF,-1,0,7,0
280,1,1,20.977,6.416,1.96,0.60,1.96,0.60,INF,-1,0,7,0
