"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.15730
CalibrationParameters_A12,0.05743
CalibrationParameters_A13,-0.01452
CalibrationParameters_A21,0.10942
CalibrationParameters_A22,-1.19483
CalibrationParameters_A23,0.02994
CalibrationParameters_A31,-0.00041
CalibrationParameters_A32,-0.00022
CalibrationParameters_E11,-0.17983
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00007
CalibrationParameters_E22,0.20003
CalibrationParameters_X,-49.84558
CalibrationParameters_Y,-29.95982
CalibrationParameters_Rpc,74.26255
CalibrationParameters_MeanX,140.24392
CalibrationParameters_MeanY,158.03353
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-39.259,7.014,-3.66,0.65,-3.66,0.66,INF,-1,0,7,0
40,1,1,-40.066,8.877,-3.74,0.83,-3.74,0.83,INF,-1,0,7,0
60,1,1,-38.934,4.521,-3.63,0.42,-3.63,0.42,INF,-1,0,7,0
80,1,1,-32.228,0.902,-3.01,0.08,-3.01,0.08,INF,-1,0,7,0
100,1,1,-7.978,3.964,-0.75,0.37,-0.75,0.37,INF,-1,0,7,0
120,1,1,-13.323,3.482,-1.25,0.33,-1.25,0.33,INF,-1,0,7,0
140,1,1,-8.543,2.557,-0.80,0.24,-0.80,0.24,INF,-1,0,7,0
160,1,1,-10.212,2.554,-0.95,0.24,-0.95,0.24,INF,-1,0,7,0
180,1,1,-9.913,5.507,-0.93,0.51,-0.93,0.51,INF,-1,0,7,0
200,1,1,-10.411,1.088,-0.97,0.10,-0.97,0.10,INF,-1,0,7,0
220,1,1,-13.843,5.171,-1.29,0.48,-1.29,0.48,INF,-1,0,7,0
240,1,1,-13.466,4.979,-1.26,0.47,-1.26,0.47,INF,-1,0,7,0
260,1,1,-12.061,2.555,-1.13,0.24,-1.13,0.24,INF,-1,0,7,0
280,1,1,-13.761,2.195,-1.29,0.21,-1.29,0.21,INF,-1,0,7,0
300,1,1,-14.844,5.872,-1.39,0.55,-1.39,0.55,INF,-1,0,7,0
320,1,1,-12.931,2.078,-1.21,0.19,-1.21,0.19,INF,-1,0,7,0
340,1,1,16.992,8.693,1.59,0.81,1.59,0.81,INF,-1,0,7,0
360,1,1,13.446,8.792,1.26,0.82,1.26,0.82,INF,-1,0,7,0
380,1,1,21.355,8.132,2.00,0.76,2.00,0.76,INF,-1,0,7,0
400,1,1,17.151,6.881,1.60,0.64,1.60,0.64,INF,-1,0,7,0
420,1,1,13.081,9.548,1.22,0.89,1.22,0.89,INF,-1,0,7,0
440,1,1,12.643,9.109,1.18,0.85,1.18,0.85,INF,-1,0,7,0
460,1,1,15.818,8.896,1.48,0.83,1.48,0.83,INF,-1,0,7,0
480,1,1,13.122,9.380,1.23,0.88,1.23,0.88,INF,-1,0,7,0
500,1,1,16.246,10.114,1.52,0.94,1.52,0.95,INF,-1,1,7,0
520,1,1,17.723,8.665,1.66,0.81,1.66,0.81,INF,-1,1,7,0
540,1,1,17.031,7.951,1.59,0.74,1.59,0.74,INF,-1,0,7,0
560,1,1,18.221,8.783,1.70,0.82,1.70,0.82,INF,-1,0,7,0
580,1,1,15.219,10.489,1.42,0.98,1.42,0.98,INF,-1,0,7,0
600,1,1,15.490,7.850,1.45,0.73,1.45,0.73,INF,-1,0,7,0
620,1,1,18.204,8.032,1.70,0.75,1.70,0.75,INF,-1,0,7,0
640,1,1,16.185,7.994,1.51,0.75,1.51,0.75,INF,-1,0,7,0
660,1,1,-9.701,5.159,-0.91,0.48,-0.91,0.48,INF,-1,0,7,0
680,1,1,-20.991,7.609,-1.96,0.71,-1.96,0.71,INF,-1,0,7,0
700,1,1,-25.406,5.827,-2.37,0.54,-2.37,0.54,INF,-1,0,7,0
720,1,1,-24.269,7.724,-2.27,0.72,-2.27,0.72,INF,-1,0,7,0
740,1,1,-24.727,8.546,-2.31,0.80,-2.31,0.80,INF,-1,0,7,0
760,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
780,1,1,-26.238,12.167,-2.45,1.14,-2.45,1.14,INF,-1,0,7,0
800,1,1,-25.989,7.662,-2.43,0.72,-2.43,0.72,INF,-1,0,7,0
820,1,1,-28.100,9.737,-2.62,0.91,-2.62,0.91,INF,-1,0,7,0
840,1,1,-24.631,10.981,-2.30,1.03,-2.30,1.03,INF,-1,0,7,0
860,1,1,-22.154,3.992,-2.07,0.37,-2.07,0.37,INF,-1,0,7,0
880,1,1,-22.126,8.093,-2.07,0.76,-2.07,0.76,INF,-1,0,7,0
900,1,1,-24.440,7.037,-2.28,0.66,-2.28,0.66,INF,-1,0,7,0
920,1,1,-26.162,9.223,-2.44,0.86,-2.44,0.86,INF,-1,0,7,0
940,1,1,-20.021,4.124,-1.87,0.39,-1.87,0.39,INF,-1,1,7,0
960,1,1,-24.520,9.328,-2.29,0.87,-2.29,0.87,INF,-1,1,7,0
