"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.02254
CalibrationParameters_A12,0.03355
CalibrationParameters_A13,-0.03724
CalibrationParameters_A21,0.05982
CalibrationParameters_A22,-1.07153
CalibrationParameters_A23,-0.03733
CalibrationParameters_A31,-0.00032
CalibrationParameters_A32,0.00023
CalibrationParameters_E11,-0.17995
CalibrationParameters_E12,-0.00005
CalibrationParameters_E21,-0.00013
CalibrationParameters_E22,0.19986
CalibrationParameters_X,-22.49973
CalibrationParameters_Y,-16.04438
CalibrationParameters_Rpc,83.06334
CalibrationParameters_MeanX,153.93410
CalibrationParameters_MeanY,109.39884
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-3.223,5.545,-0.30,0.52,-0.30,0.52,INF,-1,0,7,0
20,1,1,-3.780,9.909,-0.35,0.93,-0.35,0.93,INF,-1,0,7,0
40,1,1,-2.380,5.753,-0.22,0.54,-0.22,0.54,INF,-1,0,7,0
60,1,1,-1.463,6.366,-0.14,0.59,-0.14,0.59,INF,-1,0,7,0
80,1,1,-2.944,6.681,-0.28,0.62,-0.28,0.62,INF,-1,0,7,0
100,1,1,-1.879,6.155,-0.18,0.58,-0.18,0.58,INF,-1,0,7,0
120,1,1,-1.333,3.061,-0.12,0.29,-0.12,0.29,INF,-1,0,7,0
140,1,1,-1.351,7.208,-0.13,0.67,-0.13,0.67,INF,-1,0,7,0
160,1,1,-0.244,4.361,-0.02,0.41,-0.02,0.41,INF,-1,0,7,0
180,1,1,-1.759,4.962,-0.16,0.46,-0.16,0.46,INF,-1,0,7,0
200,1,1,0.758,6.691,0.07,0.63,0.07,0.63,INF,-1,0,7,0
220,1,1,-1.326,5.141,-0.12,0.48,-0.12,0.48,INF,-1,0,7,0
240,1,1,-0.383,3.409,-0.04,0.32,-0.04,0.32,INF,-1,0,7,0
260,1,1,-1.900,2.942,-0.18,0.27,-0.18,0.27,INF,-1,0,7,0
280,1,1,-1.711,2.607,-0.16,0.24,-0.16,0.24,INF,-1,1,7,0
300,1,1,-3.851,4.182,-0.36,0.39,-0.36,0.39,INF,-1,1,7,0
320,1,1,-2.906,-0.899,-0.27,-0.08,-0.27,-0.08,INF,-1,1,7,0
340,1,1,3.811,-19.347,0.36,-1.81,0.36,-1.81,INF,-1,1,7,0
360,1,1,2.676,-16.701,0.25,-1.56,0.25,-1.56,INF,-1,1,7,0
380,1,1,1.685,-14.625,0.16,-1.37,0.16,-1.37,INF,-1,0,7,0
400,1,1,5.884,-14.961,0.55,-1.40,0.55,-1.40,INF,-1,0,7,0
420,1,1,3.439,-18.617,0.32,-1.74,0.32,-1.74,INF,-1,0,7,0
440,1,1,5.143,-16.369,0.48,-1.53,0.48,-1.53,INF,-1,0,7,0
460,1,1,4.129,-15.704,0.39,-1.47,0.39,-1.47,INF,-1,0,7,0
480,1,1,5.159,-15.706,0.48,-1.47,0.48,-1.47,INF,-1,0,7,0
500,1,1,4.607,-16.548,0.43,-1.55,0.43,-1.55,INF,-1,0,7,0
520,1,1,5.819,-17.939,0.54,-1.68,0.54,-1.68,INF,-1,0,7,0
540,1,1,6.599,-16.016,0.62,-1.50,0.62,-1.50,INF,-1,0,7,0
560,1,1,5.574,-16.657,0.52,-1.56,0.52,-1.56,INF,-1,0,7,0
580,1,1,6.065,-16.192,0.57,-1.51,0.57,-1.51,INF,-1,0,7,0
600,1,1,3.701,-17.702,0.35,-1.65,0.35,-1.65,INF,-1,0,7,0
620,1,1,5.187,-17.635,0.48,-1.65,0.48,-1.65,INF,-1,1,7,0
640,1,1,5.302,-19.651,0.50,-1.84,0.50,-1.84,INF,-1,1,7,0
660,1,1,6.130,-18.521,0.57,-1.73,0.57,-1.73,INF,-1,1,7,0
680,1,1,6.856,-16.944,0.64,-1.58,0.64,-1.58,INF,-1,1,7,0
700,1,1,2.682,-17.625,0.25,-1.65,0.25,-1.65,INF,-1,1,7,0
720,1,1,3.673,-17.299,0.34,-1.62,0.34,-1.62,INF,-1,1,7,0
740,1,1,5.432,-18.629,0.51,-1.74,0.51,-1.74,INF,-1,1,7,0
760,1,1,4.143,-18.024,0.39,-1.68,0.39,-1.68,INF,-1,1,7,0
780,1,1,4.401,-16.513,0.41,-1.54,0.41,-1.54,INF,-1,1,7,0
800,1,1,3.984,-18.619,0.37,-1.74,0.37,-1.74,INF,-1,1,7,0
820,1,1,3.573,-17.857,0.33,-1.67,0.33,-1.67,INF,-1,1,7,0
840,1,1,6.161,-24.314,0.58,-2.27,0.58,-2.27,INF,-1,1,7,0
860,1,1,14.200,-33.390,1.33,-3.12,1.33,-3.12,INF,-1,1,7,0
880,1,1,13.197,-31.895,1.23,-2.98,1.23,-2.98,INF,-1,1,7,0
900,1,1,14.460,-31.936,1.35,-2.98,1.35,-2.98,INF,-1,0,7,0
920,1,1,15.665,-32.825,1.46,-3.06,1.46,-3.07,INF,-1,0,7,0
940,1,1,15.860,-34.666,1.48,-3.24,1.48,-3.24,INF,-1,0,7,0
960,1,1,15.863,-32.773,1.48,-3.06,1.48,-3.06,INF,-1,0,7,0
980,1,1,18.278,-33.908,1.71,-3.16,1.71,-3.17,INF,-1,0,7,0
1000,1,1,13.313,-31.244,1.24,-2.92,1.24,-2.92,INF,-1,0,7,0
1020,1,1,14.974,-32.968,1.40,-3.08,1.40,-3.08,INF,-1,0,7,0
1040,1,1,15.084,-31.625,1.41,-2.95,1.41,-2.95,INF,-1,0,7,0
1060,1,1,17.073,-28.760,1.60,-2.69,1.59,-2.69,INF,-1,0,7,0
1080,1,1,18.107,-32.361,1.69,-3.02,1.69,-3.02,INF,-1,0,7,0
1100,1,1,15.651,-33.257,1.46,-3.10,1.46,-3.11,INF,-1,0,7,0
1120,1,1,15.253,-31.609,1.43,-2.95,1.42,-2.95,INF,-1,0,7,0
1140,1,1,13.301,-29.671,1.24,-2.77,1.24,-2.77,INF,-1,1,7,0
1160,1,1,13.738,-29.967,1.28,-2.80,1.28,-2.80,INF,-1,1,7,0
1180,1,1,16.813,-32.188,1.57,-3.00,1.57,-3.01,INF,-1,1,7,0
1200,1,1,14.691,-27.530,1.37,-2.57,1.37,-2.57,INF,-1,1,7,0
1220,1,1,-0.531,18.511,-0.05,1.73,-0.05,1.73,INF,-1,1,7,0
1240,1,1,0.534,24.647,0.05,2.30,0.05,2.30,INF,-1,1,7,0
1260,1,1,2.855,24.675,0.27,2.31,0.27,2.31,INF,-1,0,7,0
1280,1,1,2.123,21.409,0.20,2.00,0.20,2.00,INF,-1,0,7,0
1300,1,1,0.714,24.616,0.07,2.30,0.07,2.30,INF,-1,0,7,0
1320,1,1,1.864,26.005,0.17,2.43,0.17,2.43,INF,-1,0,7,0
1340,1,1,1.487,24.683,0.14,2.31,0.14,2.31,INF,-1,0,7,0
1360,1,1,-0.632,25.549,-0.06,2.39,-0.06,2.39,INF,-1,0,7,0
1380,1,1,1.320,24.369,0.12,2.28,0.12,2.28,INF,-1,0,7,0
1400,1,1,0.717,23.481,0.07,2.19,0.07,2.19,INF,-1,0,7,0
1420,1,1,-2.076,23.564,-0.19,2.20,-0.19,2.20,INF,-1,0,7,0
1440,1,1,2.076,24.510,0.19,2.29,0.19,2.29,INF,-1,0,7,0
1460,1,1,-1.113,24.277,-0.10,2.27,-0.10,2.27,INF,-1,0,7,0
1480,1,1,-1.592,21.907,-0.15,2.05,-0.15,2.05,INF,-1,0,7,0
1500,1,1,2.139,23.761,0.20,2.22,0.20,2.22,INF,-1,1,7,0
1520,1,1,-1.055,20.782,-0.10,1.94,-0.10,1.94,INF,-1,1,7,0
1540,1,1,1.515,23.733,0.14,2.22,0.14,2.22,INF,-1,1,7,0
1560,1,1,0.577,20.497,0.05,1.92,0.05,1.92,INF,-1,1,7,0
1580,1,1,1.096,23.473,0.10,2.19,0.10,2.19,INF,-1,1,7,0
1600,1,1,-1.889,34.267,-0.18,3.20,-0.18,3.20,INF,-1,1,7,0
1620,1,1,-0.767,31.472,-0.07,2.94,-0.07,2.94,INF,-1,1,7,0
1640,1,1,-1.285,31.338,-0.12,2.93,-0.12,2.93,INF,-1,1,7,0
1660,1,1,-1.421,33.713,-0.13,3.15,-0.13,3.15,INF,-1,1,7,0
1680,1,1,-1.060,33.964,-0.10,3.17,-0.10,3.17,INF,-1,1,7,0
1700,1,1,-3.392,32.968,-0.32,3.08,-0.32,3.08,INF,-1,0,7,0
1720,1,1,-2.019,31.944,-0.19,2.98,-0.19,2.98,INF,-1,0,7,0
1740,1,1,-1.113,30.815,-0.10,2.88,-0.10,2.88,INF,-1,0,7,0
1760,1,1,-2.204,33.443,-0.21,3.12,-0.21,3.12,INF,-1,0,7,0
1780,1,1,-2.728,33.348,-0.25,3.11,-0.25,3.11,INF,-1,0,7,0
1800,1,1,-2.724,31.809,-0.25,2.97,-0.25,2.97,INF,-1,0,7,0
1820,1,1,-1.503,32.756,-0.14,3.06,-0.14,3.06,INF,-1,0,7,0
1840,1,1,-2.269,31.974,-0.21,2.99,-0.21,2.99,INF,-1,0,7,0
1860,1,1,-7.100,33.037,-0.66,3.08,-0.66,3.08,INF,-1,0,7,0
1880,1,1,-1.191,32.689,-0.11,3.05,-0.11,3.05,INF,-1,0,7,0
1900,1,1,-1.588,32.058,-0.15,2.99,-0.15,2.99,INF,-1,0,7,0
1920,1,1,-3.197,33.680,-0.30,3.14,-0.30,3.14,INF,-1,0,7,0
1940,1,1,-2.070,31.830,-0.19,2.97,-0.19,2.97,INF,-1,1,7,0
1960,1,1,-2.615,31.506,-0.24,2.94,-0.24,2.94,INF,-1,1,7,0
1980,1,1,-2.767,33.184,-0.26,3.10,-0.26,3.10,INF,-1,1,7,0
2000,1,1,-6.029,31.703,-0.56,2.96,-0.56,2.96,INF,-1,1,7,0
2020,1,1,-7.064,31.168,-0.66,2.91,-0.66,2.91,INF,-1,1,7,0
2040,1,1,-8.589,31.532,-0.80,2.94,-0.80,2.94,INF,-1,1,7,0
2060,1,1,-8.394,29.290,-0.78,2.74,-0.78,2.74,INF,-1,1,7,0
2080,1,1,-8.506,32.094,-0.79,3.00,-0.79,3.00,INF,-1,1,7,0
2100,1,1,-6.509,31.048,-0.61,2.90,-0.61,2.90,INF,-1,1,7,0
2120,1,1,-8.734,32.628,-0.82,3.05,-0.82,3.05,INF,-1,1,7,0
2140,1,1,-8.075,28.647,-0.75,2.68,-0.75,2.68,INF,-1,1,7,0
2160,1,1,-7.620,31.057,-0.71,2.90,-0.71,2.90,INF,-1,1,7,0
2180,1,1,-7.768,30.823,-0.73,2.88,-0.73,2.88,INF,-1,1,7,0
2200,1,1,-9.585,29.795,-0.90,2.78,-0.89,2.78,INF,-1,1,7,0
2220,1,1,-8.873,29.430,-0.83,2.75,-0.83,2.75,INF,-1,1,7,0
