"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.03019
CalibrationParameters_A12,0.05582
CalibrationParameters_A13,0.01023
CalibrationParameters_A21,0.05570
CalibrationParameters_A22,-1.07482
CalibrationParameters_A23,-0.03082
CalibrationParameters_A31,0.00002
CalibrationParameters_A32,0.00017
CalibrationParameters_E11,-0.17984
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,-0.00005
CalibrationParameters_E22,0.20006
CalibrationParameters_X,-22.56645
CalibrationParameters_Y,-17.02341
CalibrationParameters_Rpc,83.35207
CalibrationParameters_MeanX,153.11764
CalibrationParameters_MeanY,114.18794
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-32.057,-4.705,-2.99,-0.44,-2.99,-0.44,INF,-1,0,7,0
40,1,1,-33.926,-4.183,-3.17,-0.39,-3.17,-0.39,INF,-1,0,7,0
60,1,1,-35.374,-3.332,-3.30,-0.31,-3.30,-0.31,INF,-1,0,7,0
80,1,1,-33.382,-4.998,-3.12,-0.47,-3.12,-0.47,INF,-1,0,7,0
100,1,1,-36.791,-6.063,-3.43,-0.57,-3.43,-0.57,INF,-1,0,7,0
120,1,1,-35.602,-2.273,-3.32,-0.21,-3.32,-0.21,INF,-1,0,7,0
140,1,1,-34.397,-4.917,-3.21,-0.46,-3.21,-0.46,INF,-1,0,7,0
160,1,1,-34.828,-6.806,-3.25,-0.64,-3.25,-0.64,INF,-1,0,7,0
180,1,1,-35.851,-5.276,-3.35,-0.49,-3.35,-0.49,INF,-1,0,7,0
200,1,1,-33.331,-1.772,-3.11,-0.17,-3.11,-0.17,INF,-1,0,7,0
220,1,1,0.491,-5.684,0.05,-0.53,0.05,-0.53,INF,-1,0,7,0
240,1,1,1.798,-6.633,0.17,-0.62,0.17,-0.62,INF,-1,0,7,0
260,1,1,3.116,-4.345,0.29,-0.41,0.29,-0.41,INF,-1,0,7,0
280,1,1,0.626,-5.122,0.06,-0.48,0.06,-0.48,INF,-1,0,7,0
300,1,1,4.295,-5.444,0.40,-0.51,0.40,-0.51,INF,-1,0,7,0
320,1,1,4.592,-3.522,0.43,-0.33,0.43,-0.33,INF,-1,0,7,0
340,1,1,2.157,-4.691,0.20,-0.44,0.20,-0.44,INF,-1,0,7,0
360,1,1,6.025,-3.081,0.56,-0.29,0.56,-0.29,INF,-1,0,7,0
380,1,1,2.741,-2.236,0.26,-0.21,0.26,-0.21,INF,-1,0,7,0
400,1,1,3.990,-3.965,0.37,-0.37,0.37,-0.37,INF,-1,0,7,0
420,1,1,4.323,-0.492,0.40,-0.05,0.40,-0.05,INF,-1,0,7,0
440,1,1,4.957,-4.925,0.46,-0.46,0.46,-0.46,INF,-1,0,7,0
460,1,1,5.492,-3.129,0.51,-0.29,0.51,-0.29,INF,-1,0,7,0
480,1,1,4.024,-4.334,0.38,-0.41,0.38,-0.41,INF,-1,0,7,0
500,1,1,3.732,-1.968,0.35,-0.18,0.35,-0.18,INF,-1,1,7,0
520,1,1,2.402,-2.852,0.22,-0.27,0.22,-0.27,INF,-1,1,7,0
540,1,1,8.579,-22.051,0.80,-2.06,0.80,-2.06,INF,-1,1,7,0
560,1,1,7.887,-27.345,0.74,-2.55,0.74,-2.55,INF,-1,1,7,0
580,1,1,6.687,-26.570,0.62,-2.48,0.62,-2.48,INF,-1,0,7,0
600,1,1,6.138,-21.966,0.57,-2.05,0.57,-2.05,INF,-1,0,7,0
620,1,1,10.020,-23.800,0.94,-2.22,0.94,-2.22,INF,-1,0,7,0
640,1,1,8.941,-23.166,0.84,-2.16,0.84,-2.16,INF,-1,0,7,0
660,1,1,9.260,-22.737,0.87,-2.12,0.86,-2.12,INF,-1,0,7,0
680,1,1,9.065,-24.545,0.85,-2.29,0.85,-2.29,INF,-1,0,7,0
700,1,1,9.806,-27.029,0.92,-2.52,0.92,-2.52,INF,-1,0,7,0
720,1,1,8.326,-24.839,0.78,-2.32,0.78,-2.32,INF,-1,0,7,0
740,1,1,9.149,-25.323,0.86,-2.37,0.85,-2.37,INF,-1,0,7,0
760,1,1,7.887,-21.789,0.74,-2.04,0.74,-2.04,INF,-1,0,7,0
780,1,1,8.348,-23.450,0.78,-2.19,0.78,-2.19,INF,-1,0,7,0
800,1,1,8.586,-24.321,0.80,-2.27,0.80,-2.27,INF,-1,0,7,0
820,1,1,-8.066,-8.801,-0.75,-0.82,-0.75,-0.82,INF,-1,1,7,0
840,1,1,-21.762,9.409,-2.03,0.88,-2.03,0.88,INF,-1,1,7,0
860,1,1,-19.509,10.611,-1.82,0.99,-1.82,0.99,INF,-1,0,7,0
880,1,1,-19.128,9.479,-1.79,0.89,-1.79,0.89,INF,-1,0,7,0
900,1,1,-19.038,10.583,-1.78,0.99,-1.78,0.99,INF,-1,0,7,0
920,1,1,-19.343,9.853,-1.81,0.92,-1.81,0.92,INF,-1,0,7,0
940,1,1,-21.211,13.240,-1.98,1.24,-1.98,1.24,INF,-1,0,7,0
960,1,1,-23.443,11.594,-2.19,1.08,-2.19,1.08,INF,-1,0,7,0
980,1,1,-19.998,9.814,-1.87,0.92,-1.87,0.92,INF,-1,0,7,0
1000,1,1,-20.065,10.375,-1.87,0.97,-1.87,0.97,INF,-1,0,7,0
1020,1,1,-19.082,11.147,-1.78,1.04,-1.78,1.04,INF,-1,0,7,0
1040,1,1,-19.650,8.708,-1.84,0.81,-1.84,0.81,INF,-1,0,7,0
1060,1,1,-20.286,11.997,-1.90,1.12,-1.90,1.12,INF,-1,0,7,0
1080,1,1,-20.032,11.825,-1.87,1.10,-1.87,1.11,INF,-1,0,7,0
1100,1,1,-19.403,9.187,-1.81,0.86,-1.81,0.86,INF,-1,0,7,0
1120,1,1,-21.374,9.000,-2.00,0.84,-2.00,0.84,INF,-1,1,7,0
1140,1,1,-17.093,10.402,-1.60,0.97,-1.60,0.97,INF,-1,1,7,0
1160,1,1,-22.392,11.238,-2.09,1.05,-2.09,1.05,INF,-1,1,7,0
1180,1,1,-21.626,11.074,-2.02,1.03,-2.02,1.03,INF,-1,1,7,0
1200,1,1,-20.686,10.452,-1.93,0.98,-1.93,0.98,INF,-1,1,7,0
1220,1,1,-21.009,7.975,-1.96,0.74,-1.96,0.75,INF,-1,1,7,0
1240,1,1,-19.678,8.966,-1.84,0.84,-1.84,0.84,INF,-1,1,7,0
1260,1,1,-18.553,6.233,-1.73,0.58,-1.73,0.58,INF,-1,1,7,0
1280,1,1,14.388,16.792,1.34,1.57,1.34,1.57,INF,-1,1,7,0
1300,1,1,21.593,18.976,2.02,1.77,2.02,1.77,INF,-1,1,7,0
