"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.04552
CalibrationParameters_A12,0.05232
CalibrationParameters_A13,0.01685
CalibrationParameters_A21,0.07805
CalibrationParameters_A22,-1.03859
CalibrationParameters_A23,-0.01628
CalibrationParameters_A31,0.00011
CalibrationParameters_A32,0.00011
CalibrationParameters_E11,-0.18005
CalibrationParameters_E12,-0.00001
CalibrationParameters_E21,0.00000
CalibrationParameters_E22,0.20002
CalibrationParameters_X,-20.28797
CalibrationParameters_Y,-10.85478
CalibrationParameters_Rpc,83.36661
CalibrationParameters_MeanX,153.51396
CalibrationParameters_MeanY,111.47963
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,200.624,-152.663,18.12,-13.32,17.62,-13.98,INF,-1,0,7,0
20,1,1,199.779,-153.485,18.05,-13.39,17.54,-14.06,INF,-1,0,7,0
40,1,1,202.691,-154.024,18.30,-13.42,17.78,-14.10,INF,-1,0,7,0
60,1,1,202.044,-154.783,18.24,-13.49,17.72,-14.17,INF,-1,0,7,0
80,1,1,200.345,-152.839,18.10,-13.33,17.59,-14.00,INF,-1,0,7,0
100,1,1,202.525,-155.326,18.28,-13.53,17.76,-14.22,INF,-1,0,7,0
120,1,1,198.664,-152.730,17.96,-13.33,17.46,-13.99,INF,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
160,1,1,46.391,-54.031,4.33,-5.02,4.31,-5.04,INF,-1,0,7,0
180,1,1,5.266,-7.705,0.49,-0.72,0.49,-0.72,INF,-1,0,7,0
200,1,1,4.820,-3.393,0.45,-0.32,0.45,-0.32,INF,-1,0,7,0
220,1,1,5.710,-1.963,0.53,-0.18,0.53,-0.18,INF,-1,0,7,0
240,1,1,5.602,0.589,0.52,0.06,0.52,0.06,INF,-1,0,7,0
260,1,1,5.206,-0.865,0.49,-0.08,0.49,-0.08,INF,-1,0,7,0
280,1,1,5.865,0.321,0.55,0.03,0.55,0.03,INF,-1,0,7,0
300,1,1,5.126,0.318,0.48,0.03,0.48,0.03,INF,-1,0,7,0
320,1,1,5.665,0.287,0.53,0.03,0.53,0.03,INF,-1,0,7,0
340,1,1,4.388,-1.120,0.41,-0.10,0.41,-0.10,INF,-1,0,7,0
360,1,1,4.192,-0.813,0.39,-0.08,0.39,-0.08,INF,-1,0,7,0
380,1,1,5.082,-1.982,0.47,-0.19,0.47,-0.19,INF,-1,0,7,0
400,1,1,5.023,-2.165,0.47,-0.20,0.47,-0.20,INF,-1,0,7,0
420,1,1,-1.915,1.585,-0.18,0.15,-0.18,0.15,INF,-1,0,7,0
440,1,1,-2.600,1.918,-0.24,0.18,-0.24,0.18,INF,-1,0,7,0
460,1,1,-3.524,3.037,-0.33,0.28,-0.33,0.28,INF,-1,1,7,0
480,1,1,-1.782,2.124,-0.17,0.20,-0.17,0.20,INF,-1,1,7,0
500,1,1,-2.709,2.128,-0.25,0.20,-0.25,0.20,INF,-1,1,7,0
520,1,1,-2.774,2.650,-0.26,0.25,-0.26,0.25,INF,-1,1,7,0
540,1,1,-4.522,3.179,-0.42,0.30,-0.42,0.30,INF,-1,1,7,0
560,1,1,-4.328,2.267,-0.40,0.21,-0.40,0.21,INF,-1,1,7,0
580,1,1,-2.292,1.533,-0.21,0.14,-0.21,0.14,INF,-1,1,7,0
600,1,1,-2.947,2.554,-0.28,0.24,-0.28,0.24,INF,-1,1,7,0
620,1,1,-2.480,1.541,-0.23,0.14,-0.23,0.14,INF,-1,1,7,0
640,1,1,-2.761,1.328,-0.26,0.12,-0.26,0.12,INF,-1,1,7,0
660,1,1,-2.898,0.747,-0.27,0.07,-0.27,0.07,INF,-1,1,7,0
680,1,1,1.740,0.894,0.16,0.08,0.16,0.08,INF,-1,1,7,0
700,1,1,4.044,-0.177,0.38,-0.02,0.38,-0.02,INF,-1,1,7,0
720,1,1,3.895,-0.805,0.36,-0.08,0.36,-0.08,INF,-1,1,7,0
740,1,1,4.243,-0.840,0.40,-0.08,0.40,-0.08,INF,-1,1,7,0
760,1,1,4.650,-0.112,0.43,-0.01,0.43,-0.01,INF,-1,1,7,0
780,1,1,3.250,1.294,0.30,0.12,0.30,0.12,INF,-1,1,7,0
800,1,1,3.598,-1.065,0.34,-0.10,0.34,-0.10,INF,-1,1,7,0
820,1,1,2.791,-1.237,0.26,-0.12,0.26,-0.12,INF,-1,1,7,0
840,1,1,2.667,-0.859,0.25,-0.08,0.25,-0.08,INF,-1,1,7,0
860,1,1,2.200,-1.177,0.21,-0.11,0.21,-0.11,INF,-1,1,7,0
880,1,1,3.789,-0.986,0.35,-0.09,0.35,-0.09,INF,-1,1,7,0
900,1,1,3.177,-2.764,0.30,-0.26,0.30,-0.26,INF,-1,1,7,0
920,1,1,1.973,-1.452,0.18,-0.14,0.18,-0.14,INF,-1,1,7,0
940,1,1,1.483,-1.116,0.14,-0.10,0.14,-0.10,INF,-1,1,7,0
960,1,1,3.691,-2.020,0.34,-0.19,0.34,-0.19,INF,-1,1,7,0
980,1,1,3.610,-2.093,0.34,-0.20,0.34,-0.20,INF,-1,1,7,0
1000,1,1,1.979,-1.768,0.18,-0.17,0.18,-0.17,INF,-1,1,7,0
1020,1,1,1.805,-1.225,0.17,-0.11,0.17,-0.11,INF,-1,1,7,0
1040,1,1,3.435,-2.097,0.32,-0.20,0.32,-0.20,INF,-1,1,7,0
1060,1,1,2.779,-1.069,0.26,-0.10,0.26,-0.10,INF,-1,1,7,0
1080,1,1,0.932,-1.224,0.09,-0.11,0.09,-0.11,INF,-1,1,7,0
1100,1,1,-2.020,-1.092,-0.19,-0.10,-0.19,-0.10,INF,-1,1,7,0
1120,1,1,-13.637,3.485,-1.27,0.33,-1.27,0.33,INF,-1,1,7,0
1140,1,1,-12.490,4.193,-1.17,0.39,-1.17,0.39,INF,-1,1,7,0
1160,1,1,-14.134,4.292,-1.32,0.40,-1.32,0.40,INF,-1,0,7,0
1180,1,1,-11.922,3.589,-1.11,0.34,-1.11,0.34,INF,-1,0,7,0
1200,1,1,-13.347,4.530,-1.25,0.42,-1.25,0.42,INF,-1,0,7,0
1220,1,1,-13.568,4.962,-1.27,0.46,-1.27,0.46,INF,-1,0,7,0
1240,1,1,-13.322,4.485,-1.24,0.42,-1.24,0.42,INF,-1,0,7,0
1260,1,1,-13.722,3.554,-1.28,0.33,-1.28,0.33,INF,-1,0,7,0
1280,1,1,-12.911,3.427,-1.21,0.32,-1.21,0.32,INF,-1,0,7,0
1300,1,1,-13.049,3.384,-1.22,0.32,-1.22,0.32,INF,-1,0,7,0
1320,1,1,-13.645,2.964,-1.28,0.28,-1.28,0.28,INF,-1,0,7,0
1340,1,1,-14.474,3.588,-1.35,0.34,-1.35,0.34,INF,-1,0,7,0
1360,1,1,-12.130,2.468,-1.13,0.23,-1.13,0.23,INF,-1,0,7,0
1380,1,1,-14.100,2.045,-1.32,0.19,-1.32,0.19,INF,-1,0,7,0
1400,1,1,-12.933,1.756,-1.21,0.16,-1.21,0.16,INF,-1,1,7,0
1420,1,1,-12.468,0.303,-1.17,0.03,-1.17,0.03,INF,-1,1,7,0
1440,1,1,-12.677,-1.483,-1.18,-0.14,-1.18,-0.14,INF,-1,1,7,0
1460,1,1,3.488,-24.770,0.33,-2.31,0.33,-2.31,INF,-1,1,7,0
1480,1,1,9.375,-35.547,0.88,-3.32,0.87,-3.32,INF,-1,1,7,0
1500,1,1,8.723,-34.812,0.82,-3.25,0.81,-3.25,INF,-1,0,7,0
1520,1,1,9.304,-34.559,0.87,-3.23,0.87,-3.23,INF,-1,0,7,0
1540,1,1,8.543,-33.979,0.80,-3.17,0.80,-3.17,INF,-1,0,7,0
1560,1,1,9.676,-35.192,0.90,-3.29,0.90,-3.29,INF,-1,0,7,0
1580,1,1,9.904,-34.509,0.93,-3.22,0.92,-3.22,INF,-1,0,7,0
1600,1,1,10.148,-33.586,0.95,-3.14,0.95,-3.14,INF,-1,0,7,0
1620,1,1,11.131,-33.940,1.04,-3.17,1.04,-3.17,INF,-1,0,7,0
1640,1,1,10.691,-34.327,1.00,-3.20,1.00,-3.21,INF,-1,0,7,0
1660,1,1,10.208,-33.540,0.95,-3.13,0.95,-3.13,INF,-1,0,7,0
1680,1,1,9.269,-33.096,0.87,-3.09,0.87,-3.09,INF,-1,0,7,0
1700,1,1,9.500,-34.198,0.89,-3.19,0.89,-3.19,INF,-1,0,7,0
1720,1,1,10.730,-34.412,1.00,-3.21,1.00,-3.21,INF,-1,0,7,0
1740,1,1,9.358,-33.385,0.87,-3.12,0.87,-3.12,INF,-1,0,7,0
1760,1,1,9.781,-33.125,0.91,-3.09,0.91,-3.09,INF,-1,1,7,0
1780,1,1,9.571,-35.008,0.89,-3.27,0.89,-3.27,INF,-1,1,7,0
1800,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1820,1,1,8.879,-34.748,0.83,-3.24,0.83,-3.24,INF,-1,1,7,0
1840,1,1,9.072,-35.205,0.85,-3.29,0.85,-3.29,INF,-1,1,7,0
1860,1,1,10.647,-35.476,1.00,-3.31,0.99,-3.31,INF,-1,1,7,0
1880,1,1,8.848,-36.921,0.83,-3.45,0.83,-3.45,INF,-1,1,7,0
1900,1,1,7.848,-34.351,0.73,-3.21,0.73,-3.21,INF,-1,1,7,0
1920,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1940,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1960,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1980,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
2000,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2020,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2040,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2060,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2080,1,1,129.121,-148.293,11.89,-13.32,11.57,-13.60,INF,-1,0,7,0
2100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2180,1,1,217.062,-23.862,19.50,-2.10,19.49,-2.23,INF,-1,0,7,0
2200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2220,1,1,30.679,-9.087,2.87,-0.85,2.86,-0.85,INF,-1,0,7,0
2240,1,1,31.954,-8.596,2.98,-0.80,2.98,-0.80,INF,-1,0,7,0
2260,1,1,31.166,-8.340,2.91,-0.78,2.91,-0.78,INF,-1,0,7,0
2280,1,1,33.572,-9.294,3.13,-0.87,3.13,-0.87,INF,-1,0,7,0
2300,1,1,32.119,-9.460,3.00,-0.88,3.00,-0.88,INF,-1,0,7,0
