"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.04828
CalibrationParameters_A12,0.07198
CalibrationParameters_A13,0.04490
CalibrationParameters_A21,0.07038
CalibrationParameters_A22,-1.03808
CalibrationParameters_A23,-0.02972
CalibrationParameters_A31,0.00033
CalibrationParameters_A32,0.00019
CalibrationParameters_E11,-0.17990
CalibrationParameters_E12,0.00014
CalibrationParameters_E21,0.00009
CalibrationParameters_E22,0.20004
CalibrationParameters_X,-21.01676
CalibrationParameters_Y,-11.00793
CalibrationParameters_Rpc,83.80989
CalibrationParameters_MeanX,151.03763
CalibrationParameters_MeanY,116.88342
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-30.599,39.458,-2.86,3.68,-2.85,3.68,INF,-1,0,7,0
20,1,1,-28.000,36.537,-2.62,3.41,-2.61,3.41,INF,-1,0,7,0
40,1,1,-30.118,36.723,-2.81,3.42,-2.81,3.43,INF,-1,0,7,0
60,1,1,-28.619,32.006,-2.67,2.99,-2.67,2.99,INF,-1,0,7,0
80,1,1,-27.268,28.964,-2.55,2.70,-2.54,2.71,INF,-1,0,7,0
100,1,1,-25.458,24.352,-2.38,2.27,-2.38,2.27,INF,-1,0,7,0
120,1,1,-26.068,21.714,-2.44,2.03,-2.43,2.03,INF,-1,0,7,0
140,1,1,-25.469,15.530,-2.38,1.45,-2.38,1.45,INF,-1,0,7,0
160,1,1,-25.157,20.049,-2.35,1.87,-2.35,1.87,INF,-1,0,7,0
180,1,1,-13.226,18.848,-1.24,1.76,-1.24,1.76,INF,-1,0,7,0
200,1,1,-0.712,22.924,-0.07,2.14,-0.07,2.14,INF,-1,0,7,0
220,1,1,0.030,20.063,0.00,1.87,0.00,1.87,INF,-1,0,7,0
240,1,1,-0.822,21.118,-0.08,1.97,-0.08,1.97,INF,-1,0,7,0
260,1,1,1.286,19.125,0.12,1.79,0.12,1.79,INF,-1,0,7,0
280,1,1,-1.610,17.624,-0.15,1.65,-0.15,1.65,INF,-1,0,7,0
300,1,1,-0.114,17.378,-0.01,1.62,-0.01,1.62,INF,-1,0,7,0
320,1,1,-0.913,16.098,-0.09,1.50,-0.09,1.50,INF,-1,0,7,0
340,1,1,-0.071,14.609,-0.01,1.37,-0.01,1.37,INF,-1,0,7,0
360,1,1,-1.142,15.057,-0.11,1.41,-0.11,1.41,INF,-1,0,7,0
380,1,1,2.237,13.429,0.21,1.26,0.21,1.26,INF,-1,1,7,0
400,1,1,0.857,10.668,0.08,1.00,0.08,1.00,INF,-1,1,7,0
420,1,1,1.576,6.970,0.15,0.65,0.15,0.65,INF,-1,0,7,0
440,1,1,8.614,3.296,0.81,0.31,0.81,0.31,INF,-1,0,7,0
460,1,1,36.968,-6.091,3.45,-0.57,3.45,-0.57,INF,-1,0,7,0
480,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
500,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
520,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
540,1,1,49.566,-18.435,4.62,-1.72,4.62,-1.72,INF,-1,0,7,0
560,1,1,37.468,-4.987,3.50,-0.47,3.50,-0.47,INF,-1,0,7,0
580,1,1,37.731,-7.365,3.52,-0.69,3.52,-0.69,INF,-1,0,7,0
600,1,1,36.906,-6.752,3.45,-0.63,3.45,-0.63,INF,-1,0,7,0
620,1,1,35.228,-4.313,3.29,-0.40,3.29,-0.40,INF,-1,0,7,0
640,1,1,37.544,-6.201,3.50,-0.58,3.50,-0.58,INF,-1,0,7,0
660,1,1,36.345,-4.668,3.39,-0.44,3.39,-0.44,INF,-1,0,7,0
680,1,1,38.339,-6.868,3.58,-0.64,3.58,-0.64,INF,-1,0,7,0
700,1,1,37.502,-5.051,3.50,-0.47,3.50,-0.47,INF,-1,0,7,0
720,1,1,36.004,-4.350,3.36,-0.41,3.36,-0.41,INF,-1,0,7,0
740,1,1,35.117,-6.348,3.28,-0.59,3.28,-0.59,INF,-1,1,7,0
760,1,1,-5.999,7.377,-0.56,0.69,-0.56,0.69,INF,-1,1,7,0
780,1,1,-23.382,15.182,-2.18,1.42,-2.18,1.42,INF,-1,1,7,0
800,1,1,-22.214,12.999,-2.08,1.21,-2.07,1.21,INF,-1,0,7,0
820,1,1,-21.610,12.465,-2.02,1.16,-2.02,1.16,INF,-1,0,7,0
840,1,1,-22.324,13.252,-2.09,1.24,-2.09,1.24,INF,-1,0,7,0
860,1,1,-22.339,13.557,-2.09,1.27,-2.09,1.27,INF,-1,0,7,0
880,1,1,-21.770,12.174,-2.03,1.14,-2.03,1.14,INF,-1,0,7,0
900,1,1,-20.789,12.078,-1.94,1.13,-1.94,1.13,INF,-1,0,7,0
920,1,1,-22.089,13.453,-2.06,1.26,-2.06,1.26,INF,-1,0,7,0
940,1,1,-20.030,11.654,-1.87,1.09,-1.87,1.09,INF,-1,0,7,0
960,1,1,-21.423,10.589,-2.00,0.99,-2.00,0.99,INF,-1,0,7,0
980,1,1,-22.146,10.780,-2.07,1.01,-2.07,1.01,INF,-1,0,7,0
1000,1,1,-21.071,10.053,-1.97,0.94,-1.97,0.94,INF,-1,0,7,0
1020,1,1,-20.906,9.656,-1.95,0.90,-1.95,0.90,INF,-1,0,7,0
1040,1,1,-21.317,9.405,-1.99,0.88,-1.99,0.88,INF,-1,0,7,0
1060,1,1,-35.556,14.984,-3.32,1.40,-3.32,1.40,INF,-1,1,7,0
1080,1,1,-38.478,16.652,-3.59,1.55,-3.59,1.56,INF,-1,1,7,0
1100,1,1,-36.884,15.730,-3.44,1.47,-3.44,1.47,INF,-1,0,7,0
1120,1,1,-38.581,15.382,-3.60,1.43,-3.60,1.44,INF,-1,0,7,0
1140,1,1,-37.593,15.437,-3.51,1.44,-3.51,1.44,INF,-1,0,7,0
1160,1,1,-37.680,15.003,-3.52,1.40,-3.52,1.40,INF,-1,0,7,0
1180,1,1,-37.578,14.703,-3.51,1.37,-3.51,1.37,INF,-1,0,7,0
1200,1,1,-35.485,12.907,-3.31,1.20,-3.31,1.21,INF,-1,0,7,0
1220,1,1,-36.802,12.626,-3.44,1.18,-3.43,1.18,INF,-1,0,7,0
1240,1,1,-34.216,9.436,-3.19,0.88,-3.19,0.88,INF,-1,0,7,0
1260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1420,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1440,1,1,83.914,-90.345,7.79,-8.31,7.71,-8.38,INF,-1,0,7,0
1460,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1480,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1500,1,1,31.303,-12.334,2.92,-1.15,2.92,-1.15,INF,-1,0,7,0
1520,1,1,28.937,-9.874,2.70,-0.92,2.70,-0.92,INF,-1,0,7,0
1540,1,1,32.024,-11.994,2.99,-1.12,2.99,-1.12,INF,-1,0,7,0
1560,1,1,32.429,-12.858,3.03,-1.20,3.03,-1.20,INF,-1,0,7,0
1580,1,1,30.050,-12.955,2.81,-1.21,2.81,-1.21,INF,-1,0,7,0
1600,1,1,33.698,-13.992,3.15,-1.31,3.15,-1.31,INF,-1,0,7,0
1620,1,1,32.138,-13.354,3.00,-1.25,3.00,-1.25,INF,-1,0,7,0
1640,1,1,33.758,-14.505,3.15,-1.35,3.15,-1.36,INF,-1,0,7,0
1660,1,1,34.101,-15.624,3.18,-1.46,3.18,-1.46,INF,-1,0,7,0
1680,1,1,32.676,-15.334,3.05,-1.43,3.05,-1.43,INF,-1,0,7,0
1700,1,1,32.798,-15.386,3.06,-1.44,3.06,-1.44,INF,-1,0,7,0
1720,1,1,31.141,-15.006,2.91,-1.40,2.91,-1.40,INF,-1,0,7,0
1740,1,1,32.696,-17.768,3.05,-1.66,3.05,-1.66,INF,-1,0,7,0
1760,1,1,32.155,-16.781,3.00,-1.57,3.00,-1.57,INF,-1,0,7,0
1780,1,1,32.872,-18.038,3.07,-1.68,3.07,-1.69,INF,-1,1,7,0
1800,1,1,33.668,-17.062,3.14,-1.59,3.14,-1.59,INF,-1,1,7,0
1820,1,1,32.620,-15.817,3.05,-1.48,3.05,-1.48,INF,-1,1,7,0
1840,1,1,32.159,-14.682,3.00,-1.37,3.00,-1.37,INF,-1,1,7,0
1860,1,1,32.735,-18.526,3.06,-1.73,3.06,-1.73,INF,-1,1,7,0
1880,1,1,34.319,-18.483,3.20,-1.72,3.20,-1.73,INF,-1,1,7,0
1900,1,1,32.174,-17.824,3.00,-1.66,3.00,-1.67,INF,-1,1,7,0
1920,1,1,41.584,-11.323,3.88,-1.06,3.88,-1.06,INF,-1,1,7,0
1940,1,1,41.718,-8.260,3.89,-0.77,3.89,-0.77,INF,-1,1,7,0
1960,1,1,41.463,-7.198,3.87,-0.67,3.87,-0.67,INF,-1,1,7,0
1980,1,1,43.991,-10.241,4.10,-0.95,4.10,-0.96,INF,-1,0,7,0
2000,1,1,42.831,-10.722,4.00,-1.00,4.00,-1.00,INF,-1,0,7,0
2020,1,1,44.652,-9.618,4.17,-0.90,4.17,-0.90,INF,-1,0,7,0
2040,1,1,42.914,-10.599,4.00,-0.99,4.00,-0.99,INF,-1,0,7,0
2060,1,1,43.407,-8.962,4.05,-0.84,4.05,-0.84,INF,-1,0,7,0
2080,1,1,45.005,-10.829,4.20,-1.01,4.20,-1.01,INF,-1,0,7,0
2100,1,1,45.199,-10.144,4.22,-0.95,4.22,-0.95,INF,-1,0,7,0
2120,1,1,44.604,-10.686,4.16,-1.00,4.16,-1.00,INF,-1,0,7,0
