"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05211
CalibrationParameters_A12,0.07664
CalibrationParameters_A13,-0.01549
CalibrationParameters_A21,0.06486
CalibrationParameters_A22,-1.04174
CalibrationParameters_A23,-0.04526
CalibrationParameters_A31,-0.00019
CalibrationParameters_A32,0.00027
CalibrationParameters_E11,-0.18003
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,-0.00005
CalibrationParameters_E22,0.19991
CalibrationParameters_X,-20.72306
CalibrationParameters_Y,-15.50818
CalibrationParameters_Rpc,85.09983
CalibrationParameters_MeanX,163.71545
CalibrationParameters_MeanY,109.74374
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-2.984,48.776,-0.28,4.55,-0.28,4.55,INF,-1,0,7,0
20,1,1,-1.494,46.756,-0.14,4.36,-0.14,4.36,INF,-1,0,7,0
40,1,1,-2.221,45.716,-0.21,4.27,-0.21,4.27,INF,-1,0,7,0
60,1,1,-3.156,45.392,-0.29,4.23,-0.29,4.23,INF,-1,0,7,0
80,1,1,-3.611,45.034,-0.34,4.20,-0.34,4.20,INF,-1,0,7,0
100,1,1,-1.938,42.393,-0.18,3.96,-0.18,3.96,INF,-1,0,7,0
120,1,1,-5.265,42.963,-0.49,4.01,-0.49,4.01,INF,-1,0,7,0
140,1,1,-4.775,41.165,-0.45,3.84,-0.45,3.84,INF,-1,0,7,0
160,1,1,-4.527,40.791,-0.42,3.81,-0.42,3.81,INF,-1,0,7,0
180,1,1,-3.046,38.405,-0.28,3.58,-0.28,3.58,INF,-1,0,7,0
200,1,1,-8.037,19.733,-0.75,1.84,-0.75,1.84,INF,-1,0,7,0
220,1,1,-6.621,11.959,-0.62,1.12,-0.62,1.12,INF,-1,0,7,0
240,1,1,-5.615,11.573,-0.52,1.08,-0.52,1.08,INF,-1,0,7,0
260,1,1,-6.285,10.656,-0.59,1.00,-0.59,1.00,INF,-1,0,7,0
280,1,1,-8.722,11.285,-0.82,1.05,-0.82,1.05,INF,-1,0,7,0
300,1,1,-7.005,10.465,-0.65,0.98,-0.65,0.98,INF,-1,0,7,0
320,1,1,-7.030,9.980,-0.66,0.93,-0.66,0.93,INF,-1,0,7,0
340,1,1,-9.198,10.948,-0.86,1.02,-0.86,1.02,INF,-1,0,7,0
360,1,1,-7.118,10.141,-0.67,0.95,-0.67,0.95,INF,-1,0,7,0
380,1,1,-5.342,9.071,-0.50,0.85,-0.50,0.85,INF,-1,0,7,0
