"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06096
CalibrationParameters_A12,0.04474
CalibrationParameters_A13,-0.00555
CalibrationParameters_A21,0.06407
CalibrationParameters_A22,-1.04573
CalibrationParameters_A23,-0.05651
CalibrationParameters_A31,-0.00013
CalibrationParameters_A32,0.00035
CalibrationParameters_E11,-0.17990
CalibrationParameters_E12,-0.00001
CalibrationParameters_E21,0.00006
CalibrationParameters_E22,0.20005
CalibrationParameters_X,-21.53747
CalibrationParameters_Y,-17.47806
CalibrationParameters_Rpc,83.64995
CalibrationParameters_MeanX,147.87673
CalibrationParameters_MeanY,112.28748
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,1,1,24.529,-2.087,2.29,-0.19,2.29,-0.20,INF,-1,0,7,0
60,1,1,24.072,0.308,2.25,0.03,2.25,0.03,INF,-1,0,7,0
80,1,1,23.431,0.618,2.19,0.06,2.19,0.06,INF,-1,0,7,0
100,1,1,22.086,-2.885,2.06,-0.27,2.06,-0.27,INF,-1,0,7,0
120,1,1,22.804,1.476,2.13,0.14,2.13,0.14,INF,-1,0,7,0
140,1,1,24.439,-1.174,2.28,-0.11,2.28,-0.11,INF,-1,0,7,0
160,1,1,23.593,1.423,2.20,0.13,2.20,0.13,INF,-1,0,7,0
180,1,1,10.677,-4.261,1.00,-0.40,1.00,-0.40,INF,-1,0,7,0
200,1,1,-12.835,-7.296,-1.20,-0.68,-1.20,-0.68,INF,-1,0,7,0
220,1,1,-7.499,-5.705,-0.70,-0.53,-0.70,-0.53,INF,-1,0,7,0
240,1,1,-6.459,-5.801,-0.60,-0.54,-0.60,-0.54,INF,-1,0,7,0
260,1,1,-8.308,-4.420,-0.78,-0.41,-0.78,-0.41,INF,-1,0,7,0
280,1,1,-7.656,-6.790,-0.72,-0.63,-0.72,-0.63,INF,-1,0,7,0
300,1,1,-8.505,-4.384,-0.79,-0.41,-0.79,-0.41,INF,-1,0,7,0
320,1,1,-4.950,-5.720,-0.46,-0.53,-0.46,-0.53,INF,-1,0,7,0
340,1,1,-8.893,-5.295,-0.83,-0.49,-0.83,-0.49,INF,-1,0,7,0
360,1,1,-9.919,-5.609,-0.93,-0.52,-0.93,-0.52,INF,-1,0,7,0
380,1,1,-9.999,-3.971,-0.93,-0.37,-0.93,-0.37,INF,-1,0,7,0
400,1,1,-8.624,-5.929,-0.81,-0.55,-0.81,-0.55,INF,-1,0,7,0
420,1,1,-6.836,-5.073,-0.64,-0.47,-0.64,-0.47,INF,-1,0,7,0
440,1,1,-7.435,-4.238,-0.69,-0.40,-0.69,-0.40,INF,-1,0,7,0
460,1,1,-7.329,-5.243,-0.69,-0.49,-0.68,-0.49,INF,-1,1,7,0
480,1,1,-7.362,-4.989,-0.69,-0.47,-0.69,-0.47,INF,-1,1,7,0
500,1,1,-5.573,-4.231,-0.52,-0.40,-0.52,-0.40,INF,-1,1,7,0
520,1,1,-17.676,-7.900,-1.65,-0.74,-1.65,-0.74,INF,-1,1,7,0
540,1,1,-31.577,-25.709,-2.95,-2.40,-2.95,-2.40,INF,-1,1,7,0
560,1,1,-31.062,-20.710,-2.90,-1.93,-2.90,-1.94,INF,-1,0,7,0
580,1,1,-32.645,-22.732,-3.05,-2.12,-3.05,-2.12,INF,-1,0,7,0
600,1,1,-30.664,-20.517,-2.86,-1.91,-2.86,-1.92,INF,-1,0,7,0
620,1,1,-30.804,-23.360,-2.88,-2.18,-2.87,-2.18,INF,-1,0,7,0
640,1,1,-31.534,-21.914,-2.94,-2.04,-2.94,-2.05,INF,-1,0,7,0
660,1,1,-31.138,-21.524,-2.91,-2.01,-2.91,-2.01,INF,-1,0,7,0
680,1,1,-31.408,-22.446,-2.93,-2.09,-2.93,-2.10,INF,-1,0,7,0
700,1,1,-31.037,-22.248,-2.90,-2.08,-2.90,-2.08,INF,-1,0,7,0
720,1,1,-29.988,-22.733,-2.80,-2.12,-2.80,-2.12,INF,-1,0,7,0
740,1,1,-29.746,-23.171,-2.78,-2.16,-2.78,-2.16,INF,-1,0,7,0
760,1,1,-29.675,-21.419,-2.77,-2.00,-2.77,-2.00,INF,-1,0,7,0
780,1,1,-29.431,-24.647,-2.75,-2.30,-2.75,-2.30,INF,-1,0,7,0
800,1,1,-29.749,-20.990,-2.78,-1.96,-2.78,-1.96,INF,-1,0,7,0
820,1,1,-30.476,-21.570,-2.85,-2.01,-2.84,-2.02,INF,-1,1,7,0
840,1,1,-27.428,-22.165,-2.56,-2.07,-2.56,-2.07,INF,-1,1,7,0
860,1,1,-31.420,-21.092,-2.93,-1.97,-2.93,-1.97,INF,-1,1,7,0
880,1,1,-27.337,-22.725,-2.55,-2.12,-2.55,-2.12,INF,-1,1,7,0
900,1,1,-28.793,-22.171,-2.69,-2.07,-2.69,-2.07,INF,-1,1,7,0
920,1,1,-27.595,-24.884,-2.58,-2.32,-2.58,-2.32,INF,-1,1,7,0
940,1,1,-29.526,-24.183,-2.76,-2.26,-2.76,-2.26,INF,-1,1,7,0
960,1,1,-29.105,-24.413,-2.72,-2.28,-2.72,-2.28,INF,-1,1,7,0
980,1,1,-27.757,-22.794,-2.59,-2.13,-2.59,-2.13,INF,-1,1,7,0
1000,1,1,-28.273,-21.983,-2.64,-2.05,-2.64,-2.05,INF,-1,1,7,0
1020,1,1,-28.641,-23.446,-2.68,-2.19,-2.67,-2.19,INF,-1,1,7,0
1040,1,1,-27.580,-22.916,-2.58,-2.14,-2.57,-2.14,INF,-1,1,7,0
1060,1,1,-27.919,-22.589,-2.61,-2.11,-2.61,-2.11,INF,-1,1,7,0
1080,1,1,-25.546,-22.304,-2.39,-2.08,-2.38,-2.08,INF,-1,1,7,0
1100,1,1,-5.038,-12.788,-0.47,-1.20,-0.47,-1.20,INF,-1,1,7,0
1120,1,1,24.039,7.258,2.25,0.68,2.25,0.68,INF,-1,1,7,0
1140,1,1,24.701,5.056,2.31,0.47,2.31,0.47,INF,-1,0,7,0
1160,1,1,27.422,4.565,2.56,0.43,2.56,0.43,INF,-1,0,7,0
1180,1,1,26.287,5.621,2.46,0.52,2.46,0.53,INF,-1,0,7,0
1200,1,1,24.554,6.003,2.29,0.56,2.29,0.56,INF,-1,0,7,0
1220,1,1,26.894,6.059,2.51,0.57,2.51,0.57,INF,-1,0,7,0
1240,1,1,26.475,4.141,2.47,0.39,2.47,0.39,INF,-1,0,7,0
1260,1,1,22.756,4.373,2.13,0.41,2.13,0.41,INF,-1,0,7,0
1280,1,1,25.053,5.028,2.34,0.47,2.34,0.47,INF,-1,0,7,0
1300,1,1,27.483,4.537,2.57,0.42,2.57,0.42,INF,-1,0,7,0
1320,1,1,48.154,8.568,4.49,0.80,4.49,0.80,INF,-1,0,7,0
