"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.04432
CalibrationParameters_A12,0.07106
CalibrationParameters_A13,0.04618
CalibrationParameters_A21,0.06265
CalibrationParameters_A22,-1.06858
CalibrationParameters_A23,-0.02773
CalibrationParameters_A31,0.00027
CalibrationParameters_A32,0.00015
CalibrationParameters_E11,-0.17988
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,-0.00001
CalibrationParameters_E22,0.20004
CalibrationParameters_X,-26.03187
CalibrationParameters_Y,-11.06083
CalibrationParameters_Rpc,84.80079
CalibrationParameters_MeanX,154.26973
CalibrationParameters_MeanY,125.98766
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,15.649,4.135,1.46,0.39,1.46,0.39,INF,-1,0,7,0
20,1,1,18.367,1.353,1.72,0.13,1.72,0.13,INF,-1,0,7,0
40,1,1,18.873,0.779,1.76,0.07,1.76,0.07,INF,-1,0,7,0
60,1,1,18.828,2.477,1.76,0.23,1.76,0.23,INF,-1,0,7,0
80,1,1,20.190,-0.095,1.89,-0.01,1.89,-0.01,INF,-1,0,7,0
100,1,1,14.078,3.178,1.32,0.30,1.32,0.30,INF,-1,0,7,0
120,1,1,18.162,1.537,1.70,0.14,1.70,0.14,INF,-1,0,7,0
140,1,1,16.719,0.755,1.56,0.07,1.56,0.07,INF,-1,0,7,0
160,1,1,17.410,0.781,1.63,0.07,1.63,0.07,INF,-1,0,7,0
180,1,1,18.734,-0.821,1.75,-0.08,1.75,-0.08,INF,-1,0,7,0
200,1,1,2.640,5.097,0.25,0.48,0.25,0.48,INF,-1,0,7,0
220,1,1,-6.106,16.017,-0.57,1.50,-0.57,1.50,INF,-1,0,7,0
240,1,1,-4.579,14.457,-0.43,1.35,-0.43,1.35,INF,-1,0,7,0
