"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05211
CalibrationParameters_A12,0.07664
CalibrationParameters_A13,-0.01549
CalibrationParameters_A21,0.06486
CalibrationParameters_A22,-1.04174
CalibrationParameters_A23,-0.04526
CalibrationParameters_A31,-0.00019
CalibrationParameters_A32,0.00027
CalibrationParameters_E11,-0.18003
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,-0.00005
CalibrationParameters_E22,0.19991
CalibrationParameters_X,-20.72306
CalibrationParameters_Y,-15.50818
CalibrationParameters_Rpc,85.09983
CalibrationParameters_MeanX,163.71545
CalibrationParameters_MeanY,109.74374
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-4.670,1.899,-0.44,0.18,-0.44,0.18,INF,-1,0,7,0
20,1,1,-3.698,1.156,-0.35,0.11,-0.35,0.11,INF,-1,0,7,0
40,1,1,-3.084,0.489,-0.29,0.05,-0.29,0.05,INF,-1,0,7,0
60,1,1,-1.332,0.724,-0.12,0.07,-0.12,0.07,INF,-1,0,7,0
80,1,1,-3.785,-1.190,-0.35,-0.11,-0.35,-0.11,INF,-1,0,7,0
100,1,1,9.665,0.508,0.90,0.05,0.90,0.05,INF,-1,0,7,0
120,1,1,7.712,0.497,0.72,0.05,0.72,0.05,INF,-1,0,7,0
140,1,1,7.815,-0.725,0.73,-0.07,0.73,-0.07,INF,-1,0,7,0
160,1,1,8.428,0.169,0.79,0.02,0.79,0.02,INF,-1,0,7,0
180,1,1,7.273,0.072,0.68,0.01,0.68,0.01,INF,-1,0,7,0
200,1,1,8.558,-1.379,0.80,-0.13,0.80,-0.13,INF,-1,0,7,0
220,1,1,7.918,-1.505,0.74,-0.14,0.74,-0.14,INF,-1,0,7,0
240,1,1,4.963,-3.200,0.46,-0.30,0.46,-0.30,INF,-1,0,7,0
260,1,1,-20.460,-7.867,-1.91,-0.73,-1.91,-0.74,INF,-1,0,7,0
280,1,1,-19.718,-7.037,-1.84,-0.66,-1.84,-0.66,INF,-1,1,7,0
300,1,1,-18.785,-7.268,-1.76,-0.68,-1.76,-0.68,INF,-1,0,7,0
320,1,1,-19.209,-6.688,-1.79,-0.62,-1.79,-0.63,INF,-1,0,7,0
340,1,1,-19.196,-7.695,-1.79,-0.72,-1.79,-0.72,INF,-1,0,7,0
360,1,1,-19.982,-7.607,-1.87,-0.71,-1.87,-0.71,INF,-1,0,7,0
380,1,1,-19.970,-8.132,-1.87,-0.76,-1.87,-0.76,INF,-1,0,7,0
400,1,1,-20.413,-7.535,-1.91,-0.70,-1.91,-0.70,INF,-1,0,7,0
420,1,1,-20.523,-7.154,-1.92,-0.67,-1.92,-0.67,INF,-1,0,7,0
440,1,1,-24.975,-8.180,-2.33,-0.76,-2.33,-0.76,INF,-1,0,7,0
460,1,1,-25.834,-7.802,-2.41,-0.73,-2.41,-0.73,INF,-1,0,7,0
480,1,1,-23.986,-8.523,-2.24,-0.80,-2.24,-0.80,INF,-1,0,7,0
500,1,1,-25.824,-8.819,-2.41,-0.82,-2.41,-0.82,INF,-1,0,7,0
520,1,1,-26.585,-8.593,-2.48,-0.80,-2.48,-0.80,INF,-1,0,7,0
540,1,1,-26.722,-9.456,-2.50,-0.88,-2.50,-0.88,INF,-1,1,7,0
560,1,1,-27.022,-9.124,-2.52,-0.85,-2.52,-0.85,INF,-1,1,7,0
580,1,1,-26.082,-9.940,-2.44,-0.93,-2.44,-0.93,INF,-1,1,7,0
600,1,1,-28.246,-9.844,-2.64,-0.92,-2.64,-0.92,INF,-1,1,7,0
620,1,1,-25.434,-9.793,-2.38,-0.91,-2.38,-0.92,INF,-1,1,7,0
640,1,1,-28.023,-8.630,-2.62,-0.81,-2.62,-0.81,INF,-1,1,7,0
660,1,1,-26.609,-10.171,-2.49,-0.95,-2.49,-0.95,INF,-1,1,7,0
680,1,1,-26.725,-9.630,-2.50,-0.90,-2.50,-0.90,INF,-1,1,7,0
700,1,1,-25.917,-9.983,-2.42,-0.93,-2.42,-0.93,INF,-1,1,7,0
720,1,1,-26.516,-9.769,-2.48,-0.91,-2.48,-0.91,INF,-1,1,7,0
740,1,1,-26.455,-10.396,-2.47,-0.97,-2.47,-0.97,INF,-1,1,7,0
760,1,1,-27.288,-10.368,-2.55,-0.97,-2.55,-0.97,INF,-1,1,7,0
780,1,1,-25.540,-11.159,-2.39,-1.04,-2.39,-1.04,INF,-1,1,7,0
800,1,1,-25.504,-11.319,-2.38,-1.06,-2.38,-1.06,INF,-1,1,7,0
820,1,1,-27.090,-10.537,-2.53,-0.98,-2.53,-0.98,INF,-1,1,7,0
840,1,1,-26.362,-9.941,-2.46,-0.93,-2.46,-0.93,INF,-1,1,7,0
860,1,1,-26.665,-9.635,-2.49,-0.90,-2.49,-0.90,INF,-1,1,7,0
880,1,1,-26.571,-11.153,-2.48,-1.04,-2.48,-1.04,INF,-1,1,7,0
900,1,1,-26.785,-11.055,-2.50,-1.03,-2.50,-1.03,INF,-1,1,7,0
920,1,1,-26.167,-10.952,-2.44,-1.02,-2.44,-1.02,INF,-1,1,7,0
940,1,1,-25.639,-11.088,-2.40,-1.04,-2.39,-1.04,INF,-1,1,7,0
960,1,1,-26.361,-10.184,-2.46,-0.95,-2.46,-0.95,INF,-1,1,7,0
980,1,1,-24.815,-9.871,-2.32,-0.92,-2.32,-0.92,INF,-1,1,7,0
1000,1,1,-26.021,-12.067,-2.43,-1.13,-2.43,-1.13,INF,-1,1,7,0
1020,1,1,-26.077,-11.611,-2.44,-1.08,-2.44,-1.09,INF,-1,1,7,0
1040,1,1,-25.705,-18.462,-2.40,-1.72,-2.40,-1.73,INF,-1,1,7,0
1060,1,1,-25.569,-21.495,-2.39,-2.01,-2.39,-2.01,INF,-1,1,7,0
1080,1,1,-26.034,-21.736,-2.43,-2.03,-2.43,-2.03,INF,-1,0,7,0
1100,1,1,-25.188,-21.549,-2.35,-2.01,-2.35,-2.01,INF,-1,0,7,0
1120,1,1,-25.535,-22.649,-2.39,-2.11,-2.38,-2.12,INF,-1,0,7,0
1140,1,1,-24.096,-22.171,-2.25,-2.07,-2.25,-2.07,INF,-1,0,7,0
1160,1,1,-26.258,-19.997,-2.45,-1.87,-2.45,-1.87,INF,-1,0,7,0
1180,1,1,-24.777,-21.131,-2.31,-1.97,-2.31,-1.97,INF,-1,0,7,0
1200,1,1,-24.446,-20.782,-2.28,-1.94,-2.28,-1.94,INF,-1,0,7,0
1220,1,1,-25.931,-21.341,-2.42,-1.99,-2.42,-1.99,INF,-1,0,7,0
1240,1,1,-25.603,-20.750,-2.39,-1.94,-2.39,-1.94,INF,-1,0,7,0
1260,1,1,-26.075,-22.497,-2.44,-2.10,-2.43,-2.10,INF,-1,0,7,0
1280,1,1,-24.908,-24.609,-2.33,-2.30,-2.32,-2.30,INF,-1,0,7,0
1300,1,1,-25.687,-25.572,-2.40,-2.39,-2.40,-2.39,INF,-1,0,7,0
1320,1,1,-24.356,-29.288,-2.28,-2.73,-2.27,-2.74,INF,-1,1,7,0
1340,1,1,-24.702,-27.116,-2.31,-2.53,-2.31,-2.53,INF,-1,1,7,0
1360,1,1,-24.718,-27.777,-2.31,-2.59,-2.31,-2.59,INF,-1,1,7,0
1380,1,1,-25.280,-28.338,-2.36,-2.64,-2.36,-2.65,INF,-1,1,7,0
1400,1,1,-26.687,-29.058,-2.49,-2.71,-2.49,-2.71,INF,-1,1,7,0
1420,1,1,-26.453,-27.136,-2.47,-2.53,-2.47,-2.53,INF,-1,1,7,0
1440,1,1,-26.504,-28.871,-2.48,-2.69,-2.47,-2.70,INF,-1,1,7,0
1460,1,1,-25.577,-28.147,-2.39,-2.63,-2.39,-2.63,INF,-1,1,7,0
1480,1,1,-26.735,-27.572,-2.50,-2.57,-2.49,-2.58,INF,-1,1,7,0
1500,1,1,-26.048,-28.313,-2.43,-2.64,-2.43,-2.64,INF,-1,1,7,0
1520,1,1,-26.046,-28.849,-2.43,-2.69,-2.43,-2.69,INF,-1,1,7,0
1540,1,1,-26.912,-27.976,-2.51,-2.61,-2.51,-2.61,INF,-1,1,7,0
1560,1,1,-27.726,-28.525,-2.59,-2.66,-2.59,-2.66,INF,-1,1,7,0
1580,1,1,-26.392,-29.352,-2.47,-2.74,-2.46,-2.74,INF,-1,1,7,0
1600,1,1,-26.196,-28.985,-2.45,-2.70,-2.44,-2.71,INF,-1,1,7,0
1620,1,1,-26.680,-28.870,-2.49,-2.69,-2.49,-2.70,INF,-1,1,7,0
1640,1,1,-26.653,-27.536,-2.49,-2.57,-2.49,-2.57,INF,-1,1,7,0
1660,1,1,-25.581,-28.315,-2.39,-2.64,-2.39,-2.64,INF,-1,1,7,0
1680,1,1,-25.235,-30.120,-2.36,-2.81,-2.35,-2.81,INF,-1,1,7,0
1700,1,1,-25.346,-27.904,-2.37,-2.60,-2.37,-2.61,INF,-1,1,7,0
1720,1,1,-25.233,-29.409,-2.36,-2.74,-2.35,-2.75,INF,-1,1,7,0
1740,1,1,-25.758,-28.106,-2.41,-2.62,-2.40,-2.63,INF,-1,1,7,0
1760,1,1,-26.925,-29.100,-2.52,-2.72,-2.51,-2.72,INF,-1,1,7,0
1780,1,1,-26.082,-28.824,-2.44,-2.69,-2.43,-2.69,INF,-1,1,7,0
1800,1,1,-25.153,-27.703,-2.35,-2.59,-2.35,-2.59,INF,-1,1,7,0
1820,1,1,-26.030,-28.626,-2.43,-2.67,-2.43,-2.67,INF,-1,1,7,0
1840,1,1,-24.374,-27.868,-2.28,-2.60,-2.27,-2.60,INF,-1,1,7,0
1860,1,1,-25.071,-27.791,-2.34,-2.59,-2.34,-2.60,INF,-1,1,7,0
1880,1,1,-26.893,-27.672,-2.51,-2.58,-2.51,-2.58,INF,-1,1,7,0
1900,1,1,-26.499,-27.709,-2.48,-2.59,-2.47,-2.59,INF,-1,1,7,0
1920,1,1,-27.413,-27.611,-2.56,-2.58,-2.56,-2.58,INF,-1,1,7,0
1940,1,1,-26.826,-27.149,-2.51,-2.53,-2.50,-2.54,INF,-1,1,7,0
1960,1,1,-27.226,-27.872,-2.54,-2.60,-2.54,-2.60,INF,-1,1,7,0
1980,1,1,-26.483,-27.677,-2.47,-2.58,-2.47,-2.59,INF,-1,1,7,0
2000,1,1,-26.614,-20.327,-2.49,-1.90,-2.48,-1.90,INF,-1,1,7,0
2020,1,1,-27.776,-12.631,-2.59,-1.18,-2.59,-1.18,INF,-1,1,7,0
2040,1,1,-28.767,-12.485,-2.69,-1.17,-2.69,-1.17,INF,-1,1,7,0
2060,1,1,-28.055,-12.441,-2.62,-1.16,-2.62,-1.16,INF,-1,1,7,0
2080,1,1,-28.671,-12.371,-2.68,-1.15,-2.68,-1.16,INF,-1,0,7,0
2100,1,1,-27.970,-12.210,-2.61,-1.14,-2.61,-1.14,INF,-1,0,7,0
2120,1,1,-28.969,-11.983,-2.71,-1.12,-2.71,-1.12,INF,-1,0,7,0
2140,1,1,-28.940,-11.029,-2.70,-1.03,-2.70,-1.03,INF,-1,0,7,0
2160,1,1,-28.025,-11.166,-2.62,-1.04,-2.62,-1.04,INF,-1,0,7,0
2180,1,1,-28.019,-10.865,-2.62,-1.01,-2.62,-1.02,INF,-1,0,7,0
2200,1,1,-27.678,-11.721,-2.59,-1.09,-2.58,-1.10,INF,-1,0,7,0
2220,1,1,-30.106,-11.126,-2.81,-1.04,-2.81,-1.04,INF,-1,0,7,0
2240,1,1,-28.719,-11.966,-2.68,-1.12,-2.68,-1.12,INF,-1,0,7,0
2260,1,1,-28.912,-10.841,-2.70,-1.01,-2.70,-1.01,INF,-1,0,7,0
