"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.11351
CalibrationParameters_A12,0.07674
CalibrationParameters_A13,-0.00795
CalibrationParameters_A21,0.06076
CalibrationParameters_A22,-1.19745
CalibrationParameters_A23,0.03855
CalibrationParameters_A31,0.00043
CalibrationParameters_A32,-0.01965
CalibrationParameters_E11,-0.18009
CalibrationParameters_E12,-0.00009
CalibrationParameters_E21,0.00012
CalibrationParameters_E22,0.19987
CalibrationParameters_X,16.18078
CalibrationParameters_Y,-46.80820
CalibrationParameters_Rpc,95.10805
CalibrationParameters_MeanX,189.16229
CalibrationParameters_MeanY,166.06891
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,15.370,-2.144,1.44,-0.20,1.44,-0.20,INF,-1,0,7,0
20,1,1,14.803,-2.421,1.38,-0.23,1.38,-0.23,INF,-1,0,7,0
40,1,1,14.544,-2.180,1.36,-0.20,1.36,-0.20,INF,-1,0,7,0
60,1,1,12.610,-4.328,1.18,-0.40,1.18,-0.40,INF,-1,0,7,0
80,1,1,12.792,-2.666,1.20,-0.25,1.20,-0.25,INF,-1,0,7,0
100,1,1,15.050,-4.205,1.41,-0.39,1.41,-0.39,INF,-1,0,7,0
120,1,1,15.529,-3.831,1.45,-0.36,1.45,-0.36,INF,-1,0,7,0
140,1,1,14.766,-4.561,1.38,-0.43,1.38,-0.43,INF,-1,0,7,0
160,1,1,12.873,-3.578,1.20,-0.33,1.20,-0.33,INF,-1,0,7,0
180,1,1,13.841,-3.750,1.29,-0.35,1.29,-0.35,INF,-1,0,7,0
200,1,1,13.746,-4.873,1.28,-0.46,1.28,-0.46,INF,-1,0,7,0
220,1,1,14.454,-5.059,1.35,-0.47,1.35,-0.47,INF,-1,0,7,0
240,1,1,15.238,-4.331,1.42,-0.40,1.42,-0.40,INF,-1,0,7,0
260,1,1,15.941,-4.269,1.49,-0.40,1.49,-0.40,INF,-1,0,7,0
280,1,1,13.795,-3.138,1.29,-0.29,1.29,-0.29,INF,-1,1,7,0
300,1,1,16.321,-5.668,1.53,-0.53,1.53,-0.53,INF,-1,1,7,0
320,1,1,14.907,-3.461,1.39,-0.32,1.39,-0.32,INF,-1,1,7,0
340,1,1,16.208,-4.468,1.51,-0.42,1.51,-0.42,INF,-1,1,7,0
360,1,1,13.350,-5.386,1.25,-0.50,1.25,-0.50,INF,-1,1,7,0
380,1,1,-6.959,-3.752,-0.65,-0.35,-0.65,-0.35,INF,-1,1,7,0
400,1,1,-9.639,-3.186,-0.90,-0.30,-0.90,-0.30,INF,-1,1,7,0
420,1,1,-10.386,-3.956,-0.97,-0.37,-0.97,-0.37,INF,-1,0,7,0
440,1,1,-11.554,-4.664,-1.08,-0.44,-1.08,-0.44,INF,-1,0,7,0
460,1,1,-11.627,-4.396,-1.09,-0.41,-1.09,-0.41,INF,-1,0,7,0
480,1,1,-11.552,-3.751,-1.08,-0.35,-1.08,-0.35,INF,-1,0,7,0
500,1,1,-10.277,-4.881,-0.96,-0.46,-0.96,-0.46,INF,-1,0,7,0
520,1,1,-11.145,-4.293,-1.04,-0.40,-1.04,-0.40,INF,-1,0,7,0
540,1,1,-9.743,-5.724,-0.91,-0.53,-0.91,-0.53,INF,-1,0,7,0
560,1,1,-11.689,-5.195,-1.09,-0.49,-1.09,-0.49,INF,-1,0,7,0
580,1,1,-10.047,-5.130,-0.94,-0.48,-0.94,-0.48,INF,-1,0,7,0
600,1,1,-7.435,-8.131,-0.69,-0.76,-0.69,-0.76,INF,-1,0,7,0
620,1,1,-21.292,-0.297,-1.99,-0.03,-1.99,-0.03,INF,-1,0,7,0
640,1,1,-25.447,1.144,-2.38,0.11,-2.38,0.11,INF,-1,0,7,0
660,1,1,-25.546,1.211,-2.39,0.11,-2.39,0.11,INF,-1,1,7,0
680,1,1,-27.028,1.761,-2.52,0.16,-2.52,0.16,INF,-1,0,7,0
700,1,1,-24.725,0.738,-2.31,0.07,-2.31,0.07,INF,-1,0,7,0
720,1,1,-27.894,1.290,-2.61,0.12,-2.61,0.12,INF,-1,0,7,0
740,1,1,-25.221,1.249,-2.36,0.12,-2.36,0.12,INF,-1,0,7,0
760,1,1,-24.820,0.566,-2.32,0.05,-2.32,0.05,INF,-1,0,7,0
780,1,1,-25.446,0.611,-2.38,0.06,-2.38,0.06,INF,-1,0,7,0
800,1,1,-27.355,1.730,-2.56,0.16,-2.56,0.16,INF,-1,0,7,0
820,1,1,-25.434,-0.028,-2.38,0.00,-2.38,0.00,INF,-1,0,7,0
840,1,1,-26.880,-0.445,-2.51,-0.04,-2.51,-0.04,INF,-1,0,7,0
860,1,1,-26.605,0.490,-2.49,0.05,-2.49,0.05,INF,-1,0,7,0
880,1,1,-27.492,-0.459,-2.57,-0.04,-2.57,-0.04,INF,-1,0,7,0
900,1,1,-28.297,-0.566,-2.64,-0.05,-2.64,-0.05,INF,-1,0,7,0
920,1,1,-24.908,-2.238,-2.33,-0.21,-2.33,-0.21,INF,-1,1,7,0
940,1,1,-28.319,0.668,-2.65,0.06,-2.65,0.06,INF,-1,1,7,0
960,1,1,-27.623,0.611,-2.58,0.06,-2.58,0.06,INF,-1,1,7,0
980,1,1,-27.737,-0.455,-2.59,-0.04,-2.59,-0.04,INF,-1,1,7,0
1000,1,1,-37.143,-3.205,-3.47,-0.30,-3.47,-0.30,INF,-1,1,7,0
1020,1,1,-38.863,-4.894,-3.63,-0.46,-3.63,-0.46,INF,-1,1,7,0
1040,1,1,-37.318,-6.010,-3.48,-0.56,-3.48,-0.56,INF,-1,0,7,0
1060,1,1,-38.429,-5.530,-3.59,-0.52,-3.59,-0.52,INF,-1,0,7,0
1080,1,1,-39.340,-5.288,-3.67,-0.49,-3.67,-0.49,INF,-1,0,7,0
1100,1,1,-38.993,-4.535,-3.64,-0.42,-3.64,-0.42,INF,-1,0,7,0
1120,1,1,-40.518,-4.103,-3.78,-0.38,-3.78,-0.38,INF,-1,0,7,0
1140,1,1,-37.552,-6.374,-3.51,-0.59,-3.51,-0.60,INF,-1,0,7,0
1160,1,1,-38.183,-4.586,-3.56,-0.43,-3.56,-0.43,INF,-1,0,7,0
1180,1,1,-37.748,-5.968,-3.52,-0.56,-3.52,-0.56,INF,-1,0,7,0
1200,1,1,-39.527,-5.360,-3.69,-0.50,-3.69,-0.50,INF,-1,0,7,0
1220,1,1,-41.159,-3.766,-3.84,-0.35,-3.84,-0.35,INF,-1,0,7,0
1240,1,1,-40.456,-5.966,-3.78,-0.56,-3.78,-0.56,INF,-1,0,7,0
1260,1,1,-37.679,-6.871,-3.52,-0.64,-3.52,-0.64,INF,-1,0,7,0
1280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1420,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1440,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1460,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1480,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1500,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1520,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1540,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1560,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1580,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1600,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1620,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1640,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1660,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1680,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1700,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1720,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1740,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1760,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1780,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1800,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1820,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1840,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1860,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1880,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1900,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1920,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1940,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1960,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1980,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2000,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2020,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2040,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2060,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2080,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2420,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2440,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2460,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2480,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2500,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2520,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
