"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.14976
CalibrationParameters_A12,0.06189
CalibrationParameters_A13,0.00182
CalibrationParameters_A21,0.09801
CalibrationParameters_A22,-1.15918
CalibrationParameters_A23,0.03010
CalibrationParameters_A31,0.00104
CalibrationParameters_A32,-0.02165
CalibrationParameters_E11,-0.17996
CalibrationParameters_E12,-0.00017
CalibrationParameters_E21,0.00012
CalibrationParameters_E22,0.19986
CalibrationParameters_X,11.99514
CalibrationParameters_Y,-47.29488
CalibrationParameters_Rpc,96.23032
CalibrationParameters_MeanX,171.79220
CalibrationParameters_MeanY,157.65026
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,1,1,-13.972,0.097,-1.31,0.01,-1.31,0.01,INF,-1,0,7,0
80,1,1,-12.266,-0.876,-1.15,-0.08,-1.15,-0.08,INF,-1,0,7,0
100,1,1,-11.603,0.679,-1.08,0.06,-1.08,0.06,INF,-1,0,7,0
120,1,1,-13.904,-0.084,-1.30,-0.01,-1.30,-0.01,INF,-1,0,7,0
140,1,1,-14.512,-0.056,-1.36,-0.01,-1.36,-0.01,INF,-1,0,7,0
160,1,1,-11.025,-1.120,-1.03,-0.10,-1.03,-0.10,INF,-1,0,7,0
180,1,1,-14.006,-0.191,-1.31,-0.02,-1.31,-0.02,INF,-1,0,7,0
200,1,1,-10.685,-2.165,-1.00,-0.20,-1.00,-0.20,INF,-1,0,7,0
220,1,1,-13.332,-0.005,-1.25,0.00,-1.25,0.00,INF,-1,0,7,0
240,1,1,-12.431,0.025,-1.16,0.00,-1.16,0.00,INF,-1,0,7,0
260,1,1,-12.318,0.181,-1.15,0.02,-1.15,0.02,INF,-1,0,7,0
280,1,1,-13.230,-0.536,-1.24,-0.05,-1.24,-0.05,INF,-1,0,7,0
300,1,1,-10.625,-1.765,-0.99,-0.16,-0.99,-0.16,INF,-1,0,7,0
320,1,1,-10.671,-2.162,-1.00,-0.20,-1.00,-0.20,INF,-1,0,7,0
340,1,1,4.798,0.410,0.45,0.04,0.45,0.04,INF,-1,1,7,0
360,1,1,4.776,-1.769,0.45,-0.17,0.45,-0.17,INF,-1,1,7,0
380,1,1,3.977,-0.280,0.37,-0.03,0.37,-0.03,INF,-1,0,7,0
400,1,1,5.771,-2.094,0.54,-0.20,0.54,-0.20,INF,-1,0,7,0
420,1,1,5.557,-1.566,0.52,-0.15,0.52,-0.15,INF,-1,0,7,0
440,1,1,3.943,1.615,0.37,0.15,0.37,0.15,INF,-1,0,7,0
460,1,1,6.038,-1.599,0.56,-0.15,0.56,-0.15,INF,-1,0,7,0
480,1,1,6.626,-1.044,0.62,-0.10,0.62,-0.10,INF,-1,0,7,0
500,1,1,4.567,0.905,0.43,0.08,0.43,0.08,INF,-1,0,7,0
520,1,1,7.058,-0.026,0.66,0.00,0.66,0.00,INF,-1,0,7,0
540,1,1,7.608,-0.416,0.71,-0.04,0.71,-0.04,INF,-1,0,7,0
560,1,1,6.802,-0.598,0.64,-0.06,0.64,-0.06,INF,-1,0,7,0
580,1,1,6.023,-1.546,0.56,-0.14,0.56,-0.14,INF,-1,0,7,0
600,1,1,5.743,-0.239,0.54,-0.02,0.54,-0.02,INF,-1,0,7,0
620,1,1,23.958,9.258,2.24,0.86,2.24,0.87,INF,-1,1,7,0
640,1,1,32.950,23.931,3.08,2.23,3.07,2.24,INF,-1,1,7,0
660,1,1,31.381,21.103,2.93,1.97,2.93,1.97,INF,-1,0,7,0
680,1,1,30.183,23.798,2.82,2.22,2.82,2.22,INF,-1,0,7,0
700,1,1,30.142,21.891,2.82,2.04,2.81,2.05,INF,-1,0,7,0
720,1,1,30.903,21.625,2.89,2.02,2.88,2.02,INF,-1,0,7,0
740,1,1,33.347,23.345,3.11,2.18,3.11,2.18,INF,-1,0,7,0
760,1,1,31.786,22.976,2.97,2.14,2.97,2.15,INF,-1,0,7,0
780,1,1,32.611,23.360,3.05,2.18,3.04,2.18,INF,-1,0,7,0
800,1,1,30.984,24.236,2.89,2.26,2.89,2.26,INF,-1,0,7,0
820,1,1,31.625,23.741,2.95,2.21,2.95,2.22,INF,-1,0,7,0
840,1,1,32.005,22.824,2.99,2.13,2.99,2.13,INF,-1,0,7,0
860,1,1,30.706,22.647,2.87,2.11,2.87,2.12,INF,-1,0,7,0
880,1,1,30.472,24.544,2.85,2.29,2.84,2.29,INF,-1,0,7,0
900,1,1,28.046,23.944,2.62,2.23,2.62,2.24,INF,-1,0,7,0
920,1,1,30.063,23.022,2.81,2.15,2.81,2.15,INF,-1,1,7,0
940,1,1,30.268,22.671,2.83,2.12,2.82,2.12,INF,-1,1,7,0
960,1,1,32.037,20.734,2.99,1.93,2.99,1.94,INF,-1,1,7,0
980,1,1,31.926,22.329,2.98,2.08,2.98,2.09,INF,-1,1,7,0
1000,1,1,34.032,31.458,3.18,2.93,3.17,2.94,INF,-1,1,7,0
1020,1,1,34.859,30.680,3.25,2.86,3.25,2.87,INF,-1,1,7,0
1040,1,1,31.745,30.328,2.96,2.83,2.96,2.83,INF,-1,1,7,0
1060,1,1,31.545,32.615,2.95,3.04,2.94,3.05,INF,-1,1,7,0
1080,1,1,30.893,30.987,2.89,2.89,2.88,2.89,INF,-1,1,7,0
1100,1,1,33.451,30.514,3.12,2.85,3.12,2.85,INF,-1,1,7,0
1120,1,1,33.154,31.546,3.10,2.94,3.09,2.95,INF,-1,1,7,0
1140,1,1,33.140,29.645,3.09,2.76,3.09,2.77,INF,-1,1,7,0
1160,1,1,35.402,29.848,3.31,2.78,3.30,2.79,INF,-1,1,7,0
1180,1,1,35.717,29.441,3.33,2.75,3.33,2.75,INF,-1,1,7,0
1200,1,1,35.632,30.740,3.33,2.87,3.32,2.87,INF,-1,1,7,0
1220,1,1,11.316,25.234,1.06,2.36,1.06,2.36,INF,-1,1,7,0
1240,1,1,-29.322,13.828,-2.74,1.29,-2.74,1.29,INF,-1,1,7,0
1260,1,1,-30.172,10.991,-2.82,1.03,-2.82,1.03,INF,-1,0,7,0
1280,1,1,-30.092,11.386,-2.81,1.06,-2.81,1.06,INF,-1,0,7,0
1300,1,1,-31.213,10.391,-2.91,0.97,-2.91,0.97,INF,-1,0,7,0
1320,1,1,-33.837,13.186,-3.16,1.23,-3.16,1.23,INF,-1,0,7,0
1340,1,1,-33.459,13.174,-3.12,1.23,-3.12,1.23,INF,-1,0,7,0
1360,1,1,-33.487,12.318,-3.13,1.15,-3.13,1.15,INF,-1,0,7,0
1380,1,1,-31.787,11.401,-2.97,1.06,-2.97,1.07,INF,-1,0,7,0
1400,1,1,-34.681,11.402,-3.24,1.06,-3.24,1.07,INF,-1,0,7,0
