"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.11583
CalibrationParameters_A12,0.07643
CalibrationParameters_A13,0.00740
CalibrationParameters_A21,0.08930
CalibrationParameters_A22,-1.16598
CalibrationParameters_A23,0.02485
CalibrationParameters_A31,0.00062
CalibrationParameters_A32,-0.01500
CalibrationParameters_E11,-0.17941
CalibrationParameters_E12,0.00027
CalibrationParameters_E21,0.00005
CalibrationParameters_E22,0.20007
CalibrationParameters_X,19.54916
CalibrationParameters_Y,-45.83407
CalibrationParameters_Rpc,93.02435
CalibrationParameters_MeanX,165.00241
CalibrationParameters_MeanY,183.27221
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,5.532,-20.635,0.52,-1.93,0.52,-1.93,INF,-1,0,7,0
20,1,1,6.300,-19.850,0.59,-1.85,0.59,-1.85,INF,-1,0,7,0
40,1,1,3.058,-19.585,0.29,-1.83,0.29,-1.83,INF,-1,0,7,0
60,1,1,3.735,-18.396,0.35,-1.72,0.35,-1.72,INF,-1,0,7,0
80,1,1,5.350,-20.134,0.50,-1.88,0.50,-1.88,INF,-1,0,7,0
100,1,1,4.317,-19.205,0.40,-1.79,0.40,-1.79,INF,-1,0,7,0
120,1,1,5.527,-19.777,0.52,-1.85,0.52,-1.85,INF,-1,0,7,0
140,1,1,4.500,-18.405,0.42,-1.72,0.42,-1.72,INF,-1,0,7,0
160,1,1,4.123,-19.657,0.39,-1.84,0.39,-1.84,INF,-1,0,7,0
180,1,1,6.249,-20.955,0.58,-1.96,0.58,-1.96,INF,-1,0,7,0
200,1,1,5.267,-19.372,0.49,-1.81,0.49,-1.81,INF,-1,0,7,0
220,1,1,3.543,-18.751,0.33,-1.75,0.33,-1.75,INF,-1,0,7,0
240,1,1,-6.116,10.209,-0.57,0.95,-0.57,0.95,INF,-1,0,7,0
260,1,1,-15.582,26.166,-1.46,2.44,-1.45,2.44,INF,-1,0,7,0
280,1,1,-12.642,19.054,-1.18,1.78,-1.18,1.78,INF,-1,0,7,0
300,1,1,-13.060,18.561,-1.22,1.73,-1.22,1.73,INF,-1,0,7,0
320,1,1,-14.837,18.895,-1.39,1.76,-1.39,1.77,INF,-1,0,7,0
340,1,1,-14.464,18.856,-1.35,1.76,-1.35,1.76,INF,-1,0,7,0
360,1,1,-13.734,18.957,-1.28,1.77,-1.28,1.77,INF,-1,0,7,0
380,1,1,-14.743,19.290,-1.38,1.80,-1.38,1.80,INF,-1,0,7,0
400,1,1,-14.866,18.909,-1.39,1.77,-1.39,1.77,INF,-1,0,7,0
420,1,1,-13.364,18.862,-1.25,1.76,-1.25,1.76,INF,-1,0,7,0
440,1,1,-14.676,19.426,-1.37,1.81,-1.37,1.82,INF,-1,0,7,0
460,1,1,-14.824,19.074,-1.39,1.78,-1.38,1.78,INF,-1,0,7,0
480,1,1,-15.237,19.453,-1.42,1.82,-1.42,1.82,INF,-1,1,7,0
500,1,1,-13.684,19.220,-1.28,1.80,-1.28,1.80,INF,-1,1,7,0
520,1,1,-13.787,19.088,-1.29,1.78,-1.29,1.78,INF,-1,1,7,0
540,1,1,-14.453,18.859,-1.35,1.76,-1.35,1.76,INF,-1,1,7,0
560,1,1,-14.496,19.463,-1.35,1.82,-1.35,1.82,INF,-1,1,7,0
580,1,1,-14.027,20.514,-1.31,1.92,-1.31,1.92,INF,-1,1,7,0
600,1,1,-14.552,20.182,-1.36,1.89,-1.36,1.89,INF,-1,1,7,0
620,1,1,-12.578,18.920,-1.18,1.77,-1.17,1.77,INF,-1,1,7,0
640,1,1,-11.529,21.405,-1.08,2.00,-1.08,2.00,INF,-1,1,7,0
660,1,1,-2.155,30.103,-0.20,2.81,-0.20,2.81,INF,-1,1,7,0
680,1,1,-4.080,28.092,-0.38,2.62,-0.38,2.62,INF,-1,1,7,0
700,1,1,-3.327,27.512,-0.31,2.57,-0.31,2.57,INF,-1,0,7,0
720,1,1,-3.458,28.507,-0.32,2.66,-0.32,2.66,INF,-1,0,7,0
740,1,1,-5.828,28.965,-0.54,2.71,-0.54,2.71,INF,-1,0,7,0
760,1,1,-3.753,27.735,-0.35,2.59,-0.35,2.59,INF,-1,0,7,0
780,1,1,-3.726,27.722,-0.35,2.59,-0.35,2.59,INF,-1,0,7,0
800,1,1,-2.124,27.063,-0.20,2.53,-0.20,2.53,INF,-1,0,7,0
820,1,1,-2.167,28.595,-0.20,2.67,-0.20,2.67,INF,-1,0,7,0
840,1,1,-3.957,28.871,-0.37,2.70,-0.37,2.70,INF,-1,0,7,0
860,1,1,-6.055,28.117,-0.57,2.63,-0.57,2.63,INF,-1,0,7,0
880,1,1,-3.410,32.914,-0.32,3.07,-0.32,3.07,INF,-1,0,7,0
900,1,1,-2.774,31.955,-0.26,2.98,-0.26,2.98,INF,-1,0,7,0
920,1,1,-1.468,30.568,-0.14,2.85,-0.14,2.85,INF,-1,0,7,0
940,1,1,-1.267,30.631,-0.12,2.86,-0.12,2.86,INF,-1,1,7,0
960,1,1,-2.900,30.401,-0.27,2.84,-0.27,2.84,INF,-1,1,7,0
980,1,1,-2.672,30.292,-0.25,2.83,-0.25,2.83,INF,-1,1,7,0
1000,1,1,-2.484,29.522,-0.23,2.76,-0.23,2.76,INF,-1,1,7,0
1020,1,1,-4.348,29.458,-0.41,2.75,-0.41,2.75,INF,-1,1,7,0
1040,1,1,-0.014,29.100,0.00,2.72,0.00,2.72,INF,-1,1,7,0
1060,1,1,-1.908,29.669,-0.18,2.77,-0.18,2.77,INF,-1,1,7,0
1080,1,1,-0.332,27.750,-0.03,2.59,-0.03,2.59,INF,-1,1,7,0
1100,1,1,-1.371,28.903,-0.13,2.70,-0.13,2.70,INF,-1,1,7,0
1120,1,1,-2.312,28.331,-0.22,2.65,-0.22,2.65,INF,-1,1,7,0
1140,1,1,-1.826,28.649,-0.17,2.68,-0.17,2.68,INF,-1,1,7,0
1160,1,1,-1.844,28.405,-0.17,2.65,-0.17,2.65,INF,-1,1,7,0
1180,1,1,-2.601,29.638,-0.24,2.77,-0.24,2.77,INF,-1,1,7,0
1200,1,1,-10.479,22.920,-0.98,2.14,-0.98,2.14,INF,-1,1,7,0
1220,1,1,-11.057,20.703,-1.03,1.93,-1.03,1.93,INF,-1,1,7,0
1240,1,1,-11.449,22.141,-1.07,2.07,-1.07,2.07,INF,-1,1,7,0
1260,1,1,-9.073,20.474,-0.85,1.91,-0.85,1.91,INF,-1,0,7,0
1280,1,1,-11.316,20.517,-1.06,1.92,-1.06,1.92,INF,-1,0,7,0
1300,1,1,-10.722,20.878,-1.00,1.95,-1.00,1.95,INF,-1,0,7,0
1320,1,1,-10.504,20.416,-0.98,1.91,-0.98,1.91,INF,-1,0,7,0
1340,1,1,-11.115,20.653,-1.04,1.93,-1.04,1.93,INF,-1,0,7,0
1360,1,1,-10.792,20.246,-1.01,1.89,-1.01,1.89,INF,-1,0,7,0
1380,1,1,-12.720,20.798,-1.19,1.94,-1.19,1.94,INF,-1,0,7,0
1400,1,1,-10.512,18.779,-0.98,1.75,-0.98,1.75,INF,-1,0,7,0
1420,1,1,-11.849,18.587,-1.11,1.74,-1.11,1.74,INF,-1,0,7,0
1440,1,1,-11.636,19.343,-1.09,1.81,-1.09,1.81,INF,-1,0,7,0
1460,1,1,-11.756,18.712,-1.10,1.75,-1.10,1.75,INF,-1,0,7,0
1480,1,1,-10.218,18.344,-0.96,1.71,-0.95,1.71,INF,-1,0,7,0
1500,1,1,-11.637,19.530,-1.09,1.82,-1.09,1.82,INF,-1,1,7,0
1520,1,1,-8.253,17.004,-0.77,1.59,-0.77,1.59,INF,-1,1,7,0
1540,1,1,-7.270,18.167,-0.68,1.70,-0.68,1.70,INF,-1,1,7,0
1560,1,1,-6.112,16.473,-0.57,1.54,-0.57,1.54,INF,-1,1,7,0
1580,1,1,-6.944,16.676,-0.65,1.56,-0.65,1.56,INF,-1,1,7,0
1600,1,1,-5.055,16.602,-0.47,1.55,-0.47,1.55,INF,-1,1,7,0
1620,1,1,-4.578,15.609,-0.43,1.46,-0.43,1.46,INF,-1,1,7,0
1640,1,1,-5.065,18.339,-0.47,1.71,-0.47,1.71,INF,-1,1,7,0
1660,1,1,-5.047,17.075,-0.47,1.60,-0.47,1.60,INF,-1,1,7,0
1680,1,1,-5.569,16.401,-0.52,1.53,-0.52,1.53,INF,-1,1,7,0
1700,1,1,-6.744,18.271,-0.63,1.71,-0.63,1.71,INF,-1,1,7,0
1720,1,1,-6.665,17.779,-0.62,1.66,-0.62,1.66,INF,-1,1,7,0
1740,1,1,-6.108,17.455,-0.57,1.63,-0.57,1.63,INF,-1,1,7,0
1760,1,1,-6.100,17.126,-0.57,1.60,-0.57,1.60,INF,-1,1,7,0
1780,1,1,-6.014,16.845,-0.56,1.57,-0.56,1.57,INF,-1,1,7,0
1800,1,1,-4.613,16.000,-0.43,1.50,-0.43,1.50,INF,-1,1,7,0
1820,1,1,-6.156,17.889,-0.58,1.67,-0.58,1.67,INF,-1,1,7,0
1840,1,1,-4.439,17.806,-0.41,1.66,-0.41,1.66,INF,-1,1,7,0
1860,1,1,-5.019,15.847,-0.47,1.48,-0.47,1.48,INF,-1,1,7,0
1880,1,1,-4.247,16.871,-0.40,1.58,-0.40,1.58,INF,-1,1,7,0
1900,1,1,-4.860,16.615,-0.45,1.55,-0.45,1.55,INF,-1,1,7,0
1920,1,1,-2.686,16.206,-0.25,1.51,-0.25,1.51,INF,-1,1,7,0
1940,1,1,-4.598,16.288,-0.43,1.52,-0.43,1.52,INF,-1,1,7,0
1960,1,1,-4.219,15.887,-0.39,1.48,-0.39,1.48,INF,-1,1,7,0
1980,1,1,-4.758,16.374,-0.44,1.53,-0.44,1.53,INF,-1,1,7,0
2000,1,1,-3.981,17.268,-0.37,1.61,-0.37,1.61,INF,-1,1,7,0
2020,1,1,-2.647,15.120,-0.25,1.41,-0.25,1.41,INF,-1,1,7,0
2040,1,1,-4.769,16.200,-0.45,1.51,-0.45,1.51,INF,-1,1,7,0
2060,1,1,-7.263,17.157,-0.68,1.60,-0.68,1.60,INF,-1,1,7,0
2080,1,1,-15.298,19.060,-1.43,1.78,-1.43,1.78,INF,-1,1,7,0
2100,1,1,-12.811,17.402,-1.20,1.63,-1.20,1.63,INF,-1,1,7,0
2120,1,1,-12.014,17.246,-1.12,1.61,-1.12,1.61,INF,-1,1,7,0
2140,1,1,-12.603,18.201,-1.18,1.70,-1.18,1.70,INF,-1,1,7,0
2160,1,1,-14.043,19.108,-1.31,1.78,-1.31,1.79,INF,-1,1,7,0
2180,1,1,-15.182,18.287,-1.42,1.71,-1.42,1.71,INF,-1,1,7,0
2200,1,1,-14.922,17.447,-1.39,1.63,-1.39,1.63,INF,-1,1,7,0
2220,1,1,-14.095,16.314,-1.32,1.52,-1.32,1.52,INF,-1,1,7,0
2240,1,1,-15.474,17.280,-1.45,1.61,-1.45,1.61,INF,-1,1,7,0
2260,1,1,-14.297,17.034,-1.34,1.59,-1.34,1.59,INF,-1,1,7,0
2280,1,1,-14.795,16.974,-1.38,1.59,-1.38,1.59,INF,-1,1,7,0
2300,1,1,-14.067,17.958,-1.31,1.68,-1.31,1.68,INF,-1,1,7,0
2320,1,1,-14.110,17.481,-1.32,1.63,-1.32,1.63,INF,-1,1,7,0
2340,1,1,-12.853,17.230,-1.20,1.61,-1.20,1.61,INF,-1,1,7,0
2360,1,1,-3.784,21.807,-0.35,2.04,-0.35,2.04,INF,-1,1,7,0
2380,1,1,-3.541,24.807,-0.33,2.32,-0.33,2.32,INF,-1,1,7,0
2400,1,1,-4.134,22.841,-0.39,2.13,-0.39,2.13,INF,-1,1,7,0
2420,1,1,-2.890,22.464,-0.27,2.10,-0.27,2.10,INF,-1,1,7,0
2440,1,1,-3.348,23.058,-0.31,2.15,-0.31,2.15,INF,-1,1,7,0
2460,1,1,-2.358,23.327,-0.22,2.18,-0.22,2.18,INF,-1,1,7,0
2480,1,1,-2.001,23.380,-0.19,2.18,-0.19,2.18,INF,-1,1,7,0
2500,1,1,-2.646,22.895,-0.25,2.14,-0.25,2.14,INF,-1,1,7,0
2520,1,1,-4.348,23.689,-0.41,2.21,-0.41,2.21,INF,-1,1,7,0
2540,1,1,-3.424,25.045,-0.32,2.34,-0.32,2.34,INF,-1,1,7,0
2560,1,1,-2.700,23.990,-0.25,2.24,-0.25,2.24,INF,-1,1,7,0
2580,1,1,-3.738,23.555,-0.35,2.20,-0.35,2.20,INF,-1,1,7,0
2600,1,1,-2.261,24.488,-0.21,2.29,-0.21,2.29,INF,-1,1,7,0
2620,1,1,-4.838,24.644,-0.45,2.30,-0.45,2.30,INF,-1,1,7,0
2640,1,1,-1.968,23.548,-0.18,2.20,-0.18,2.20,INF,-1,1,7,0
2660,1,1,-4.845,24.370,-0.45,2.28,-0.45,2.28,INF,-1,1,7,0
2680,1,1,-3.019,23.640,-0.28,2.21,-0.28,2.21,INF,-1,1,7,0
2700,1,1,-1.996,28.907,-0.19,2.70,-0.19,2.70,INF,-1,1,7,0
2720,1,1,0.088,26.235,0.01,2.45,0.01,2.45,INF,-1,1,7,0
