"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.13999
CalibrationParameters_A12,0.06977
CalibrationParameters_A13,-0.00543
CalibrationParameters_A21,0.08701
CalibrationParameters_A22,-1.17358
CalibrationParameters_A23,0.01968
CalibrationParameters_A31,0.00077
CalibrationParameters_A32,-0.02070
CalibrationParameters_E11,-0.17998
CalibrationParameters_E12,-0.00008
CalibrationParameters_E21,-0.00028
CalibrationParameters_E22,0.20007
CalibrationParameters_X,13.05045
CalibrationParameters_Y,-47.01733
CalibrationParameters_Rpc,94.86079
CalibrationParameters_MeanX,193.07123
CalibrationParameters_MeanY,165.13667
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-16.527,-9.270,-1.54,-0.87,-1.54,-0.87,INF,-1,0,7,0
20,1,1,-17.493,-8.678,-1.63,-0.81,-1.63,-0.81,INF,-1,0,7,0
40,1,1,-14.857,-9.800,-1.39,-0.92,-1.39,-0.92,INF,-1,0,7,0
60,1,1,-18.361,-9.150,-1.72,-0.85,-1.72,-0.86,INF,-1,0,7,0
80,1,1,-17.832,-8.698,-1.67,-0.81,-1.67,-0.81,INF,-1,0,7,0
100,1,1,-18.303,-8.821,-1.71,-0.82,-1.71,-0.82,INF,-1,0,7,0
120,1,1,-16.731,-10.123,-1.56,-0.95,-1.56,-0.95,INF,-1,0,7,0
140,1,1,-16.122,-8.372,-1.51,-0.78,-1.51,-0.78,INF,-1,0,7,0
160,1,1,-16.634,-8.864,-1.55,-0.83,-1.55,-0.83,INF,-1,0,7,0
180,1,1,-16.488,-8.339,-1.54,-0.78,-1.54,-0.78,INF,-1,0,7,0
200,1,1,-16.123,-9.549,-1.51,-0.89,-1.51,-0.89,INF,-1,0,7,0
220,1,1,-17.259,-8.416,-1.61,-0.79,-1.61,-0.79,INF,-1,0,7,0
240,1,1,-1.373,27.243,-0.13,2.54,-0.13,2.54,INF,-1,0,7,0
260,1,1,-3.030,23.858,-0.28,2.23,-0.28,2.23,INF,-1,0,7,0
280,1,1,-5.114,24.819,-0.48,2.32,-0.48,2.32,INF,-1,0,7,0
300,1,1,-2.845,24.775,-0.27,2.31,-0.27,2.31,INF,-1,0,7,0
320,1,1,-2.417,23.249,-0.23,2.17,-0.23,2.17,INF,-1,0,7,0
340,1,1,-3.038,23.307,-0.28,2.18,-0.28,2.18,INF,-1,0,7,0
360,1,1,-3.477,22.647,-0.33,2.12,-0.32,2.12,INF,-1,0,7,0
380,1,1,-4.774,23.475,-0.45,2.19,-0.45,2.19,INF,-1,0,7,0
400,1,1,-3.725,22.187,-0.35,2.07,-0.35,2.07,INF,-1,0,7,0
420,1,1,-5.639,24.057,-0.53,2.25,-0.53,2.25,INF,-1,0,7,0
440,1,1,-4.253,22.292,-0.40,2.08,-0.40,2.08,INF,-1,1,7,0
460,1,1,-3.693,22.525,-0.35,2.10,-0.34,2.10,INF,-1,1,7,0
480,1,1,-8.896,24.066,-0.83,2.25,-0.83,2.25,INF,-1,1,7,0
500,1,1,-10.872,23.509,-1.02,2.20,-1.02,2.20,INF,-1,1,7,0
520,1,1,-10.568,25.555,-0.99,2.39,-0.99,2.39,INF,-1,1,7,0
540,1,1,-11.276,24.497,-1.05,2.29,-1.05,2.29,INF,-1,1,7,0
560,1,1,-10.760,23.530,-1.01,2.20,-1.00,2.20,INF,-1,1,7,0
580,1,1,-8.635,23.540,-0.81,2.20,-0.81,2.20,INF,-1,1,7,0
600,1,1,-9.042,22.879,-0.85,2.14,-0.84,2.14,INF,-1,1,7,0
620,1,1,-8.597,22.767,-0.80,2.13,-0.80,2.13,INF,-1,1,7,0
640,1,1,-8.391,23.762,-0.78,2.22,-0.78,2.22,INF,-1,1,7,0
660,1,1,-10.463,24.986,-0.98,2.33,-0.98,2.33,INF,-1,1,7,0
680,1,1,-13.470,22.644,-1.26,2.12,-1.26,2.12,INF,-1,1,7,0
700,1,1,-39.267,12.351,-3.67,1.15,-3.66,1.15,INF,-1,1,7,0
720,1,1,-36.430,12.567,-3.40,1.17,-3.40,1.17,INF,-1,1,7,0
740,1,1,-36.971,12.364,-3.45,1.15,-3.45,1.16,INF,-1,0,7,0
760,1,1,-37.100,12.774,-3.46,1.19,-3.46,1.19,INF,-1,0,7,0
780,1,1,-37.399,12.430,-3.49,1.16,-3.49,1.16,INF,-1,0,7,0
800,1,1,-38.241,11.651,-3.57,1.09,-3.57,1.09,INF,-1,0,7,0
820,1,1,-37.375,11.896,-3.49,1.11,-3.49,1.11,INF,-1,0,7,0
840,1,1,-38.042,13.112,-3.55,1.22,-3.55,1.23,INF,-1,0,7,0
860,1,1,-38.166,11.910,-3.56,1.11,-3.56,1.11,INF,-1,0,7,0
880,1,1,-35.927,11.361,-3.35,1.06,-3.35,1.06,INF,-1,0,7,0
900,1,1,-37.395,11.188,-3.49,1.04,-3.49,1.05,INF,-1,0,7,0
920,1,1,-38.627,12.173,-3.61,1.14,-3.60,1.14,INF,-1,0,7,0
940,1,1,-37.516,10.932,-3.50,1.02,-3.50,1.02,INF,-1,0,7,0
960,1,1,-36.343,11.332,-3.39,1.06,-3.39,1.06,INF,-1,0,7,0
980,1,1,-36.996,11.980,-3.45,1.12,-3.45,1.12,INF,-1,1,7,0
1000,1,1,-38.350,12.956,-3.58,1.21,-3.58,1.21,INF,-1,1,7,0
1020,1,1,-34.144,14.767,-3.19,1.38,-3.19,1.38,INF,-1,1,7,0
1040,1,1,-33.337,16.268,-3.11,1.52,-3.11,1.52,INF,-1,1,7,0
1060,1,1,-34.608,17.493,-3.23,1.63,-3.23,1.63,INF,-1,1,7,0
1080,1,1,-34.342,16.116,-3.21,1.50,-3.21,1.51,INF,-1,1,7,0
1100,1,1,-33.082,15.867,-3.09,1.48,-3.09,1.48,INF,-1,1,7,0
1120,1,1,-30.631,15.540,-2.86,1.45,-2.86,1.45,INF,-1,1,7,0
1140,1,1,-33.832,17.825,-3.16,1.66,-3.16,1.67,INF,-1,1,7,0
1160,1,1,-33.391,17.640,-3.12,1.65,-3.12,1.65,INF,-1,1,7,0
1180,1,1,-30.473,14.752,-2.85,1.38,-2.85,1.38,INF,-1,1,7,0
1200,1,1,-32.904,17.118,-3.07,1.60,-3.07,1.60,INF,-1,1,7,0
1220,1,1,-32.769,15.887,-3.06,1.48,-3.06,1.48,INF,-1,1,7,0
1240,1,1,-33.236,16.267,-3.10,1.52,-3.10,1.52,INF,-1,1,7,0
1260,1,1,-31.959,16.232,-2.98,1.51,-2.98,1.52,INF,-1,1,7,0
1280,1,1,-32.683,16.779,-3.05,1.57,-3.05,1.57,INF,-1,1,7,0
1300,1,1,-31.001,15.331,-2.90,1.43,-2.89,1.43,INF,-1,1,7,0
1320,1,1,-33.814,16.268,-3.16,1.52,-3.16,1.52,INF,-1,1,7,0
1340,1,1,-32.587,15.204,-3.04,1.42,-3.04,1.42,INF,-1,1,7,0
1360,1,1,-34.068,16.305,-3.18,1.52,-3.18,1.52,INF,-1,1,7,0
1380,1,1,-36.746,12.471,-3.43,1.16,-3.43,1.17,INF,-1,1,7,0
1400,1,1,-34.890,7.042,-3.26,0.66,-3.26,0.66,INF,-1,1,7,0
1420,1,1,-37.824,8.006,-3.53,0.75,-3.53,0.75,INF,-1,1,7,0
1440,1,1,-35.786,6.713,-3.34,0.63,-3.34,0.63,INF,-1,1,7,0
1460,1,1,-36.886,6.634,-3.44,0.62,-3.44,0.62,INF,-1,1,7,0
1480,1,1,-37.597,6.144,-3.51,0.57,-3.51,0.57,INF,-1,1,7,0
1500,1,1,-36.178,6.030,-3.38,0.56,-3.38,0.56,INF,-1,1,7,0
1520,1,1,-35.371,4.600,-3.30,0.43,-3.30,0.43,INF,-1,1,7,0
1540,1,1,-21.638,-0.205,-2.02,-0.02,-2.02,-0.02,INF,-1,1,7,0
1560,1,1,-23.544,-0.350,-2.20,-0.03,-2.20,-0.03,INF,-1,1,7,0
1580,1,1,-21.792,-0.532,-2.04,-0.05,-2.04,-0.05,INF,-1,0,7,0
1600,1,1,-19.715,-3.000,-1.84,-0.28,-1.84,-0.28,INF,-1,0,7,0
1620,1,1,-21.170,-2.914,-1.98,-0.27,-1.98,-0.27,INF,-1,0,7,0
1640,1,1,-22.146,-3.251,-2.07,-0.30,-2.07,-0.30,INF,-1,0,7,0
1660,1,1,-20.583,-2.518,-1.92,-0.24,-1.92,-0.24,INF,-1,0,7,0
1680,1,1,-20.778,-2.643,-1.94,-0.25,-1.94,-0.25,INF,-1,0,7,0
1700,1,1,-21.094,-2.454,-1.97,-0.23,-1.97,-0.23,INF,-1,0,7,0
1720,1,1,-21.908,-2.547,-2.05,-0.24,-2.05,-0.24,INF,-1,0,7,0
1740,1,1,-21.574,-2.988,-2.02,-0.28,-2.02,-0.28,INF,-1,0,7,0
1760,1,1,-22.947,-2.250,-2.14,-0.21,-2.14,-0.21,INF,-1,0,7,0
1780,1,1,-26.190,-3.811,-2.45,-0.36,-2.45,-0.36,INF,-1,0,7,0
1800,1,1,-25.738,-2.108,-2.40,-0.20,-2.40,-0.20,INF,-1,0,7,0
1820,1,1,-24.859,-2.105,-2.32,-0.20,-2.32,-0.20,INF,-1,1,7,0
1840,1,1,-23.196,-4.470,-2.17,-0.42,-2.17,-0.42,INF,-1,1,7,0
1860,1,1,-24.673,-2.480,-2.30,-0.23,-2.30,-0.23,INF,-1,1,7,0
1880,1,1,-24.866,-3.943,-2.32,-0.37,-2.32,-0.37,INF,-1,1,7,0
1900,1,1,-23.881,-2.550,-2.23,-0.24,-2.23,-0.24,INF,-1,1,7,0
1920,1,1,-25.068,-3.325,-2.34,-0.31,-2.34,-0.31,INF,-1,1,7,0
1940,1,1,-26.111,-1.286,-2.44,-0.12,-2.44,-0.12,INF,-1,1,7,0
1960,1,1,-25.759,-3.738,-2.41,-0.35,-2.41,-0.35,INF,-1,1,7,0
1980,1,1,-25.705,-3.107,-2.40,-0.29,-2.40,-0.29,INF,-1,1,7,0
2000,1,1,-25.165,-3.018,-2.35,-0.28,-2.35,-0.28,INF,-1,1,7,0
2020,1,1,-25.474,-2.719,-2.38,-0.25,-2.38,-0.25,INF,-1,1,7,0
2040,1,1,-24.386,-3.918,-2.28,-0.37,-2.28,-0.37,INF,-1,1,7,0
2060,1,1,-24.142,-4.028,-2.26,-0.38,-2.26,-0.38,INF,-1,1,7,0
2080,1,1,-19.807,1.553,-1.85,0.15,-1.85,0.15,INF,-1,1,7,0
2100,1,1,-22.720,1.263,-2.12,0.12,-2.12,0.12,INF,-1,1,7,0
2120,1,1,-21.746,0.169,-2.03,0.02,-2.03,0.02,INF,-1,1,7,0
2140,1,1,-23.041,1.234,-2.15,0.12,-2.15,0.12,INF,-1,1,7,0
2160,1,1,-22.386,1.336,-2.09,0.12,-2.09,0.12,INF,-1,1,7,0
2180,1,1,-22.339,2.083,-2.09,0.19,-2.09,0.19,INF,-1,1,7,0
2200,1,1,-21.141,1.680,-1.98,0.16,-1.98,0.16,INF,-1,1,7,0
2220,1,1,-21.863,2.269,-2.04,0.21,-2.04,0.21,INF,-1,1,7,0
2240,1,1,-24.915,2.524,-2.33,0.24,-2.33,0.24,INF,-1,1,7,0
2260,1,1,-35.501,15.122,-3.31,1.41,-3.31,1.41,INF,-1,1,7,0
2280,1,1,-35.438,15.527,-3.31,1.45,-3.31,1.45,INF,-1,1,7,0
2300,1,1,-35.197,14.115,-3.29,1.32,-3.29,1.32,INF,-1,0,7,0
2320,1,1,-35.450,13.731,-3.31,1.28,-3.31,1.28,INF,-1,0,7,0
2340,1,1,8.414,-103.953,0.79,-9.62,0.78,-9.62,INF,-1,0,7,0
2360,1,1,-34.221,14.958,-3.20,1.40,-3.19,1.40,INF,-1,0,7,0
2380,1,1,-34.389,14.599,-3.21,1.36,-3.21,1.36,INF,-1,0,7,0
2400,1,1,-36.901,15.936,-3.44,1.49,-3.44,1.49,INF,-1,0,7,0
2420,1,1,-35.835,15.297,-3.35,1.43,-3.34,1.43,INF,-1,0,7,0
2440,1,1,-35.022,15.118,-3.27,1.41,-3.27,1.41,INF,-1,0,7,0
2460,1,1,-33.589,14.834,-3.14,1.38,-3.14,1.39,INF,-1,0,7,0
2480,1,1,-36.185,15.313,-3.38,1.43,-3.38,1.43,INF,-1,0,7,0
2500,1,1,-35.375,15.852,-3.30,1.48,-3.30,1.48,INF,-1,0,7,0
2520,1,1,-34.793,19.622,-3.25,1.83,-3.25,1.83,INF,-1,0,7,0
2540,1,1,-34.895,17.789,-3.26,1.66,-3.26,1.66,INF,-1,1,7,0
2560,1,1,-35.326,18.636,-3.30,1.74,-3.30,1.74,INF,-1,0,7,0
2580,1,1,-34.338,18.241,-3.21,1.70,-3.20,1.70,INF,-1,0,7,0
2600,1,1,-33.890,17.622,-3.16,1.64,-3.16,1.65,INF,-1,0,7,0
2620,1,1,-33.538,17.411,-3.13,1.62,-3.13,1.63,INF,-1,0,7,0
2640,1,1,-33.456,17.747,-3.12,1.66,-3.12,1.66,INF,-1,0,7,0
2660,1,1,-34.294,17.112,-3.20,1.60,-3.20,1.60,INF,-1,0,7,0
2680,1,1,-34.044,17.339,-3.18,1.62,-3.18,1.62,INF,-1,0,7,0
2700,1,1,-34.379,17.325,-3.21,1.62,-3.21,1.62,INF,-1,0,7,0
2720,1,1,-33.052,15.491,-3.09,1.45,-3.09,1.45,INF,-1,0,7,0
2740,1,1,-34.339,18.209,-3.21,1.70,-3.20,1.70,INF,-1,0,7,0
2760,1,1,-33.896,17.674,-3.16,1.65,-3.16,1.65,INF,-1,0,7,0
2780,1,1,-33.715,17.953,-3.15,1.68,-3.15,1.68,INF,-1,0,7,0
2800,1,1,-10.345,27.652,-0.97,2.58,-0.97,2.58,INF,-1,1,7,0
2820,1,1,-13.043,25.112,-1.22,2.35,-1.22,2.35,INF,-1,1,7,0
2840,1,1,-12.789,25.076,-1.20,2.34,-1.19,2.34,INF,-1,0,7,0
2860,1,1,-13.415,26.437,-1.25,2.47,-1.25,2.47,INF,-1,0,7,0
2880,1,1,-13.489,25.643,-1.26,2.39,-1.26,2.40,INF,-1,0,7,0
2900,1,1,-12.869,25.538,-1.20,2.39,-1.20,2.39,INF,-1,0,7,0
2920,1,1,-13.366,25.437,-1.25,2.38,-1.25,2.38,INF,-1,0,7,0
2940,1,1,-12.951,25.638,-1.21,2.39,-1.21,2.39,INF,-1,0,7,0
2960,1,1,-12.350,26.571,-1.15,2.48,-1.15,2.48,INF,-1,0,7,0
2980,1,1,-9.949,24.997,-0.93,2.33,-0.93,2.34,INF,-1,0,7,0
3000,1,1,-10.251,26.120,-0.96,2.44,-0.96,2.44,INF,-1,0,7,0
3020,1,1,-9.917,25.551,-0.93,2.39,-0.93,2.39,INF,-1,0,7,0
3040,1,1,-8.416,24.688,-0.79,2.31,-0.79,2.31,INF,-1,0,7,0
3060,1,1,-10.194,26.582,-0.95,2.48,-0.95,2.48,INF,-1,0,7,0
3080,1,1,-7.475,26.436,-0.70,2.47,-0.70,2.47,INF,-1,1,7,0
3100,1,1,-7.662,24.760,-0.72,2.31,-0.72,2.31,INF,-1,1,7,0
3120,1,1,-8.420,25.034,-0.79,2.34,-0.79,2.34,INF,-1,1,7,0
3140,1,1,-10.436,26.301,-0.98,2.46,-0.97,2.46,INF,-1,1,7,0
3160,1,1,-10.162,26.469,-0.95,2.47,-0.95,2.47,INF,-1,1,7,0
3180,1,1,-8.886,26.092,-0.83,2.44,-0.83,2.44,INF,-1,1,7,0
3200,1,1,-8.113,25.764,-0.76,2.41,-0.76,2.41,INF,-1,1,7,0
