"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.15723
CalibrationParameters_A12,0.08107
CalibrationParameters_A13,-0.00964
CalibrationParameters_A21,0.07279
CalibrationParameters_A22,-1.16384
CalibrationParameters_A23,0.01387
CalibrationParameters_A31,0.00049
CalibrationParameters_A32,-0.01823
CalibrationParameters_E11,-0.17980
CalibrationParameters_E12,0.00014
CalibrationParameters_E21,-0.00029
CalibrationParameters_E22,0.20026
CalibrationParameters_X,14.44029
CalibrationParameters_Y,-46.45485
CalibrationParameters_Rpc,93.04587
CalibrationParameters_MeanX,181.30536
CalibrationParameters_MeanY,156.26273
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-25.289,22.123,-2.36,2.07,-2.36,2.07,INF,-1,0,7,0
20,1,1,-26.644,21.760,-2.49,2.03,-2.49,2.03,INF,-1,0,7,0
40,1,1,-25.921,20.109,-2.42,1.88,-2.42,1.88,INF,-1,0,7,0
60,1,1,-25.697,20.845,-2.40,1.95,-2.40,1.95,INF,-1,0,7,0
80,1,1,-24.955,20.873,-2.33,1.95,-2.33,1.95,INF,-1,0,7,0
100,1,1,-25.087,20.831,-2.34,1.94,-2.34,1.95,INF,-1,0,7,0
120,1,1,-24.089,21.144,-2.25,1.97,-2.25,1.98,INF,-1,0,7,0
140,1,1,-24.075,20.920,-2.25,1.95,-2.25,1.95,INF,-1,0,7,0
160,1,1,-23.679,19.470,-2.21,1.82,-2.21,1.82,INF,-1,0,7,0
180,1,1,-24.835,20.307,-2.32,1.90,-2.32,1.90,INF,-1,0,7,0
200,1,1,-25.471,20.032,-2.38,1.87,-2.38,1.87,INF,-1,0,7,0
220,1,1,-25.857,19.808,-2.42,1.85,-2.41,1.85,INF,-1,0,7,0
240,1,1,-24.508,18.728,-2.29,1.75,-2.29,1.75,INF,-1,0,7,0
260,1,1,-3.411,8.451,-0.32,0.79,-0.32,0.79,INF,-1,0,7,0
280,1,1,-7.453,8.938,-0.70,0.84,-0.70,0.84,INF,-1,1,7,0
300,1,1,-6.985,9.093,-0.65,0.85,-0.65,0.85,INF,-1,0,7,0
320,1,1,-7.790,7.113,-0.73,0.66,-0.73,0.66,INF,-1,0,7,0
340,1,1,-7.483,7.858,-0.70,0.73,-0.70,0.73,INF,-1,0,7,0
360,1,1,-8.778,6.468,-0.82,0.60,-0.82,0.60,INF,-1,0,7,0
380,1,1,-8.186,6.991,-0.77,0.65,-0.77,0.65,INF,-1,0,7,0
400,1,1,-6.805,6.288,-0.64,0.59,-0.64,0.59,INF,-1,0,7,0
420,1,1,-6.152,6.312,-0.58,0.59,-0.57,0.59,INF,-1,0,7,0
440,1,1,-6.088,4.363,-0.57,0.41,-0.57,0.41,INF,-1,0,7,0
460,1,1,-6.781,6.922,-0.63,0.65,-0.63,0.65,INF,-1,0,7,0
480,1,1,-7.056,3.857,-0.66,0.36,-0.66,0.36,INF,-1,0,7,0
500,1,1,-6.338,4.212,-0.59,0.39,-0.59,0.39,INF,-1,0,7,0
520,1,1,-5.802,3.742,-0.54,0.35,-0.54,0.35,INF,-1,0,7,0
540,1,1,-6.002,4.405,-0.56,0.41,-0.56,0.41,INF,-1,1,7,0
560,1,1,-6.779,2.906,-0.63,0.27,-0.63,0.27,INF,-1,1,7,0
580,1,1,-3.869,3.532,-0.36,0.33,-0.36,0.33,INF,-1,1,7,0
600,1,1,8.607,-0.628,0.80,-0.06,0.80,-0.06,INF,-1,1,7,0
620,1,1,56.207,1.407,5.24,0.13,5.24,0.13,INF,-1,1,7,0
640,1,1,50.732,-1.310,4.73,-0.12,4.73,-0.12,INF,-1,0,7,0
660,1,1,52.130,-0.499,4.86,-0.05,4.86,-0.05,INF,-1,0,7,0
680,1,1,52.596,0.710,4.90,0.07,4.90,0.07,INF,-1,0,7,0
700,1,1,52.155,-1.131,4.86,-0.11,4.86,-0.11,INF,-1,0,7,0
720,1,1,51.105,-0.068,4.77,-0.01,4.77,-0.01,INF,-1,0,7,0
740,1,1,51.070,-0.537,4.76,-0.05,4.76,-0.05,INF,-1,0,7,0
760,1,1,52.935,-0.489,4.94,-0.05,4.94,-0.05,INF,-1,0,7,0
780,1,1,52.049,-1.823,4.85,-0.17,4.85,-0.17,INF,-1,0,7,0
800,1,1,51.928,-0.285,4.84,-0.03,4.84,-0.03,INF,-1,0,7,0
820,1,1,52.271,-1.618,4.87,-0.15,4.87,-0.15,INF,-1,0,7,0
840,1,1,51.128,-0.125,4.77,-0.01,4.77,-0.01,INF,-1,0,7,0
860,1,1,51.200,-0.955,4.77,-0.09,4.77,-0.09,INF,-1,0,7,0
880,1,1,47.558,-3.104,4.44,-0.29,4.44,-0.29,INF,-1,0,7,0
900,1,1,0.199,7.274,0.02,0.68,0.02,0.68,INF,-1,1,7,0
920,1,1,-11.782,3.777,-1.10,0.35,-1.10,0.35,INF,-1,1,7,0
940,1,1,-9.516,4.588,-0.89,0.43,-0.89,0.43,INF,-1,0,7,0
960,1,1,-11.815,3.928,-1.10,0.37,-1.10,0.37,INF,-1,0,7,0
980,1,1,-9.291,2.728,-0.87,0.25,-0.87,0.26,INF,-1,0,7,0
1000,1,1,-9.104,4.761,-0.85,0.44,-0.85,0.45,INF,-1,0,7,0
1020,1,1,-10.350,3.411,-0.97,0.32,-0.97,0.32,INF,-1,0,7,0
1040,1,1,-8.707,3.976,-0.81,0.37,-0.81,0.37,INF,-1,0,7,0
1060,1,1,-10.167,3.921,-0.95,0.37,-0.95,0.37,INF,-1,0,7,0
1080,1,1,0.889,3.195,0.08,0.30,0.08,0.30,INF,-1,0,7,0
1100,1,1,-0.245,4.040,-0.02,0.38,-0.02,0.38,INF,-1,0,7,0
1120,1,1,-1.071,2.499,-0.10,0.23,-0.10,0.23,INF,-1,0,7,0
1140,1,1,1.168,0.978,0.11,0.09,0.11,0.09,INF,-1,0,7,0
1160,1,1,-0.565,2.054,-0.05,0.19,-0.05,0.19,INF,-1,0,7,0
1180,1,1,-1.228,2.782,-0.11,0.26,-0.11,0.26,INF,-1,1,7,0
1200,1,1,-0.613,2.826,-0.06,0.26,-0.06,0.26,INF,-1,1,7,0
1220,1,1,0.339,1.321,0.03,0.12,0.03,0.12,INF,-1,1,7,0
1240,1,1,-0.318,2.183,-0.03,0.20,-0.03,0.20,INF,-1,1,7,0
1260,1,1,-0.636,1.764,-0.06,0.16,-0.06,0.16,INF,-1,1,7,0
1280,1,1,0.634,1.225,0.06,0.11,0.06,0.11,INF,-1,1,7,0
1300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1320,1,1,2.840,1.088,0.27,0.10,0.27,0.10,INF,-1,1,7,0
1340,1,1,1.816,1.442,0.17,0.13,0.17,0.13,INF,-1,1,7,0
1360,1,1,2.574,0.313,0.24,0.03,0.24,0.03,INF,-1,1,7,0
1380,1,1,5.272,-1.799,0.49,-0.17,0.49,-0.17,INF,-1,1,7,0
1400,1,1,44.853,-2.913,4.18,-0.27,4.18,-0.27,INF,-1,1,7,0
1420,1,1,37.917,-4.356,3.54,-0.41,3.54,-0.41,INF,-1,0,7,0
1440,1,1,37.922,-4.949,3.54,-0.46,3.54,-0.46,INF,-1,0,7,0
1460,1,1,38.990,-3.710,3.64,-0.35,3.64,-0.35,INF,-1,0,7,0
1480,1,1,38.414,-4.878,3.59,-0.46,3.59,-0.46,INF,-1,0,7,0
1500,1,1,37.832,-4.496,3.53,-0.42,3.53,-0.42,INF,-1,0,7,0
1520,1,1,37.618,-4.446,3.51,-0.41,3.51,-0.42,INF,-1,0,7,0
1540,1,1,36.880,-5.941,3.44,-0.55,3.44,-0.56,INF,-1,0,7,0
1560,1,1,37.183,-5.131,3.47,-0.48,3.47,-0.48,INF,-1,0,7,0
1580,1,1,37.480,-5.010,3.50,-0.47,3.50,-0.47,INF,-1,0,7,0
1600,1,1,38.075,-4.765,3.55,-0.44,3.55,-0.45,INF,-1,0,7,0
1620,1,1,38.442,-4.580,3.59,-0.43,3.59,-0.43,INF,-1,0,7,0
1640,1,1,38.055,-5.330,3.55,-0.50,3.55,-0.50,INF,-1,0,7,0
1660,1,1,37.291,-6.679,3.48,-0.62,3.48,-0.62,INF,-1,0,7,0
1680,1,1,36.161,-4.838,3.38,-0.45,3.38,-0.45,INF,-1,1,7,0
1700,1,1,35.064,-6.342,3.27,-0.59,3.27,-0.59,INF,-1,1,7,0
1720,1,1,1.321,1.264,0.12,0.12,0.12,0.12,INF,-1,1,7,0
1740,1,1,3.540,-0.140,0.33,-0.01,0.33,-0.01,INF,-1,1,7,0
1760,1,1,3.404,0.192,0.32,0.02,0.32,0.02,INF,-1,0,7,0
1780,1,1,4.403,-0.568,0.41,-0.05,0.41,-0.05,INF,-1,0,7,0
1800,1,1,1.230,-0.122,0.11,-0.01,0.11,-0.01,INF,-1,0,7,0
1820,1,1,3.030,-0.794,0.28,-0.07,0.28,-0.07,INF,-1,0,7,0
1840,1,1,2.429,-0.634,0.23,-0.06,0.23,-0.06,INF,-1,0,7,0
1860,1,1,3.073,-0.773,0.29,-0.07,0.29,-0.07,INF,-1,0,7,0
1880,1,1,2.633,-1.328,0.25,-0.12,0.25,-0.12,INF,-1,0,7,0
1900,1,1,2.241,-1.439,0.21,-0.13,0.21,-0.13,INF,-1,0,7,0
1920,1,1,2.295,0.419,0.21,0.04,0.21,0.04,INF,-1,0,7,0
1940,1,1,2.594,-0.412,0.24,-0.04,0.24,-0.04,INF,-1,0,7,0
1960,1,1,4.096,0.633,0.38,0.06,0.38,0.06,INF,-1,0,7,0
1980,1,1,4.317,0.903,0.40,0.08,0.40,0.08,INF,-1,0,7,0
2000,1,1,3.210,-0.044,0.30,0.00,0.30,0.00,INF,-1,1,7,0
2020,1,1,3.817,-0.128,0.36,-0.01,0.36,-0.01,INF,-1,1,7,0
