"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.13946
CalibrationParameters_A12,0.08898
CalibrationParameters_A13,0.00455
CalibrationParameters_A21,0.08280
CalibrationParameters_A22,-1.17786
CalibrationParameters_A23,0.05208
CalibrationParameters_A31,0.00073
CalibrationParameters_A32,-0.01974
CalibrationParameters_E11,-0.17976
CalibrationParameters_E12,0.00009
CalibrationParameters_E21,-0.00020
CalibrationParameters_E22,0.19975
CalibrationParameters_X,12.48319
CalibrationParameters_Y,-46.86611
CalibrationParameters_Rpc,94.68587
CalibrationParameters_MeanX,185.98942
CalibrationParameters_MeanY,163.94143
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-9.407,-15.650,-0.88,-1.46,-0.88,-1.46,INF,-1,0,7,0
20,1,1,-9.665,-16.177,-0.90,-1.51,-0.90,-1.51,INF,-1,0,7,0
40,1,1,-9.196,-17.124,-0.86,-1.60,-0.86,-1.60,INF,-1,0,7,0
60,1,1,-10.026,-15.771,-0.94,-1.47,-0.94,-1.47,INF,-1,0,7,0
80,1,1,-9.155,-15.611,-0.86,-1.46,-0.86,-1.46,INF,-1,0,7,0
100,1,1,-9.205,-15.799,-0.86,-1.48,-0.86,-1.48,INF,-1,0,7,0
120,1,1,-9.215,-15.166,-0.86,-1.42,-0.86,-1.42,INF,-1,0,7,0
140,1,1,-9.126,-16.201,-0.85,-1.51,-0.85,-1.51,INF,-1,0,7,0
160,1,1,-9.840,-17.036,-0.92,-1.59,-0.92,-1.59,INF,-1,0,7,0
180,1,1,-9.839,-15.980,-0.92,-1.49,-0.92,-1.49,INF,-1,0,7,0
200,1,1,-9.847,-16.500,-0.92,-1.54,-0.92,-1.54,INF,-1,0,7,0
220,1,1,-10.725,-14.238,-1.00,-1.33,-1.00,-1.33,INF,-1,0,7,0
240,1,1,-22.221,-2.776,-2.08,-0.26,-2.08,-0.26,INF,-1,0,7,0
260,1,1,-21.876,-6.790,-2.04,-0.63,-2.04,-0.63,INF,-1,0,7,0
280,1,1,-22.431,-6.417,-2.10,-0.60,-2.10,-0.60,INF,-1,0,7,0
300,1,1,-23.249,-5.642,-2.17,-0.53,-2.17,-0.53,INF,-1,0,7,0
320,1,1,-23.343,-6.187,-2.18,-0.58,-2.18,-0.58,INF,-1,0,7,0
340,1,1,-23.777,-6.192,-2.22,-0.58,-2.22,-0.58,INF,-1,0,7,0
360,1,1,-23.770,-5.996,-2.22,-0.56,-2.22,-0.56,INF,-1,1,7,0
380,1,1,-23.020,-5.516,-2.15,-0.52,-2.15,-0.52,INF,-1,1,7,0
400,1,1,-23.694,-5.038,-2.21,-0.47,-2.21,-0.47,INF,-1,1,7,0
420,1,1,-23.892,-6.065,-2.23,-0.57,-2.23,-0.57,INF,-1,1,7,0
440,1,1,-27.598,-2.416,-2.58,-0.23,-2.58,-0.23,INF,-1,1,7,0
460,1,1,-32.543,-0.558,-3.04,-0.05,-3.04,-0.05,INF,-1,1,7,0
480,1,1,-31.355,-1.295,-2.93,-0.12,-2.93,-0.12,INF,-1,0,7,0
