"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.11351
CalibrationParameters_A12,0.07674
CalibrationParameters_A13,-0.00795
CalibrationParameters_A21,0.06076
CalibrationParameters_A22,-1.19745
CalibrationParameters_A23,0.03855
CalibrationParameters_A31,0.00043
CalibrationParameters_A32,-0.01965
CalibrationParameters_E11,-0.18009
CalibrationParameters_E12,-0.00009
CalibrationParameters_E21,0.00012
CalibrationParameters_E22,0.19987
CalibrationParameters_X,16.18078
CalibrationParameters_Y,-46.80820
CalibrationParameters_Rpc,95.10805
CalibrationParameters_MeanX,189.16229
CalibrationParameters_MeanY,166.06891
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,8.328,-6.291,0.78,-0.59,0.78,-0.59,INF,-1,0,7,0
20,1,1,8.171,-6.734,0.76,-0.63,0.76,-0.63,INF,-1,0,7,0
40,1,1,6.843,-6.972,0.64,-0.65,0.64,-0.65,INF,-1,0,7,0
60,1,1,8.150,-6.154,0.76,-0.58,0.76,-0.58,INF,-1,0,7,0
80,1,1,6.758,-4.871,0.63,-0.46,0.63,-0.46,INF,-1,0,7,0
100,1,1,8.331,-5.896,0.78,-0.55,0.78,-0.55,INF,-1,0,7,0
120,1,1,13.540,-6.758,1.27,-0.63,1.27,-0.63,INF,-1,0,7,0
140,1,1,13.033,-7.900,1.22,-0.74,1.22,-0.74,INF,-1,0,7,0
160,1,1,12.375,-6.416,1.16,-0.60,1.16,-0.60,INF,-1,0,7,0
180,1,1,11.807,-5.975,1.10,-0.56,1.10,-0.56,INF,-1,0,7,0
200,1,1,10.645,-6.652,0.99,-0.62,0.99,-0.62,INF,-1,0,7,0
220,1,1,10.843,-5.720,1.01,-0.53,1.01,-0.53,INF,-1,0,7,0
240,1,1,11.253,-6.930,1.05,-0.65,1.05,-0.65,INF,-1,0,7,0
260,1,1,11.142,-6.111,1.04,-0.57,1.04,-0.57,INF,-1,0,7,0
280,1,1,10.759,-0.901,1.01,-0.08,1.01,-0.08,INF,-1,1,7,0
300,1,1,0.369,20.534,0.03,1.92,0.03,1.92,INF,-1,1,7,0
320,1,1,3.995,14.286,0.37,1.33,0.37,1.34,INF,-1,1,7,0
340,1,1,3.482,14.512,0.33,1.36,0.33,1.36,INF,-1,0,7,0
360,1,1,2.881,13.263,0.27,1.24,0.27,1.24,INF,-1,0,7,0
380,1,1,4.313,12.209,0.40,1.14,0.40,1.14,INF,-1,0,7,0
400,1,1,4.326,11.396,0.40,1.07,0.40,1.07,INF,-1,0,7,0
420,1,1,4.245,12.011,0.40,1.12,0.40,1.12,INF,-1,0,7,0
440,1,1,3.581,11.413,0.33,1.07,0.33,1.07,INF,-1,0,7,0
460,1,1,4.311,12.653,0.40,1.18,0.40,1.18,INF,-1,0,7,0
480,1,1,-1.286,27.939,-0.12,2.61,-0.12,2.61,INF,-1,0,7,0
500,1,1,-2.555,27.133,-0.24,2.53,-0.24,2.53,INF,-1,0,7,0
520,1,1,-2.703,25.825,-0.25,2.41,-0.25,2.41,INF,-1,0,7,0
540,1,1,-2.308,25.229,-0.22,2.36,-0.22,2.36,INF,-1,0,7,0
560,1,1,-2.905,26.440,-0.27,2.47,-0.27,2.47,INF,-1,0,7,0
580,1,1,-3.094,25.230,-0.29,2.36,-0.29,2.36,INF,-1,1,7,0
600,1,1,-3.429,27.256,-0.32,2.55,-0.32,2.55,INF,-1,1,7,0
620,1,1,-4.851,26.805,-0.45,2.50,-0.45,2.50,INF,-1,1,7,0
640,1,1,-4.312,24.680,-0.40,2.31,-0.40,2.31,INF,-1,1,7,0
660,1,1,-2.396,25.739,-0.22,2.40,-0.22,2.40,INF,-1,1,7,0
680,1,1,-2.345,24.145,-0.22,2.26,-0.22,2.26,INF,-1,1,7,0
700,1,1,-2.954,26.036,-0.28,2.43,-0.28,2.43,INF,-1,1,7,0
720,1,1,-2.935,25.376,-0.27,2.37,-0.27,2.37,INF,-1,1,7,0
740,1,1,-1.946,25.320,-0.18,2.37,-0.18,2.37,INF,-1,1,7,0
760,1,1,-2.629,25.227,-0.25,2.36,-0.25,2.36,INF,-1,1,7,0
780,1,1,-0.549,26.375,-0.05,2.46,-0.05,2.46,INF,-1,1,7,0
800,1,1,-2.121,26.435,-0.20,2.47,-0.20,2.47,INF,-1,1,7,0
820,1,1,-1.492,25.461,-0.14,2.38,-0.14,2.38,INF,-1,1,7,0
840,1,1,-1.368,27.145,-0.13,2.54,-0.13,2.54,INF,-1,1,7,0
860,1,1,-0.941,26.982,-0.09,2.52,-0.09,2.52,INF,-1,1,7,0
880,1,1,-1.877,26.767,-0.18,2.50,-0.18,2.50,INF,-1,1,7,0
900,1,1,-1.956,24.867,-0.18,2.32,-0.18,2.32,INF,-1,1,7,0
920,1,1,-2.023,26.509,-0.19,2.48,-0.19,2.48,INF,-1,1,7,0
940,1,1,-1.563,26.260,-0.15,2.45,-0.15,2.45,INF,-1,1,7,0
960,1,1,-0.263,24.479,-0.02,2.29,-0.02,2.29,INF,-1,1,7,0
980,1,1,-22.504,15.252,-2.10,1.42,-2.10,1.43,INF,-1,1,7,0
1000,1,1,-45.418,5.815,-4.24,0.54,-4.24,0.54,INF,-1,1,7,0
1020,1,1,-43.586,8.048,-4.07,0.75,-4.07,0.75,INF,-1,0,7,0
1040,1,1,-44.568,7.021,-4.16,0.65,-4.16,0.66,INF,-1,0,7,0
1060,1,1,-43.790,7.537,-4.09,0.70,-4.09,0.70,INF,-1,0,7,0
1080,1,1,-44.687,5.976,-4.17,0.56,-4.17,0.56,INF,-1,0,7,0
1100,1,1,-44.683,6.739,-4.17,0.63,-4.17,0.63,INF,-1,0,7,0
1120,1,1,-45.480,7.584,-4.24,0.71,-4.24,0.71,INF,-1,0,7,0
1140,1,1,-45.554,7.028,-4.25,0.66,-4.25,0.66,INF,-1,0,7,0
1160,1,1,-44.780,6.980,-4.18,0.65,-4.18,0.65,INF,-1,0,7,0
1180,1,1,-43.404,5.556,-4.05,0.52,-4.05,0.52,INF,-1,0,7,0
1200,1,1,-41.490,1.535,-3.87,0.14,-3.87,0.14,INF,-1,0,7,0
1220,1,1,-48.611,3.743,-4.53,0.35,-4.53,0.35,INF,-1,0,7,0
