"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.13999
CalibrationParameters_A12,0.06977
CalibrationParameters_A13,-0.00543
CalibrationParameters_A21,0.08701
CalibrationParameters_A22,-1.17358
CalibrationParameters_A23,0.01968
CalibrationParameters_A31,0.00077
CalibrationParameters_A32,-0.02070
CalibrationParameters_E11,-0.17998
CalibrationParameters_E12,-0.00008
CalibrationParameters_E21,-0.00028
CalibrationParameters_E22,0.20007
CalibrationParameters_X,13.05045
CalibrationParameters_Y,-47.01733
CalibrationParameters_Rpc,94.86079
CalibrationParameters_MeanX,193.07123
CalibrationParameters_MeanY,165.13667
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-15.441,-5.708,-1.44,-0.53,-1.44,-0.53,INF,-1,0,7,0
20,1,1,-14.017,-5.016,-1.31,-0.47,-1.31,-0.47,INF,-1,0,7,0
40,1,1,-14.931,-5.974,-1.40,-0.56,-1.40,-0.56,INF,-1,0,7,0
60,1,1,-16.031,-5.202,-1.50,-0.49,-1.50,-0.49,INF,-1,0,7,0
80,1,1,-13.130,-5.860,-1.23,-0.55,-1.23,-0.55,INF,-1,0,7,0
100,1,1,-16.111,-5.364,-1.51,-0.50,-1.51,-0.50,INF,-1,0,7,0
120,1,1,-14.770,-4.437,-1.38,-0.41,-1.38,-0.41,INF,-1,0,7,0
140,1,1,-14.745,-5.120,-1.38,-0.48,-1.38,-0.48,INF,-1,0,7,0
160,1,1,-14.722,-6.192,-1.38,-0.58,-1.38,-0.58,INF,-1,0,7,0
180,1,1,-14.713,-6.776,-1.37,-0.63,-1.37,-0.63,INF,-1,0,7,0
200,1,1,-15.505,-5.522,-1.45,-0.52,-1.45,-0.52,INF,-1,0,7,0
220,1,1,-3.200,10.041,-0.30,0.94,-0.30,0.94,INF,-1,0,7,0
240,1,1,-1.669,12.441,-0.16,1.16,-0.16,1.16,INF,-1,0,7,0
260,1,1,-0.497,9.641,-0.05,0.90,-0.05,0.90,INF,-1,0,7,0
280,1,1,-1.589,10.055,-0.15,0.94,-0.15,0.94,INF,-1,0,7,0
300,1,1,-2.025,9.525,-0.19,0.89,-0.19,0.89,INF,-1,0,7,0
320,1,1,-2.490,10.224,-0.23,0.96,-0.23,0.96,INF,-1,0,7,0
340,1,1,-4.207,11.872,-0.39,1.11,-0.39,1.11,INF,-1,0,7,0
360,1,1,-4.203,10.414,-0.39,0.97,-0.39,0.97,INF,-1,1,7,0
380,1,1,-1.542,10.228,-0.14,0.96,-0.14,0.96,INF,-1,1,7,0
400,1,1,0.331,17.496,0.03,1.63,0.03,1.63,INF,-1,1,7,0
420,1,1,0.210,16.549,0.02,1.55,0.02,1.55,INF,-1,1,7,0
440,1,1,-1.982,16.919,-0.19,1.58,-0.19,1.58,INF,-1,0,7,0
460,1,1,-0.758,16.224,-0.07,1.52,-0.07,1.52,INF,-1,0,7,0
480,1,1,-0.479,17.308,-0.04,1.62,-0.04,1.62,INF,-1,0,7,0
500,1,1,-0.829,16.104,-0.08,1.50,-0.08,1.50,INF,-1,0,7,0
