"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.14976
CalibrationParameters_A12,0.06189
CalibrationParameters_A13,0.00182
CalibrationParameters_A21,0.09801
CalibrationParameters_A22,-1.15918
CalibrationParameters_A23,0.03010
CalibrationParameters_A31,0.00104
CalibrationParameters_A32,-0.02165
CalibrationParameters_E11,-0.17996
CalibrationParameters_E12,-0.00017
CalibrationParameters_E21,0.00012
CalibrationParameters_E22,0.19986
CalibrationParameters_X,11.99514
CalibrationParameters_Y,-47.29488
CalibrationParameters_Rpc,96.23032
CalibrationParameters_MeanX,171.79220
CalibrationParameters_MeanY,157.65026
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,3.014,8.954,0.28,0.84,0.28,0.84,INF,-1,0,7,0
20,1,1,2.282,6.223,0.21,0.58,0.21,0.58,INF,-1,0,7,0
40,1,1,0.286,8.978,0.03,0.84,0.03,0.84,INF,-1,0,7,0
60,1,1,1.880,8.754,0.18,0.82,0.18,0.82,INF,-1,0,7,0
80,1,1,9.441,7.380,0.88,0.69,0.88,0.69,INF,-1,0,7,0
100,1,1,9.303,7.641,0.87,0.71,0.87,0.71,INF,-1,0,7,0
120,1,1,8.157,6.556,0.76,0.61,0.76,0.61,INF,-1,0,7,0
140,1,1,9.241,6.577,0.86,0.61,0.86,0.61,INF,-1,0,7,0
160,1,1,9.079,6.795,0.85,0.63,0.85,0.64,INF,-1,0,7,0
180,1,1,8.997,7.277,0.84,0.68,0.84,0.68,INF,-1,0,7,0
200,1,1,8.098,6.652,0.76,0.62,0.76,0.62,INF,-1,0,7,0
220,1,1,8.842,7.360,0.83,0.69,0.83,0.69,INF,-1,0,7,0
240,1,1,7.880,7.574,0.74,0.71,0.74,0.71,INF,-1,0,7,0
260,1,1,10.367,8.245,0.97,0.77,0.97,0.77,INF,-1,0,7,0
280,1,1,10.254,4.573,0.96,0.43,0.96,0.43,INF,-1,1,7,0
300,1,1,7.579,6.530,0.71,0.61,0.71,0.61,INF,-1,1,7,0
320,1,1,8.537,7.286,0.80,0.68,0.80,0.68,INF,-1,1,7,0
340,1,1,7.832,5.357,0.73,0.50,0.73,0.50,INF,-1,1,7,0
360,1,1,-1.338,0.535,-0.13,0.05,-0.13,0.05,INF,-1,1,7,0
380,1,1,2.465,-1.011,0.23,-0.09,0.23,-0.09,INF,-1,1,7,0
400,1,1,1.973,-0.013,0.18,0.00,0.18,0.00,INF,-1,1,7,0
420,1,1,1.828,-2.105,0.17,-0.20,0.17,-0.20,INF,-1,1,7,0
440,1,1,0.401,0.095,0.04,0.01,0.04,0.01,INF,-1,1,7,0
460,1,1,1.547,-0.325,0.14,-0.03,0.14,-0.03,INF,-1,1,7,0
480,1,1,1.710,-0.193,0.16,-0.02,0.16,-0.02,INF,-1,1,7,0
500,1,1,1.683,-0.722,0.16,-0.07,0.16,-0.07,INF,-1,1,7,0
520,1,1,0.932,-2.380,0.09,-0.22,0.09,-0.22,INF,-1,1,7,0
540,1,1,-0.348,0.002,-0.03,0.00,-0.03,0.00,INF,-1,1,7,0
560,1,1,2.719,-3.572,0.25,-0.33,0.25,-0.33,INF,-1,0,7,0
580,1,1,0.842,-0.469,0.08,-0.04,0.08,-0.04,INF,-1,0,7,0
600,1,1,-2.766,-2.181,-0.26,-0.20,-0.26,-0.20,INF,-1,0,7,0
620,1,1,-19.205,-8.586,-1.79,-0.80,-1.79,-0.80,INF,-1,0,7,0
640,1,1,-18.894,-7.891,-1.77,-0.74,-1.77,-0.74,INF,-1,0,7,0
660,1,1,-21.296,-6.904,-1.99,-0.64,-1.99,-0.65,INF,-1,0,7,0
680,1,1,-22.526,-8.572,-2.10,-0.80,-2.10,-0.80,INF,-1,0,7,0
700,1,1,-19.598,-8.425,-1.83,-0.79,-1.83,-0.79,INF,-1,0,7,0
720,1,1,-20.684,-9.605,-1.93,-0.90,-1.93,-0.90,INF,-1,0,7,0
740,1,1,-20.268,-8.490,-1.89,-0.79,-1.89,-0.79,INF,-1,0,7,0
760,1,1,-21.833,-8.731,-2.04,-0.82,-2.04,-0.82,INF,-1,0,7,0
780,1,1,-20.947,-8.681,-1.96,-0.81,-1.96,-0.81,INF,-1,0,7,0
800,1,1,-20.399,-9.356,-1.91,-0.87,-1.91,-0.87,INF,-1,0,7,0
820,1,1,-22.195,-8.864,-2.07,-0.83,-2.07,-0.83,INF,-1,0,7,0
840,1,1,-21.639,-8.946,-2.02,-0.84,-2.02,-0.84,INF,-1,0,7,0
