"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.16424
CalibrationParameters_A12,0.08039
CalibrationParameters_A13,0.01181
CalibrationParameters_A21,0.06554
CalibrationParameters_A22,-1.16982
CalibrationParameters_A23,0.03215
CalibrationParameters_A31,0.00061
CalibrationParameters_A32,-0.02291
CalibrationParameters_E11,-0.17998
CalibrationParameters_E12,0.00017
CalibrationParameters_E21,-0.00001
CalibrationParameters_E22,0.19959
CalibrationParameters_X,8.56718
CalibrationParameters_Y,-47.44560
CalibrationParameters_Rpc,97.73695
CalibrationParameters_MeanX,160.81472
CalibrationParameters_MeanY,162.17410
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-83.423,-36.449,-7.75,-3.37,-7.74,-3.40,INF,-1,0,7,0
20,1,1,-74.931,-33.585,-6.97,-3.11,-6.96,-3.14,INF,-1,0,7,0
40,1,1,-76.670,-33.747,-7.13,-3.13,-7.12,-3.15,INF,-1,0,7,0
60,1,1,-78.106,-33.639,-7.26,-3.12,-7.25,-3.14,INF,-1,0,7,0
80,1,1,-78.427,-35.241,-7.29,-3.26,-7.28,-3.29,INF,-1,0,7,0
100,1,1,-75.472,-36.041,-7.02,-3.34,-7.01,-3.36,INF,-1,0,7,0
120,1,1,-78.706,-34.536,-7.32,-3.20,-7.30,-3.22,INF,-1,0,7,0
140,1,1,-76.749,-35.459,-7.14,-3.28,-7.12,-3.31,INF,-1,0,7,0
160,1,1,-77.049,-35.662,-7.16,-3.30,-7.15,-3.33,INF,-1,0,7,0
180,1,1,-77.131,-36.028,-7.17,-3.34,-7.16,-3.36,INF,-1,0,7,0
200,1,1,-77.911,-34.661,-7.24,-3.21,-7.23,-3.24,INF,-1,0,7,0
220,1,1,-75.748,-36.761,-7.04,-3.41,-7.03,-3.43,INF,-1,0,7,0
