"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.15723
CalibrationParameters_A12,0.08107
CalibrationParameters_A13,-0.00964
CalibrationParameters_A21,0.07279
CalibrationParameters_A22,-1.16384
CalibrationParameters_A23,0.01387
CalibrationParameters_A31,0.00049
CalibrationParameters_A32,-0.01823
CalibrationParameters_E11,-0.17980
CalibrationParameters_E12,0.00014
CalibrationParameters_E21,-0.00029
CalibrationParameters_E22,0.20026
CalibrationParameters_X,14.44029
CalibrationParameters_Y,-46.45485
CalibrationParameters_Rpc,93.04587
CalibrationParameters_MeanX,181.30536
CalibrationParameters_MeanY,156.26273
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-14.809,-37.595,-1.38,-3.51,-1.38,-3.51,INF,-1,0,7,0
20,1,1,-15.129,-36.520,-1.41,-3.41,-1.41,-3.41,INF,-1,0,7,0
40,1,1,-18.836,-31.725,-1.76,-2.96,-1.76,-2.96,INF,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,1,1,-29.347,-44.707,-2.74,-4.17,-2.73,-4.17,INF,-1,0,7,0
260,1,1,-29.093,-2.694,-2.72,-0.25,-2.72,-0.25,INF,-1,0,7,0
280,1,1,-28.241,-1.182,-2.64,-0.11,-2.64,-0.11,INF,-1,0,7,0
300,1,1,-28.628,-0.803,-2.67,-0.07,-2.67,-0.08,INF,-1,0,7,0
320,1,1,-29.849,1.110,-2.79,0.10,-2.79,0.10,INF,-1,0,7,0
340,1,1,-28.777,0.331,-2.69,0.03,-2.69,0.03,INF,-1,0,7,0
360,1,1,-28.789,-1.258,-2.69,-0.12,-2.69,-0.12,INF,-1,0,7,0
380,1,1,-28.813,-0.921,-2.69,-0.09,-2.69,-0.09,INF,-1,0,7,0
400,1,1,-27.549,-1.225,-2.57,-0.11,-2.57,-0.11,INF,-1,0,7,0
420,1,1,-28.420,-0.610,-2.65,-0.06,-2.65,-0.06,INF,-1,0,7,0
440,1,1,-27.333,0.235,-2.55,0.02,-2.55,0.02,INF,-1,0,7,0
460,1,1,-27.504,-0.854,-2.57,-0.08,-2.57,-0.08,INF,-1,0,7,0
480,1,1,-28.101,0.085,-2.62,0.01,-2.62,0.01,INF,-1,0,7,0
500,1,1,-28.562,0.976,-2.67,0.09,-2.67,0.09,INF,-1,0,7,0
520,1,1,-27.927,-0.472,-2.61,-0.04,-2.61,-0.04,INF,-1,0,7,0
540,1,1,-20.661,1.075,-1.93,0.10,-1.93,0.10,INF,-1,1,7,0
560,1,1,-13.921,1.802,-1.30,0.17,-1.30,0.17,INF,-1,1,7,0
580,1,1,-17.939,1.919,-1.68,0.18,-1.68,0.18,INF,-1,1,7,0
600,1,1,-17.271,0.270,-1.61,0.03,-1.61,0.03,INF,-1,0,7,0
620,1,1,-16.130,1.343,-1.51,0.13,-1.51,0.13,INF,-1,0,7,0
640,1,1,-16.920,0.128,-1.58,0.01,-1.58,0.01,INF,-1,0,7,0
660,1,1,-16.849,0.305,-1.57,0.03,-1.57,0.03,INF,-1,0,7,0
680,1,1,-16.342,-0.305,-1.53,-0.03,-1.53,-0.03,INF,-1,0,7,0
700,1,1,-18.749,0.897,-1.75,0.08,-1.75,0.08,INF,-1,0,7,0
720,1,1,-18.834,0.660,-1.76,0.06,-1.76,0.06,INF,-1,0,7,0
740,1,1,-17.982,-1.269,-1.68,-0.12,-1.68,-0.12,INF,-1,0,7,0
760,1,1,-17.008,0.410,-1.59,0.04,-1.59,0.04,INF,-1,0,7,0
780,1,1,-18.074,-0.482,-1.69,-0.05,-1.69,-0.05,INF,-1,0,7,0
800,1,1,-19.773,-0.880,-1.85,-0.08,-1.85,-0.08,INF,-1,0,7,0
820,1,1,-18.709,-1.019,-1.75,-0.10,-1.75,-0.10,INF,-1,0,7,0
840,1,1,-41.187,6.554,-3.84,0.61,-3.84,0.61,INF,-1,1,7,0
860,1,1,-48.606,9.956,-4.53,0.93,-4.53,0.93,INF,-1,1,7,0
880,1,1,-48.235,8.152,-4.50,0.76,-4.50,0.76,INF,-1,0,7,0
900,1,1,-48.114,8.219,-4.49,0.77,-4.49,0.77,INF,-1,0,7,0
920,1,1,-47.573,8.652,-4.44,0.81,-4.44,0.81,INF,-1,0,7,0
940,1,1,-49.851,8.483,-4.65,0.79,-4.65,0.79,INF,-1,0,7,0
960,1,1,-49.143,9.140,-4.58,0.85,-4.58,0.85,INF,-1,0,7,0
980,1,1,-48.141,8.311,-4.49,0.77,-4.49,0.78,INF,-1,0,7,0
1000,1,1,-48.379,7.258,-4.51,0.68,-4.51,0.68,INF,-1,0,7,0
1020,1,1,-48.462,8.693,-4.52,0.81,-4.52,0.81,INF,-1,0,7,0
1040,1,1,-47.624,7.580,-4.44,0.71,-4.44,0.71,INF,-1,0,7,0
1060,1,1,-43.527,5.131,-4.06,0.48,-4.06,0.48,INF,-1,0,7,0
1080,1,1,8.839,4.722,0.83,0.44,0.83,0.44,INF,-1,0,7,0
1100,1,1,9.093,3.791,0.85,0.35,0.85,0.35,INF,-1,0,7,0
1120,1,1,9.062,3.452,0.85,0.32,0.85,0.32,INF,-1,0,7,0
1140,1,1,11.133,3.337,1.04,0.31,1.04,0.31,INF,-1,0,7,0
1160,1,1,10.785,2.521,1.01,0.24,1.01,0.24,INF,-1,0,7,0
1180,1,1,11.018,2.004,1.03,0.19,1.03,0.19,INF,-1,0,7,0
1200,1,1,9.486,3.687,0.89,0.34,0.89,0.34,INF,-1,0,7,0
1220,1,1,9.696,2.993,0.91,0.28,0.91,0.28,INF,-1,0,7,0
1240,1,1,11.752,1.472,1.10,0.14,1.10,0.14,INF,-1,0,7,0
1260,1,1,10.951,1.352,1.02,0.13,1.02,0.13,INF,-1,0,7,0
1280,1,1,10.115,2.325,0.95,0.22,0.95,0.22,INF,-1,0,7,0
1300,1,1,11.361,1.737,1.06,0.16,1.06,0.16,INF,-1,0,7,0
1320,1,1,11.683,2.422,1.09,0.23,1.09,0.23,INF,-1,0,7,0
1340,1,1,15.745,-0.426,1.47,-0.04,1.47,-0.04,INF,-1,1,7,0
1360,1,1,26.319,-1.113,2.46,-0.10,2.46,-0.10,INF,-1,1,7,0
1380,1,1,23.494,-0.163,2.19,-0.02,2.19,-0.02,INF,-1,1,7,0
1400,1,1,23.446,-1.852,2.19,-0.17,2.19,-0.17,INF,-1,0,7,0
1420,1,1,25.340,-1.832,2.37,-0.17,2.37,-0.17,INF,-1,0,7,0
1440,1,1,25.042,-1.892,2.34,-0.18,2.34,-0.18,INF,-1,0,7,0
1460,1,1,23.985,-1.516,2.24,-0.14,2.24,-0.14,INF,-1,0,7,0
1480,1,1,23.933,-3.287,2.24,-0.31,2.24,-0.31,INF,-1,0,7,0
1500,1,1,24.343,-1.865,2.27,-0.17,2.27,-0.17,INF,-1,0,7,0
1520,1,1,24.355,-2.852,2.28,-0.27,2.28,-0.27,INF,-1,0,7,0
1540,1,1,24.618,-2.518,2.30,-0.24,2.30,-0.24,INF,-1,0,7,0
1560,1,1,23.365,-1.954,2.18,-0.18,2.18,-0.18,INF,-1,0,7,0
1580,1,1,24.314,-1.760,2.27,-0.16,2.27,-0.16,INF,-1,0,7,0
1600,1,1,24.494,-2.820,2.29,-0.26,2.29,-0.26,INF,-1,0,7,0
1620,1,1,23.448,-2.844,2.19,-0.27,2.19,-0.27,INF,-1,0,7,0
1640,1,1,23.222,-3.339,2.17,-0.31,2.17,-0.31,INF,-1,1,7,0
1660,1,1,23.841,-3.459,2.23,-0.32,2.23,-0.32,INF,-1,1,7,0
1680,1,1,22.905,-2.938,2.14,-0.27,2.14,-0.27,INF,-1,1,7,0
1700,1,1,24.282,-3.496,2.27,-0.33,2.27,-0.33,INF,-1,1,7,0
1720,1,1,23.178,-2.736,2.17,-0.26,2.17,-0.26,INF,-1,1,7,0
1740,1,1,21.766,0.607,2.03,0.06,2.03,0.06,INF,-1,1,7,0
1760,1,1,22.903,-0.341,2.14,-0.03,2.14,-0.03,INF,-1,1,7,0
1780,1,1,21.655,-0.118,2.02,-0.01,2.02,-0.01,INF,-1,1,7,0
