"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.28571
CalibrationParameters_A12,0.03380
CalibrationParameters_A13,0.01512
CalibrationParameters_A21,0.08201
CalibrationParameters_A22,-1.23410
CalibrationParameters_A23,0.00518
CalibrationParameters_A31,-0.00032
CalibrationParameters_A32,-0.00804
CalibrationParameters_E11,-0.17982
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00019
CalibrationParameters_E22,0.19990
CalibrationParameters_X,-50.62176
CalibrationParameters_Y,-47.12715
CalibrationParameters_Rpc,78.60665
CalibrationParameters_MeanX,117.14113
CalibrationParameters_MeanY,137.70998
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-3.617,5.334,-0.34,0.50,-0.34,0.50,INF,-1,0,7,0
20,1,1,-4.310,6.233,-0.40,0.58,-0.40,0.58,INF,-1,0,7,0
40,1,1,-6.417,4.731,-0.60,0.44,-0.60,0.44,INF,-1,0,7,0
60,1,1,-5.906,3.342,-0.55,0.31,-0.55,0.31,INF,-1,0,7,0
80,1,1,-5.962,4.192,-0.56,0.39,-0.56,0.39,INF,-1,0,7,0
100,1,1,-8.215,4.344,-0.77,0.41,-0.77,0.41,INF,-1,0,7,0
120,1,1,-7.468,2.439,-0.70,0.23,-0.70,0.23,INF,-1,0,7,0
140,1,1,-8.804,0.849,-0.82,0.08,-0.82,0.08,INF,-1,0,7,0
160,1,1,-10.883,1.809,-1.02,0.17,-1.02,0.17,INF,-1,0,7,0
180,1,1,-11.146,2.763,-1.04,0.26,-1.04,0.26,INF,-1,0,7,0
200,1,1,-9.834,2.214,-0.92,0.21,-0.92,0.21,INF,-1,0,7,0
220,1,1,-8.491,2.765,-0.79,0.26,-0.79,0.26,INF,-1,0,7,0
240,1,1,-6.624,8.416,-0.62,0.79,-0.62,0.79,INF,-1,0,7,0
260,1,1,22.845,19.760,2.13,1.85,2.13,1.85,INF,-1,0,7,0
280,1,1,29.423,21.168,2.75,1.98,2.75,1.98,INF,-1,1,7,0
300,1,1,32.144,21.586,3.00,2.01,3.00,2.02,INF,-1,0,7,0
320,1,1,32.987,20.339,3.08,1.90,3.08,1.90,INF,-1,0,7,0
340,1,1,31.920,20.061,2.98,1.87,2.98,1.87,INF,-1,0,7,0
360,1,1,30.422,17.721,2.84,1.65,2.84,1.66,INF,-1,0,7,0
380,1,1,31.245,19.438,2.92,1.81,2.92,1.82,INF,-1,0,7,0
400,1,1,30.264,18.962,2.83,1.77,2.83,1.77,INF,-1,0,7,0
420,1,1,31.030,18.453,2.90,1.72,2.90,1.72,INF,-1,0,7,0
440,1,1,30.522,19.289,2.85,1.80,2.85,1.80,INF,-1,0,7,0
460,1,1,30.968,28.618,2.89,2.67,2.89,2.67,INF,-1,0,7,0
480,1,1,31.517,32.356,2.94,3.02,2.94,3.02,INF,-1,0,7,0
500,1,1,31.496,33.061,2.94,3.08,2.94,3.09,INF,-1,0,7,0
520,1,1,31.480,32.776,2.94,3.06,2.94,3.06,INF,-1,0,7,0
540,1,1,31.701,33.956,2.96,3.17,2.96,3.17,INF,-1,1,7,0
560,1,1,30.499,33.873,2.85,3.16,2.84,3.16,INF,-1,1,7,0
580,1,1,31.439,32.675,2.94,3.05,2.93,3.05,INF,-1,1,7,0
600,1,1,33.956,34.553,3.17,3.22,3.17,3.23,INF,-1,1,7,0
620,1,1,33.833,33.504,3.16,3.12,3.15,3.13,INF,-1,1,7,0
640,1,1,31.866,33.301,2.98,3.11,2.97,3.11,INF,-1,1,7,0
660,1,1,32.851,33.375,3.07,3.11,3.06,3.12,INF,-1,1,7,0
680,1,1,33.744,32.653,3.15,3.04,3.15,3.05,INF,-1,1,7,0
700,1,1,32.833,32.233,3.07,3.01,3.06,3.01,INF,-1,1,7,0
