"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.28328
CalibrationParameters_A12,0.08055
CalibrationParameters_A13,0.00776
CalibrationParameters_A21,0.05719
CalibrationParameters_A22,-1.26703
CalibrationParameters_A23,0.03745
CalibrationParameters_A31,-0.00038
CalibrationParameters_A32,-0.01520
CalibrationParameters_E11,-0.17979
CalibrationParameters_E12,-0.00032
CalibrationParameters_E21,-0.00026
CalibrationParameters_E22,0.20017
CalibrationParameters_X,-50.90216
CalibrationParameters_Y,-49.52717
CalibrationParameters_Rpc,81.43898
CalibrationParameters_MeanX,139.84058
CalibrationParameters_MeanY,137.42732
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,6.674,7.722,0.62,0.72,0.62,0.72,INF,-1,0,7,0
20,1,1,8.895,8.225,0.83,0.77,0.83,0.77,INF,-1,0,7,0
40,1,1,7.756,7.133,0.72,0.67,0.72,0.67,INF,-1,0,7,0
60,1,1,8.921,8.957,0.83,0.84,0.83,0.84,INF,-1,0,7,0
80,1,1,8.589,6.583,0.80,0.62,0.80,0.62,INF,-1,0,7,0
100,1,1,6.992,6.751,0.65,0.63,0.65,0.63,INF,-1,0,7,0
120,1,1,9.060,7.475,0.85,0.70,0.85,0.70,INF,-1,0,7,0
140,1,1,8.520,6.490,0.80,0.61,0.80,0.61,INF,-1,0,7,0
160,1,1,8.032,6.470,0.75,0.60,0.75,0.60,INF,-1,0,7,0
180,1,1,9.108,7.233,0.85,0.68,0.85,0.68,INF,-1,0,7,0
200,1,1,8.764,5.593,0.82,0.52,0.82,0.52,INF,-1,0,7,0
220,1,1,8.839,7.401,0.83,0.69,0.83,0.69,INF,-1,0,7,0
240,1,1,8.715,8.078,0.81,0.75,0.81,0.75,INF,-1,0,7,0
260,1,1,1.079,8.109,0.10,0.76,0.10,0.76,INF,-1,0,7,0
280,1,1,30.452,6.978,2.84,0.65,2.84,0.65,INF,-1,1,7,0
300,1,1,34.872,4.993,3.26,0.47,3.26,0.47,INF,-1,1,7,0
320,1,1,35.696,6.916,3.33,0.65,3.33,0.65,INF,-1,0,7,0
340,1,1,37.813,7.520,3.53,0.70,3.53,0.70,INF,-1,0,7,0
360,1,1,38.082,7.192,3.55,0.67,3.55,0.67,INF,-1,0,7,0
380,1,1,38.309,6.018,3.58,0.56,3.58,0.56,INF,-1,0,7,0
400,1,1,37.025,6.085,3.46,0.57,3.46,0.57,INF,-1,0,7,0
420,1,1,34.427,5.057,3.21,0.47,3.21,0.47,INF,-1,0,7,0
440,1,1,37.199,5.228,3.47,0.49,3.47,0.49,INF,-1,0,7,0
460,1,1,36.664,4.320,3.42,0.40,3.42,0.40,INF,-1,0,7,0
480,1,1,39.636,3.285,3.70,0.31,3.70,0.31,INF,-1,0,7,0
500,1,1,38.564,3.028,3.60,0.28,3.60,0.28,INF,-1,0,7,0
520,1,1,37.200,4.161,3.47,0.39,3.47,0.39,INF,-1,0,7,0
540,1,1,37.542,4.319,3.50,0.40,3.50,0.40,INF,-1,0,7,0
560,1,1,36.389,4.643,3.40,0.43,3.40,0.43,INF,-1,1,7,0
580,1,1,35.877,2.795,3.35,0.26,3.35,0.26,INF,-1,1,7,0
600,1,1,36.284,3.211,3.39,0.30,3.39,0.30,INF,-1,1,7,0
620,1,1,36.328,5.204,3.39,0.49,3.39,0.49,INF,-1,1,7,0
640,1,1,38.502,5.757,3.59,0.54,3.59,0.54,INF,-1,1,7,0
660,1,1,38.345,6.677,3.58,0.62,3.58,0.62,INF,-1,1,7,0
680,1,1,37.487,6.256,3.50,0.58,3.50,0.58,INF,-1,1,7,0
700,1,1,39.058,6.221,3.65,0.58,3.65,0.58,INF,-1,1,7,0
720,1,1,38.452,5.761,3.59,0.54,3.59,0.54,INF,-1,1,7,0
740,1,1,36.383,5.374,3.40,0.50,3.40,0.50,INF,-1,1,7,0
760,1,1,36.102,5.975,3.37,0.56,3.37,0.56,INF,-1,1,7,0
780,1,1,37.421,6.101,3.49,0.57,3.49,0.57,INF,-1,1,7,0
800,1,1,38.650,6.673,3.61,0.62,3.61,0.62,INF,-1,1,7,0
820,1,1,37.552,4.676,3.51,0.44,3.51,0.44,INF,-1,1,7,0
840,1,1,35.573,4.827,3.32,0.45,3.32,0.45,INF,-1,1,7,0
860,1,1,38.335,5.762,3.58,0.54,3.58,0.54,INF,-1,1,7,0
880,1,1,36.639,5.041,3.42,0.47,3.42,0.47,INF,-1,1,7,0
900,1,1,38.169,4.018,3.56,0.37,3.56,0.38,INF,-1,1,7,0
920,1,1,39.700,5.864,3.71,0.55,3.71,0.55,INF,-1,1,7,0
940,1,1,40.009,6.311,3.73,0.59,3.73,0.59,INF,-1,1,7,0
960,1,1,40.085,7.773,3.74,0.72,3.74,0.73,INF,-1,1,7,0
980,1,1,39.327,6.248,3.67,0.58,3.67,0.58,INF,-1,1,7,0
1000,1,1,40.950,7.404,3.82,0.69,3.82,0.69,INF,-1,1,7,0
1020,1,1,19.368,4.298,1.81,0.40,1.81,0.40,INF,-1,1,7,0
1040,1,1,17.063,5.051,1.59,0.47,1.59,0.47,INF,-1,1,7,0
1060,1,1,14.364,3.657,1.34,0.34,1.34,0.34,INF,-1,0,7,0
1080,1,1,16.127,3.792,1.51,0.35,1.51,0.35,INF,-1,0,7,0
1100,1,1,15.009,3.441,1.40,0.32,1.40,0.32,INF,-1,0,7,0
1120,1,1,14.685,2.854,1.37,0.27,1.37,0.27,INF,-1,0,7,0
1140,1,1,14.705,4.973,1.37,0.46,1.37,0.46,INF,-1,0,7,0
1160,1,1,14.296,4.534,1.34,0.42,1.34,0.42,INF,-1,0,7,0
1180,1,1,15.233,3.906,1.42,0.36,1.42,0.37,INF,-1,0,7,0
1200,1,1,14.723,3.984,1.38,0.37,1.38,0.37,INF,-1,0,7,0
1220,1,1,14.221,3.939,1.33,0.37,1.33,0.37,INF,-1,0,7,0
1240,1,1,15.052,3.528,1.41,0.33,1.41,0.33,INF,-1,0,7,0
1260,1,1,14.104,1.969,1.32,0.18,1.32,0.18,INF,-1,0,7,0
1280,1,1,-1.197,-0.321,-0.11,-0.03,-0.11,-0.03,INF,-1,0,7,0
1300,1,1,-3.254,-2.118,-0.30,-0.20,-0.30,-0.20,INF,-1,1,7,0
1320,1,1,-5.420,-2.680,-0.51,-0.25,-0.51,-0.25,INF,-1,0,7,0
1340,1,1,-5.224,-1.418,-0.49,-0.13,-0.49,-0.13,INF,-1,0,7,0
1360,1,1,-3.670,-1.550,-0.34,-0.14,-0.34,-0.14,INF,-1,0,7,0
1380,1,1,-4.431,-1.596,-0.41,-0.15,-0.41,-0.15,INF,-1,0,7,0
1400,1,1,-2.304,-3.001,-0.22,-0.28,-0.22,-0.28,INF,-1,0,7,0
1420,1,1,-2.515,-2.447,-0.24,-0.23,-0.24,-0.23,INF,-1,0,7,0
1440,1,1,-10.746,-1.265,-1.00,-0.12,-1.00,-0.12,INF,-1,0,7,0
1460,1,1,33.883,6.612,3.16,0.62,3.16,0.62,INF,-1,0,7,0
1480,1,1,38.990,8.063,3.64,0.75,3.64,0.75,INF,-1,0,7,0
1500,1,1,42.275,7.569,3.95,0.71,3.94,0.71,INF,-1,0,7,0
1520,1,1,41.928,9.660,3.91,0.90,3.91,0.90,INF,-1,0,7,0
1540,1,1,40.225,8.138,3.75,0.76,3.75,0.76,INF,-1,0,7,0
1560,1,1,40.083,9.679,3.74,0.90,3.74,0.90,INF,-1,0,7,0
1580,1,1,39.064,8.448,3.65,0.79,3.65,0.79,INF,-1,0,7,0
1600,1,1,38.700,9.705,3.61,0.91,3.61,0.91,INF,-1,0,7,0
1620,1,1,39.525,7.438,3.69,0.69,3.69,0.70,INF,-1,0,7,0
1640,1,1,40.259,8.056,3.76,0.75,3.76,0.75,INF,-1,0,7,0
1660,1,1,38.411,9.131,3.59,0.85,3.59,0.85,INF,-1,0,7,0
1680,1,1,37.866,8.345,3.53,0.78,3.53,0.78,INF,-1,0,7,0
1700,1,1,37.460,7.757,3.50,0.72,3.50,0.72,INF,-1,0,7,0
1720,1,1,37.639,7.308,3.51,0.68,3.51,0.68,INF,-1,0,7,0
1740,1,1,38.370,6.663,3.58,0.62,3.58,0.62,INF,-1,1,7,0
