"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.27547
CalibrationParameters_A12,0.07016
CalibrationParameters_A13,0.00466
CalibrationParameters_A21,0.11932
CalibrationParameters_A22,-1.23541
CalibrationParameters_A23,0.03106
CalibrationParameters_A31,0.00072
CalibrationParameters_A32,-0.01541
CalibrationParameters_E11,-0.18007
CalibrationParameters_E12,-0.00004
CalibrationParameters_E21,-0.00003
CalibrationParameters_E22,0.19998
CalibrationParameters_X,-41.82955
CalibrationParameters_Y,-50.26938
CalibrationParameters_Rpc,78.04840
CalibrationParameters_MeanX,182.70260
CalibrationParameters_MeanY,119.88457
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-15.128,5.772,-1.41,0.54,-1.41,0.54,INF,-1,0,7,0
40,1,1,-15.897,6.118,-1.49,0.57,-1.49,0.57,INF,-1,0,7,0
60,1,1,-16.075,7.963,-1.50,0.74,-1.50,0.74,INF,-1,0,7,0
80,1,1,-15.662,8.169,-1.46,0.76,-1.46,0.76,INF,-1,0,7,0
100,1,1,-15.969,7.315,-1.49,0.68,-1.49,0.68,INF,-1,0,7,0
120,1,1,-17.830,7.252,-1.67,0.68,-1.67,0.68,INF,-1,0,7,0
140,1,1,-18.102,6.407,-1.69,0.60,-1.69,0.60,INF,-1,0,7,0
160,1,1,-15.643,6.498,-1.46,0.61,-1.46,0.61,INF,-1,0,7,0
180,1,1,-18.595,4.795,-1.74,0.45,-1.74,0.45,INF,-1,0,7,0
200,1,1,-17.774,8.116,-1.66,0.76,-1.66,0.76,INF,-1,0,7,0
220,1,1,-17.250,7.449,-1.61,0.70,-1.61,0.70,INF,-1,0,7,0
240,1,1,-16.636,6.556,-1.55,0.61,-1.55,0.61,INF,-1,0,7,0
260,1,1,-17.763,6.608,-1.66,0.62,-1.66,0.62,INF,-1,0,7,0
280,1,1,-14.893,7.427,-1.39,0.69,-1.39,0.69,INF,-1,0,7,0
300,1,1,-16.786,6.388,-1.57,0.60,-1.57,0.60,INF,-1,1,7,0
320,1,1,-16.603,8.442,-1.55,0.79,-1.55,0.79,INF,-1,1,7,0
340,1,1,-16.785,10.820,-1.57,1.01,-1.57,1.01,INF,-1,1,7,0
360,1,1,-14.864,10.231,-1.39,0.96,-1.39,0.96,INF,-1,1,7,0
380,1,1,3.502,14.101,0.33,1.32,0.33,1.32,INF,-1,1,7,0
400,1,1,1.056,14.631,0.10,1.37,0.10,1.37,INF,-1,1,7,0
420,1,1,1.749,14.888,0.16,1.39,0.16,1.39,INF,-1,0,7,0
440,1,1,3.512,15.023,0.33,1.40,0.33,1.40,INF,-1,0,7,0
460,1,1,1.863,13.115,0.17,1.23,0.17,1.23,INF,-1,0,7,0
480,1,1,2.858,14.825,0.27,1.39,0.27,1.39,INF,-1,0,7,0
500,1,1,3.719,13.392,0.35,1.25,0.35,1.25,INF,-1,0,7,0
520,1,1,2.666,12.527,0.25,1.17,0.25,1.17,INF,-1,0,7,0
540,1,1,3.962,13.936,0.37,1.30,0.37,1.30,INF,-1,0,7,0
560,1,1,4.202,13.116,0.39,1.23,0.39,1.23,INF,-1,0,7,0
580,1,1,2.150,13.379,0.20,1.25,0.20,1.25,INF,-1,0,7,0
600,1,1,3.849,12.409,0.36,1.16,0.36,1.16,INF,-1,0,7,0
620,1,1,4.072,12.161,0.38,1.14,0.38,1.14,INF,-1,0,7,0
640,1,1,3.516,13.243,0.33,1.24,0.33,1.24,INF,-1,0,7,0
660,1,1,1.274,12.167,0.12,1.14,0.12,1.14,INF,-1,1,7,0
680,1,1,-0.216,22.440,-0.02,2.10,-0.02,2.10,INF,-1,1,7,0
700,1,1,1.489,24.507,0.14,2.29,0.14,2.29,INF,-1,1,7,0
