"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.22491
CalibrationParameters_A12,0.04221
CalibrationParameters_A13,-0.01082
CalibrationParameters_A21,0.06101
CalibrationParameters_A22,-1.25980
CalibrationParameters_A23,0.06467
CalibrationParameters_A31,0.00002
CalibrationParameters_A32,-0.01061
CalibrationParameters_E11,-0.18018
CalibrationParameters_E12,0.00014
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.20004
CalibrationParameters_X,-48.03989
CalibrationParameters_Y,-47.63041
CalibrationParameters_Rpc,78.10074
CalibrationParameters_MeanX,181.20697
CalibrationParameters_MeanY,121.32798
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,17.540,-5.895,1.64,-0.55,1.64,-0.55,INF,-1,0,7,0
20,1,1,18.580,-7.015,1.74,-0.66,1.74,-0.66,INF,-1,0,7,0
40,1,1,17.099,-6.468,1.60,-0.60,1.60,-0.60,INF,-1,0,7,0
60,1,1,19.296,-3.466,1.80,-0.32,1.80,-0.32,INF,-1,0,7,0
80,1,1,20.174,-5.259,1.88,-0.49,1.88,-0.49,INF,-1,0,7,0
100,1,1,19.731,-5.246,1.84,-0.49,1.84,-0.49,INF,-1,0,7,0
120,1,1,22.482,-3.933,2.10,-0.37,2.10,-0.37,INF,-1,0,7,0
140,1,1,21.349,-3.234,1.99,-0.30,1.99,-0.30,INF,-1,0,7,0
160,1,1,22.080,-2.384,2.06,-0.22,2.06,-0.22,INF,-1,0,7,0
180,1,1,17.800,-1.140,1.66,-0.11,1.66,-0.11,INF,-1,0,7,0
200,1,1,15.752,1.760,1.47,0.16,1.47,0.16,INF,-1,0,7,0
220,1,1,15.584,1.393,1.46,0.13,1.46,0.13,INF,-1,0,7,0
240,1,1,18.220,2.326,1.70,0.22,1.70,0.22,INF,-1,0,7,0
260,1,1,14.066,3.600,1.31,0.34,1.31,0.34,INF,-1,0,7,0
280,1,1,13.302,2.681,1.24,0.25,1.24,0.25,INF,-1,1,7,0
300,1,1,10.924,6.238,1.02,0.58,1.02,0.58,INF,-1,1,7,0
320,1,1,13.846,12.517,1.29,1.17,1.29,1.17,INF,-1,1,7,0
340,1,1,28.004,26.165,2.62,2.44,2.61,2.44,INF,-1,0,7,0
360,1,1,30.892,31.165,2.88,2.91,2.88,2.91,INF,-1,0,7,0
380,1,1,30.181,30.303,2.82,2.83,2.82,2.83,INF,-1,0,7,0
400,1,1,30.119,26.387,2.81,2.46,2.81,2.46,INF,-1,0,7,0
420,1,1,29.677,30.563,2.77,2.85,2.77,2.85,INF,-1,0,7,0
440,1,1,29.794,27.567,2.78,2.57,2.78,2.57,INF,-1,0,7,0
460,1,1,30.315,27.002,2.83,2.52,2.83,2.52,INF,-1,0,7,0
480,1,1,29.276,25.830,2.73,2.41,2.73,2.41,INF,-1,0,7,0
500,1,1,28.915,24.789,2.70,2.31,2.70,2.32,INF,-1,0,7,0
520,1,1,29.927,24.511,2.79,2.29,2.79,2.29,INF,-1,0,7,0
540,1,1,30.154,23.936,2.82,2.23,2.81,2.24,INF,-1,0,7,0
560,1,1,29.759,23.954,2.78,2.24,2.78,2.24,INF,-1,0,7,0
580,1,1,30.115,23.922,2.81,2.23,2.81,2.23,INF,-1,0,7,0
600,1,1,31.474,24.990,2.94,2.33,2.94,2.33,INF,-1,0,7,0
620,1,1,29.551,26.309,2.76,2.45,2.76,2.46,INF,-1,1,7,0
640,1,1,18.998,44.862,1.78,4.18,1.77,4.19,INF,-1,1,7,0
660,1,1,15.421,45.148,1.44,4.21,1.44,4.21,INF,-1,1,7,0
680,1,1,17.572,44.662,1.64,4.17,1.64,4.17,INF,-1,0,7,0
700,1,1,17.459,43.574,1.63,4.06,1.63,4.07,INF,-1,0,7,0
720,1,1,17.490,43.219,1.63,4.03,1.63,4.03,INF,-1,0,7,0
740,1,1,18.093,43.050,1.69,4.02,1.69,4.02,INF,-1,0,7,0
760,1,1,16.276,42.260,1.52,3.94,1.52,3.94,INF,-1,0,7,0
780,1,1,17.699,42.318,1.65,3.95,1.65,3.95,INF,-1,0,7,0
800,1,1,17.886,43.565,1.67,4.06,1.67,4.07,INF,-1,0,7,0
820,1,1,19.282,43.599,1.80,4.07,1.80,4.07,INF,-1,0,7,0
840,1,1,18.431,44.337,1.72,4.13,1.72,4.14,INF,-1,0,7,0
860,1,1,18.559,44.162,1.73,4.12,1.73,4.12,INF,-1,0,7,0
880,1,1,17.844,43.228,1.67,4.03,1.66,4.03,INF,-1,0,7,0
900,1,1,18.201,43.618,1.70,4.07,1.70,4.07,INF,-1,0,7,0
920,1,1,14.379,27.027,1.34,2.52,1.34,2.52,INF,-1,1,7,0
940,1,1,14.481,18.486,1.35,1.73,1.35,1.73,INF,-1,1,7,0
960,1,1,12.317,18.180,1.15,1.70,1.15,1.70,INF,-1,0,7,0
980,1,1,11.828,16.289,1.11,1.52,1.10,1.52,INF,-1,0,7,0
1000,1,1,11.904,15.966,1.11,1.49,1.11,1.49,INF,-1,0,7,0
1020,1,1,12.649,15.838,1.18,1.48,1.18,1.48,INF,-1,0,7,0
1040,1,1,10.542,16.303,0.99,1.52,0.98,1.52,INF,-1,0,7,0
1060,1,1,11.321,15.110,1.06,1.41,1.06,1.41,INF,-1,0,7,0
1080,1,1,12.114,18.094,1.13,1.69,1.13,1.69,INF,-1,0,7,0
1100,1,1,11.104,16.858,1.04,1.58,1.04,1.58,INF,-1,0,7,0
1120,1,1,10.455,16.820,0.98,1.57,0.98,1.57,INF,-1,0,7,0
1140,1,1,15.275,8.416,1.43,0.79,1.43,0.79,INF,-1,0,7,0
1160,1,1,16.466,2.304,1.54,0.22,1.54,0.22,INF,-1,0,7,0
1180,1,1,16.898,-0.016,1.58,0.00,1.58,0.00,INF,-1,0,7,0
1200,1,1,16.841,1.917,1.57,0.18,1.57,0.18,INF,-1,0,7,0
1220,1,1,17.261,-0.620,1.61,-0.06,1.61,-0.06,INF,-1,0,7,0
1240,1,1,14.898,-1.340,1.39,-0.13,1.39,-0.13,INF,-1,1,7,0
1260,1,1,16.126,-1.210,1.51,-0.11,1.51,-0.11,INF,-1,0,7,0
1280,1,1,15.790,-1.335,1.48,-0.12,1.48,-0.12,INF,-1,0,7,0
1300,1,1,15.248,-0.570,1.42,-0.05,1.42,-0.05,INF,-1,0,7,0
1320,1,1,13.850,-2.012,1.29,-0.19,1.29,-0.19,INF,-1,0,7,0
1340,1,1,14.585,-1.561,1.36,-0.15,1.36,-0.15,INF,-1,0,7,0
1360,1,1,14.787,-1.510,1.38,-0.14,1.38,-0.14,INF,-1,0,7,0
1380,1,1,14.678,-0.849,1.37,-0.08,1.37,-0.08,INF,-1,0,7,0
1400,1,1,13.550,-1.901,1.27,-0.18,1.27,-0.18,INF,-1,0,7,0
1420,1,1,14.256,-1.540,1.33,-0.14,1.33,-0.14,INF,-1,0,7,0
1440,1,1,12.721,-1.826,1.19,-0.17,1.19,-0.17,INF,-1,0,7,0
1460,1,1,13.029,-1.519,1.22,-0.14,1.22,-0.14,INF,-1,0,7,0
1480,1,1,12.852,0.331,1.20,0.03,1.20,0.03,INF,-1,0,7,0
1500,1,1,12.674,1.380,1.18,0.13,1.18,0.13,INF,-1,1,7,0
1520,1,1,8.922,0.893,0.83,0.08,0.83,0.08,INF,-1,1,7,0
1540,1,1,9.852,0.714,0.92,0.07,0.92,0.07,INF,-1,1,7,0
1560,1,1,11.428,2.101,1.07,0.20,1.07,0.20,INF,-1,1,7,0
1580,1,1,10.055,0.539,0.94,0.05,0.94,0.05,INF,-1,1,7,0
1600,1,1,8.067,0.783,0.75,0.07,0.75,0.07,INF,-1,1,7,0
1620,1,1,9.113,1.984,0.85,0.19,0.85,0.19,INF,-1,1,7,0
1640,1,1,7.162,3.541,0.67,0.33,0.67,0.33,INF,-1,1,7,0
1660,1,1,8.038,3.291,0.75,0.31,0.75,0.31,INF,-1,1,7,0
1680,1,1,11.330,-0.633,1.06,-0.06,1.06,-0.06,INF,-1,1,7,0
1700,1,1,-26.619,13.656,-2.49,1.27,-2.49,1.28,INF,-1,1,7,0
1720,1,1,-36.136,18.788,-3.37,1.75,-3.37,1.76,INF,-1,1,7,0
1740,1,1,-38.215,20.076,-3.57,1.87,-3.57,1.88,INF,-1,0,7,0
1760,1,1,-37.152,19.258,-3.47,1.80,-3.47,1.80,INF,-1,0,7,0
1780,1,1,-37.661,18.565,-3.52,1.73,-3.51,1.73,INF,-1,0,7,0
1800,1,1,-37.995,18.949,-3.55,1.77,-3.55,1.77,INF,-1,0,7,0
1820,1,1,-37.551,17.168,-3.51,1.60,-3.50,1.60,INF,-1,0,7,0
1840,1,1,-36.909,17.320,-3.45,1.62,-3.44,1.62,INF,-1,0,7,0
1860,1,1,-35.674,17.276,-3.33,1.61,-3.33,1.61,INF,-1,0,7,0
1880,1,1,-34.747,19.947,-3.24,1.86,-3.24,1.86,INF,-1,0,7,0
1900,1,1,-27.716,24.602,-2.59,2.30,-2.59,2.30,INF,-1,0,7,0
1920,1,1,-28.556,24.357,-2.67,2.27,-2.67,2.28,INF,-1,0,7,0
1940,1,1,-27.621,25.182,-2.58,2.35,-2.58,2.35,INF,-1,0,7,0
1960,1,1,-26.430,24.906,-2.47,2.32,-2.47,2.33,INF,-1,0,7,0
1980,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
2000,1,1,-27.020,21.565,-2.52,2.01,-2.52,2.01,INF,-1,1,7,0
2020,1,1,-28.335,22.814,-2.65,2.13,-2.64,2.13,INF,-1,1,7,0
