"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.20237
CalibrationParameters_A12,0.03695
CalibrationParameters_A13,0.00520
CalibrationParameters_A21,0.08292
CalibrationParameters_A22,-1.22871
CalibrationParameters_A23,0.08010
CalibrationParameters_A31,-0.00007
CalibrationParameters_A32,0.00329
CalibrationParameters_E11,-0.17991
CalibrationParameters_E12,0.00004
CalibrationParameters_E21,0.00012
CalibrationParameters_E22,0.19982
CalibrationParameters_X,-1.46710
CalibrationParameters_Y,57.84900
CalibrationParameters_Rpc,93.23463
CalibrationParameters_MeanX,162.33341
CalibrationParameters_MeanY,108.51754
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
420,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
440,1,1,-28.618,13.635,-2.67,1.27,-2.67,1.27,INF,-1,0,7,0
460,1,1,-28.286,12.197,-2.64,1.14,-2.64,1.14,INF,-1,0,7,0
480,1,1,-8.100,12.687,-0.76,1.19,-0.76,1.19,INF,-1,0,7,0
500,1,1,-5.301,12.646,-0.50,1.18,-0.50,1.18,INF,-1,0,7,0
520,1,1,-5.880,12.332,-0.55,1.15,-0.55,1.15,INF,-1,0,7,0
540,1,1,-6.179,12.039,-0.58,1.13,-0.58,1.13,INF,-1,0,7,0
560,1,1,-6.059,11.557,-0.57,1.08,-0.57,1.08,INF,-1,0,7,0
580,1,1,-5.996,10.897,-0.56,1.02,-0.56,1.02,INF,-1,0,7,0
600,1,1,-5.926,10.345,-0.55,0.97,-0.55,0.97,INF,-1,0,7,0
620,1,1,-6.182,10.997,-0.58,1.03,-0.58,1.03,INF,-1,0,7,0
640,1,1,-6.853,10.776,-0.64,1.01,-0.64,1.01,INF,-1,0,7,0
660,1,1,-7.571,10.784,-0.71,1.01,-0.71,1.01,INF,-1,0,7,0
680,1,1,-8.873,12.555,-0.83,1.17,-0.83,1.17,INF,-1,0,7,0
700,1,1,-7.682,12.206,-0.72,1.14,-0.72,1.14,INF,-1,0,7,0
720,1,1,-7.893,11.505,-0.74,1.08,-0.74,1.08,INF,-1,0,7,0
740,1,1,-8.588,12.713,-0.80,1.19,-0.80,1.19,INF,-1,0,7,0
760,1,1,-9.133,12.737,-0.85,1.19,-0.85,1.19,INF,-1,1,7,0
780,1,1,-6.489,12.965,-0.61,1.21,-0.61,1.21,INF,-1,1,7,0
800,1,1,-8.281,12.981,-0.77,1.21,-0.77,1.21,INF,-1,1,7,0
820,1,1,-7.522,12.201,-0.70,1.14,-0.70,1.14,INF,-1,1,7,0
840,1,1,-7.262,12.931,-0.68,1.21,-0.68,1.21,INF,-1,1,7,0
860,1,1,-7.492,12.429,-0.70,1.16,-0.70,1.16,INF,-1,1,7,0
880,1,1,-6.788,12.633,-0.63,1.18,-0.63,1.18,INF,-1,1,7,0
900,1,1,-7.660,12.905,-0.72,1.21,-0.72,1.21,INF,-1,1,7,0
920,1,1,-5.965,2.966,-0.56,0.28,-0.56,0.28,INF,-1,1,7,0
940,1,1,-7.491,4.917,-0.70,0.46,-0.70,0.46,INF,-1,1,7,0
960,1,1,-6.449,5.639,-0.60,0.53,-0.60,0.53,INF,-1,1,7,0
980,1,1,-6.607,4.689,-0.62,0.44,-0.62,0.44,INF,-1,1,7,0
1000,1,1,-6.503,4.353,-0.61,0.41,-0.61,0.41,INF,-1,1,7,0
1020,1,1,-6.347,6.411,-0.59,0.60,-0.59,0.60,INF,-1,1,7,0
1040,1,1,-7.659,5.311,-0.72,0.50,-0.72,0.50,INF,-1,1,7,0
1060,1,1,-5.990,6.050,-0.56,0.57,-0.56,0.57,INF,-1,1,7,0
1080,1,1,-6.779,4.863,-0.63,0.45,-0.63,0.45,INF,-1,1,7,0
1100,1,1,-7.413,4.885,-0.69,0.46,-0.69,0.46,INF,-1,1,7,0
1120,1,1,-7.178,4.879,-0.67,0.46,-0.67,0.46,INF,-1,1,7,0
1140,1,1,24.592,25.637,2.30,2.39,2.30,2.39,INF,-1,1,7,0
1160,1,1,21.875,23.002,2.04,2.15,2.04,2.15,INF,-1,1,7,0
1180,1,1,23.686,23.379,2.21,2.18,2.21,2.18,INF,-1,0,7,0
1200,1,1,22.753,23.488,2.13,2.19,2.12,2.19,INF,-1,0,7,0
1220,1,1,23.232,24.074,2.17,2.25,2.17,2.25,INF,-1,0,7,0
1240,1,1,25.056,23.111,2.34,2.16,2.34,2.16,INF,-1,0,7,0
1260,1,1,22.827,24.528,2.13,2.29,2.13,2.29,INF,-1,0,7,0
1280,1,1,23.387,24.555,2.18,2.29,2.18,2.29,INF,-1,0,7,0
1300,1,1,23.942,24.080,2.24,2.25,2.23,2.25,INF,-1,0,7,0
1320,1,1,23.014,25.783,2.15,2.41,2.15,2.41,INF,-1,0,7,0
1340,1,1,23.323,25.798,2.18,2.41,2.18,2.41,INF,-1,0,7,0
1360,1,1,24.150,25.765,2.26,2.40,2.25,2.41,INF,-1,0,7,0
1380,1,1,23.947,23.802,2.24,2.22,2.24,2.22,INF,-1,0,7,0
1400,1,1,23.859,23.438,2.23,2.19,2.23,2.19,INF,-1,0,7,0
