"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.20702
CalibrationParameters_A12,0.03614
CalibrationParameters_A13,0.06921
CalibrationParameters_A21,0.07002
CalibrationParameters_A22,-1.21725
CalibrationParameters_A23,0.06005
CalibrationParameters_A31,0.00097
CalibrationParameters_A32,0.00388
CalibrationParameters_E11,-0.17976
CalibrationParameters_E12,0.00011
CalibrationParameters_E21,-0.00016
CalibrationParameters_E22,0.19997
CalibrationParameters_X,-6.52308
CalibrationParameters_Y,58.36564
CalibrationParameters_Rpc,92.51227
CalibrationParameters_MeanX,156.45358
CalibrationParameters_MeanY,101.26987
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,50.690,45.205,4.73,4.20,4.71,4.22,INF,-1,0,7,0
20,1,1,50.526,44.743,4.71,4.16,4.70,4.17,INF,-1,0,7,0
40,1,1,50.255,46.638,4.69,4.34,4.67,4.35,INF,-1,0,7,0
60,1,1,49.891,45.540,4.65,4.23,4.64,4.25,INF,-1,0,7,0
80,1,1,49.463,44.119,4.61,4.10,4.60,4.12,INF,-1,0,7,0
100,1,1,27.133,38.379,2.53,3.58,2.53,3.58,INF,-1,0,7,0
120,1,1,-33.185,15.796,-3.10,1.47,-3.10,1.48,INF,-1,0,7,0
140,1,1,-23.442,17.907,-2.19,1.67,-2.19,1.67,INF,-1,0,7,0
160,1,1,-23.184,16.386,-2.17,1.53,-2.17,1.53,INF,-1,0,7,0
180,1,1,-25.389,17.604,-2.37,1.64,-2.37,1.64,INF,-1,0,7,0
200,1,1,-24.606,16.697,-2.30,1.56,-2.30,1.56,INF,-1,0,7,0
220,1,1,-24.425,15.732,-2.28,1.47,-2.28,1.47,INF,-1,0,7,0
240,1,1,-25.139,15.307,-2.35,1.43,-2.35,1.43,INF,-1,0,7,0
260,1,1,-25.236,16.139,-2.36,1.51,-2.36,1.51,INF,-1,0,7,0
280,1,1,-25.669,14.954,-2.40,1.40,-2.40,1.40,INF,-1,0,7,0
300,1,1,-24.286,16.424,-2.27,1.53,-2.27,1.53,INF,-1,0,7,0
320,1,1,-24.804,14.321,-2.32,1.34,-2.32,1.34,INF,-1,0,7,0
340,1,1,-46.352,25.243,-4.32,2.35,-4.32,2.36,INF,-1,0,7,0
360,1,1,-47.125,24.807,-4.40,2.31,-4.39,2.32,INF,-1,0,7,0
380,1,1,-46.203,24.073,-4.31,2.24,-4.31,2.25,INF,-1,0,7,0
400,1,1,-48.282,26.008,-4.50,2.42,-4.50,2.43,INF,-1,0,7,0
420,1,1,-47.895,24.382,-4.47,2.27,-4.46,2.28,INF,-1,0,7,0
440,1,1,-48.485,24.359,-4.52,2.27,-4.52,2.28,INF,-1,0,7,0
460,1,1,-48.797,24.502,-4.55,2.28,-4.55,2.29,INF,-1,0,7,0
480,1,1,-49.055,25.413,-4.58,2.37,-4.57,2.37,INF,-1,0,7,0
500,1,1,-48.808,24.352,-4.55,2.27,-4.55,2.27,INF,-1,0,7,0
520,1,1,-51.548,25.715,-4.81,2.39,-4.80,2.40,INF,-1,1,7,0
540,1,1,-49.510,25.957,-4.62,2.42,-4.61,2.42,INF,-1,1,7,0
560,1,1,-50.700,25.361,-4.73,2.36,-4.72,2.37,INF,-1,1,7,0
580,1,1,-51.154,25.647,-4.77,2.39,-4.77,2.40,INF,-1,1,7,0
600,1,1,-51.052,25.237,-4.76,2.35,-4.76,2.36,INF,-1,0,7,0
620,1,1,-51.458,25.894,-4.80,2.41,-4.79,2.42,INF,-1,0,7,0
640,1,1,-51.467,26.975,-4.80,2.51,-4.79,2.52,INF,-1,0,7,0
660,1,1,-52.363,26.197,-4.88,2.44,-4.88,2.45,INF,-1,0,7,0
680,1,1,-51.590,26.200,-4.81,2.44,-4.81,2.45,INF,-1,0,7,0
700,1,1,-50.161,28.997,-4.68,2.70,-4.67,2.71,INF,-1,0,7,0
720,1,1,-51.298,29.171,-4.78,2.72,-4.78,2.72,INF,-1,0,7,0
740,1,1,-50.240,29.127,-4.69,2.71,-4.68,2.72,INF,-1,0,7,0
760,1,1,-50.240,29.089,-4.69,2.71,-4.68,2.72,INF,-1,0,7,0
780,1,1,-51.290,29.546,-4.78,2.75,-4.78,2.76,INF,-1,0,7,0
800,1,1,-49.699,29.837,-4.64,2.78,-4.63,2.79,INF,-1,0,7,0
820,1,1,-50.827,29.504,-4.74,2.75,-4.73,2.76,INF,-1,0,7,0
840,1,1,-50.210,29.972,-4.68,2.79,-4.68,2.80,INF,-1,1,7,0
860,1,1,-50.910,29.360,-4.75,2.73,-4.74,2.74,INF,-1,1,7,0
880,1,1,-51.841,29.892,-4.83,2.78,-4.83,2.79,INF,-1,1,7,0
900,1,1,-50.967,29.278,-4.75,2.73,-4.75,2.73,INF,-1,1,7,0
920,1,1,-50.698,29.637,-4.73,2.76,-4.72,2.77,INF,-1,1,7,0
940,1,1,-51.763,29.526,-4.83,2.75,-4.82,2.76,INF,-1,1,7,0
960,1,1,-52.267,29.927,-4.87,2.78,-4.87,2.79,INF,-1,1,7,0
980,1,1,-52.006,28.571,-4.85,2.66,-4.84,2.67,INF,-1,1,7,0
1000,1,1,-52.141,28.855,-4.86,2.69,-4.86,2.70,INF,-1,1,7,0
1020,1,1,-51.465,28.015,-4.80,2.61,-4.79,2.62,INF,-1,1,7,0
