"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.21126
CalibrationParameters_A12,0.05264
CalibrationParameters_A13,0.04826
CalibrationParameters_A21,0.07779
CalibrationParameters_A22,-1.24222
CalibrationParameters_A23,0.06078
CalibrationParameters_A31,0.00057
CalibrationParameters_A32,0.00529
CalibrationParameters_E11,-0.18023
CalibrationParameters_E12,0.00013
CalibrationParameters_E21,0.00017
CalibrationParameters_E22,0.19979
CalibrationParameters_X,-9.58336
CalibrationParameters_Y,60.53747
CalibrationParameters_Rpc,92.07504
CalibrationParameters_MeanX,162.93312
CalibrationParameters_MeanY,112.52769
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,1,1,-3.650,26.779,-0.34,2.50,-0.34,2.50,INF,-1,0,7,0
60,1,1,-2.481,26.021,-0.23,2.43,-0.23,2.43,INF,-1,0,7,0
80,1,1,-1.200,25.717,-0.11,2.40,-0.11,2.40,INF,-1,0,7,0
100,1,1,-1.860,25.209,-0.17,2.35,-0.17,2.35,INF,-1,0,7,0
120,1,1,-0.888,25.603,-0.08,2.39,-0.08,2.39,INF,-1,0,7,0
140,1,1,-0.957,25.651,-0.09,2.40,-0.09,2.40,INF,-1,0,7,0
160,1,1,-1.251,24.608,-0.12,2.30,-0.12,2.30,INF,-1,0,7,0
180,1,1,-0.320,24.778,-0.03,2.31,-0.03,2.31,INF,-1,0,7,0
200,1,1,-1.937,24.085,-0.18,2.25,-0.18,2.25,INF,-1,0,7,0
220,1,1,-0.686,25.221,-0.06,2.36,-0.06,2.36,INF,-1,0,7,0
240,1,1,-0.664,23.512,-0.06,2.20,-0.06,2.20,INF,-1,0,7,0
260,1,1,-0.072,25.198,-0.01,2.35,-0.01,2.35,INF,-1,0,7,0
280,1,1,0.052,24.735,0.00,2.31,0.00,2.31,INF,-1,0,7,0
300,1,1,-0.902,22.798,-0.08,2.13,-0.08,2.13,INF,-1,0,7,0
320,1,1,0.020,24.403,0.00,2.28,0.00,2.28,INF,-1,1,7,0
340,1,1,0.686,24.304,0.06,2.27,0.06,2.27,INF,-1,1,7,0
360,1,1,0.086,22.874,0.01,2.14,0.01,2.14,INF,-1,1,7,0
380,1,1,-0.001,24.040,0.00,2.25,0.00,2.25,INF,-1,1,7,0
400,1,1,-0.753,22.499,-0.07,2.10,-0.07,2.10,INF,-1,1,7,0
420,1,1,-2.621,21.301,-0.24,1.99,-0.24,1.99,INF,-1,1,7,0
440,1,1,-1.249,22.141,-0.12,2.07,-0.12,2.07,INF,-1,1,7,0
460,1,1,1.938,11.718,0.18,1.10,0.18,1.10,INF,-1,1,7,0
480,1,1,0.816,9.635,0.08,0.90,0.08,0.90,INF,-1,1,7,0
500,1,1,1.990,11.340,0.19,1.06,0.19,1.06,INF,-1,0,7,0
520,1,1,0.763,9.541,0.07,0.89,0.07,0.89,INF,-1,0,7,0
540,1,1,1.833,10.559,0.17,0.99,0.17,0.99,INF,-1,0,7,0
560,1,1,0.655,8.413,0.06,0.79,0.06,0.79,INF,-1,0,7,0
580,1,1,0.851,9.988,0.08,0.93,0.08,0.93,INF,-1,0,7,0
600,1,1,0.325,8.042,0.03,0.75,0.03,0.75,INF,-1,0,7,0
620,1,1,1.236,8.780,0.12,0.82,0.12,0.82,INF,-1,0,7,0
640,1,1,1.192,9.064,0.11,0.85,0.11,0.85,INF,-1,0,7,0
660,1,1,0.168,8.714,0.02,0.81,0.02,0.81,INF,-1,0,7,0
680,1,1,0.243,8.082,0.02,0.76,0.02,0.76,INF,-1,0,7,0
700,1,1,0.070,8.829,0.01,0.83,0.01,0.83,INF,-1,0,7,0
720,1,1,0.751,8.721,0.07,0.82,0.07,0.82,INF,-1,0,7,0
740,1,1,0.987,9.601,0.09,0.90,0.09,0.90,INF,-1,1,7,0
760,1,1,1.049,9.924,0.10,0.93,0.10,0.93,INF,-1,1,7,0
780,1,1,0.414,8.272,0.04,0.77,0.04,0.77,INF,-1,1,7,0
800,1,1,-0.003,8.947,0.00,0.84,0.00,0.84,INF,-1,1,7,0
820,1,1,0.310,8.747,0.03,0.82,0.03,0.82,INF,-1,1,7,0
840,1,1,2.075,11.027,0.19,1.03,0.19,1.03,INF,-1,1,7,0
860,1,1,3.495,4.217,0.33,0.39,0.33,0.39,INF,-1,1,7,0
880,1,1,3.492,2.340,0.33,0.22,0.33,0.22,INF,-1,1,7,0
900,1,1,3.332,2.545,0.31,0.24,0.31,0.24,INF,-1,1,7,0
920,1,1,2.612,1.706,0.24,0.16,0.24,0.16,INF,-1,1,7,0
940,1,1,3.662,2.339,0.34,0.22,0.34,0.22,INF,-1,1,7,0
960,1,1,2.939,2.477,0.27,0.23,0.27,0.23,INF,-1,1,7,0
980,1,1,2.699,3.748,0.25,0.35,0.25,0.35,INF,-1,1,7,0
1000,1,1,2.419,2.271,0.23,0.21,0.23,0.21,INF,-1,1,7,0
1020,1,1,4.327,4.598,0.40,0.43,0.40,0.43,INF,-1,1,7,0
1040,1,1,3.949,3.465,0.37,0.32,0.37,0.32,INF,-1,1,7,0
1060,1,1,3.767,3.262,0.35,0.30,0.35,0.30,INF,-1,1,7,0
1080,1,1,3.989,4.143,0.37,0.39,0.37,0.39,INF,-1,1,7,0
1100,1,1,4.927,3.052,0.46,0.29,0.46,0.29,INF,-1,1,7,0
1120,1,1,4.766,4.203,0.45,0.39,0.45,0.39,INF,-1,1,7,0
1140,1,1,4.669,4.396,0.44,0.41,0.44,0.41,INF,-1,1,7,0
1160,1,1,5.482,5.821,0.51,0.54,0.51,0.54,INF,-1,1,7,0
1180,1,1,4.902,5.226,0.46,0.49,0.46,0.49,INF,-1,1,7,0
1200,1,1,5.103,4.252,0.48,0.40,0.48,0.40,INF,-1,1,7,0
1220,1,1,5.399,4.878,0.50,0.46,0.50,0.46,INF,-1,1,7,0
1240,1,1,5.521,5.065,0.52,0.47,0.52,0.47,INF,-1,1,7,0
1260,1,1,3.684,0.363,0.34,0.03,0.34,0.03,INF,-1,1,7,0
1280,1,1,0.906,-11.194,0.08,-1.05,0.08,-1.05,INF,-1,1,7,0
1300,1,1,2.302,-11.846,0.22,-1.11,0.22,-1.11,INF,-1,1,7,0
1320,1,1,1.251,-11.771,0.12,-1.10,0.12,-1.10,INF,-1,0,7,0
1340,1,1,1.866,-11.192,0.17,-1.05,0.17,-1.05,INF,-1,0,7,0
1360,1,1,1.559,-9.635,0.15,-0.90,0.15,-0.90,INF,-1,0,7,0
1380,1,1,1.419,-10.804,0.13,-1.01,0.13,-1.01,INF,-1,0,7,0
1400,1,1,2.039,-10.328,0.19,-0.97,0.19,-0.97,INF,-1,0,7,0
1420,1,1,2.523,-8.721,0.24,-0.82,0.24,-0.82,INF,-1,0,7,0
