"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.19356
CalibrationParameters_A12,0.04857
CalibrationParameters_A13,0.00081
CalibrationParameters_A21,0.07067
CalibrationParameters_A22,-1.19919
CalibrationParameters_A23,0.05322
CalibrationParameters_A31,-0.00011
CalibrationParameters_A32,0.00259
CalibrationParameters_E11,-0.18026
CalibrationParameters_E12,-0.00027
CalibrationParameters_E21,0.00002
CalibrationParameters_E22,0.19994
CalibrationParameters_X,-9.40400
CalibrationParameters_Y,55.54922
CalibrationParameters_Rpc,89.86610
CalibrationParameters_MeanX,183.63879
CalibrationParameters_MeanY,100.27140
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,23.017,4.975,2.15,0.46,2.15,0.47,INF,-1,0,7,0
40,1,1,21.893,5.806,2.05,0.54,2.05,0.54,INF,-1,0,7,0
60,1,1,21.788,3.913,2.04,0.37,2.04,0.37,INF,-1,0,7,0
80,1,1,21.791,3.409,2.04,0.32,2.04,0.32,INF,-1,0,7,0
100,1,1,22.402,3.026,2.09,0.28,2.09,0.28,INF,-1,0,7,0
120,1,1,22.337,3.737,2.09,0.35,2.09,0.35,INF,-1,0,7,0
140,1,1,22.180,3.446,2.07,0.32,2.07,0.32,INF,-1,0,7,0
160,1,1,22.192,2.405,2.07,0.22,2.07,0.22,INF,-1,0,7,0
180,1,1,21.783,1.620,2.04,0.15,2.04,0.15,INF,-1,0,7,0
200,1,1,21.485,2.495,2.01,0.23,2.01,0.23,INF,-1,0,7,0
220,1,1,21.742,0.577,2.03,0.05,2.03,0.05,INF,-1,0,7,0
240,1,1,22.851,1.116,2.13,0.10,2.13,0.10,INF,-1,0,7,0
260,1,1,22.716,0.612,2.12,0.06,2.12,0.06,INF,-1,0,7,0
280,1,1,22.949,-0.020,2.14,0.00,2.14,0.00,INF,-1,0,7,0
300,1,1,22.339,0.236,2.09,0.02,2.09,0.02,INF,-1,1,7,0
320,1,1,21.086,-0.762,1.97,-0.07,1.97,-0.07,INF,-1,1,7,0
340,1,1,22.200,-1.760,2.07,-0.16,2.07,-0.16,INF,-1,1,7,0
360,1,1,21.847,-2.850,2.04,-0.27,2.04,-0.27,INF,-1,1,7,0
380,1,1,22.188,-0.936,2.07,-0.09,2.07,-0.09,INF,-1,1,7,0
400,1,1,-24.197,-5.566,-2.26,-0.52,-2.26,-0.52,INF,-1,1,7,0
420,1,1,-34.863,-1.988,-3.26,-0.19,-3.26,-0.19,INF,-1,1,7,0
440,1,1,-34.083,-3.212,-3.18,-0.30,-3.18,-0.30,INF,-1,0,7,0
460,1,1,-35.985,-3.285,-3.36,-0.31,-3.36,-0.31,INF,-1,0,7,0
480,1,1,-35.763,-4.085,-3.34,-0.38,-3.34,-0.38,INF,-1,0,7,0
500,1,1,-36.712,-5.540,-3.43,-0.52,-3.43,-0.52,INF,-1,0,7,0
520,1,1,-35.875,-4.403,-3.35,-0.41,-3.35,-0.41,INF,-1,0,7,0
540,1,1,-35.753,-3.293,-3.34,-0.31,-3.34,-0.31,INF,-1,0,7,0
560,1,1,-36.043,-4.399,-3.36,-0.41,-3.36,-0.41,INF,-1,0,7,0
580,1,1,-35.860,-5.682,-3.35,-0.53,-3.35,-0.53,INF,-1,0,7,0
600,1,1,-36.457,-5.819,-3.40,-0.54,-3.40,-0.54,INF,-1,0,7,0
620,1,1,-35.697,-5.221,-3.33,-0.49,-3.33,-0.49,INF,-1,0,7,0
640,1,1,-35.652,-6.598,-3.33,-0.62,-3.33,-0.62,INF,-1,0,7,0
660,1,1,-43.583,-2.734,-4.07,-0.25,-4.07,-0.26,INF,-1,0,7,0
680,1,1,-45.346,0.825,-4.23,0.08,-4.23,0.08,INF,-1,0,7,0
700,1,1,-44.979,-1.190,-4.20,-0.11,-4.20,-0.11,INF,-1,1,7,0
720,1,1,-45.219,0.045,-4.22,0.00,-4.22,0.00,INF,-1,1,7,0
740,1,1,-44.751,0.222,-4.18,0.02,-4.18,0.02,INF,-1,1,7,0
