"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.22466
CalibrationParameters_A12,0.05079
CalibrationParameters_A13,-0.00538
CalibrationParameters_A21,0.06997
CalibrationParameters_A22,-1.23651
CalibrationParameters_A23,0.06510
CalibrationParameters_A31,-0.00025
CalibrationParameters_A32,0.00435
CalibrationParameters_E11,-0.18006
CalibrationParameters_E12,-0.00014
CalibrationParameters_E21,-0.00021
CalibrationParameters_E22,0.20020
CalibrationParameters_X,-8.63280
CalibrationParameters_Y,59.52935
CalibrationParameters_Rpc,93.15064
CalibrationParameters_MeanX,158.01043
CalibrationParameters_MeanY,113.73631
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,15.256,42.839,1.43,4.00,1.42,4.00,INF,-1,0,7,0
20,1,1,15.152,43.686,1.42,4.08,1.41,4.08,INF,-1,0,7,0
40,1,1,13.415,38.098,1.25,3.56,1.25,3.56,INF,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
360,1,1,-72.538,-67.536,-6.75,-6.24,-6.71,-6.29,INF,-1,0,7,0
380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
420,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
440,1,1,-2.445,15.579,-0.23,1.46,-0.23,1.46,INF,-1,0,7,0
460,1,1,-2.079,14.164,-0.19,1.32,-0.19,1.32,INF,-1,0,7,0
480,1,1,0.177,15.295,0.02,1.43,0.02,1.43,INF,-1,0,7,0
500,1,1,0.086,16.680,0.01,1.56,0.01,1.56,INF,-1,0,7,0
520,1,1,-0.794,17.321,-0.07,1.62,-0.07,1.62,INF,-1,0,7,0
540,1,1,-1.535,13.386,-0.14,1.25,-0.14,1.25,INF,-1,0,7,0
560,1,1,-0.942,12.357,-0.09,1.15,-0.09,1.15,INF,-1,0,7,0
580,1,1,-1.062,12.178,-0.10,1.14,-0.10,1.14,INF,-1,0,7,0
600,1,1,-0.856,11.381,-0.08,1.06,-0.08,1.06,INF,-1,0,7,0
620,1,1,-1.806,12.331,-0.17,1.15,-0.17,1.15,INF,-1,0,7,0
640,1,1,-0.623,12.757,-0.06,1.19,-0.06,1.19,INF,-1,0,7,0
660,1,1,-2.218,11.693,-0.21,1.09,-0.21,1.09,INF,-1,0,7,0
680,1,1,-1.421,12.133,-0.13,1.13,-0.13,1.13,INF,-1,0,7,0
700,1,1,-0.867,12.079,-0.08,1.13,-0.08,1.13,INF,-1,0,7,0
720,1,1,-1.139,12.425,-0.11,1.16,-0.11,1.16,INF,-1,1,7,0
740,1,1,-0.857,13.442,-0.08,1.26,-0.08,1.26,INF,-1,1,7,0
760,1,1,-0.909,14.518,-0.08,1.36,-0.08,1.36,INF,-1,1,7,0
780,1,1,-1.580,13.002,-0.15,1.22,-0.15,1.22,INF,-1,1,7,0
800,1,1,-2.739,13.509,-0.26,1.26,-0.26,1.26,INF,-1,1,7,0
820,1,1,-2.251,12.100,-0.21,1.13,-0.21,1.13,INF,-1,1,7,0
840,1,1,-0.892,13.814,-0.08,1.29,-0.08,1.29,INF,-1,1,7,0
