"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.22238
CalibrationParameters_A12,0.04983
CalibrationParameters_A13,0.02489
CalibrationParameters_A21,0.05771
CalibrationParameters_A22,-1.23237
CalibrationParameters_A23,0.06451
CalibrationParameters_A31,0.00019
CalibrationParameters_A32,0.00419
CalibrationParameters_E11,-0.18033
CalibrationParameters_E12,-0.00002
CalibrationParameters_E21,0.00013
CalibrationParameters_E22,0.19999
CalibrationParameters_X,-12.56931
CalibrationParameters_Y,58.91983
CalibrationParameters_Rpc,94.84971
CalibrationParameters_MeanX,191.09691
CalibrationParameters_MeanY,107.02253
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-8.320,36.702,-0.78,3.43,-0.78,3.43,INF,-1,0,7,0
20,1,1,-7.656,34.868,-0.72,3.26,-0.71,3.26,INF,-1,0,7,0
40,1,1,-7.917,34.896,-0.74,3.26,-0.74,3.26,INF,-1,0,7,0
60,1,1,-6.380,36.499,-0.60,3.41,-0.60,3.41,INF,-1,0,7,0
80,1,1,-7.678,35.090,-0.72,3.28,-0.72,3.28,INF,-1,0,7,0
100,1,1,-7.350,36.244,-0.69,3.38,-0.69,3.38,INF,-1,0,7,0
120,1,1,-7.204,35.571,-0.67,3.32,-0.67,3.32,INF,-1,0,7,0
140,1,1,-7.539,35.828,-0.70,3.34,-0.70,3.34,INF,-1,0,7,0
160,1,1,-7.247,36.382,-0.68,3.40,-0.68,3.40,INF,-1,0,7,0
180,1,1,-6.444,34.906,-0.60,3.26,-0.60,3.26,INF,-1,0,7,0
200,1,1,-6.393,33.880,-0.60,3.16,-0.60,3.16,INF,-1,0,7,0
220,1,1,2.471,19.057,0.23,1.78,0.23,1.78,INF,-1,0,7,0
240,1,1,4.459,18.146,0.42,1.70,0.42,1.70,INF,-1,0,7,0
260,1,1,4.931,16.550,0.46,1.55,0.46,1.55,INF,-1,0,7,0
280,1,1,6.600,15.471,0.62,1.45,0.62,1.45,INF,-1,0,7,0
300,1,1,5.337,16.030,0.50,1.50,0.50,1.50,INF,-1,0,7,0
320,1,1,4.276,15.827,0.40,1.48,0.40,1.48,INF,-1,0,7,0
340,1,1,4.755,16.582,0.44,1.55,0.44,1.55,INF,-1,0,7,0
360,1,1,4.879,15.821,0.46,1.48,0.46,1.48,INF,-1,0,7,0
380,1,1,4.556,22.000,0.43,2.06,0.43,2.06,INF,-1,1,7,0
400,1,1,1.181,32.752,0.11,3.06,0.11,3.06,INF,-1,1,7,0
420,1,1,0.446,32.108,0.04,3.00,0.04,3.00,INF,-1,1,7,0
440,1,1,-1.725,33.320,-0.16,3.11,-0.16,3.11,INF,-1,1,7,0
