"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.22686
CalibrationParameters_A12,0.05413
CalibrationParameters_A13,0.04522
CalibrationParameters_A21,0.07321
CalibrationParameters_A22,-1.23310
CalibrationParameters_A23,0.02236
CalibrationParameters_A31,0.00058
CalibrationParameters_A32,0.00449
CalibrationParameters_E11,-0.18011
CalibrationParameters_E12,-0.00009
CalibrationParameters_E21,-0.00004
CalibrationParameters_E22,0.20013
CalibrationParameters_X,-12.10671
CalibrationParameters_Y,59.03690
CalibrationParameters_Rpc,95.54844
CalibrationParameters_MeanX,186.73630
CalibrationParameters_MeanY,112.01156
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,1,1,-93.440,-151.215,-8.67,-13.70,-8.42,-13.86,INF,-1,0,7,0
120,1,1,-61.610,-114.164,-5.74,-10.50,-5.64,-10.55,INF,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,1,1,-55.567,-102.502,-5.18,-9.45,-5.11,-9.49,INF,-1,0,7,0
180,1,1,-6.932,-6.080,-0.65,-0.57,-0.65,-0.57,INF,-1,0,7,0
200,1,1,-5.051,-3.579,-0.47,-0.33,-0.47,-0.33,INF,-1,0,7,0
220,1,1,-9.025,-0.426,-0.84,-0.04,-0.84,-0.04,INF,-1,0,7,0
240,1,1,-9.313,-3.417,-0.87,-0.32,-0.87,-0.32,INF,-1,0,7,0
260,1,1,-6.764,-0.249,-0.63,-0.02,-0.63,-0.02,INF,-1,0,7,0
280,1,1,-7.028,1.189,-0.66,0.11,-0.66,0.11,INF,-1,0,7,0
300,1,1,-6.269,1.011,-0.59,0.09,-0.59,0.09,INF,-1,0,7,0
320,1,1,-5.610,-1.174,-0.52,-0.11,-0.52,-0.11,INF,-1,0,7,0
340,1,1,-6.466,-2.595,-0.60,-0.24,-0.60,-0.24,INF,-1,0,7,0
360,1,1,-5.968,0.014,-0.56,0.00,-0.56,0.00,INF,-1,0,7,0
380,1,1,-6.841,-0.365,-0.64,-0.03,-0.64,-0.03,INF,-1,0,7,0
400,1,1,-6.152,-0.012,-0.57,0.00,-0.57,0.00,INF,-1,0,7,0
420,1,1,-1.071,-0.689,-0.10,-0.06,-0.10,-0.06,INF,-1,0,7,0
440,1,1,32.065,8.346,2.99,0.78,2.99,0.78,INF,-1,0,7,0
460,1,1,31.500,7.361,2.94,0.69,2.94,0.69,INF,-1,1,7,0
480,1,1,31.412,6.997,2.93,0.65,2.93,0.65,INF,-1,0,7,0
500,1,1,30.804,7.722,2.88,0.72,2.88,0.72,INF,-1,0,7,0
520,1,1,29.962,6.144,2.80,0.57,2.80,0.57,INF,-1,0,7,0
540,1,1,30.404,8.026,2.84,0.75,2.84,0.75,INF,-1,0,7,0
560,1,1,30.575,7.468,2.86,0.70,2.86,0.70,INF,-1,0,7,0
580,1,1,29.910,7.596,2.79,0.71,2.79,0.71,INF,-1,0,7,0
600,1,1,30.795,6.786,2.88,0.63,2.88,0.63,INF,-1,0,7,0
620,1,1,30.454,8.761,2.84,0.82,2.84,0.82,INF,-1,0,7,0
640,1,1,30.192,8.593,2.82,0.80,2.82,0.80,INF,-1,0,7,0
660,1,1,29.494,8.246,2.75,0.77,2.75,0.77,INF,-1,0,7,0
680,1,1,29.857,10.103,2.79,0.94,2.79,0.94,INF,-1,0,7,0
700,1,1,30.991,11.157,2.89,1.04,2.89,1.04,INF,-1,0,7,0
720,1,1,29.865,9.607,2.79,0.90,2.79,0.90,INF,-1,1,7,0
740,1,1,29.637,8.658,2.77,0.81,2.77,0.81,INF,-1,1,7,0
760,1,1,29.949,9.988,2.80,0.93,2.80,0.93,INF,-1,1,7,0
780,1,1,30.211,9.897,2.82,0.92,2.82,0.92,INF,-1,1,7,0
800,1,1,30.090,11.559,2.81,1.08,2.81,1.08,INF,-1,1,7,0
820,1,1,29.148,9.086,2.72,0.85,2.72,0.85,INF,-1,1,7,0
840,1,1,30.210,9.127,2.82,0.85,2.82,0.85,INF,-1,1,7,0
860,1,1,27.130,11.576,2.53,1.08,2.53,1.08,INF,-1,1,7,0
880,1,1,15.741,3.287,1.47,0.31,1.47,0.31,INF,-1,1,7,0
900,1,1,16.779,4.252,1.57,0.40,1.57,0.40,INF,-1,1,7,0
920,1,1,18.010,2.153,1.68,0.20,1.68,0.20,INF,-1,0,7,0
940,1,1,18.407,3.490,1.72,0.33,1.72,0.33,INF,-1,0,7,0
960,1,1,17.329,3.694,1.62,0.35,1.62,0.35,INF,-1,0,7,0
980,1,1,17.635,3.564,1.65,0.33,1.65,0.33,INF,-1,0,7,0
1000,1,1,17.671,3.846,1.65,0.36,1.65,0.36,INF,-1,0,7,0
1020,1,1,17.448,3.196,1.63,0.30,1.63,0.30,INF,-1,0,7,0
1040,1,1,16.369,2.702,1.53,0.25,1.53,0.25,INF,-1,0,7,0
1060,1,1,17.632,4.040,1.65,0.38,1.65,0.38,INF,-1,0,7,0
1080,1,1,17.966,5.291,1.68,0.49,1.68,0.49,INF,-1,0,7,0
1100,1,1,18.520,4.709,1.73,0.44,1.73,0.44,INF,-1,0,7,0
1120,1,1,18.478,4.207,1.73,0.39,1.73,0.39,INF,-1,0,7,0
1140,1,1,17.435,4.445,1.63,0.42,1.63,0.42,INF,-1,0,7,0
1160,1,1,17.591,4.295,1.64,0.40,1.64,0.40,INF,-1,1,7,0
1180,1,1,17.856,4.843,1.67,0.45,1.67,0.45,INF,-1,1,7,0
1200,1,1,18.009,3.377,1.68,0.32,1.68,0.32,INF,-1,1,7,0
1220,1,1,18.065,3.947,1.69,0.37,1.69,0.37,INF,-1,1,7,0
1240,1,1,17.129,5.548,1.60,0.52,1.60,0.52,INF,-1,1,7,0
1260,1,1,16.643,4.303,1.56,0.40,1.56,0.40,INF,-1,1,7,0
1280,1,1,16.653,4.977,1.56,0.46,1.56,0.47,INF,-1,1,7,0
1300,1,1,17.674,5.823,1.65,0.54,1.65,0.54,INF,-1,1,7,0
1320,1,1,17.158,3.692,1.60,0.34,1.60,0.35,INF,-1,1,7,0
1340,1,1,18.334,4.699,1.71,0.44,1.71,0.44,INF,-1,1,7,0
1360,1,1,17.360,3.487,1.62,0.33,1.62,0.33,INF,-1,1,7,0
1380,1,1,17.723,4.407,1.66,0.41,1.66,0.41,INF,-1,1,7,0
1400,1,1,21.324,-22.441,1.99,-2.10,1.99,-2.10,INF,-1,1,7,0
1420,1,1,18.324,-33.147,1.71,-3.09,1.71,-3.10,INF,-1,1,7,0
