"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.20237
CalibrationParameters_A12,0.03695
CalibrationParameters_A13,0.00520
CalibrationParameters_A21,0.08292
CalibrationParameters_A22,-1.22871
CalibrationParameters_A23,0.08010
CalibrationParameters_A31,-0.00007
CalibrationParameters_A32,0.00329
CalibrationParameters_E11,-0.17991
CalibrationParameters_E12,0.00004
CalibrationParameters_E21,0.00012
CalibrationParameters_E22,0.19982
CalibrationParameters_X,-1.46710
CalibrationParameters_Y,57.84900
CalibrationParameters_Rpc,93.23463
CalibrationParameters_MeanX,162.33341
CalibrationParameters_MeanY,108.51754
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-14.840,38.358,-1.39,3.58,-1.38,3.58,INF,-1,0,7,0
20,1,1,-14.628,38.945,-1.37,3.63,-1.36,3.64,INF,-1,0,7,0
40,1,1,-15.581,38.840,-1.46,3.62,-1.45,3.63,INF,-1,0,7,0
60,1,1,-14.419,36.221,-1.35,3.38,-1.35,3.38,INF,-1,0,7,0
80,1,1,-14.696,37.692,-1.37,3.52,-1.37,3.52,INF,-1,0,7,0
100,1,1,-15.682,37.820,-1.47,3.53,-1.46,3.53,INF,-1,0,7,0
120,1,1,-15.902,36.747,-1.49,3.43,-1.48,3.43,INF,-1,0,7,0
140,1,1,-15.275,36.598,-1.43,3.42,-1.42,3.42,INF,-1,0,7,0
160,1,1,-16.046,36.004,-1.50,3.36,-1.50,3.36,INF,-1,0,7,0
180,1,1,-16.248,37.549,-1.52,3.50,-1.52,3.51,INF,-1,0,7,0
200,1,1,-17.239,36.283,-1.61,3.39,-1.61,3.39,INF,-1,0,7,0
220,1,1,-18.572,34.453,-1.74,3.22,-1.73,3.22,INF,-1,0,7,0
240,1,1,-22.608,20.554,-2.11,1.92,-2.11,1.92,INF,-1,0,7,0
260,1,1,-22.767,21.767,-2.13,2.03,-2.13,2.03,INF,-1,0,7,0
280,1,1,-22.336,20.864,-2.09,1.95,-2.09,1.95,INF,-1,0,7,0
300,1,1,-21.961,19.800,-2.05,1.85,-2.05,1.85,INF,-1,0,7,0
320,1,1,-22.917,22.603,-2.14,2.11,-2.14,2.11,INF,-1,0,7,0
340,1,1,-23.328,20.321,-2.18,1.90,-2.18,1.90,INF,-1,1,7,0
360,1,1,-23.430,19.845,-2.19,1.85,-2.19,1.85,INF,-1,1,7,0
380,1,1,-22.820,19.610,-2.13,1.83,-2.13,1.83,INF,-1,0,7,0
400,1,1,-22.990,20.782,-2.15,1.94,-2.15,1.94,INF,-1,0,7,0
420,1,1,-22.192,21.872,-2.07,2.04,-2.07,2.04,INF,-1,0,7,0
440,1,1,-22.636,20.812,-2.11,1.94,-2.11,1.94,INF,-1,0,7,0
