"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.19356
CalibrationParameters_A12,0.04857
CalibrationParameters_A13,0.00081
CalibrationParameters_A21,0.07067
CalibrationParameters_A22,-1.19919
CalibrationParameters_A23,0.05322
CalibrationParameters_A31,-0.00011
CalibrationParameters_A32,0.00259
CalibrationParameters_E11,-0.18026
CalibrationParameters_E12,-0.00027
CalibrationParameters_E21,0.00002
CalibrationParameters_E22,0.19994
CalibrationParameters_X,-9.40400
CalibrationParameters_Y,55.54922
CalibrationParameters_Rpc,89.86610
CalibrationParameters_MeanX,183.63879
CalibrationParameters_MeanY,100.27140
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
320,1,1,-47.127,-14.031,-4.40,-1.31,-4.40,-1.31,INF,-1,0,7,0
340,1,1,-26.922,6.117,-2.51,0.57,-2.51,0.57,INF,-1,0,7,0
360,1,1,-26.731,10.314,-2.50,0.96,-2.50,0.96,INF,-1,0,7,0
380,1,1,-26.295,10.016,-2.46,0.94,-2.46,0.94,INF,-1,0,7,0
400,1,1,-27.115,4.646,-2.53,0.43,-2.53,0.43,INF,-1,0,7,0
420,1,1,-21.981,21.056,-2.05,1.97,-2.05,1.97,INF,-1,0,7,0
440,1,1,-21.534,28.583,-2.01,2.67,-2.01,2.67,INF,-1,0,7,0
460,1,1,-24.009,28.544,-2.24,2.66,-2.24,2.67,INF,-1,0,7,0
480,1,1,-24.075,29.842,-2.25,2.78,-2.25,2.79,INF,-1,0,7,0
500,1,1,-24.086,29.391,-2.25,2.74,-2.25,2.75,INF,-1,0,7,0
520,1,1,-23.478,30.659,-2.19,2.86,-2.19,2.86,INF,-1,0,7,0
540,1,1,-24.911,30.714,-2.33,2.87,-2.32,2.87,INF,-1,0,7,0
560,1,1,-25.177,30.649,-2.35,2.86,-2.35,2.86,INF,-1,0,7,0
580,1,1,-23.809,31.820,-2.22,2.97,-2.22,2.97,INF,-1,0,7,0
600,1,1,-23.554,30.117,-2.20,2.81,-2.20,2.81,INF,-1,0,7,0
620,1,1,-23.992,30.860,-2.24,2.88,-2.24,2.88,INF,-1,0,7,0
640,1,1,-24.492,31.324,-2.29,2.92,-2.29,2.93,INF,-1,0,7,0
660,1,1,-24.669,31.163,-2.30,2.91,-2.30,2.91,INF,-1,0,7,0
680,1,1,-24.397,30.896,-2.28,2.88,-2.28,2.89,INF,-1,0,7,0
700,1,1,-25.420,30.426,-2.37,2.84,-2.37,2.84,INF,-1,1,7,0
720,1,1,-25.605,31.778,-2.39,2.96,-2.39,2.97,INF,-1,1,7,0
740,1,1,-25.659,31.273,-2.40,2.92,-2.39,2.92,INF,-1,1,7,0
760,1,1,-24.636,31.779,-2.30,2.97,-2.30,2.97,INF,-1,1,7,0
780,1,1,-25.219,30.490,-2.36,2.85,-2.35,2.85,INF,-1,1,7,0
800,1,1,-24.504,31.906,-2.29,2.98,-2.29,2.98,INF,-1,1,7,0
