"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.18393
CalibrationParameters_A12,0.03983
CalibrationParameters_A13,0.05132
CalibrationParameters_A21,0.06666
CalibrationParameters_A22,-1.21105
CalibrationParameters_A23,0.10751
CalibrationParameters_A31,0.00076
CalibrationParameters_A32,0.00242
CalibrationParameters_E11,-0.18013
CalibrationParameters_E12,0.00006
CalibrationParameters_E21,-0.00005
CalibrationParameters_E22,0.20007
CalibrationParameters_X,-4.66524
CalibrationParameters_Y,55.93895
CalibrationParameters_Rpc,90.81261
CalibrationParameters_MeanX,141.12641
CalibrationParameters_MeanY,95.10512
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-130.318,-16.467,-12.00,-1.51,-12.00,-1.54,INF,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,1,1,-22.315,42.911,-2.08,4.00,-2.08,4.00,INF,-1,0,7,0
60,1,1,-21.548,41.565,-2.01,3.88,-2.01,3.88,INF,-1,0,7,0
80,1,1,-21.888,41.869,-2.04,3.90,-2.04,3.91,INF,-1,0,7,0
100,1,1,-23.373,39.852,-2.18,3.72,-2.18,3.72,INF,-1,0,7,0
120,1,1,-24.379,40.510,-2.28,3.78,-2.27,3.78,INF,-1,0,7,0
140,1,1,-24.969,39.264,-2.33,3.66,-2.33,3.66,INF,-1,0,7,0
160,1,1,-24.629,41.476,-2.30,3.87,-2.30,3.87,INF,-1,0,7,0
180,1,1,-25.398,41.844,-2.37,3.90,-2.37,3.90,INF,-1,0,7,0
200,1,1,-25.221,40.485,-2.36,3.78,-2.35,3.78,INF,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,1,1,-27.309,41.140,-2.55,3.84,-2.55,3.84,INF,-1,0,7,0
260,1,1,-28.042,40.426,-2.62,3.77,-2.61,3.77,INF,-1,0,7,0
280,1,1,-27.130,39.932,-2.53,3.72,-2.53,3.73,INF,-1,0,7,0
300,1,1,-28.976,24.114,-2.71,2.25,-2.70,2.25,INF,-1,0,7,0
320,1,1,-29.019,25.956,-2.71,2.42,-2.71,2.42,INF,-1,1,7,0
340,1,1,-29.819,25.941,-2.78,2.42,-2.78,2.42,INF,-1,0,7,0
360,1,1,-28.381,24.181,-2.65,2.26,-2.65,2.26,INF,-1,0,7,0
380,1,1,-31.261,21.854,-2.92,2.04,-2.92,2.04,INF,-1,0,7,0
400,1,1,-30.218,23.124,-2.82,2.16,-2.82,2.16,INF,-1,0,7,0
420,1,1,-30.620,23.257,-2.86,2.17,-2.86,2.17,INF,-1,0,7,0
440,1,1,-29.513,23.029,-2.76,2.15,-2.75,2.15,INF,-1,0,7,0
460,1,1,-29.222,22.428,-2.73,2.09,-2.73,2.10,INF,-1,0,7,0
480,1,1,-29.284,23.408,-2.74,2.18,-2.73,2.19,INF,-1,0,7,0
500,1,1,-29.949,21.344,-2.80,1.99,-2.80,1.99,INF,-1,0,7,0
520,1,1,-28.732,23.090,-2.68,2.15,-2.68,2.16,INF,-1,0,7,0
540,1,1,-27.794,27.230,-2.60,2.54,-2.59,2.54,INF,-1,0,7,0
560,1,1,-26.892,26.194,-2.51,2.44,-2.51,2.45,INF,-1,0,7,0
580,1,1,-28.248,25.731,-2.64,2.40,-2.64,2.40,INF,-1,1,7,0
600,1,1,-28.180,26.434,-2.63,2.47,-2.63,2.47,INF,-1,1,7,0
620,1,1,-27.068,28.605,-2.53,2.67,-2.53,2.67,INF,-1,1,7,0
640,1,1,-26.425,27.515,-2.47,2.57,-2.47,2.57,INF,-1,1,7,0
660,1,1,-27.045,25.908,-2.53,2.42,-2.52,2.42,INF,-1,1,7,0
680,1,1,-27.990,25.820,-2.61,2.41,-2.61,2.41,INF,-1,1,7,0
700,1,1,-27.419,25.624,-2.56,2.39,-2.56,2.39,INF,-1,1,7,0
720,1,1,-26.473,26.931,-2.47,2.51,-2.47,2.52,INF,-1,1,7,0
740,1,1,-27.598,26.132,-2.58,2.44,-2.58,2.44,INF,-1,1,7,0
760,1,1,-27.318,26.871,-2.55,2.51,-2.55,2.51,INF,-1,1,7,0
780,1,1,-27.141,26.221,-2.54,2.45,-2.53,2.45,INF,-1,1,7,0
800,1,1,-27.144,27.893,-2.54,2.60,-2.53,2.61,INF,-1,1,7,0
820,1,1,-26.619,25.917,-2.49,2.42,-2.48,2.42,INF,-1,1,7,0
840,1,1,-28.151,29.162,-2.63,2.72,-2.63,2.72,INF,-1,1,7,0
860,1,1,-27.977,26.489,-2.61,2.47,-2.61,2.47,INF,-1,1,7,0
880,1,1,-27.182,24.791,-2.54,2.31,-2.54,2.32,INF,-1,1,7,0
900,1,1,-26.735,26.623,-2.50,2.48,-2.49,2.49,INF,-1,1,7,0
920,1,1,-27.637,25.824,-2.58,2.41,-2.58,2.41,INF,-1,1,7,0
940,1,1,-26.164,28.017,-2.44,2.61,-2.44,2.62,INF,-1,1,7,0
960,1,1,-19.362,-5.543,-1.81,-0.52,-1.81,-0.52,INF,-1,1,7,0
980,1,1,-20.053,-6.857,-1.87,-0.64,-1.87,-0.64,INF,-1,1,7,0
1000,1,1,-19.934,-5.809,-1.86,-0.54,-1.86,-0.54,INF,-1,0,7,0
1020,1,1,-20.768,-5.757,-1.94,-0.54,-1.94,-0.54,INF,-1,0,7,0
1040,1,1,-20.180,-6.128,-1.89,-0.57,-1.89,-0.57,INF,-1,0,7,0
1060,1,1,-19.617,-5.983,-1.83,-0.56,-1.83,-0.56,INF,-1,0,7,0
1080,1,1,-19.842,-6.943,-1.85,-0.65,-1.85,-0.65,INF,-1,0,7,0
1100,1,1,-19.178,-6.084,-1.79,-0.57,-1.79,-0.57,INF,-1,0,7,0
1120,1,1,-19.581,-6.408,-1.83,-0.60,-1.83,-0.60,INF,-1,0,7,0
1140,1,1,-19.573,-6.179,-1.83,-0.58,-1.83,-0.58,INF,-1,0,7,0
1160,1,1,-19.101,-6.897,-1.78,-0.64,-1.78,-0.64,INF,-1,0,7,0
1180,1,1,-19.620,-5.970,-1.83,-0.56,-1.83,-0.56,INF,-1,0,7,0
1200,1,1,-18.941,-6.373,-1.77,-0.60,-1.77,-0.60,INF,-1,0,7,0
1220,1,1,-19.728,-6.635,-1.84,-0.62,-1.84,-0.62,INF,-1,0,7,0
1240,1,1,-19.370,-5.839,-1.81,-0.55,-1.81,-0.55,INF,-1,1,7,0
1260,1,1,-20.662,-7.772,-1.93,-0.73,-1.93,-0.73,INF,-1,1,7,0
1280,1,1,-18.624,-7.830,-1.74,-0.73,-1.74,-0.73,INF,-1,1,7,0
1300,1,1,-18.519,-5.193,-1.73,-0.49,-1.73,-0.49,INF,-1,1,7,0
1320,1,1,-19.628,-6.511,-1.83,-0.61,-1.83,-0.61,INF,-1,1,7,0
1340,1,1,-20.409,-6.518,-1.91,-0.61,-1.91,-0.61,INF,-1,1,7,0
1360,1,1,-18.260,-9.416,-1.71,-0.88,-1.71,-0.88,INF,-1,1,7,0
1380,1,1,-18.890,-9.333,-1.77,-0.87,-1.76,-0.87,INF,-1,1,7,0
1400,1,1,20.569,-26.166,1.92,-2.44,1.92,-2.44,INF,-1,1,7,0
1420,1,1,20.226,-24.923,1.89,-2.33,1.89,-2.33,INF,-1,1,7,0
1440,1,1,20.727,-24.884,1.94,-2.32,1.93,-2.32,INF,-1,0,7,0
