"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.22466
CalibrationParameters_A12,0.05079
CalibrationParameters_A13,-0.00538
CalibrationParameters_A21,0.06997
CalibrationParameters_A22,-1.23651
CalibrationParameters_A23,0.06510
CalibrationParameters_A31,-0.00025
CalibrationParameters_A32,0.00435
CalibrationParameters_E11,-0.18006
CalibrationParameters_E12,-0.00014
CalibrationParameters_E21,-0.00021
CalibrationParameters_E22,0.20020
CalibrationParameters_X,-8.63280
CalibrationParameters_Y,59.52935
CalibrationParameters_Rpc,93.15064
CalibrationParameters_MeanX,158.01043
CalibrationParameters_MeanY,113.73631
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-47.236,23.911,-4.41,2.23,-4.40,2.23,INF,-1,0,7,0
40,1,1,-47.046,25.773,-4.39,2.40,-4.38,2.41,INF,-1,0,7,0
60,1,1,-46.270,25.656,-4.32,2.39,-4.31,2.40,INF,-1,0,7,0
80,1,1,-46.812,24.938,-4.37,2.32,-4.36,2.33,INF,-1,0,7,0
100,1,1,-46.571,23.244,-4.34,2.17,-4.34,2.17,INF,-1,0,7,0
120,1,1,-45.366,25.796,-4.23,2.40,-4.23,2.41,INF,-1,0,7,0
140,1,1,-45.363,24.682,-4.23,2.30,-4.23,2.31,INF,-1,0,7,0
160,1,1,-45.582,23.977,-4.25,2.23,-4.25,2.24,INF,-1,0,7,0
180,1,1,-44.874,26.264,-4.19,2.45,-4.18,2.45,INF,-1,0,7,0
200,1,1,-45.287,23.917,-4.23,2.23,-4.22,2.23,INF,-1,0,7,0
220,1,1,-13.708,3.856,-1.28,0.36,-1.28,0.36,INF,-1,0,7,0
240,1,1,-17.473,5.717,-1.63,0.53,-1.63,0.53,INF,-1,0,7,0
260,1,1,-16.636,5.994,-1.55,0.56,-1.55,0.56,INF,-1,0,7,0
280,1,1,-16.704,6.521,-1.56,0.61,-1.56,0.61,INF,-1,0,7,0
300,1,1,-17.931,3.982,-1.68,0.37,-1.68,0.37,INF,-1,0,7,0
320,1,1,-17.876,3.578,-1.67,0.33,-1.67,0.33,INF,-1,0,7,0
340,1,1,-17.540,4.272,-1.64,0.40,-1.64,0.40,INF,-1,0,7,0
360,1,1,-17.769,3.678,-1.66,0.34,-1.66,0.34,INF,-1,0,7,0
380,1,1,-18.598,0.138,-1.74,0.01,-1.74,0.01,INF,-1,0,7,0
400,1,1,-19.496,1.794,-1.82,0.17,-1.82,0.17,INF,-1,0,7,0
420,1,1,-18.561,2.252,-1.73,0.21,-1.73,0.21,INF,-1,0,7,0
440,1,1,-19.951,2.185,-1.86,0.20,-1.86,0.20,INF,-1,0,7,0
