"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.10226
CalibrationParameters_A12,0.07846
CalibrationParameters_A13,0.03723
CalibrationParameters_A21,0.07064
CalibrationParameters_A22,-1.13745
CalibrationParameters_A23,-0.00501
CalibrationParameters_A31,0.00034
CalibrationParameters_A32,-0.00363
CalibrationParameters_E11,-0.17989
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00012
CalibrationParameters_E22,0.19986
CalibrationParameters_X,-23.32425
CalibrationParameters_Y,-41.41842
CalibrationParameters_Rpc,71.07498
CalibrationParameters_MeanX,149.10135
CalibrationParameters_MeanY,103.90500
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,1,1,-28.881,-40.760,-2.70,-3.80,-2.69,-3.80,INF,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,1,1,-18.869,-1.890,-1.76,-0.18,-1.76,-0.18,INF,-1,0,7,0
260,1,1,-17.076,-0.226,-1.60,-0.02,-1.60,-0.02,INF,-1,0,7,0
280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
340,1,1,-20.460,0.510,-1.91,0.05,-1.91,0.05,INF,-1,0,7,0
360,1,1,-22.508,0.511,-2.10,0.05,-2.10,0.05,INF,-1,0,7,0
380,1,1,-21.407,-0.981,-2.00,-0.09,-2.00,-0.09,INF,-1,0,7,0
400,1,1,-21.574,1.296,-2.02,0.12,-2.02,0.12,INF,-1,0,7,0
420,1,1,-21.068,1.053,-1.97,0.10,-1.97,0.10,INF,-1,0,7,0
440,1,1,-14.868,8.128,-1.39,0.76,-1.39,0.76,INF,-1,0,7,0
460,1,1,-16.505,7.118,-1.54,0.67,-1.54,0.67,INF,-1,0,7,0
480,1,1,-18.334,7.680,-1.71,0.72,-1.71,0.72,INF,-1,0,7,0
500,1,1,-17.555,8.727,-1.64,0.82,-1.64,0.82,INF,-1,0,7,0
520,1,1,-15.926,7.698,-1.49,0.72,-1.49,0.72,INF,-1,1,7,0
540,1,1,-15.308,7.352,-1.43,0.69,-1.43,0.69,INF,-1,1,7,0
560,1,1,-15.439,9.165,-1.44,0.86,-1.44,0.86,INF,-1,1,7,0
580,1,1,-17.094,6.361,-1.60,0.59,-1.60,0.59,INF,-1,1,7,0
600,1,1,-17.187,7.868,-1.61,0.74,-1.61,0.74,INF,-1,1,7,0
620,1,1,-15.893,7.788,-1.49,0.73,-1.49,0.73,INF,-1,1,7,0
640,1,1,-15.384,7.164,-1.44,0.67,-1.44,0.67,INF,-1,1,7,0
660,1,1,-15.302,7.445,-1.43,0.70,-1.43,0.70,INF,-1,1,7,0
680,1,1,-16.248,7.251,-1.52,0.68,-1.52,0.68,INF,-1,1,7,0
700,1,1,-15.731,8.414,-1.47,0.79,-1.47,0.79,INF,-1,1,7,0
720,1,1,-15.713,6.301,-1.47,0.59,-1.47,0.59,INF,-1,1,7,0
740,1,1,-13.975,5.584,-1.31,0.52,-1.31,0.52,INF,-1,1,7,0
760,1,1,11.721,6.608,1.10,0.62,1.10,0.62,INF,-1,1,7,0
780,1,1,9.611,6.520,0.90,0.61,0.90,0.61,INF,-1,1,7,0
800,1,1,9.907,5.511,0.93,0.52,0.93,0.52,INF,-1,0,7,0
820,1,1,9.730,6.677,0.91,0.62,0.91,0.62,INF,-1,0,7,0
840,1,1,9.881,8.274,0.92,0.77,0.92,0.77,INF,-1,0,7,0
860,1,1,10.828,6.099,1.01,0.57,1.01,0.57,INF,-1,0,7,0
880,1,1,10.907,7.438,1.02,0.70,1.02,0.70,INF,-1,0,7,0
900,1,1,9.175,5.071,0.86,0.47,0.86,0.47,INF,-1,0,7,0
920,1,1,9.858,6.550,0.92,0.61,0.92,0.61,INF,-1,0,7,0
940,1,1,9.826,7.711,0.92,0.72,0.92,0.72,INF,-1,0,7,0
960,1,1,8.725,6.443,0.82,0.60,0.82,0.60,INF,-1,0,7,0
980,1,1,9.261,7.335,0.87,0.69,0.87,0.69,INF,-1,0,7,0
1000,1,1,9.501,7.299,0.89,0.68,0.89,0.68,INF,-1,0,7,0
1020,1,1,9.655,5.603,0.90,0.52,0.90,0.52,INF,-1,0,7,0
1040,1,1,9.600,6.681,0.90,0.62,0.90,0.62,INF,-1,1,7,0
1060,1,1,10.132,7.696,0.95,0.72,0.95,0.72,INF,-1,1,7,0
1080,1,1,2.017,16.608,0.19,1.55,0.19,1.55,INF,-1,1,7,0
1100,1,1,-3.286,25.175,-0.31,2.35,-0.31,2.35,INF,-1,1,7,0
1120,1,1,-2.232,22.256,-0.21,2.08,-0.21,2.08,INF,-1,0,7,0
1140,1,1,-2.555,22.958,-0.24,2.14,-0.24,2.14,INF,-1,0,7,0
1160,1,1,-3.379,22.769,-0.32,2.13,-0.32,2.13,INF,-1,0,7,0
1180,1,1,-2.832,23.756,-0.26,2.22,-0.26,2.22,INF,-1,0,7,0
1200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1220,1,1,-4.677,24.479,-0.44,2.29,-0.44,2.29,INF,-1,0,7,0
1240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1260,1,1,-5.346,24.902,-0.50,2.33,-0.50,2.33,INF,-1,0,7,0
1280,1,1,-3.993,26.544,-0.37,2.48,-0.37,2.48,INF,-1,0,7,0
1300,1,1,-3.804,25.050,-0.36,2.34,-0.36,2.34,INF,-1,0,7,0
1320,1,1,-3.335,26.522,-0.31,2.48,-0.31,2.48,INF,-1,0,7,0
1340,1,1,-16.909,33.528,-1.58,3.13,-1.58,3.13,INF,-1,0,7,0
1360,1,1,-19.299,34.012,-1.80,3.17,-1.80,3.18,INF,-1,0,7,0
1380,1,1,-16.881,36.351,-1.58,3.39,-1.57,3.39,INF,-1,0,7,0
1400,1,1,-17.744,34.159,-1.66,3.19,-1.66,3.19,INF,-1,0,7,0
