"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.07913
CalibrationParameters_A12,0.08264
CalibrationParameters_A13,-0.00995
CalibrationParameters_A21,0.06658
CalibrationParameters_A22,-1.11630
CalibrationParameters_A23,-0.00242
CalibrationParameters_A31,0.00006
CalibrationParameters_A32,-0.00394
CalibrationParameters_E11,-0.18006
CalibrationParameters_E12,0.00018
CalibrationParameters_E21,0.00005
CalibrationParameters_E22,0.19999
CalibrationParameters_X,-10.91774
CalibrationParameters_Y,-41.49003
CalibrationParameters_Rpc,71.63072
CalibrationParameters_MeanX,143.60548
CalibrationParameters_MeanY,124.96748
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-38.287,-36.655,-3.57,-3.42,-3.57,-3.42,INF,-1,0,7,0
20,1,1,-37.198,-38.509,-3.47,-3.59,-3.47,-3.59,INF,-1,0,7,0
40,1,1,-37.555,-36.094,-3.51,-3.36,-3.50,-3.37,INF,-1,0,7,0
60,1,1,-37.048,-36.770,-3.46,-3.43,-3.45,-3.43,INF,-1,0,7,0
80,1,1,-38.216,-37.387,-3.57,-3.48,-3.56,-3.49,INF,-1,0,7,0
100,1,1,-37.968,-38.238,-3.54,-3.56,-3.54,-3.57,INF,-1,0,7,0
120,1,1,-37.065,-37.334,-3.46,-3.48,-3.45,-3.49,INF,-1,0,7,0
140,1,1,-34.965,-37.664,-3.26,-3.51,-3.26,-3.52,INF,-1,0,7,0
160,1,1,-37.068,-37.270,-3.46,-3.47,-3.45,-3.48,INF,-1,0,7,0
180,1,1,-37.078,-36.237,-3.46,-3.38,-3.46,-3.38,INF,-1,0,7,0
200,1,1,-38.498,-37.230,-3.59,-3.47,-3.59,-3.48,INF,-1,0,7,0
220,1,1,3.019,2.918,0.28,0.27,0.28,0.27,INF,-1,0,7,0
240,1,1,-0.561,-0.997,-0.05,-0.09,-0.05,-0.09,INF,-1,0,7,0
260,1,1,-1.825,-2.022,-0.17,-0.19,-0.17,-0.19,INF,-1,0,7,0
280,1,1,-2.661,-0.699,-0.25,-0.07,-0.25,-0.07,INF,-1,0,7,0
300,1,1,-2.836,-1.190,-0.27,-0.11,-0.27,-0.11,INF,-1,0,7,0
320,1,1,-4.066,-2.414,-0.38,-0.23,-0.38,-0.23,INF,-1,0,7,0
340,1,1,-4.166,-1.546,-0.39,-0.14,-0.39,-0.14,INF,-1,0,7,0
360,1,1,-5.162,-5.809,-0.48,-0.54,-0.48,-0.54,INF,-1,0,7,0
380,1,1,10.801,24.619,1.01,2.30,1.01,2.30,INF,-1,0,7,0
