"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.08025
CalibrationParameters_A12,0.09440
CalibrationParameters_A13,0.02132
CalibrationParameters_A21,0.05565
CalibrationParameters_A22,-1.13036
CalibrationParameters_A23,0.02430
CalibrationParameters_A31,0.00030
CalibrationParameters_A32,-0.00387
CalibrationParameters_E11,-0.17991
CalibrationParameters_E12,-0.00015
CalibrationParameters_E21,-0.00010
CalibrationParameters_E22,0.20000
CalibrationParameters_X,-19.75298
CalibrationParameters_Y,-41.55753
CalibrationParameters_Rpc,71.76669
CalibrationParameters_MeanX,170.74998
CalibrationParameters_MeanY,120.62845
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-4.638,-11.368,-0.43,-1.06,-0.43,-1.06,INF,-1,0,7,0
20,1,1,-5.551,-11.419,-0.52,-1.07,-0.52,-1.07,INF,-1,0,7,0
40,1,1,-7.252,-11.365,-0.68,-1.06,-0.68,-1.06,INF,-1,0,7,0
60,1,1,-6.764,-11.614,-0.63,-1.09,-0.63,-1.09,INF,-1,0,7,0
80,1,1,-7.525,-11.301,-0.70,-1.06,-0.70,-1.06,INF,-1,0,7,0
100,1,1,-6.608,-11.239,-0.62,-1.05,-0.62,-1.05,INF,-1,0,7,0
120,1,1,-6.793,-9.868,-0.63,-0.92,-0.63,-0.92,INF,-1,0,7,0
140,1,1,-6.447,-10.435,-0.60,-0.98,-0.60,-0.98,INF,-1,0,7,0
160,1,1,-5.690,-10.657,-0.53,-1.00,-0.53,-1.00,INF,-1,0,7,0
180,1,1,-6.360,-8.791,-0.59,-0.82,-0.59,-0.82,INF,-1,0,7,0
200,1,1,-6.042,-11.840,-0.56,-1.11,-0.56,-1.11,INF,-1,0,7,0
220,1,1,19.066,15.750,1.78,1.47,1.78,1.47,INF,-1,0,7,0
240,1,1,15.072,9.914,1.41,0.93,1.41,0.93,INF,-1,0,7,0
260,1,1,16.304,11.687,1.52,1.09,1.52,1.09,INF,-1,0,7,0
280,1,1,15.918,13.478,1.49,1.26,1.49,1.26,INF,-1,0,7,0
300,1,1,16.584,12.679,1.55,1.18,1.55,1.18,INF,-1,0,7,0
