"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.07913
CalibrationParameters_A12,0.08264
CalibrationParameters_A13,-0.00995
CalibrationParameters_A21,0.06658
CalibrationParameters_A22,-1.11630
CalibrationParameters_A23,-0.00242
CalibrationParameters_A31,0.00006
CalibrationParameters_A32,-0.00394
CalibrationParameters_E11,-0.18006
CalibrationParameters_E12,0.00018
CalibrationParameters_E21,0.00005
CalibrationParameters_E22,0.19999
CalibrationParameters_X,-10.91774
CalibrationParameters_Y,-41.49003
CalibrationParameters_Rpc,71.63072
CalibrationParameters_MeanX,143.60548
CalibrationParameters_MeanY,124.96748
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-9.070,-27.385,-0.85,-2.56,-0.85,-2.56,INF,-1,0,7,0
20,1,1,-8.467,-29.530,-0.79,-2.76,-0.79,-2.76,INF,-1,0,7,0
40,1,1,-9.185,-29.371,-0.86,-2.74,-0.86,-2.74,INF,-1,0,7,0
60,1,1,-9.404,-28.567,-0.88,-2.67,-0.88,-2.67,INF,-1,0,7,0
80,1,1,-9.322,-29.905,-0.87,-2.79,-0.87,-2.79,INF,-1,0,7,0
100,1,1,-8.410,-30.043,-0.79,-2.81,-0.79,-2.81,INF,-1,0,7,0
120,1,1,-8.438,-29.941,-0.79,-2.80,-0.79,-2.80,INF,-1,0,7,0
140,1,1,-7.868,-30.453,-0.74,-2.84,-0.73,-2.84,INF,-1,0,7,0
160,1,1,-7.706,-31.067,-0.72,-2.90,-0.72,-2.90,INF,-1,0,7,0
180,1,1,-9.021,-30.178,-0.84,-2.82,-0.84,-2.82,INF,-1,0,7,0
200,1,1,-7.725,-31.008,-0.72,-2.90,-0.72,-2.90,INF,-1,0,7,0
220,1,1,-8.214,-30.647,-0.77,-2.86,-0.77,-2.86,INF,-1,0,7,0
240,1,1,-7.930,-31.043,-0.74,-2.90,-0.74,-2.90,INF,-1,0,7,0
260,1,1,-11.203,-33.122,-1.05,-3.09,-1.05,-3.09,INF,-1,0,7,0
280,1,1,16.904,-5.073,1.58,-0.47,1.58,-0.47,INF,-1,1,7,0
300,1,1,11.742,-10.688,1.10,-1.00,1.10,-1.00,INF,-1,1,7,0
320,1,1,12.691,-10.104,1.19,-0.94,1.19,-0.94,INF,-1,0,7,0
340,1,1,11.925,-9.540,1.11,-0.89,1.11,-0.89,INF,-1,0,7,0
360,1,1,12.664,-9.174,1.18,-0.86,1.18,-0.86,INF,-1,0,7,0
380,1,1,12.118,-8.340,1.13,-0.78,1.13,-0.78,INF,-1,0,7,0
400,1,1,10.973,-8.739,1.03,-0.82,1.03,-0.82,INF,-1,0,7,0
420,1,1,11.429,-9.180,1.07,-0.86,1.07,-0.86,INF,-1,0,7,0
440,1,1,12.435,-9.765,1.16,-0.91,1.16,-0.91,INF,-1,0,7,0
460,1,1,11.715,-7.938,1.09,-0.74,1.09,-0.74,INF,-1,0,7,0
480,1,1,12.090,-9.358,1.13,-0.87,1.13,-0.87,INF,-1,0,7,0
500,1,1,12.591,-7.983,1.18,-0.75,1.18,-0.75,INF,-1,0,7,0
520,1,1,12.498,-7.854,1.17,-0.73,1.17,-0.73,INF,-1,0,7,0
540,1,1,12.828,-8.841,1.20,-0.83,1.20,-0.83,INF,-1,0,7,0
560,1,1,12.581,-10.127,1.18,-0.95,1.18,-0.95,INF,-1,1,7,0
580,1,1,11.914,-9.417,1.11,-0.88,1.11,-0.88,INF,-1,1,7,0
600,1,1,11.439,-9.289,1.07,-0.87,1.07,-0.87,INF,-1,1,7,0
