"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.08931
CalibrationParameters_A12,0.08358
CalibrationParameters_A13,-0.03391
CalibrationParameters_A21,0.06308
CalibrationParameters_A22,-1.11762
CalibrationParameters_A23,0.04315
CalibrationParameters_A31,-0.00008
CalibrationParameters_A32,-0.00378
CalibrationParameters_E11,-0.17999
CalibrationParameters_E12,0.00008
CalibrationParameters_E21,-0.00038
CalibrationParameters_E22,0.19990
CalibrationParameters_X,-16.95210
CalibrationParameters_Y,-41.96953
CalibrationParameters_Rpc,70.65852
CalibrationParameters_MeanX,159.79620
CalibrationParameters_MeanY,119.74409
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-29.766,-6.083,-2.78,-0.57,-2.78,-0.57,INF,-1,0,7,0
40,1,1,-32.680,-4.858,-3.05,-0.45,-3.05,-0.45,INF,-1,0,7,0
60,1,1,-31.928,-4.334,-2.98,-0.40,-2.98,-0.41,INF,-1,0,7,0
80,1,1,-32.969,-5.938,-3.08,-0.55,-3.08,-0.55,INF,-1,0,7,0
100,1,1,-32.793,-5.973,-3.06,-0.56,-3.06,-0.56,INF,-1,0,7,0
120,1,1,-32.152,-5.848,-3.00,-0.55,-3.00,-0.55,INF,-1,0,7,0
140,1,1,-33.217,-5.712,-3.10,-0.53,-3.10,-0.53,INF,-1,0,7,0
160,1,1,-32.580,-5.797,-3.04,-0.54,-3.04,-0.54,INF,-1,0,7,0
180,1,1,-31.723,-5.934,-2.96,-0.55,-2.96,-0.55,INF,-1,0,7,0
200,1,1,-30.985,-4.782,-2.89,-0.45,-2.89,-0.45,INF,-1,0,7,0
220,1,1,-31.101,-5.118,-2.90,-0.48,-2.90,-0.48,INF,-1,0,7,0
240,1,1,-19.970,-5.561,-1.87,-0.52,-1.87,-0.52,INF,-1,0,7,0
260,1,1,-11.968,-2.923,-1.12,-0.27,-1.12,-0.27,INF,-1,0,7,0
280,1,1,-13.943,-2.168,-1.30,-0.20,-1.30,-0.20,INF,-1,0,7,0
300,1,1,-12.950,-2.770,-1.21,-0.26,-1.21,-0.26,INF,-1,0,7,0
