"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.08512
CalibrationParameters_A12,0.09137
CalibrationParameters_A13,-0.00376
CalibrationParameters_A21,0.06786
CalibrationParameters_A22,-1.11717
CalibrationParameters_A23,0.00528
CalibrationParameters_A31,0.00014
CalibrationParameters_A32,-0.00532
CalibrationParameters_E11,-0.18011
CalibrationParameters_E12,0.00005
CalibrationParameters_E21,-0.00021
CalibrationParameters_E22,0.20014
CalibrationParameters_X,-10.89125
CalibrationParameters_Y,-43.05406
CalibrationParameters_Rpc,66.33798
CalibrationParameters_MeanX,113.09153
CalibrationParameters_MeanY,162.31546
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,3.844,18.917,0.36,1.77,0.36,1.77,INF,-1,0,7,0
20,1,1,3.651,17.991,0.34,1.68,0.34,1.68,INF,-1,0,7,0
40,1,1,6.762,16.045,0.63,1.50,0.63,1.50,INF,-1,0,7,0
60,1,1,4.859,16.660,0.45,1.56,0.45,1.56,INF,-1,0,7,0
80,1,1,5.733,16.846,0.54,1.57,0.54,1.57,INF,-1,0,7,0
100,1,1,3.178,17.356,0.30,1.62,0.30,1.62,INF,-1,0,7,0
120,1,1,5.877,18.058,0.55,1.69,0.55,1.69,INF,-1,0,7,0
140,1,1,6.289,15.556,0.59,1.45,0.59,1.45,INF,-1,0,7,0
160,1,1,3.945,16.127,0.37,1.51,0.37,1.51,INF,-1,0,7,0
180,1,1,4.289,17.487,0.40,1.63,0.40,1.63,INF,-1,0,7,0
200,1,1,4.910,16.383,0.46,1.53,0.46,1.53,INF,-1,0,7,0
220,1,1,7.557,15.789,0.71,1.48,0.71,1.48,INF,-1,0,7,0
240,1,1,4.633,14.437,0.43,1.35,0.43,1.35,INF,-1,0,7,0
260,1,1,-46.520,17.764,-4.34,1.66,-4.34,1.66,INF,-1,0,7,0
280,1,1,-44.542,21.234,-4.16,1.98,-4.15,1.98,INF,-1,1,7,0
300,1,1,-44.547,19.854,-4.16,1.85,-4.15,1.86,INF,-1,0,7,0
320,1,1,-44.294,20.936,-4.13,1.95,-4.13,1.96,INF,-1,0,7,0
340,1,1,-44.579,19.268,-4.16,1.80,-4.16,1.80,INF,-1,0,7,0
360,1,1,-44.263,19.090,-4.13,1.78,-4.13,1.78,INF,-1,0,7,0
380,1,1,-43.042,21.379,-4.02,1.99,-4.01,2.00,INF,-1,0,7,0
400,1,1,-41.627,18.191,-3.88,1.70,-3.88,1.70,INF,-1,0,7,0
420,1,1,-42.052,19.093,-3.92,1.78,-3.92,1.78,INF,-1,0,7,0
440,1,1,-41.377,19.497,-3.86,1.82,-3.86,1.82,INF,-1,0,7,0
460,1,1,-41.830,19.113,-3.90,1.78,-3.90,1.79,INF,-1,0,7,0
480,1,1,-40.205,19.811,-3.75,1.85,-3.75,1.85,INF,-1,0,7,0
500,1,1,-45.596,26.733,-4.25,2.49,-4.25,2.50,INF,-1,0,7,0
520,1,1,-46.373,29.257,-4.33,2.72,-4.32,2.73,INF,-1,0,7,0
540,1,1,-46.401,30.476,-4.33,2.84,-4.32,2.85,INF,-1,1,7,0
560,1,1,-46.335,28.297,-4.32,2.64,-4.32,2.64,INF,-1,1,7,0
580,1,1,-45.656,28.490,-4.26,2.65,-4.25,2.66,INF,-1,1,7,0
600,1,1,-45.416,29.633,-4.24,2.76,-4.23,2.77,INF,-1,1,7,0
620,1,1,-45.992,29.708,-4.29,2.77,-4.29,2.77,INF,-1,1,7,0
640,1,1,-46.104,28.794,-4.30,2.68,-4.30,2.69,INF,-1,1,7,0
660,1,1,-45.289,29.271,-4.23,2.73,-4.22,2.73,INF,-1,1,7,0
680,1,1,-46.160,30.742,-4.31,2.86,-4.30,2.87,INF,-1,1,7,0
700,1,1,-44.881,30.131,-4.19,2.81,-4.18,2.81,INF,-1,1,7,0
720,1,1,-44.266,28.556,-4.13,2.66,-4.13,2.67,INF,-1,1,7,0
740,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
760,1,1,-46.565,30.300,-4.34,2.82,-4.34,2.83,INF,-1,1,7,0
780,1,1,-45.679,29.064,-4.26,2.71,-4.26,2.71,INF,-1,1,7,0
800,1,1,-45.258,29.381,-4.22,2.74,-4.22,2.74,INF,-1,1,7,0
820,1,1,-43.901,28.961,-4.10,2.70,-4.09,2.70,INF,-1,1,7,0
840,1,1,-45.330,29.397,-4.23,2.74,-4.22,2.75,INF,-1,1,7,0
860,1,1,-44.303,28.035,-4.13,2.61,-4.13,2.62,INF,-1,1,7,0
880,1,1,-44.590,28.514,-4.16,2.66,-4.16,2.66,INF,-1,1,7,0
900,1,1,-44.096,29.157,-4.11,2.72,-4.11,2.72,INF,-1,1,7,0
920,1,1,-44.225,28.988,-4.13,2.70,-4.12,2.71,INF,-1,1,7,0
940,1,1,-37.329,31.255,-3.48,2.91,-3.48,2.92,INF,-1,1,7,0
960,1,1,-31.477,31.300,-2.94,2.92,-2.94,2.92,INF,-1,1,7,0
980,1,1,-31.937,32.061,-2.98,2.99,-2.98,2.99,INF,-1,0,7,0
1000,1,1,-32.003,31.479,-2.99,2.94,-2.98,2.94,INF,-1,0,7,0
1020,1,1,-31.982,32.170,-2.99,3.00,-2.98,3.00,INF,-1,0,7,0
1040,1,1,-32.559,32.733,-3.04,3.05,-3.04,3.06,INF,-1,0,7,0
1060,1,1,-30.785,32.608,-2.87,3.04,-2.87,3.04,INF,-1,0,7,0
1080,1,1,-32.426,31.519,-3.03,2.94,-3.02,2.94,INF,-1,0,7,0
1100,1,1,-31.151,29.954,-2.91,2.79,-2.91,2.80,INF,-1,0,7,0
1120,1,1,-32.155,30.746,-3.00,2.87,-3.00,2.87,INF,-1,0,7,0
1140,1,1,-33.079,31.066,-3.09,2.90,-3.08,2.90,INF,-1,0,7,0
1160,1,1,-32.706,29.049,-3.05,2.71,-3.05,2.71,INF,-1,0,7,0
1180,1,1,-32.336,30.603,-3.02,2.85,-3.02,2.86,INF,-1,0,7,0
1200,1,1,-36.384,31.144,-3.40,2.90,-3.39,2.91,INF,-1,0,7,0
1220,1,1,-2.844,25.274,-0.27,2.36,-0.27,2.36,INF,-1,1,7,0
1240,1,1,53.008,5.432,4.94,0.51,4.94,0.51,INF,-1,1,7,0
1260,1,1,51.856,6.370,4.84,0.59,4.84,0.60,INF,-1,0,7,0
1280,1,1,52.148,5.875,4.86,0.55,4.86,0.55,INF,-1,0,7,0
1300,1,1,50.047,6.254,4.67,0.58,4.67,0.58,INF,-1,0,7,0
1320,1,1,50.433,6.984,4.70,0.65,4.70,0.65,INF,-1,0,7,0
1340,1,1,50.452,7.367,4.71,0.69,4.70,0.69,INF,-1,0,7,0
1360,1,1,51.253,6.742,4.78,0.63,4.78,0.63,INF,-1,0,7,0
1380,1,1,50.821,7.916,4.74,0.74,4.74,0.74,INF,-1,0,7,0
1400,1,1,50.809,5.944,4.74,0.55,4.74,0.56,INF,-1,0,7,0
1420,1,1,49.244,7.030,4.59,0.65,4.59,0.66,INF,-1,0,7,0
1440,1,1,50.728,7.651,4.73,0.71,4.73,0.72,INF,-1,0,7,0
1460,1,1,48.963,6.098,4.57,0.57,4.57,0.57,INF,-1,0,7,0
1480,1,1,48.801,6.805,4.55,0.63,4.55,0.64,INF,-1,0,7,0
1500,1,1,49.082,6.888,4.58,0.64,4.58,0.64,INF,-1,0,7,0
1520,1,1,32.791,-5.512,3.06,-0.51,3.06,-0.52,INF,-1,1,7,0
1540,1,1,24.076,-13.267,2.25,-1.24,2.25,-1.24,INF,-1,1,7,0
1560,1,1,24.521,-13.061,2.29,-1.22,2.29,-1.22,INF,-1,0,7,0
1580,1,1,25.478,-13.266,2.38,-1.24,2.38,-1.24,INF,-1,0,7,0
1600,1,1,27.119,-12.502,2.53,-1.17,2.53,-1.17,INF,-1,0,7,0
1620,1,1,25.664,-13.704,2.40,-1.28,2.40,-1.28,INF,-1,0,7,0
1640,1,1,25.877,-13.122,2.42,-1.23,2.42,-1.23,INF,-1,0,7,0
1660,1,1,25.562,-13.141,2.39,-1.23,2.39,-1.23,INF,-1,0,7,0
1680,1,1,26.307,-11.830,2.46,-1.10,2.46,-1.11,INF,-1,0,7,0
1700,1,1,26.448,-13.128,2.47,-1.23,2.47,-1.23,INF,-1,0,7,0
1720,1,1,26.188,-14.341,2.45,-1.34,2.45,-1.34,INF,-1,0,7,0
1740,1,1,25.511,-13.952,2.38,-1.30,2.38,-1.30,INF,-1,0,7,0
1760,1,1,27.543,-12.749,2.57,-1.19,2.57,-1.19,INF,-1,0,7,0
1780,1,1,26.432,-13.386,2.47,-1.25,2.47,-1.25,INF,-1,0,7,0
1800,1,1,22.978,-11.796,2.15,-1.10,2.15,-1.10,INF,-1,1,7,0
1820,1,1,-42.452,15.391,-3.96,1.43,-3.96,1.44,INF,-1,1,7,0
1840,1,1,-45.725,24.119,-4.27,2.25,-4.26,2.25,INF,-1,1,7,0
1860,1,1,-44.127,25.518,-4.12,2.38,-4.11,2.38,INF,-1,0,7,0
1880,1,1,-44.418,23.688,-4.14,2.21,-4.14,2.21,INF,-1,0,7,0
1900,1,1,-42.656,21.533,-3.98,2.01,-3.98,2.01,INF,-1,0,7,0
1920,1,1,-42.877,23.488,-4.00,2.19,-4.00,2.19,INF,-1,0,7,0
1940,1,1,-43.226,22.870,-4.03,2.13,-4.03,2.14,INF,-1,0,7,0
1960,1,1,-41.588,22.046,-3.88,2.05,-3.88,2.06,INF,-1,0,7,0
1980,1,1,-41.571,23.230,-3.88,2.17,-3.88,2.17,INF,-1,0,7,0
2000,1,1,-42.258,21.953,-3.94,2.05,-3.94,2.05,INF,-1,0,7,0
2020,1,1,-42.970,21.917,-4.01,2.04,-4.01,2.05,INF,-1,0,7,0
2040,1,1,-41.288,23.814,-3.85,2.22,-3.85,2.22,INF,-1,0,7,0
2060,1,1,-41.994,23.441,-3.92,2.18,-3.92,2.19,INF,-1,0,7,0
2080,1,1,-42.090,27.200,-3.93,2.53,-3.92,2.54,INF,-1,0,7,0
2100,1,1,-41.702,27.622,-3.89,2.57,-3.89,2.58,INF,-1,1,7,0
