"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.08454
CalibrationParameters_A12,0.08443
CalibrationParameters_A13,-0.02603
CalibrationParameters_A21,0.07663
CalibrationParameters_A22,-1.09329
CalibrationParameters_A23,0.03172
CalibrationParameters_A31,-0.00005
CalibrationParameters_A32,-0.00440
CalibrationParameters_E11,-0.18008
CalibrationParameters_E12,-0.00037
CalibrationParameters_E21,0.00008
CalibrationParameters_E22,0.19998
CalibrationParameters_X,-11.86779
CalibrationParameters_Y,-42.03340
CalibrationParameters_Rpc,63.47506
CalibrationParameters_MeanX,116.37621
CalibrationParameters_MeanY,171.23547
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-320.207,87.258,-27.58,7.19,-27.35,8.10,INF,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,1,1,3.726,7.659,0.35,0.72,0.35,0.72,INF,-1,0,7,0
120,1,1,0.318,2.793,0.03,0.26,0.03,0.26,INF,-1,0,7,0
140,1,1,-4.469,-1.086,-0.42,-0.10,-0.42,-0.10,INF,-1,0,7,0
160,1,1,-2.066,-0.637,-0.19,-0.06,-0.19,-0.06,INF,-1,0,7,0
180,1,1,1.243,4.390,0.12,0.41,0.12,0.41,INF,-1,0,7,0
200,1,1,2.689,13.230,0.25,1.24,0.25,1.24,INF,-1,0,7,0
220,1,1,1.786,3.596,0.17,0.34,0.17,0.34,INF,-1,0,7,0
240,1,1,7.929,7.002,0.74,0.65,0.74,0.65,INF,-1,0,7,0
260,1,1,6.906,7.963,0.65,0.74,0.65,0.74,INF,-1,0,7,0
280,1,1,2.096,5.059,0.20,0.47,0.20,0.47,INF,-1,0,7,0
300,1,1,2.608,-1.595,0.24,-0.15,0.24,-0.15,INF,-1,0,7,0
320,1,1,2.057,1.700,0.19,0.16,0.19,0.16,INF,-1,0,7,0
340,1,1,5.468,7.034,0.51,0.66,0.51,0.66,INF,-1,0,7,0
360,1,1,1.931,-7.169,0.18,-0.67,0.18,-0.67,INF,-1,0,7,0
380,1,1,3.488,2.429,0.33,0.23,0.33,0.23,INF,-1,1,7,0
400,1,1,2.303,-3.026,0.22,-0.28,0.22,-0.28,INF,-1,1,7,0
420,1,1,3.573,2.278,0.33,0.21,0.33,0.21,INF,-1,1,7,0
440,1,1,-4.685,-0.499,-0.44,-0.05,-0.44,-0.05,INF,-1,1,7,0
460,1,1,4.554,-3.168,0.43,-0.30,0.43,-0.30,INF,-1,1,7,0
480,1,1,-7.608,-11.781,-0.71,-1.10,-0.71,-1.10,INF,-1,1,7,0
500,1,1,8.286,-4.519,0.77,-0.42,0.77,-0.42,INF,-1,1,7,0
520,1,1,-0.010,-3.363,0.00,-0.31,0.00,-0.31,INF,-1,1,7,0
540,1,1,0.821,-10.398,0.08,-0.97,0.08,-0.97,INF,-1,1,7,0
560,1,1,3.025,-1.464,0.28,-0.14,0.28,-0.14,INF,-1,1,7,0
580,1,1,1.585,-5.217,0.15,-0.49,0.15,-0.49,INF,-1,1,7,0
600,1,1,0.213,-6.750,0.02,-0.63,0.02,-0.63,INF,-1,1,7,0
620,1,1,-6.681,-18.357,-0.62,-1.72,-0.62,-1.72,INF,-1,1,7,0
640,1,1,-0.307,-15.186,-0.03,-1.42,-0.03,-1.42,INF,-1,0,7,0
660,1,1,2.138,-15.856,0.20,-1.48,0.20,-1.48,INF,-1,0,7,0
680,1,1,1.233,-10.267,0.12,-0.96,0.12,-0.96,INF,-1,0,7,0
700,1,1,-0.224,-8.305,-0.02,-0.78,-0.02,-0.78,INF,-1,0,7,0
720,1,1,-0.127,-12.418,-0.01,-1.16,-0.01,-1.16,INF,-1,0,7,0
740,1,1,6.488,-10.290,0.61,-0.96,0.61,-0.96,INF,-1,0,7,0
760,1,1,-0.085,-12.098,-0.01,-1.13,-0.01,-1.13,INF,-1,0,7,0
780,1,1,4.764,-12.024,0.45,-1.12,0.45,-1.12,INF,-1,0,7,0
800,1,1,-4.188,-15.931,-0.39,-1.49,-0.39,-1.49,INF,-1,0,7,0
820,1,1,-0.243,-8.594,-0.02,-0.80,-0.02,-0.80,INF,-1,0,7,0
840,1,1,-3.686,-8.129,-0.34,-0.76,-0.34,-0.76,INF,-1,0,7,0
860,1,1,3.383,-5.509,0.32,-0.51,0.32,-0.51,INF,-1,0,7,0
880,1,1,4.049,-7.746,0.38,-0.72,0.38,-0.72,INF,-1,1,7,0
900,1,1,0.402,-5.298,0.04,-0.50,0.04,-0.50,INF,-1,1,7,0
920,1,1,4.053,-1.121,0.38,-0.10,0.38,-0.10,INF,-1,1,7,0
940,1,1,-2.073,-8.383,-0.19,-0.78,-0.19,-0.78,INF,-1,1,7,0
960,1,1,9.760,1.204,0.91,0.11,0.91,0.11,INF,-1,1,7,0
980,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1000,1,1,-47.848,6.330,-4.46,0.59,-4.46,0.59,INF,-1,1,7,0
1020,1,1,-50.766,27.799,-4.73,2.59,-4.73,2.60,INF,-1,1,7,0
1040,1,1,-54.516,24.621,-5.08,2.29,-5.08,2.30,INF,-1,0,7,0
1060,1,1,-50.511,26.665,-4.71,2.48,-4.71,2.49,INF,-1,0,7,0
1080,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1100,1,1,-48.449,24.105,-4.52,2.24,-4.52,2.25,INF,-1,0,7,0
1120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1140,1,1,-49.100,30.242,-4.58,2.82,-4.57,2.82,INF,-1,0,7,0
1160,1,1,-51.686,24.679,-4.82,2.30,-4.82,2.31,INF,-1,0,7,0
1180,1,1,-50.995,23.487,-4.76,2.19,-4.75,2.19,INF,-1,0,7,0
1200,1,1,-48.973,25.932,-4.57,2.41,-4.56,2.42,INF,-1,0,7,0
1220,1,1,-47.649,31.478,-4.44,2.93,-4.44,2.94,INF,-1,0,7,0
1240,1,1,-69.707,28.697,-6.49,2.66,-6.48,2.68,INF,-1,0,7,0
1260,1,1,-57.549,42.205,-5.36,3.92,-5.35,3.94,INF,-1,0,7,0
1280,1,1,-67.326,36.405,-6.27,3.38,-6.26,3.40,INF,-1,0,7,0
1300,1,1,-61.744,37.586,-5.75,3.49,-5.74,3.51,INF,-1,0,7,0
1320,1,1,-65.617,29.855,-6.11,2.77,-6.10,2.79,INF,-1,0,7,0
1340,1,1,-64.340,28.290,-5.99,2.63,-5.99,2.64,INF,-1,0,7,0
1360,1,1,-63.242,31.889,-5.89,2.96,-5.88,2.98,INF,-1,0,7,0
1380,1,1,-63.934,37.755,-5.95,3.51,-5.94,3.52,INF,-1,0,7,0
1400,1,1,-62.830,31.951,-5.85,2.97,-5.84,2.98,INF,-1,0,7,0
1420,1,1,-64.949,32.703,-6.05,3.04,-6.04,3.05,INF,-1,0,7,0
1440,1,1,-66.830,32.089,-6.22,2.98,-6.21,3.00,INF,-1,1,7,0
1460,1,1,-64.693,27.842,-6.02,2.59,-6.02,2.60,INF,-1,1,7,0
1480,1,1,-64.626,36.136,-6.02,3.36,-6.01,3.37,INF,-1,1,7,0
1500,1,1,-67.917,30.031,-6.32,2.79,-6.31,2.80,INF,-1,1,7,0
1520,1,1,-64.032,33.966,-5.96,3.15,-5.95,3.17,INF,-1,1,7,0
1540,1,1,-63.952,33.746,-5.96,3.13,-5.95,3.15,INF,-1,1,7,0
1560,1,1,-62.166,36.803,-5.79,3.42,-5.78,3.44,INF,-1,1,7,0
1580,1,1,-51.808,39.358,-4.83,3.66,-4.82,3.67,INF,-1,1,7,0
1600,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1620,1,1,-54.112,47.532,-5.04,4.42,-5.03,4.43,INF,-1,1,7,0
1640,1,1,-48.442,37.857,-4.52,3.52,-4.51,3.53,INF,-1,1,7,0
1660,1,1,-55.402,38.241,-5.16,3.56,-5.15,3.57,INF,-1,1,7,0
1680,1,1,-56.938,37.009,-5.31,3.44,-5.30,3.45,INF,-1,1,7,0
1700,1,1,-54.216,41.668,-5.05,3.87,-5.04,3.89,INF,-1,1,7,0
1720,1,1,-59.422,38.914,-5.54,3.62,-5.53,3.63,INF,-1,1,7,0
1740,1,1,-57.377,41.282,-5.35,3.84,-5.34,3.85,INF,-1,1,7,0
1760,1,1,-49.980,41.857,-4.66,3.89,-4.65,3.91,INF,-1,1,7,0
1780,1,1,-47.510,44.356,-4.43,4.13,-4.42,4.14,INF,-1,0,7,0
1800,1,1,-48.696,43.013,-4.54,4.00,-4.53,4.01,INF,-1,0,7,0
1820,1,1,-56.191,36.361,-5.24,3.38,-5.23,3.39,INF,-1,0,7,0
1840,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1860,1,1,-30.099,33.631,-2.81,3.14,-2.81,3.14,INF,-1,0,7,0
1880,1,1,-31.551,36.665,-2.95,3.42,-2.94,3.42,INF,-1,0,7,0
1900,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1920,1,1,284.171,81.472,24.87,6.88,24.68,7.57,INF,-1,0,7,0
1940,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1960,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1980,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2000,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2020,1,1,-109.038,205.787,-10.09,18.29,-9.57,18.56,INF,-1,0,7,0
2040,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2060,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2080,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2320,1,1,-327.060,148.818,-28.08,12.09,-27.41,13.65,INF,-1,0,7,0
