"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.12101
CalibrationParameters_A12,0.08285
CalibrationParameters_A13,-0.03670
CalibrationParameters_A21,0.05854
CalibrationParameters_A22,-1.07901
CalibrationParameters_A23,0.01121
CalibrationParameters_A31,-0.00019
CalibrationParameters_A32,-0.00439
CalibrationParameters_E11,-0.18021
CalibrationParameters_E12,-0.00001
CalibrationParameters_E21,-0.00007
CalibrationParameters_E22,0.19980
CalibrationParameters_X,-13.85757
CalibrationParameters_Y,-42.09036
CalibrationParameters_Rpc,66.06683
CalibrationParameters_MeanX,109.77676
CalibrationParameters_MeanY,167.22051
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,15.352,-21.599,1.43,-2.02,1.43,-2.02,INF,-1,0,7,0
20,1,1,14.460,-19.453,1.35,-1.82,1.35,-1.82,INF,-1,0,7,0
40,1,1,14.553,-21.354,1.36,-1.99,1.36,-2.00,INF,-1,0,7,0
60,1,1,15.653,-20.319,1.46,-1.90,1.46,-1.90,INF,-1,0,7,0
80,1,1,15.949,-20.885,1.49,-1.95,1.49,-1.95,INF,-1,0,7,0
100,1,1,14.286,-20.772,1.34,-1.94,1.33,-1.94,INF,-1,0,7,0
120,1,1,15.379,-18.939,1.44,-1.77,1.44,-1.77,INF,-1,0,7,0
140,1,1,14.157,-20.782,1.32,-1.94,1.32,-1.94,INF,-1,0,7,0
160,1,1,13.107,-20.304,1.22,-1.90,1.22,-1.90,INF,-1,0,7,0
180,1,1,14.197,-19.134,1.33,-1.79,1.33,-1.79,INF,-1,0,7,0
200,1,1,14.704,-19.894,1.37,-1.86,1.37,-1.86,INF,-1,0,7,0
220,1,1,13.656,-18.367,1.28,-1.72,1.28,-1.72,INF,-1,0,7,0
240,1,1,15.090,-20.019,1.41,-1.87,1.41,-1.87,INF,-1,0,7,0
260,1,1,14.800,-19.379,1.38,-1.81,1.38,-1.81,INF,-1,0,7,0
280,1,1,11.637,-13.047,1.09,-1.22,1.09,-1.22,INF,-1,1,7,0
300,1,1,11.438,-5.724,1.07,-0.53,1.07,-0.54,INF,-1,1,7,0
320,1,1,12.226,-5.017,1.14,-0.47,1.14,-0.47,INF,-1,1,7,0
340,1,1,10.854,-5.498,1.01,-0.51,1.01,-0.51,INF,-1,0,7,0
360,1,1,11.844,-4.729,1.11,-0.44,1.11,-0.44,INF,-1,0,7,0
380,1,1,10.968,-4.729,1.03,-0.44,1.03,-0.44,INF,-1,0,7,0
