"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.11413
CalibrationParameters_A12,0.05351
CalibrationParameters_A13,-0.00807
CalibrationParameters_A21,0.05654
CalibrationParameters_A22,-1.15542
CalibrationParameters_A23,0.05186
CalibrationParameters_A31,0.00045
CalibrationParameters_A32,-0.01591
CalibrationParameters_E11,-0.18048
CalibrationParameters_E12,-0.00005
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.20008
CalibrationParameters_X,-15.72127
CalibrationParameters_Y,-47.65610
CalibrationParameters_Rpc,60.35776
CalibrationParameters_MeanX,145.71665
CalibrationParameters_MeanY,169.81622
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,5.491,-0.626,0.51,-0.06,0.51,-0.06,INF,-1,0,7,0
20,1,1,5.976,-3.127,0.56,-0.29,0.56,-0.29,INF,-1,0,7,0
40,1,1,2.677,-2.956,0.25,-0.28,0.25,-0.28,INF,-1,0,7,0
60,1,1,6.706,-0.351,0.63,-0.03,0.63,-0.03,INF,-1,0,7,0
80,1,1,4.816,-4.755,0.45,-0.44,0.45,-0.44,INF,-1,0,7,0
100,1,1,5.588,-2.223,0.52,-0.21,0.52,-0.21,INF,-1,0,7,0
120,1,1,6.605,-0.293,0.62,-0.03,0.62,-0.03,INF,-1,0,7,0
140,1,1,6.223,-3.994,0.58,-0.37,0.58,-0.37,INF,-1,0,7,0
160,1,1,6.205,-4.144,0.58,-0.39,0.58,-0.39,INF,-1,0,7,0
180,1,1,8.614,-0.756,0.81,-0.07,0.81,-0.07,INF,-1,0,7,0
200,1,1,6.891,-0.402,0.64,-0.04,0.64,-0.04,INF,-1,0,7,0
220,1,1,5.975,-1.447,0.56,-0.14,0.56,-0.14,INF,-1,0,7,0
240,1,1,6.010,-1.875,0.56,-0.18,0.56,-0.18,INF,-1,0,7,0
260,1,1,4.814,-0.570,0.45,-0.05,0.45,-0.05,INF,-1,0,7,0
280,1,1,-3.156,-16.537,-0.29,-1.55,-0.29,-1.55,INF,-1,1,7,0
300,1,1,1.169,-14.073,0.11,-1.32,0.11,-1.32,INF,-1,1,7,0
320,1,1,1.452,-16.512,0.14,-1.54,0.14,-1.54,INF,-1,0,7,0
340,1,1,-2.726,-13.004,-0.25,-1.22,-0.25,-1.22,INF,-1,0,7,0
360,1,1,-4.569,-12.782,-0.43,-1.19,-0.43,-1.19,INF,-1,0,7,0
380,1,1,-1.742,-13.563,-0.16,-1.27,-0.16,-1.27,INF,-1,0,7,0
400,1,1,1.755,-18.963,0.16,-1.77,0.16,-1.77,INF,-1,0,7,0
420,1,1,-0.804,-17.043,-0.08,-1.59,-0.08,-1.59,INF,-1,0,7,0
440,1,1,-2.545,-17.863,-0.24,-1.67,-0.24,-1.67,INF,-1,0,7,0
460,1,1,0.092,-15.960,0.01,-1.49,0.01,-1.49,INF,-1,0,7,0
480,1,1,-0.619,-16.776,-0.06,-1.57,-0.06,-1.57,INF,-1,0,7,0
500,1,1,-9.162,-15.062,-0.86,-1.41,-0.86,-1.41,INF,-1,0,7,0
520,1,1,-25.438,-2.975,-2.38,-0.28,-2.38,-0.28,INF,-1,0,7,0
540,1,1,-33.449,10.272,-3.12,0.96,-3.12,0.96,INF,-1,0,7,0
560,1,1,-31.268,6.500,-2.92,0.61,-2.92,0.61,INF,-1,0,7,0
580,1,1,-32.096,13.186,-3.00,1.23,-3.00,1.23,INF,-1,0,7,0
600,1,1,-35.530,11.271,-3.32,1.05,-3.32,1.05,INF,-1,0,7,0
620,1,1,-31.228,6.919,-2.92,0.65,-2.92,0.65,INF,-1,0,7,0
640,1,1,-31.592,10.272,-2.95,0.96,-2.95,0.96,INF,-1,0,7,0
