"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.10049
CalibrationParameters_A12,0.07585
CalibrationParameters_A13,0.01353
CalibrationParameters_A21,0.04796
CalibrationParameters_A22,-1.15048
CalibrationParameters_A23,0.06084
CalibrationParameters_A31,0.00041
CalibrationParameters_A32,-0.00940
CalibrationParameters_E11,-0.17999
CalibrationParameters_E12,-0.00020
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.19999
CalibrationParameters_X,-16.29374
CalibrationParameters_Y,-45.80204
CalibrationParameters_Rpc,63.31497
CalibrationParameters_MeanX,131.77634
CalibrationParameters_MeanY,166.80914
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-153.227,-263.481,-14.03,-22.64,-12.93,-23.26,INF,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,1,1,45.550,7.805,4.25,0.73,4.25,0.73,INF,-1,0,7,0
100,1,1,44.094,11.162,4.11,1.04,4.11,1.04,INF,-1,0,7,0
120,1,1,46.529,7.037,4.34,0.66,4.34,0.66,INF,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,1,1,46.192,10.767,4.31,1.00,4.31,1.01,INF,-1,0,7,0
180,1,1,-11.082,-8.815,-1.04,-0.82,-1.04,-0.82,INF,-1,0,7,0
200,1,1,-25.816,-7.180,-2.41,-0.67,-2.41,-0.67,INF,-1,0,7,0
220,1,1,-23.439,-10.139,-2.19,-0.95,-2.19,-0.95,INF,-1,0,7,0
240,1,1,-26.310,-4.727,-2.46,-0.44,-2.46,-0.44,INF,-1,0,7,0
260,1,1,-23.587,-5.218,-2.20,-0.49,-2.20,-0.49,INF,-1,0,7,0
280,1,1,-23.511,-7.496,-2.20,-0.70,-2.20,-0.70,INF,-1,0,7,0
300,1,1,-24.296,-8.905,-2.27,-0.83,-2.27,-0.83,INF,-1,0,7,0
320,1,1,-20.409,-9.680,-1.91,-0.90,-1.91,-0.90,INF,-1,0,7,0
340,1,1,-24.317,-10.524,-2.27,-0.98,-2.27,-0.98,INF,-1,0,7,0
360,1,1,-22.863,-9.942,-2.14,-0.93,-2.14,-0.93,INF,-1,0,7,0
380,1,1,-37.763,-2.256,-3.53,-0.21,-3.53,-0.21,INF,-1,0,7,0
400,1,1,-36.046,-1.506,-3.37,-0.14,-3.37,-0.14,INF,-1,0,7,0
420,1,1,-37.790,-0.965,-3.53,-0.09,-3.53,-0.09,INF,-1,0,7,0
440,1,1,-35.803,-1.348,-3.34,-0.13,-3.34,-0.13,INF,-1,0,7,0
460,1,1,-40.690,-0.018,-3.80,0.00,-3.80,0.00,INF,-1,1,7,0
480,1,1,-38.434,-2.845,-3.59,-0.27,-3.59,-0.27,INF,-1,1,7,0
500,1,1,-40.820,3.010,-3.81,0.28,-3.81,0.28,INF,-1,0,7,0
520,1,1,-38.962,-3.326,-3.64,-0.31,-3.64,-0.31,INF,-1,0,7,0
540,1,1,-38.512,-0.002,-3.59,0.00,-3.59,0.00,INF,-1,0,7,0
560,1,1,-38.252,-2.494,-3.57,-0.23,-3.57,-0.23,INF,-1,0,7,0
580,1,1,-40.597,1.499,-3.79,0.14,-3.79,0.14,INF,-1,0,7,0
600,1,1,-37.756,-0.684,-3.52,-0.06,-3.52,-0.06,INF,-1,0,7,0
620,1,1,-37.885,2.055,-3.54,0.19,-3.54,0.19,INF,-1,0,7,0
