"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.13398
CalibrationParameters_A12,0.07809
CalibrationParameters_A13,0.01081
CalibrationParameters_A21,0.08121
CalibrationParameters_A22,-1.14367
CalibrationParameters_A23,0.03401
CalibrationParameters_A31,0.00078
CalibrationParameters_A32,-0.01706
CalibrationParameters_E11,-0.17972
CalibrationParameters_E12,-0.00022
CalibrationParameters_E21,0.00018
CalibrationParameters_E22,0.19998
CalibrationParameters_X,-14.20212
CalibrationParameters_Y,-47.98328
CalibrationParameters_Rpc,60.18741
CalibrationParameters_MeanX,136.74690
CalibrationParameters_MeanY,177.95697
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,1,1,9.166,-25.248,0.86,-2.36,0.86,-2.36,INF,-1,0,7,0
240,1,1,9.936,-6.011,0.93,-0.56,0.93,-0.56,INF,-1,0,7,0
260,1,1,9.786,-8.498,0.91,-0.79,0.91,-0.79,INF,-1,0,7,0
280,1,1,3.991,-6.959,0.37,-0.65,0.37,-0.65,INF,-1,0,7,0
300,1,1,9.493,-1.430,0.89,-0.13,0.89,-0.13,INF,-1,0,7,0
320,1,1,4.417,1.319,0.41,0.12,0.41,0.12,INF,-1,0,7,0
340,1,1,11.239,-4.645,1.05,-0.43,1.05,-0.43,INF,-1,0,7,0
360,1,1,6.706,-9.122,0.63,-0.85,0.63,-0.85,INF,-1,0,7,0
380,1,1,10.340,0.910,0.97,0.09,0.97,0.09,INF,-1,0,7,0
400,1,1,7.161,-0.151,0.67,-0.01,0.67,-0.01,INF,-1,0,7,0
420,1,1,5.513,-4.736,0.52,-0.44,0.52,-0.44,INF,-1,0,7,0
440,1,1,11.752,-11.783,1.10,-1.10,1.10,-1.10,INF,-1,0,7,0
460,1,1,11.524,-14.173,1.08,-1.32,1.08,-1.32,INF,-1,0,7,0
480,1,1,12.474,-8.226,1.17,-0.77,1.17,-0.77,INF,-1,0,7,0
500,1,1,11.269,-3.143,1.05,-0.29,1.05,-0.29,INF,-1,0,7,0
520,1,1,12.434,-0.231,1.16,-0.02,1.16,-0.02,INF,-1,1,7,0
540,1,1,1.704,6.164,0.16,0.58,0.16,0.58,INF,-1,1,7,0
560,1,1,-13.659,12.515,-1.28,1.17,-1.28,1.17,INF,-1,1,7,0
580,1,1,-15.873,11.985,-1.48,1.12,-1.48,1.12,INF,-1,0,7,0
600,1,1,-18.703,15.434,-1.75,1.44,-1.75,1.44,INF,-1,0,7,0
620,1,1,-14.804,12.928,-1.38,1.21,-1.38,1.21,INF,-1,0,7,0
640,1,1,-13.449,12.888,-1.26,1.20,-1.26,1.20,INF,-1,0,7,0
660,1,1,-18.115,12.735,-1.69,1.19,-1.69,1.19,INF,-1,0,7,0
680,1,1,-16.858,14.086,-1.58,1.32,-1.57,1.32,INF,-1,0,7,0
700,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
720,1,1,-17.252,13.152,-1.61,1.23,-1.61,1.23,INF,-1,0,7,0
740,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
760,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
780,1,1,-183.470,161.742,-16.66,14.19,-16.14,14.78,INF,-1,0,7,0
800,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
820,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
840,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
860,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
880,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
900,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
920,1,1,124.167,-151.467,11.45,-13.61,11.12,-13.88,INF,-1,0,7,0
940,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
960,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
980,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1000,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1020,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1040,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1060,1,1,-296.457,221.482,-25.81,18.02,-24.46,19.87,INF,-1,0,7,0
1080,1,1,-293.813,173.788,-25.61,14.34,-24.76,15.83,INF,-1,0,7,0
1100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1240,1,1,47.341,49.681,4.42,4.62,4.40,4.63,INF,-1,0,7,0
1260,1,1,41.993,51.035,3.92,4.75,3.91,4.76,INF,-1,0,7,0
1280,1,1,45.614,52.535,4.26,4.88,4.24,4.90,INF,-1,0,7,0
1300,1,1,45.095,51.635,4.21,4.80,4.19,4.81,INF,-1,0,7,0
1320,1,1,46.142,49.258,4.30,4.58,4.29,4.59,INF,-1,0,7,0
1340,1,1,45.602,49.883,4.25,4.64,4.24,4.65,INF,-1,0,7,0
1360,1,1,46.811,47.612,4.37,4.43,4.35,4.44,INF,-1,0,7,0
1380,1,1,46.625,45.765,4.35,4.26,4.34,4.27,INF,-1,0,7,0
1400,1,1,43.235,50.205,4.03,4.67,4.02,4.68,INF,-1,0,7,0
1420,1,1,43.732,48.561,4.08,4.52,4.07,4.53,INF,-1,0,7,0
1440,1,1,46.587,52.043,4.35,4.84,4.33,4.85,INF,-1,0,7,0
1460,1,1,43.135,48.133,4.03,4.48,4.01,4.49,INF,-1,0,7,0
1480,1,1,54.695,51.131,5.10,4.75,5.08,4.77,INF,-1,0,7,0
1500,1,1,53.676,40.900,5.00,3.80,4.99,3.82,INF,-1,0,7,0
1520,1,1,52.635,40.756,4.91,3.79,4.90,3.80,INF,-1,1,7,0
1540,1,1,56.184,41.512,5.24,3.86,5.22,3.87,INF,-1,1,7,0
1560,1,1,54.114,39.901,5.04,3.71,5.03,3.72,INF,-1,1,7,0
1580,1,1,54.500,42.998,5.08,4.00,5.07,4.01,INF,-1,1,7,0
1600,1,1,52.000,45.242,4.85,4.21,4.84,4.22,INF,-1,1,7,0
1620,1,1,51.123,39.945,4.77,3.72,4.76,3.73,INF,-1,1,7,0
1640,1,1,55.077,42.076,5.13,3.91,5.12,3.93,INF,-1,1,7,0
1660,1,1,54.036,44.483,5.04,4.13,5.02,4.15,INF,-1,1,7,0
1680,1,1,54.585,39.752,5.09,3.70,5.08,3.71,INF,-1,1,7,0
1700,1,1,67.589,27.089,6.29,2.52,6.29,2.53,INF,-1,1,7,0
1720,1,1,66.150,29.085,6.16,2.70,6.15,2.72,INF,-1,0,7,0
1740,1,1,67.273,28.392,6.26,2.64,6.26,2.65,INF,-1,0,7,0
1760,1,1,69.371,28.212,6.46,2.62,6.45,2.64,INF,-1,0,7,0
1780,1,1,64.270,29.204,5.99,2.71,5.98,2.73,INF,-1,0,7,0
1800,1,1,68.122,24.720,6.34,2.30,6.34,2.31,INF,-1,0,7,0
1820,1,1,62.417,24.117,5.81,2.24,5.81,2.25,INF,-1,0,7,0
1840,1,1,63.966,29.919,5.96,2.78,5.95,2.79,INF,-1,0,7,0
1860,1,1,63.520,24.771,5.92,2.30,5.91,2.31,INF,-1,0,7,0
1880,1,1,67.081,29.040,6.25,2.70,6.24,2.71,INF,-1,0,7,0
1900,1,1,62.779,29.975,5.85,2.78,5.84,2.80,INF,-1,0,7,0
