"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.08512
CalibrationParameters_A12,0.09137
CalibrationParameters_A13,-0.00376
CalibrationParameters_A21,0.06786
CalibrationParameters_A22,-1.11717
CalibrationParameters_A23,0.00528
CalibrationParameters_A31,0.00014
CalibrationParameters_A32,-0.00532
CalibrationParameters_E11,-0.18011
CalibrationParameters_E12,0.00005
CalibrationParameters_E21,-0.00021
CalibrationParameters_E22,0.20014
CalibrationParameters_X,-10.89125
CalibrationParameters_Y,-43.05406
CalibrationParameters_Rpc,66.33798
CalibrationParameters_MeanX,113.09153
CalibrationParameters_MeanY,162.31546
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
420,1,1,378.200,-123.560,31.67,-9.73,31.17,-11.40,INF,-1,0,7,0
440,1,1,21.535,13.594,2.01,1.27,2.01,1.27,INF,-1,0,7,0
460,1,1,23.286,11.862,2.18,1.11,2.18,1.11,INF,-1,0,7,0
480,1,1,22.834,11.435,2.13,1.07,2.13,1.07,INF,-1,0,7,0
500,1,1,22.608,9.954,2.11,0.93,2.11,0.93,INF,-1,0,7,0
520,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
540,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
560,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
580,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
600,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
620,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
640,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
660,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
680,1,1,10.837,18.859,1.01,1.76,1.01,1.76,INF,-1,0,7,0
700,1,1,12.288,22.003,1.15,2.06,1.15,2.06,INF,-1,0,7,0
720,1,1,12.058,22.484,1.13,2.10,1.13,2.10,INF,-1,0,7,0
740,1,1,13.072,21.368,1.22,2.00,1.22,2.00,INF,-1,0,7,0
760,1,1,13.318,21.790,1.24,2.04,1.24,2.04,INF,-1,0,7,0
780,1,1,12.102,20.146,1.13,1.88,1.13,1.88,INF,-1,0,7,0
800,1,1,10.898,18.953,1.02,1.77,1.02,1.77,INF,-1,0,7,0
820,1,1,11.459,19.874,1.07,1.86,1.07,1.86,INF,-1,0,7,0
840,1,1,20.837,12.930,1.95,1.21,1.95,1.21,INF,-1,0,7,0
860,1,1,21.310,11.144,1.99,1.04,1.99,1.04,INF,-1,0,7,0
880,1,1,21.307,10.152,1.99,0.95,1.99,0.95,INF,-1,0,7,0
900,1,1,18.937,10.296,1.77,0.96,1.77,0.96,INF,-1,0,7,0
920,1,1,20.546,10.229,1.92,0.96,1.92,0.96,INF,-1,0,7,0
940,1,1,19.784,10.068,1.85,0.94,1.85,0.94,INF,-1,0,7,0
960,1,1,20.273,11.202,1.89,1.05,1.89,1.05,INF,-1,1,7,0
980,1,1,19.292,10.730,1.80,1.00,1.80,1.00,INF,-1,1,7,0
1000,1,1,19.175,9.123,1.79,0.85,1.79,0.85,INF,-1,1,7,0
1020,1,1,20.123,9.497,1.88,0.89,1.88,0.89,INF,-1,1,7,0
1040,1,1,16.934,10.324,1.58,0.96,1.58,0.96,INF,-1,1,7,0
1060,1,1,19.562,9.643,1.83,0.90,1.83,0.90,INF,-1,1,7,0
1080,1,1,18.754,9.433,1.75,0.88,1.75,0.88,INF,-1,1,7,0
1100,1,1,18.379,10.179,1.72,0.95,1.72,0.95,INF,-1,1,7,0
1120,1,1,18.737,8.775,1.75,0.82,1.75,0.82,INF,-1,1,7,0
1140,1,1,20.213,7.801,1.89,0.73,1.89,0.73,INF,-1,1,7,0
1160,1,1,21.971,8.249,2.05,0.77,2.05,0.77,INF,-1,1,7,0
1180,1,1,20.927,8.513,1.96,0.80,1.96,0.80,INF,-1,1,7,0
1200,1,1,19.808,9.397,1.85,0.88,1.85,0.88,INF,-1,1,7,0
1220,1,1,19.379,10.229,1.81,0.96,1.81,0.96,INF,-1,1,7,0
1240,1,1,11.699,5.477,1.09,0.51,1.09,0.51,INF,-1,1,7,0
1260,1,1,-35.822,13.230,-3.34,1.23,-3.34,1.24,INF,-1,1,7,0
1280,1,1,-32.773,12.680,-3.06,1.18,-3.06,1.19,INF,-1,0,7,0
1300,1,1,-31.176,14.514,-2.91,1.35,-2.91,1.36,INF,-1,0,7,0
1320,1,1,-30.378,14.275,-2.84,1.33,-2.84,1.33,INF,-1,0,7,0
1340,1,1,-32.763,15.495,-3.06,1.45,-3.06,1.45,INF,-1,0,7,0
1360,1,1,-32.861,14.013,-3.07,1.31,-3.07,1.31,INF,-1,0,7,0
1380,1,1,-31.533,13.605,-2.94,1.27,-2.94,1.27,INF,-1,0,7,0
1400,1,1,-31.777,12.474,-2.97,1.16,-2.97,1.17,INF,-1,0,7,0
1420,1,1,-32.307,13.024,-3.02,1.22,-3.02,1.22,INF,-1,0,7,0
