"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.21043
CalibrationParameters_A12,0.08086
CalibrationParameters_A13,-0.00034
CalibrationParameters_A21,0.08971
CalibrationParameters_A22,-1.19660
CalibrationParameters_A23,0.02399
CalibrationParameters_A31,0.00053
CalibrationParameters_A32,-0.01408
CalibrationParameters_E11,-0.18009
CalibrationParameters_E12,-0.00009
CalibrationParameters_E21,-0.00036
CalibrationParameters_E22,0.20011
CalibrationParameters_X,-36.13941
CalibrationParameters_Y,-48.89209
CalibrationParameters_Rpc,91.10151
CalibrationParameters_MeanX,130.05954
CalibrationParameters_MeanY,134.65320
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-0.896,8.631,-0.08,0.81,-0.08,0.81,INF,-1,0,7,0
20,1,1,-2.049,9.245,-0.19,0.86,-0.19,0.86,INF,-1,0,7,0
40,1,1,-4.556,8.233,-0.43,0.77,-0.43,0.77,INF,-1,0,7,0
60,1,1,-1.285,6.722,-0.12,0.63,-0.12,0.63,INF,-1,0,7,0
80,1,1,-0.649,7.004,-0.06,0.65,-0.06,0.65,INF,-1,0,7,0
100,1,1,-0.411,6.646,-0.04,0.62,-0.04,0.62,INF,-1,0,7,0
120,1,1,-0.934,7.422,-0.09,0.69,-0.09,0.69,INF,-1,0,7,0
140,1,1,-2.035,5.311,-0.19,0.50,-0.19,0.50,INF,-1,0,7,0
160,1,1,-1.774,5.094,-0.17,0.48,-0.17,0.48,INF,-1,0,7,0
180,1,1,-8.372,1.774,-0.78,0.17,-0.78,0.17,INF,-1,0,7,0
200,1,1,-7.507,-1.447,-0.70,-0.14,-0.70,-0.14,INF,-1,0,7,0
220,1,1,-8.851,1.914,-0.83,0.18,-0.83,0.18,INF,-1,0,7,0
240,1,1,-8.100,0.449,-0.76,0.04,-0.76,0.04,INF,-1,0,7,0
260,1,1,-9.046,0.172,-0.85,0.02,-0.85,0.02,INF,-1,0,7,0
280,1,1,-9.331,0.709,-0.87,0.07,-0.87,0.07,INF,-1,1,7,0
300,1,1,-10.758,2.539,-1.01,0.24,-1.01,0.24,INF,-1,1,7,0
320,1,1,-10.350,1.255,-0.97,0.12,-0.97,0.12,INF,-1,1,7,0
340,1,1,-9.399,-1.695,-0.88,-0.16,-0.88,-0.16,INF,-1,1,7,0
360,1,1,-9.671,-0.504,-0.90,-0.05,-0.90,-0.05,INF,-1,1,7,0
380,1,1,-7.726,-0.243,-0.72,-0.02,-0.72,-0.02,INF,-1,1,7,0
400,1,1,-10.977,-0.213,-1.03,-0.02,-1.03,-0.02,INF,-1,1,7,0
420,1,1,-8.997,-0.470,-0.84,-0.04,-0.84,-0.04,INF,-1,1,7,0
440,1,1,-8.272,0.668,-0.77,0.06,-0.77,0.06,INF,-1,1,7,0
460,1,1,-8.434,-0.192,-0.79,-0.02,-0.79,-0.02,INF,-1,1,7,0
480,1,1,-8.462,0.247,-0.79,0.02,-0.79,0.02,INF,-1,1,7,0
500,1,1,-9.844,0.484,-0.92,0.05,-0.92,0.05,INF,-1,1,7,0
520,1,1,-9.381,0.487,-0.88,0.05,-0.88,0.05,INF,-1,1,7,0
540,1,1,-9.921,0.585,-0.93,0.05,-0.93,0.05,INF,-1,1,7,0
560,1,1,-8.128,0.542,-0.76,0.05,-0.76,0.05,INF,-1,1,7,0
580,1,1,-9.479,0.951,-0.89,0.09,-0.89,0.09,INF,-1,1,7,0
600,1,1,-7.643,1.079,-0.71,0.10,-0.71,0.10,INF,-1,1,7,0
620,1,1,-7.421,1.572,-0.69,0.15,-0.69,0.15,INF,-1,1,7,0
640,1,1,-7.208,1.075,-0.67,0.10,-0.67,0.10,INF,-1,1,7,0
660,1,1,-7.830,1.856,-0.73,0.17,-0.73,0.17,INF,-1,1,7,0
680,1,1,-8.734,0.917,-0.82,0.09,-0.82,0.09,INF,-1,1,7,0
700,1,1,-7.219,2.403,-0.67,0.22,-0.67,0.22,INF,-1,1,7,0
720,1,1,-6.397,1.788,-0.60,0.17,-0.60,0.17,INF,-1,1,7,0
740,1,1,-6.941,1.534,-0.65,0.14,-0.65,0.14,INF,-1,1,7,0
760,1,1,-7.996,1.940,-0.75,0.18,-0.75,0.18,INF,-1,1,7,0
780,1,1,-7.865,1.835,-0.74,0.17,-0.74,0.17,INF,-1,1,7,0
800,1,1,-7.399,3.105,-0.69,0.29,-0.69,0.29,INF,-1,1,7,0
820,1,1,-5.875,5.630,-0.55,0.53,-0.55,0.53,INF,-1,1,7,0
840,1,1,-5.330,5.079,-0.50,0.47,-0.50,0.47,INF,-1,1,7,0
860,1,1,-4.199,3.990,-0.39,0.37,-0.39,0.37,INF,-1,1,7,0
880,1,1,-5.572,4.590,-0.52,0.43,-0.52,0.43,INF,-1,1,7,0
900,1,1,-6.525,3.386,-0.61,0.32,-0.61,0.32,INF,-1,1,7,0
920,1,1,-7.145,3.833,-0.67,0.36,-0.67,0.36,INF,-1,1,7,0
940,1,1,-5.669,4.254,-0.53,0.40,-0.53,0.40,INF,-1,1,7,0
960,1,1,-6.034,3.207,-0.56,0.30,-0.56,0.30,INF,-1,1,7,0
980,1,1,-7.786,4.853,-0.73,0.45,-0.73,0.45,INF,-1,1,7,0
1000,1,1,-6.631,4.879,-0.62,0.46,-0.62,0.46,INF,-1,1,7,0
1020,1,1,-5.684,3.542,-0.53,0.33,-0.53,0.33,INF,-1,1,7,0
1040,1,1,-7.604,4.817,-0.71,0.45,-0.71,0.45,INF,-1,1,7,0
1060,1,1,-6.398,3.506,-0.60,0.33,-0.60,0.33,INF,-1,1,7,0
1080,1,1,13.823,15.919,1.29,1.49,1.29,1.49,INF,-1,1,7,0
1100,1,1,11.484,19.101,1.07,1.78,1.07,1.78,INF,-1,1,7,0
1120,1,1,12.712,15.601,1.19,1.46,1.19,1.46,INF,-1,0,7,0
1140,1,1,13.067,16.129,1.22,1.51,1.22,1.51,INF,-1,0,7,0
1160,1,1,14.425,16.230,1.35,1.52,1.35,1.52,INF,-1,0,7,0
1180,1,1,12.233,16.491,1.14,1.54,1.14,1.54,INF,-1,0,7,0
1200,1,1,13.530,15.917,1.26,1.49,1.26,1.49,INF,-1,0,7,0
1220,1,1,12.923,14.967,1.21,1.40,1.21,1.40,INF,-1,0,7,0
1240,1,1,10.765,17.623,1.01,1.65,1.01,1.65,INF,-1,0,7,0
1260,1,1,12.660,15.816,1.18,1.48,1.18,1.48,INF,-1,0,7,0
1280,1,1,11.683,15.660,1.09,1.46,1.09,1.46,INF,-1,0,7,0
1300,1,1,41.428,17.583,3.87,1.64,3.86,1.64,INF,-1,0,7,0
1320,1,1,41.956,21.362,3.92,1.99,3.91,2.00,INF,-1,0,7,0
1340,1,1,41.797,20.379,3.90,1.90,3.90,1.90,INF,-1,0,7,0
1360,1,1,40.330,21.825,3.76,2.03,3.76,2.04,INF,-1,0,7,0
1380,1,1,41.255,22.239,3.85,2.07,3.85,2.08,INF,-1,0,7,0
1400,1,1,41.326,21.200,3.86,1.98,3.85,1.98,INF,-1,0,7,0
1420,1,1,42.109,21.137,3.93,1.97,3.93,1.97,INF,-1,0,7,0
1440,1,1,39.643,21.338,3.70,1.99,3.70,1.99,INF,-1,0,7,0
1460,1,1,42.289,21.168,3.95,1.97,3.94,1.98,INF,-1,0,7,0
1480,1,1,40.925,21.198,3.82,1.98,3.82,1.98,INF,-1,1,7,0
1500,1,1,40.448,21.483,3.78,2.00,3.77,2.01,INF,-1,1,7,0
1520,1,1,41.012,20.879,3.83,1.95,3.83,1.95,INF,-1,1,7,0
1540,1,1,39.560,21.009,3.69,1.96,3.69,1.96,INF,-1,1,7,0
1560,1,1,40.555,20.143,3.79,1.88,3.78,1.88,INF,-1,1,7,0
1580,1,1,39.277,20.960,3.67,1.95,3.66,1.96,INF,-1,1,7,0
1600,1,1,39.845,19.231,3.72,1.79,3.72,1.80,INF,-1,1,7,0
1620,1,1,13.625,18.026,1.27,1.68,1.27,1.68,INF,-1,1,7,0
1640,1,1,14.707,18.033,1.37,1.68,1.37,1.68,INF,-1,1,7,0
1660,1,1,16.415,17.149,1.53,1.60,1.53,1.60,INF,-1,0,7,0
1680,1,1,16.185,17.225,1.51,1.61,1.51,1.61,INF,-1,0,7,0
1700,1,1,15.505,16.501,1.45,1.54,1.45,1.54,INF,-1,0,7,0
1720,1,1,14.961,16.664,1.40,1.56,1.40,1.56,INF,-1,0,7,0
1740,1,1,14.901,17.775,1.39,1.66,1.39,1.66,INF,-1,0,7,0
1760,1,1,14.809,16.402,1.38,1.53,1.38,1.53,INF,-1,0,7,0
1780,1,1,14.514,17.431,1.36,1.63,1.36,1.63,INF,-1,0,7,0
1800,1,1,13.046,16.249,1.22,1.52,1.22,1.52,INF,-1,0,7,0
1820,1,1,14.721,15.542,1.38,1.45,1.38,1.45,INF,-1,0,7,0
