"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.27481
CalibrationParameters_A12,0.09432
CalibrationParameters_A13,-0.01704
CalibrationParameters_A21,0.09201
CalibrationParameters_A22,-1.18361
CalibrationParameters_A23,0.01829
CalibrationParameters_A31,0.00062
CalibrationParameters_A32,-0.02338
CalibrationParameters_E11,-0.18017
CalibrationParameters_E12,0.00007
CalibrationParameters_E21,0.00008
CalibrationParameters_E22,0.19982
CalibrationParameters_X,-36.83177
CalibrationParameters_Y,-50.35862
CalibrationParameters_Rpc,91.91218
CalibrationParameters_MeanX,114.81623
CalibrationParameters_MeanY,151.47546
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-120.875,-125.823,-11.15,-11.39,-10.93,-11.60,INF,-1,0,7,0
20,1,1,-120.231,-121.252,-11.10,-10.98,-10.89,-11.19,INF,-1,0,7,0
40,1,1,-121.383,-125.815,-11.20,-11.38,-10.98,-11.60,INF,-1,0,7,0
60,1,1,-117.479,-128.987,-10.85,-11.68,-10.62,-11.88,INF,-1,0,7,0
80,1,1,-118.461,-125.449,-10.94,-11.36,-10.72,-11.57,INF,-1,0,7,0
100,1,1,-120.142,-126.570,-11.09,-11.45,-10.87,-11.67,INF,-1,0,7,0
120,1,1,-119.180,-127.201,-11.00,-11.51,-10.78,-11.72,INF,-1,0,7,0
140,1,1,-118.306,-127.910,-10.92,-11.58,-10.70,-11.79,INF,-1,0,7,0
160,1,1,-115.090,-114.279,-10.63,-10.38,-10.46,-10.56,INF,-1,0,7,0
180,1,1,-55.024,-53.856,-5.13,-5.00,-5.11,-5.02,INF,-1,0,7,0
200,1,1,-17.364,-26.247,-1.62,-2.45,-1.62,-2.45,INF,-1,0,7,0
220,1,1,-16.625,-27.635,-1.55,-2.58,-1.55,-2.58,INF,-1,0,7,0
240,1,1,-15.530,-27.065,-1.45,-2.53,-1.45,-2.53,INF,-1,0,7,0
260,1,1,-16.349,-25.741,-1.53,-2.40,-1.53,-2.40,INF,-1,0,7,0
280,1,1,-17.260,-25.159,-1.61,-2.35,-1.61,-2.35,INF,-1,0,7,0
300,1,1,-19.346,-25.772,-1.81,-2.41,-1.81,-2.41,INF,-1,0,7,0
320,1,1,-16.378,-25.646,-1.53,-2.39,-1.53,-2.40,INF,-1,0,7,0
340,1,1,-17.000,-26.095,-1.59,-2.44,-1.59,-2.44,INF,-1,0,7,0
360,1,1,-14.505,-28.171,-1.36,-2.63,-1.35,-2.63,INF,-1,0,7,0
380,1,1,4.076,-13.722,0.38,-1.28,0.38,-1.28,INF,-1,0,7,0
400,1,1,6.670,-11.995,0.62,-1.12,0.62,-1.12,INF,-1,0,7,0
420,1,1,4.479,-12.834,0.42,-1.20,0.42,-1.20,INF,-1,0,7,0
440,1,1,6.017,-11.551,0.56,-1.08,0.56,-1.08,INF,-1,0,7,0
460,1,1,5.217,-12.190,0.49,-1.14,0.49,-1.14,INF,-1,0,7,0
480,1,1,4.335,-12.789,0.41,-1.20,0.41,-1.20,INF,-1,0,7,0
500,1,1,3.212,-11.606,0.30,-1.08,0.30,-1.08,INF,-1,0,7,0
520,1,1,4.731,-11.487,0.44,-1.07,0.44,-1.07,INF,-1,0,7,0
540,1,1,2.755,-8.848,0.26,-0.83,0.26,-0.83,INF,-1,1,7,0
560,1,1,2.786,-11.284,0.26,-1.05,0.26,-1.05,INF,-1,1,7,0
580,1,1,2.528,-10.849,0.24,-1.01,0.24,-1.01,INF,-1,1,7,0
600,1,1,7.224,-11.616,0.68,-1.09,0.68,-1.09,INF,-1,1,7,0
620,1,1,5.853,-8.101,0.55,-0.76,0.55,-0.76,INF,-1,1,7,0
640,1,1,6.387,18.953,0.60,1.77,0.60,1.77,INF,-1,0,7,0
660,1,1,8.203,15.123,0.77,1.41,0.77,1.41,INF,-1,0,7,0
680,1,1,10.081,16.351,0.94,1.53,0.94,1.53,INF,-1,0,7,0
700,1,1,7.569,15.919,0.71,1.49,0.71,1.49,INF,-1,0,7,0
720,1,1,7.633,16.874,0.71,1.58,0.71,1.58,INF,-1,0,7,0
740,1,1,10.125,17.072,0.95,1.60,0.95,1.60,INF,-1,0,7,0
760,1,1,7.205,19.606,0.67,1.83,0.67,1.83,INF,-1,0,7,0
780,1,1,7.526,16.626,0.70,1.55,0.70,1.55,INF,-1,0,7,0
800,1,1,10.896,15.707,1.02,1.47,1.02,1.47,INF,-1,0,7,0
