"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.21043
CalibrationParameters_A12,0.08086
CalibrationParameters_A13,-0.00034
CalibrationParameters_A21,0.08971
CalibrationParameters_A22,-1.19660
CalibrationParameters_A23,0.02399
CalibrationParameters_A31,0.00053
CalibrationParameters_A32,-0.01408
CalibrationParameters_E11,-0.18009
CalibrationParameters_E12,-0.00009
CalibrationParameters_E21,-0.00036
CalibrationParameters_E22,0.20011
CalibrationParameters_X,-36.13941
CalibrationParameters_Y,-48.89209
CalibrationParameters_Rpc,91.10151
CalibrationParameters_MeanX,130.05954
CalibrationParameters_MeanY,134.65320
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,20.587,-4.397,1.92,-0.41,1.92,-0.41,INF,-1,0,7,0
20,1,1,17.965,-2.891,1.68,-0.27,1.68,-0.27,INF,-1,0,7,0
40,1,1,22.325,-4.359,2.09,-0.41,2.09,-0.41,INF,-1,0,7,0
60,1,1,20.505,-2.278,1.92,-0.21,1.92,-0.21,INF,-1,0,7,0
80,1,1,21.769,-2.104,2.03,-0.20,2.03,-0.20,INF,-1,0,7,0
100,1,1,18.913,-0.158,1.77,-0.01,1.77,-0.01,INF,-1,0,7,0
120,1,1,20.382,-2.266,1.90,-0.21,1.90,-0.21,INF,-1,0,7,0
140,1,1,20.469,-0.489,1.91,-0.05,1.91,-0.05,INF,-1,0,7,0
160,1,1,19.450,-1.715,1.82,-0.16,1.82,-0.16,INF,-1,0,7,0
180,1,1,20.093,-1.900,1.88,-0.18,1.88,-0.18,INF,-1,0,7,0
200,1,1,5.342,-3.118,0.50,-0.29,0.50,-0.29,INF,-1,0,7,0
220,1,1,4.836,0.286,0.45,0.03,0.45,0.03,INF,-1,0,7,0
240,1,1,6.326,0.087,0.59,0.01,0.59,0.01,INF,-1,0,7,0
260,1,1,7.230,-1.713,0.68,-0.16,0.68,-0.16,INF,-1,0,7,0
280,1,1,4.981,0.208,0.47,0.02,0.47,0.02,INF,-1,1,7,0
300,1,1,5.760,0.415,0.54,0.04,0.54,0.04,INF,-1,1,7,0
320,1,1,5.317,-0.675,0.50,-0.06,0.50,-0.06,INF,-1,1,7,0
340,1,1,4.948,-0.355,0.46,-0.03,0.46,-0.03,INF,-1,1,7,0
360,1,1,-28.049,-0.510,-2.62,-0.05,-2.62,-0.05,INF,-1,0,7,0
380,1,1,-36.447,-5.549,-3.40,-0.52,-3.40,-0.52,INF,-1,0,7,0
400,1,1,-37.311,-4.265,-3.48,-0.40,-3.48,-0.40,INF,-1,0,7,0
420,1,1,-39.527,-3.561,-3.69,-0.33,-3.69,-0.33,INF,-1,0,7,0
440,1,1,-38.419,-3.182,-3.59,-0.30,-3.59,-0.30,INF,-1,0,7,0
460,1,1,-39.307,-4.317,-3.67,-0.40,-3.67,-0.40,INF,-1,0,7,0
480,1,1,-38.064,-3.347,-3.55,-0.31,-3.55,-0.31,INF,-1,0,7,0
500,1,1,-39.925,-3.590,-3.73,-0.33,-3.73,-0.34,INF,-1,0,7,0
520,1,1,-39.152,-2.873,-3.65,-0.27,-3.65,-0.27,INF,-1,0,7,0
540,1,1,-38.819,-3.600,-3.62,-0.34,-3.62,-0.34,INF,-1,0,7,0
560,1,1,-46.433,-5.128,-4.33,-0.48,-4.33,-0.48,INF,-1,0,7,0
580,1,1,-44.350,-3.718,-4.14,-0.35,-4.14,-0.35,INF,-1,0,7,0
600,1,1,-45.932,-5.444,-4.29,-0.51,-4.29,-0.51,INF,-1,0,7,0
620,1,1,-43.703,-6.550,-4.08,-0.61,-4.08,-0.61,INF,-1,0,7,0
640,1,1,-44.227,-7.476,-4.13,-0.70,-4.13,-0.70,INF,-1,1,7,0
660,1,1,-45.310,-3.783,-4.23,-0.35,-4.23,-0.35,INF,-1,1,7,0
680,1,1,-45.744,-4.837,-4.27,-0.45,-4.27,-0.45,INF,-1,1,7,0
700,1,1,-47.562,-5.062,-4.44,-0.47,-4.44,-0.47,INF,-1,1,7,0
720,1,1,-46.136,-4.857,-4.30,-0.45,-4.30,-0.45,INF,-1,1,7,0
740,1,1,-46.036,-5.414,-4.29,-0.50,-4.29,-0.51,INF,-1,1,7,0
760,1,1,-48.953,-5.046,-4.57,-0.47,-4.57,-0.47,INF,-1,1,7,0
780,1,1,-48.132,-4.860,-4.49,-0.45,-4.49,-0.45,INF,-1,1,7,0
800,1,1,-45.122,-4.813,-4.21,-0.45,-4.21,-0.45,INF,-1,1,7,0
820,1,1,-47.561,-4.620,-4.44,-0.43,-4.44,-0.43,INF,-1,1,7,0
840,1,1,-48.143,-5.873,-4.49,-0.55,-4.49,-0.55,INF,-1,1,7,0
860,1,1,-46.885,-6.673,-4.37,-0.62,-4.37,-0.62,INF,-1,1,7,0
880,1,1,-47.849,-5.136,-4.46,-0.48,-4.46,-0.48,INF,-1,1,7,0
900,1,1,-48.040,-4.962,-4.48,-0.46,-4.48,-0.46,INF,-1,1,7,0
920,1,1,-46.952,-6.043,-4.38,-0.56,-4.38,-0.56,INF,-1,1,7,0
940,1,1,-47.959,-6.770,-4.47,-0.63,-4.47,-0.63,INF,-1,1,7,0
960,1,1,-46.498,-7.260,-4.34,-0.68,-4.34,-0.68,INF,-1,1,7,0
980,1,1,-48.587,-6.173,-4.53,-0.58,-4.53,-0.58,INF,-1,1,7,0
1000,1,1,-46.515,-7.166,-4.34,-0.67,-4.34,-0.67,INF,-1,1,7,0
1020,1,1,-48.589,-5.527,-4.53,-0.52,-4.53,-0.52,INF,-1,1,7,0
1040,1,1,-50.191,-5.321,-4.68,-0.50,-4.68,-0.50,INF,-1,1,7,0
1060,1,1,-48.634,-3.862,-4.54,-0.36,-4.54,-0.36,INF,-1,1,7,0
1080,1,1,-48.809,-5.734,-4.55,-0.53,-4.55,-0.54,INF,-1,1,7,0
1100,1,1,-50.472,-5.708,-4.71,-0.53,-4.71,-0.53,INF,-1,1,7,0
1120,1,1,-49.752,-3.725,-4.64,-0.35,-4.64,-0.35,INF,-1,1,7,0
1140,1,1,-49.642,-4.021,-4.63,-0.37,-4.63,-0.38,INF,-1,1,7,0
1160,1,1,-51.336,-1.569,-4.79,-0.15,-4.79,-0.15,INF,-1,1,7,0
1180,1,1,-35.694,23.472,-3.33,2.19,-3.33,2.19,INF,-1,1,7,0
1200,1,1,-38.239,24.883,-3.57,2.32,-3.57,2.32,INF,-1,0,7,0
1220,1,1,-34.701,22.885,-3.24,2.13,-3.24,2.14,INF,-1,0,7,0
1240,1,1,-36.708,24.281,-3.43,2.26,-3.42,2.27,INF,-1,0,7,0
1260,1,1,-38.440,26.253,-3.59,2.45,-3.58,2.45,INF,-1,0,7,0
1280,1,1,-37.943,25.719,-3.54,2.40,-3.54,2.40,INF,-1,0,7,0
1300,1,1,-37.279,25.046,-3.48,2.34,-3.48,2.34,INF,-1,0,7,0
1320,1,1,-37.181,26.410,-3.47,2.46,-3.47,2.47,INF,-1,0,7,0
1340,1,1,-36.365,25.721,-3.39,2.40,-3.39,2.40,INF,-1,0,7,0
1360,1,1,-37.473,25.924,-3.50,2.42,-3.50,2.42,INF,-1,0,7,0
1380,1,1,-37.126,24.150,-3.47,2.25,-3.46,2.26,INF,-1,0,7,0
1400,1,1,-38.014,24.908,-3.55,2.32,-3.55,2.33,INF,-1,0,7,0
1420,1,1,-37.453,26.072,-3.50,2.43,-3.49,2.44,INF,-1,0,7,0
1440,1,1,-37.678,25.902,-3.52,2.42,-3.51,2.42,INF,-1,0,7,0
1460,1,1,-36.891,25.632,-3.44,2.39,-3.44,2.39,INF,-1,1,7,0
1480,1,1,-37.590,26.314,-3.51,2.45,-3.51,2.46,INF,-1,1,7,0
1500,1,1,-35.376,25.075,-3.30,2.34,-3.30,2.34,INF,-1,1,7,0
1520,1,1,-37.342,24.171,-3.49,2.25,-3.48,2.26,INF,-1,1,7,0
1540,1,1,-46.203,19.779,-4.31,1.84,-4.31,1.85,INF,-1,1,7,0
1560,1,1,-45.996,20.247,-4.29,1.89,-4.29,1.89,INF,-1,1,7,0
1580,1,1,-46.873,20.235,-4.37,1.89,-4.37,1.89,INF,-1,0,7,0
1600,1,1,-45.167,21.408,-4.21,1.99,-4.21,2.00,INF,-1,0,7,0
1620,1,1,-46.736,21.704,-4.36,2.02,-4.36,2.03,INF,-1,0,7,0
1640,1,1,-45.808,19.477,-4.27,1.81,-4.27,1.82,INF,-1,0,7,0
1660,1,1,-48.712,20.587,-4.54,1.92,-4.54,1.92,INF,-1,0,7,0
1680,1,1,-44.647,14.991,-4.17,1.40,-4.16,1.40,INF,-1,0,7,0
1700,1,1,-42.612,7.514,-3.98,0.70,-3.98,0.70,INF,-1,0,7,0
1720,1,1,-42.249,8.020,-3.94,0.75,-3.94,0.75,INF,-1,0,7,0
1740,1,1,-42.979,7.661,-4.01,0.71,-4.01,0.72,INF,-1,0,7,0
1760,1,1,-43.330,6.059,-4.04,0.56,-4.04,0.57,INF,-1,0,7,0
1780,1,1,-41.152,6.782,-3.84,0.63,-3.84,0.63,INF,-1,0,7,0
1800,1,1,-43.963,6.290,-4.10,0.59,-4.10,0.59,INF,-1,0,7,0
1820,1,1,-43.818,6.058,-4.09,0.56,-4.09,0.57,INF,-1,1,7,0
1840,1,1,-43.934,6.916,-4.10,0.64,-4.10,0.65,INF,-1,1,7,0
1860,1,1,-42.973,5.569,-4.01,0.52,-4.01,0.52,INF,-1,1,7,0
1880,1,1,-43.193,6.543,-4.03,0.61,-4.03,0.61,INF,-1,1,7,0
1900,1,1,-42.835,17.497,-4.00,1.63,-4.00,1.63,INF,-1,1,7,0
1920,1,1,-44.692,18.009,-4.17,1.68,-4.17,1.68,INF,-1,1,7,0
1940,1,1,-43.446,17.005,-4.05,1.59,-4.05,1.59,INF,-1,1,7,0
1960,1,1,-43.894,15.386,-4.10,1.43,-4.09,1.44,INF,-1,1,7,0
1980,1,1,-45.332,15.508,-4.23,1.45,-4.23,1.45,INF,-1,1,7,0
2000,1,1,-44.521,16.537,-4.15,1.54,-4.15,1.55,INF,-1,1,7,0
2020,1,1,-43.541,16.805,-4.06,1.57,-4.06,1.57,INF,-1,1,7,0
2040,1,1,-44.287,16.574,-4.13,1.54,-4.13,1.55,INF,-1,1,7,0
2060,1,1,-44.285,17.072,-4.13,1.59,-4.13,1.60,INF,-1,1,7,0
2080,1,1,-45.354,16.911,-4.23,1.58,-4.23,1.58,INF,-1,1,7,0
2100,1,1,-43.345,16.729,-4.04,1.56,-4.04,1.56,INF,-1,1,7,0
2120,1,1,-44.656,17.751,-4.17,1.65,-4.16,1.66,INF,-1,1,7,0
2140,1,1,-44.627,16.950,-4.16,1.58,-4.16,1.58,INF,-1,1,7,0
2160,1,1,-42.167,15.366,-3.94,1.43,-3.93,1.44,INF,-1,1,7,0
2180,1,1,-43.296,16.590,-4.04,1.55,-4.04,1.55,INF,-1,1,7,0
2200,1,1,-44.103,17.073,-4.12,1.59,-4.11,1.60,INF,-1,1,7,0
2220,1,1,-34.417,-2.733,-3.21,-0.26,-3.21,-0.26,INF,-1,1,7,0
2240,1,1,-37.116,-8.231,-3.46,-0.77,-3.46,-0.77,INF,-1,1,7,0
2260,1,1,-36.571,-6.764,-3.41,-0.63,-3.41,-0.63,INF,-1,0,7,0
2280,1,1,-35.644,-6.420,-3.33,-0.60,-3.33,-0.60,INF,-1,0,7,0
2300,1,1,-34.521,-6.917,-3.22,-0.65,-3.22,-0.65,INF,-1,0,7,0
2320,1,1,-35.370,-5.586,-3.30,-0.52,-3.30,-0.52,INF,-1,0,7,0
2340,1,1,-36.444,-6.983,-3.40,-0.65,-3.40,-0.65,INF,-1,0,7,0
2360,1,1,-34.028,-8.704,-3.18,-0.81,-3.18,-0.81,INF,-1,0,7,0
2380,1,1,-36.263,-8.576,-3.39,-0.80,-3.39,-0.80,INF,-1,0,7,0
2400,1,1,-36.158,-9.455,-3.38,-0.88,-3.38,-0.88,INF,-1,0,7,0
2420,1,1,-35.411,-7.871,-3.31,-0.73,-3.31,-0.74,INF,-1,0,7,0
2440,1,1,-35.105,-7.813,-3.28,-0.73,-3.28,-0.73,INF,-1,0,7,0
2460,1,1,-35.200,-7.937,-3.29,-0.74,-3.29,-0.74,INF,-1,0,7,0
2480,1,1,-32.050,-8.397,-2.99,-0.78,-2.99,-0.78,INF,-1,0,7,0
2500,1,1,-31.262,-7.670,-2.92,-0.72,-2.92,-0.72,INF,-1,1,7,0
2520,1,1,-30.929,-7.767,-2.89,-0.72,-2.89,-0.73,INF,-1,1,7,0
2540,1,1,-29.016,-9.223,-2.71,-0.86,-2.71,-0.86,INF,-1,1,7,0
2560,1,1,-30.888,-9.069,-2.88,-0.85,-2.88,-0.85,INF,-1,1,7,0
2580,1,1,-31.780,-7.281,-2.97,-0.68,-2.97,-0.68,INF,-1,1,7,0
2600,1,1,-31.005,-6.828,-2.90,-0.64,-2.90,-0.64,INF,-1,1,7,0
2620,1,1,-29.158,-8.056,-2.72,-0.75,-2.72,-0.75,INF,-1,1,7,0
2640,1,1,-32.200,-6.832,-3.01,-0.64,-3.01,-0.64,INF,-1,1,7,0
2660,1,1,-11.480,-9.011,-1.07,-0.84,-1.07,-0.84,INF,-1,1,7,0
2680,1,1,16.555,-6.508,1.55,-0.61,1.55,-0.61,INF,-1,1,7,0
2700,1,1,13.019,-4.891,1.22,-0.46,1.22,-0.46,INF,-1,0,7,0
2720,1,1,11.487,-6.276,1.07,-0.59,1.07,-0.59,INF,-1,0,7,0
2740,1,1,12.096,-4.505,1.13,-0.42,1.13,-0.42,INF,-1,0,7,0
2760,1,1,12.474,-6.251,1.17,-0.58,1.17,-0.58,INF,-1,0,7,0
2780,1,1,12.287,-5.637,1.15,-0.53,1.15,-0.53,INF,-1,0,7,0
2800,1,1,11.619,-5.402,1.09,-0.50,1.09,-0.50,INF,-1,0,7,0
2820,1,1,10.665,-6.605,1.00,-0.62,1.00,-0.62,INF,-1,0,7,0
2840,1,1,13.528,-6.611,1.26,-0.62,1.26,-0.62,INF,-1,0,7,0
2860,1,1,11.201,-5.441,1.05,-0.51,1.05,-0.51,INF,-1,0,7,0
2880,1,1,12.167,-5.389,1.14,-0.50,1.14,-0.50,INF,-1,0,7,0
2900,1,1,13.431,-5.199,1.26,-0.49,1.26,-0.49,INF,-1,0,7,0
2920,1,1,11.464,-6.158,1.07,-0.58,1.07,-0.58,INF,-1,0,7,0
2940,1,1,14.109,-6.159,1.32,-0.58,1.32,-0.58,INF,-1,0,7,0
2960,1,1,12.200,-5.077,1.14,-0.47,1.14,-0.47,INF,-1,1,7,0
2980,1,1,13.344,-7.224,1.25,-0.67,1.25,-0.68,INF,-1,1,7,0
3000,1,1,8.409,-6.586,0.79,-0.62,0.79,-0.62,INF,-1,1,7,0
3020,1,1,4.383,-3.193,0.41,-0.30,0.41,-0.30,INF,-1,1,7,0
3040,1,1,4.873,-2.727,0.46,-0.25,0.46,-0.25,INF,-1,1,7,0
