"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06283
CalibrationParameters_A12,0.09159
CalibrationParameters_A13,0.00619
CalibrationParameters_A21,0.05766
CalibrationParameters_A22,-1.07048
CalibrationParameters_A23,-0.00172
CalibrationParameters_A31,0.00002
CalibrationParameters_A32,-0.00006
CalibrationParameters_E11,-0.17994
CalibrationParameters_E12,0.00001
CalibrationParameters_E21,0.00000
CalibrationParameters_E22,0.19995
CalibrationParameters_X,-33.02368
CalibrationParameters_Y,3.45759
CalibrationParameters_Rpc,67.67197
CalibrationParameters_MeanX,143.92159
CalibrationParameters_MeanY,110.68713
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-0.197,-8.321,-0.02,-0.78,-0.02,-0.78,INF,-1,0,7,0
20,1,1,0.037,-9.079,0.00,-0.85,0.00,-0.85,INF,-1,0,7,0
40,1,1,0.537,-9.739,0.05,-0.91,0.05,-0.91,INF,-1,0,7,0
60,1,1,-1.189,-8.211,-0.11,-0.77,-0.11,-0.77,INF,-1,0,7,0
80,1,1,1.471,-9.124,0.14,-0.85,0.14,-0.85,INF,-1,0,7,0
100,1,1,1.893,-7.874,0.18,-0.74,0.18,-0.74,INF,-1,0,7,0
120,1,1,-0.097,-8.910,-0.01,-0.83,-0.01,-0.83,INF,-1,0,7,0
140,1,1,0.935,-10.310,0.09,-0.96,0.09,-0.96,INF,-1,0,7,0
160,1,1,-0.060,-7.437,-0.01,-0.70,-0.01,-0.70,INF,-1,0,7,0
180,1,1,-0.484,-7.095,-0.05,-0.66,-0.05,-0.66,INF,-1,0,7,0
200,1,1,-1.295,-4.216,-0.12,-0.39,-0.12,-0.39,INF,-1,0,7,0
220,1,1,-1.886,-4.992,-0.18,-0.47,-0.18,-0.47,INF,-1,0,7,0
240,1,1,-3.014,-5.307,-0.28,-0.50,-0.28,-0.50,INF,-1,0,7,0
260,1,1,-1.612,-6.265,-0.15,-0.59,-0.15,-0.59,INF,-1,0,7,0
280,1,1,-1.669,-6.634,-0.16,-0.62,-0.16,-0.62,INF,-1,1,7,0
300,1,1,-3.681,-4.992,-0.34,-0.47,-0.34,-0.47,INF,-1,1,7,0
320,1,1,-1.259,-4.980,-0.12,-0.47,-0.12,-0.47,INF,-1,1,7,0
340,1,1,-1.754,-8.433,-0.16,-0.79,-0.16,-0.79,INF,-1,1,7,0
360,1,1,-2.568,-2.496,-0.24,-0.23,-0.24,-0.23,INF,-1,1,7,0
380,1,1,-9.608,4.085,-0.90,0.38,-0.90,0.38,INF,-1,1,7,0
400,1,1,-8.522,2.664,-0.80,0.25,-0.80,0.25,INF,-1,1,7,0
420,1,1,-8.323,3.404,-0.78,0.32,-0.78,0.32,INF,-1,0,7,0
440,1,1,-8.848,1.799,-0.83,0.17,-0.83,0.17,INF,-1,0,7,0
460,1,1,-9.413,1.417,-0.88,0.13,-0.88,0.13,INF,-1,0,7,0
480,1,1,-9.662,0.709,-0.90,0.07,-0.90,0.07,INF,-1,0,7,0
500,1,1,-9.426,1.145,-0.88,0.11,-0.88,0.11,INF,-1,0,7,0
520,1,1,-8.971,1.455,-0.84,0.14,-0.84,0.14,INF,-1,0,7,0
540,1,1,-9.522,1.677,-0.89,0.16,-0.89,0.16,INF,-1,0,7,0
560,1,1,-2.049,4.563,-0.19,0.43,-0.19,0.43,INF,-1,0,7,0
580,1,1,-3.566,4.385,-0.33,0.41,-0.33,0.41,INF,-1,0,7,0
600,1,1,-2.988,4.434,-0.28,0.41,-0.28,0.41,INF,-1,0,7,0
620,1,1,-2.008,2.801,-0.19,0.26,-0.19,0.26,INF,-1,0,7,0
640,1,1,-2.959,4.611,-0.28,0.43,-0.28,0.43,INF,-1,0,7,0
660,1,1,-2.887,0.400,-0.27,0.04,-0.27,0.04,INF,-1,1,7,0
680,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
700,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
720,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
740,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
760,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
780,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
800,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
820,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
840,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
860,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
880,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
900,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
920,1,1,4.955,23.627,0.46,2.21,0.46,2.21,INF,-1,0,7,0
940,1,1,4.642,24.011,0.43,2.24,0.43,2.24,INF,-1,0,7,0
960,1,1,6.356,23.522,0.59,2.20,0.59,2.20,INF,-1,0,7,0
980,1,1,4.838,22.394,0.45,2.09,0.45,2.09,INF,-1,0,7,0
1000,1,1,3.902,24.498,0.36,2.29,0.36,2.29,INF,-1,0,7,0
1020,1,1,-8.497,20.702,-0.79,1.93,-0.79,1.93,INF,-1,0,7,0
1040,1,1,-5.513,20.780,-0.52,1.94,-0.51,1.94,INF,-1,0,7,0
1060,1,1,-5.048,20.115,-0.47,1.88,-0.47,1.88,INF,-1,0,7,0
1080,1,1,-4.301,20.730,-0.40,1.94,-0.40,1.94,INF,-1,0,7,0
