"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.07787
CalibrationParameters_A12,0.07371
CalibrationParameters_A13,0.06726
CalibrationParameters_A21,0.03509
CalibrationParameters_A22,-1.09596
CalibrationParameters_A23,-0.00987
CalibrationParameters_A31,0.00030
CalibrationParameters_A32,-0.00005
CalibrationParameters_E11,-0.18001
CalibrationParameters_E12,0.00003
CalibrationParameters_E21,-0.00005
CalibrationParameters_E22,0.20006
CalibrationParameters_X,-36.64688
CalibrationParameters_Y,-2.08380
CalibrationParameters_Rpc,69.67350
CalibrationParameters_MeanX,165.41703
CalibrationParameters_MeanY,114.96991
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,19.135,-10.219,1.79,-0.95,1.79,-0.96,INF,-1,0,7,0
20,1,1,20.384,-9.242,1.90,-0.86,1.90,-0.86,INF,-1,0,7,0
40,1,1,21.453,-8.194,2.00,-0.77,2.00,-0.77,INF,-1,0,7,0
60,1,1,20.650,-7.890,1.93,-0.74,1.93,-0.74,INF,-1,0,7,0
80,1,1,20.499,-8.087,1.92,-0.76,1.92,-0.76,INF,-1,0,7,0
100,1,1,20.318,-8.041,1.90,-0.75,1.90,-0.75,INF,-1,0,7,0
120,1,1,20.750,-8.338,1.94,-0.78,1.94,-0.78,INF,-1,0,7,0
140,1,1,19.618,-7.623,1.83,-0.71,1.83,-0.71,INF,-1,0,7,0
160,1,1,20.566,-7.888,1.92,-0.74,1.92,-0.74,INF,-1,0,7,0
180,1,1,8.888,-7.187,0.83,-0.67,0.83,-0.67,INF,-1,0,7,0
200,1,1,11.241,-7.221,1.05,-0.67,1.05,-0.67,INF,-1,0,7,0
220,1,1,9.166,-6.900,0.86,-0.64,0.86,-0.64,INF,-1,0,7,0
240,1,1,10.375,-7.386,0.97,-0.69,0.97,-0.69,INF,-1,0,7,0
260,1,1,9.937,-8.584,0.93,-0.80,0.93,-0.80,INF,-1,0,7,0
280,1,1,10.190,-9.437,0.95,-0.88,0.95,-0.88,INF,-1,1,7,0
