"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.07383
CalibrationParameters_A12,0.08419
CalibrationParameters_A13,0.03583
CalibrationParameters_A21,0.05713
CalibrationParameters_A22,-1.06583
CalibrationParameters_A23,-0.00115
CalibrationParameters_A31,0.00016
CalibrationParameters_A32,-0.00006
CalibrationParameters_E11,-0.17997
CalibrationParameters_E12,0.00014
CalibrationParameters_E21,-0.00017
CalibrationParameters_E22,0.19991
CalibrationParameters_X,-34.46401
CalibrationParameters_Y,1.62086
CalibrationParameters_Rpc,71.47769
CalibrationParameters_MeanX,166.18088
CalibrationParameters_MeanY,115.56930
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-3.341,20.744,-0.31,1.94,-0.31,1.94,INF,-1,0,7,0
20,1,1,-3.214,20.740,-0.30,1.94,-0.30,1.94,INF,-1,0,7,0
40,1,1,-0.497,21.698,-0.05,2.03,-0.05,2.03,INF,-1,0,7,0
60,1,1,-5.156,23.807,-0.48,2.22,-0.48,2.22,INF,-1,0,7,0
80,1,1,-0.991,20.945,-0.09,1.96,-0.09,1.96,INF,-1,0,7,0
100,1,1,-4.791,20.528,-0.45,1.92,-0.45,1.92,INF,-1,0,7,0
120,1,1,-4.398,20.752,-0.41,1.94,-0.41,1.94,INF,-1,0,7,0
140,1,1,-0.745,19.312,-0.07,1.80,-0.07,1.80,INF,-1,0,7,0
160,1,1,-4.564,16.922,-0.43,1.58,-0.43,1.58,INF,-1,0,7,0
180,1,1,-4.448,16.124,-0.42,1.51,-0.42,1.51,INF,-1,0,7,0
200,1,1,-4.440,16.092,-0.41,1.50,-0.41,1.50,INF,-1,0,7,0
220,1,1,-4.297,15.045,-0.40,1.41,-0.40,1.41,INF,-1,0,7,0
240,1,1,-1.984,17.848,-0.19,1.67,-0.19,1.67,INF,-1,0,7,0
260,1,1,-3.756,15.070,-0.35,1.41,-0.35,1.41,INF,-1,0,7,0
280,1,1,-5.843,14.462,-0.55,1.35,-0.55,1.35,INF,-1,1,7,0
300,1,1,-2.951,13.590,-0.28,1.27,-0.28,1.27,INF,-1,1,7,0
320,1,1,-4.726,15.861,-0.44,1.48,-0.44,1.48,INF,-1,1,7,0
340,1,1,-1.476,15.714,-0.14,1.47,-0.14,1.47,INF,-1,1,7,0
360,1,1,-7.424,14.969,-0.69,1.40,-0.69,1.40,INF,-1,1,7,0
380,1,1,-6.159,-0.678,-0.58,-0.06,-0.58,-0.06,INF,-1,1,7,0
400,1,1,-10.511,7.138,-0.98,0.67,-0.98,0.67,INF,-1,1,7,0
420,1,1,-11.249,6.173,-1.05,0.58,-1.05,0.58,INF,-1,0,7,0
440,1,1,-8.983,7.705,-0.84,0.72,-0.84,0.72,INF,-1,0,7,0
460,1,1,-10.726,7.803,-1.00,0.73,-1.00,0.73,INF,-1,0,7,0
480,1,1,-8.230,7.086,-0.77,0.66,-0.77,0.66,INF,-1,0,7,0
500,1,1,-11.776,7.072,-1.10,0.66,-1.10,0.66,INF,-1,0,7,0
