"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.03948
CalibrationParameters_A12,0.08052
CalibrationParameters_A13,-0.03132
CalibrationParameters_A21,0.03823
CalibrationParameters_A22,-1.08050
CalibrationParameters_A23,-0.00576
CalibrationParameters_A31,-0.00023
CalibrationParameters_A32,-0.00002
CalibrationParameters_E11,-0.17993
CalibrationParameters_E12,-0.00003
CalibrationParameters_E21,0.00000
CalibrationParameters_E22,0.20004
CalibrationParameters_X,-30.38727
CalibrationParameters_Y,2.04306
CalibrationParameters_Rpc,68.58487
CalibrationParameters_MeanX,151.83078
CalibrationParameters_MeanY,112.45410
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-6.926,12.095,-0.65,1.13,-0.65,1.13,INF,-1,0,7,0
20,1,1,-5.653,12.232,-0.53,1.14,-0.53,1.14,INF,-1,0,7,0
40,1,1,-6.532,11.910,-0.61,1.11,-0.61,1.11,INF,-1,0,7,0
60,1,1,-4.253,12.669,-0.40,1.18,-0.40,1.18,INF,-1,0,7,0
80,1,1,-5.820,13.586,-0.54,1.27,-0.54,1.27,INF,-1,0,7,0
100,1,1,-4.294,11.969,-0.40,1.12,-0.40,1.12,INF,-1,0,7,0
120,1,1,-5.915,10.203,-0.55,0.95,-0.55,0.95,INF,-1,0,7,0
140,1,1,-5.717,10.324,-0.53,0.96,-0.53,0.96,INF,-1,0,7,0
160,1,1,-7.649,10.038,-0.71,0.94,-0.71,0.94,INF,-1,0,7,0
180,1,1,9.976,1.994,0.93,0.19,0.93,0.19,INF,-1,0,7,0
200,1,1,7.671,3.774,0.72,0.35,0.72,0.35,INF,-1,0,7,0
220,1,1,7.944,2.641,0.74,0.25,0.74,0.25,INF,-1,0,7,0
240,1,1,9.622,0.363,0.90,0.03,0.90,0.03,INF,-1,0,7,0
260,1,1,9.505,0.702,0.89,0.07,0.89,0.07,INF,-1,0,7,0
280,1,1,12.145,-0.280,1.14,-0.03,1.14,-0.03,INF,-1,0,7,0
300,1,1,16.296,-1.374,1.52,-0.13,1.52,-0.13,INF,-1,1,7,0
320,1,1,17.114,1.296,1.60,0.12,1.60,0.12,INF,-1,0,7,0
340,1,1,16.535,-1.043,1.55,-0.10,1.55,-0.10,INF,-1,0,7,0
360,1,1,15.933,-0.340,1.49,-0.03,1.49,-0.03,INF,-1,0,7,0
380,1,1,16.521,-2.780,1.54,-0.26,1.54,-0.26,INF,-1,0,7,0
400,1,1,14.837,-0.238,1.39,-0.02,1.39,-0.02,INF,-1,0,7,0
420,1,1,16.850,-0.274,1.57,-0.03,1.57,-0.03,INF,-1,0,7,0
440,1,1,17.088,-3.237,1.60,-0.30,1.60,-0.30,INF,-1,0,7,0
460,1,1,17.817,-2.393,1.66,-0.22,1.66,-0.22,INF,-1,0,7,0
480,1,1,15.793,-3.107,1.48,-0.29,1.48,-0.29,INF,-1,0,7,0
500,1,1,19.416,8.182,1.81,0.76,1.81,0.76,INF,-1,0,7,0
520,1,1,18.299,10.008,1.71,0.93,1.71,0.94,INF,-1,0,7,0
540,1,1,18.275,8.988,1.71,0.84,1.71,0.84,INF,-1,0,7,0
560,1,1,16.268,9.989,1.52,0.93,1.52,0.93,INF,-1,1,7,0
580,1,1,17.997,9.780,1.68,0.91,1.68,0.91,INF,-1,1,7,0
600,1,1,18.604,9.236,1.74,0.86,1.74,0.86,INF,-1,1,7,0
620,1,1,18.834,9.018,1.76,0.84,1.76,0.84,INF,-1,1,7,0
640,1,1,17.969,11.062,1.68,1.03,1.68,1.03,INF,-1,1,7,0
