"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06848
CalibrationParameters_A12,0.05651
CalibrationParameters_A13,-0.01968
CalibrationParameters_A21,0.05548
CalibrationParameters_A22,-1.08502
CalibrationParameters_A23,-0.00382
CalibrationParameters_A31,-0.00013
CalibrationParameters_A32,0.00000
CalibrationParameters_E11,-0.18010
CalibrationParameters_E12,0.00007
CalibrationParameters_E21,0.00003
CalibrationParameters_E22,0.20002
CalibrationParameters_X,-32.65324
CalibrationParameters_Y,-3.66836
CalibrationParameters_Rpc,71.67885
CalibrationParameters_MeanX,155.29764
CalibrationParameters_MeanY,109.87297
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-15.003,-14.529,-1.40,-1.36,-1.40,-1.36,INF,-1,0,7,0
20,1,1,-14.817,-13.286,-1.38,-1.24,-1.38,-1.24,INF,-1,0,7,0
40,1,1,-13.929,-13.812,-1.30,-1.29,-1.30,-1.29,INF,-1,0,7,0
60,1,1,-12.835,-15.810,-1.20,-1.48,-1.20,-1.48,INF,-1,0,7,0
80,1,1,-14.056,-15.811,-1.31,-1.48,-1.31,-1.48,INF,-1,0,7,0
100,1,1,-12.861,-15.027,-1.20,-1.40,-1.20,-1.40,INF,-1,0,7,0
120,1,1,-10.657,-15.959,-1.00,-1.49,-1.00,-1.49,INF,-1,0,7,0
140,1,1,-13.880,-17.293,-1.30,-1.62,-1.30,-1.62,INF,-1,0,7,0
160,1,1,-12.785,-15.225,-1.19,-1.42,-1.19,-1.42,INF,-1,0,7,0
180,1,1,-9.054,-16.757,-0.85,-1.57,-0.85,-1.57,INF,-1,0,7,0
200,1,1,-11.905,-17.667,-1.11,-1.65,-1.11,-1.65,INF,-1,0,7,0
220,1,1,-6.163,-19.066,-0.58,-1.78,-0.58,-1.78,INF,-1,0,7,0
240,1,1,-8.451,-21.191,-0.79,-1.98,-0.79,-1.98,INF,-1,0,7,0
260,1,1,-10.789,-20.117,-1.01,-1.88,-1.01,-1.88,INF,-1,0,7,0
280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
300,1,1,-17.363,-17.821,-1.62,-1.66,-1.62,-1.67,INF,-1,1,7,0
320,1,1,-36.259,-5.972,-3.39,-0.56,-3.38,-0.56,INF,-1,1,7,0
340,1,1,-34.020,-5.475,-3.18,-0.51,-3.18,-0.51,INF,-1,1,7,0
360,1,1,-35.645,-7.896,-3.33,-0.74,-3.33,-0.74,INF,-1,0,7,0
380,1,1,-35.953,-4.636,-3.36,-0.43,-3.36,-0.43,INF,-1,0,7,0
400,1,1,-35.186,-7.617,-3.29,-0.71,-3.28,-0.71,INF,-1,0,7,0
420,1,1,-34.350,-9.880,-3.21,-0.92,-3.21,-0.92,INF,-1,0,7,0
440,1,1,-36.766,-10.157,-3.43,-0.95,-3.43,-0.95,INF,-1,0,7,0
460,1,1,-35.497,-10.242,-3.31,-0.96,-3.31,-0.96,INF,-1,0,7,0
480,1,1,-30.213,-10.786,-2.82,-1.01,-2.82,-1.01,INF,-1,0,7,0
500,1,1,-34.304,-8.463,-3.20,-0.79,-3.20,-0.79,INF,-1,0,7,0
520,1,1,-38.199,-8.167,-3.57,-0.76,-3.57,-0.76,INF,-1,0,7,0
540,1,1,-40.043,-8.663,-3.74,-0.81,-3.74,-0.81,INF,-1,0,7,0
560,1,1,-35.372,-8.989,-3.30,-0.84,-3.30,-0.84,INF,-1,0,7,0
580,1,1,-36.811,-8.248,-3.44,-0.77,-3.44,-0.77,INF,-1,0,7,0
600,1,1,-33.014,-7.861,-3.08,-0.73,-3.08,-0.73,INF,-1,1,7,0
620,1,1,-36.168,-9.338,-3.38,-0.87,-3.38,-0.87,INF,-1,1,7,0
640,1,1,-37.947,-10.719,-3.54,-1.00,-3.54,-1.00,INF,-1,1,7,0
660,1,1,-46.200,-1.521,-4.31,-0.14,-4.31,-0.14,INF,-1,1,7,0
680,1,1,-44.129,-3.316,-4.12,-0.31,-4.12,-0.31,INF,-1,1,7,0
700,1,1,-48.472,-2.228,-4.52,-0.21,-4.52,-0.21,INF,-1,1,7,0
720,1,1,-42.718,-2.276,-3.99,-0.21,-3.99,-0.21,INF,-1,1,7,0
740,1,1,-46.285,-2.061,-4.32,-0.19,-4.32,-0.19,INF,-1,1,7,0
760,1,1,-48.810,1.303,-4.55,0.12,-4.55,0.12,INF,-1,1,7,0
780,1,1,-45.513,-1.940,-4.25,-0.18,-4.25,-0.18,INF,-1,0,7,0
800,1,1,-44.548,-2.571,-4.16,-0.24,-4.16,-0.24,INF,-1,0,7,0
820,1,1,-44.024,-3.105,-4.11,-0.29,-4.11,-0.29,INF,-1,0,7,0
