"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.03948
CalibrationParameters_A12,0.08052
CalibrationParameters_A13,-0.03132
CalibrationParameters_A21,0.03823
CalibrationParameters_A22,-1.08050
CalibrationParameters_A23,-0.00576
CalibrationParameters_A31,-0.00023
CalibrationParameters_A32,-0.00002
CalibrationParameters_E11,-0.17993
CalibrationParameters_E12,-0.00003
CalibrationParameters_E21,0.00000
CalibrationParameters_E22,0.20004
CalibrationParameters_X,-30.38727
CalibrationParameters_Y,2.04306
CalibrationParameters_Rpc,68.58487
CalibrationParameters_MeanX,151.83078
CalibrationParameters_MeanY,112.45410
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-9.177,5.303,-0.86,0.50,-0.86,0.50,INF,-1,0,7,0
20,1,1,-9.135,6.675,-0.85,0.62,-0.85,0.62,INF,-1,0,7,0
40,1,1,-8.422,9.380,-0.79,0.88,-0.79,0.88,INF,-1,0,7,0
60,1,1,-8.551,6.582,-0.80,0.62,-0.80,0.62,INF,-1,0,7,0
80,1,1,-7.452,9.526,-0.70,0.89,-0.70,0.89,INF,-1,0,7,0
100,1,1,-7.576,6.737,-0.71,0.63,-0.71,0.63,INF,-1,0,7,0
120,1,1,-7.205,8.930,-0.67,0.83,-0.67,0.83,INF,-1,0,7,0
140,1,1,-7.863,7.832,-0.73,0.73,-0.73,0.73,INF,-1,0,7,0
160,1,1,-9.317,10.336,-0.87,0.97,-0.87,0.97,INF,-1,0,7,0
180,1,1,-8.017,4.757,-0.75,0.44,-0.75,0.44,INF,-1,0,7,0
200,1,1,-8.423,4.674,-0.79,0.44,-0.79,0.44,INF,-1,0,7,0
220,1,1,-6.652,4.032,-0.62,0.38,-0.62,0.38,INF,-1,0,7,0
240,1,1,-7.519,4.523,-0.70,0.42,-0.70,0.42,INF,-1,0,7,0
260,1,1,-8.236,3.973,-0.77,0.37,-0.77,0.37,INF,-1,0,7,0
280,1,1,-8.282,3.200,-0.77,0.30,-0.77,0.30,INF,-1,1,7,0
300,1,1,-7.936,3.629,-0.74,0.34,-0.74,0.34,INF,-1,1,7,0
320,1,1,-8.121,5.681,-0.76,0.53,-0.76,0.53,INF,-1,1,7,0
340,1,1,1.973,-1.778,0.18,-0.17,0.18,-0.17,INF,-1,1,7,0
360,1,1,2.126,1.575,0.20,0.15,0.20,0.15,INF,-1,1,7,0
380,1,1,2.429,-2.770,0.23,-0.26,0.23,-0.26,INF,-1,0,7,0
400,1,1,2.823,-1.348,0.26,-0.13,0.26,-0.13,INF,-1,0,7,0
420,1,1,1.459,-1.395,0.14,-0.13,0.14,-0.13,INF,-1,0,7,0
440,1,1,1.941,-2.276,0.18,-0.21,0.18,-0.21,INF,-1,0,7,0
460,1,1,3.256,-1.326,0.30,-0.12,0.30,-0.12,INF,-1,0,7,0
480,1,1,2.683,-1.436,0.25,-0.13,0.25,-0.13,INF,-1,0,7,0
500,1,1,4.455,-1.269,0.42,-0.12,0.42,-0.12,INF,-1,0,7,0
520,1,1,0.086,-0.893,0.01,-0.08,0.01,-0.08,INF,-1,0,7,0
540,1,1,0.908,-0.430,0.08,-0.04,0.08,-0.04,INF,-1,0,7,0
