"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06283
CalibrationParameters_A12,0.09159
CalibrationParameters_A13,0.00619
CalibrationParameters_A21,0.05766
CalibrationParameters_A22,-1.07048
CalibrationParameters_A23,-0.00172
CalibrationParameters_A31,0.00002
CalibrationParameters_A32,-0.00006
CalibrationParameters_E11,-0.17994
CalibrationParameters_E12,0.00001
CalibrationParameters_E21,0.00000
CalibrationParameters_E22,0.19995
CalibrationParameters_X,-33.02368
CalibrationParameters_Y,3.45759
CalibrationParameters_Rpc,67.67197
CalibrationParameters_MeanX,143.92159
CalibrationParameters_MeanY,110.68713
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-11.448,4.828,-1.07,0.45,-1.07,0.45,INF,-1,0,7,0
20,1,1,-9.879,6.355,-0.92,0.59,-0.92,0.59,INF,-1,0,7,0
40,1,1,-9.727,6.769,-0.91,0.63,-0.91,0.63,INF,-1,0,7,0
60,1,1,-11.300,8.453,-1.06,0.79,-1.06,0.79,INF,-1,0,7,0
80,1,1,-9.184,9.854,-0.86,0.92,-0.86,0.92,INF,-1,0,7,0
100,1,1,-7.745,9.973,-0.72,0.93,-0.72,0.93,INF,-1,0,7,0
120,1,1,-6.949,8.266,-0.65,0.77,-0.65,0.77,INF,-1,0,7,0
140,1,1,-7.854,7.856,-0.73,0.73,-0.73,0.73,INF,-1,0,7,0
160,1,1,-6.970,9.676,-0.65,0.90,-0.65,0.90,INF,-1,0,7,0
180,1,1,-7.492,8.629,-0.70,0.81,-0.70,0.81,INF,-1,0,7,0
200,1,1,-8.740,9.661,-0.82,0.90,-0.82,0.90,INF,-1,0,7,0
220,1,1,-6.655,11.727,-0.62,1.10,-0.62,1.10,INF,-1,0,7,0
240,1,1,20.178,13.219,1.89,1.23,1.88,1.24,INF,-1,0,7,0
260,1,1,17.221,12.929,1.61,1.21,1.61,1.21,INF,-1,0,7,0
280,1,1,17.263,11.413,1.61,1.07,1.61,1.07,INF,-1,0,7,0
300,1,1,17.465,12.259,1.63,1.15,1.63,1.15,INF,-1,0,7,0
320,1,1,17.148,10.281,1.60,0.96,1.60,0.96,INF,-1,0,7,0
340,1,1,17.405,10.537,1.63,0.98,1.63,0.98,INF,-1,0,7,0
360,1,1,16.596,10.654,1.55,1.00,1.55,1.00,INF,-1,0,7,0
380,1,1,19.620,12.681,1.83,1.18,1.83,1.19,INF,-1,0,7,0
400,1,1,20.536,11.322,1.92,1.06,1.92,1.06,INF,-1,1,7,0
420,1,1,-27.857,7.321,-2.60,0.68,-2.60,0.68,INF,-1,0,7,0
440,1,1,-33.001,7.624,-3.08,0.71,-3.08,0.71,INF,-1,0,7,0
460,1,1,-30.730,8.606,-2.87,0.80,-2.87,0.80,INF,-1,0,7,0
480,1,1,-31.947,8.370,-2.98,0.78,-2.98,0.78,INF,-1,0,7,0
500,1,1,-29.526,9.013,-2.76,0.84,-2.76,0.84,INF,-1,0,7,0
520,1,1,-31.827,9.505,-2.97,0.89,-2.97,0.89,INF,-1,0,7,0
540,1,1,-29.389,8.518,-2.74,0.80,-2.74,0.80,INF,-1,0,7,0
560,1,1,-30.270,9.028,-2.83,0.84,-2.83,0.84,INF,-1,0,7,0
580,1,1,-29.346,8.318,-2.74,0.78,-2.74,0.78,INF,-1,0,7,0
600,1,1,-29.185,9.544,-2.73,0.89,-2.73,0.89,INF,-1,0,7,0
620,1,1,-29.601,8.538,-2.76,0.80,-2.76,0.80,INF,-1,0,7,0
640,1,1,-28.760,8.532,-2.69,0.80,-2.69,0.80,INF,-1,0,7,0
660,1,1,-29.829,8.332,-2.79,0.78,-2.79,0.78,INF,-1,0,7,0
680,1,1,-43.223,9.673,-4.03,0.90,-4.03,0.90,INF,-1,0,7,0
700,1,1,-38.539,9.840,-3.60,0.92,-3.60,0.92,INF,-1,1,7,0
720,1,1,-39.387,9.120,-3.68,0.85,-3.68,0.85,INF,-1,1,7,0
